outcome,month,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_vax_ir,crude_unvax_ir,crude_irr,age_adj_vax_ir,age_adj_unvax_ir,age_adj_irr,monthly_age_adj_vax_ir,monthly_age_adj_unvax_ir,monthly_age_adj_irr,monthly_age_adj_mb_irr,continuity_correction
case,OCT 2021,202140,12-17,vaccinated,2332,4801539,23740,5615499,48.56776129,422.7585118,8.704508927,,,,,,,,0
case,OCT 2021,202140,12-17,vax with updated booster,,,23740,5615499,,422.7585118,,,,,,,,,0
case,OCT 2021,202140,18-29,vaccinated,9571,11839840,38756,10595621,80.83724104,365.7737475,4.524817309,,,,,,,,0
case,OCT 2021,202140,18-29,vax with updated booster,,,38756,10595621,,365.7737475,,,,,,,,,0
case,OCT 2021,202140,30-49,vaccinated,25229,22641584,58921,12473521,111.4277164,472.3686279,4.239238166,,,,,,,,0
case,OCT 2021,202140,30-49,vax with updated booster,,,58921,12473521,,472.3686279,,,,,,,,,0
case,OCT 2021,202140,50-64,vaccinated,19123,19882696,28284,6352268,96.17910971,445.258292,4.629469885,,,,,,,,0
case,OCT 2021,202140,50-64,vax with updated booster,,,28284,6352268,,445.258292,,,,,,,,,0
case,OCT 2021,202140,65-79,vaccinated,14184,14990939.1,12355,1760686.3,94.61715444,701.7150074,7.416361352,,,,,,,,1
case,OCT 2021,202140,65-79,vax with updated booster,,,12355,1760686.3,,701.7150074,,,,,,,,,1
case,OCT 2021,202140,80+,vaccinated,4601,4358645,3202,779042.85,105.560329,411.017186,3.893670947,,,,,,,,1
case,OCT 2021,202140,80+,vax with updated booster,,,3202,779042.85,,411.017186,,,,,,,,,1
case,OCT 2021,202140,all_ages,vaccinated,72708,73713704.1,141518,31961139.15,,,,99.37651299,469.8825897,4.728306272,88.66399858,406.7078901,4.587069121,,1
case,OCT 2021,202140,all_ages,vax with updated booster,,,141518,31961139.15,,,,,469.8825897,,,406.7078901,,,1
case,OCT 2021,202141,12-17,vaccinated,2016,4926018,19159,5557291,40.92555082,344.7543057,8.423938071,,,,,,,,0
case,OCT 2021,202141,12-17,vax with updated booster,,,19159,5557291,,344.7543057,,,,,,,,,0
