age,year,pop,dead
0,1971,261629,4777
0,1972,268455,4430
0,1973,253285,4085
0,1974,242573,3958
0,1975,235581,3325
0,1976,226356,3150
0,1977,224837,2821
0,1978,224599,2733
0,1979,221768,2534
0,1980,222568,2417
0,1981,230722,2347
0,1982,236108,2482
0,1983,240717,2327
0,1984,239221,2162
0,1985,241022,2452
0,1986,238584,2154
0,1987,241989,2116
0,1988,245514,2132
0,1989,249558,2004
0,1990,256554,2145
0,1991,259085,1836
0,1992,258028,1843
0,1993,258484,1591
0,1994,257403,1512
0,1995,257572,1449
0,1996,254191,1460
0,1997,253375,1341
0,1998,249279,1252
0,1999,250617,1408
0,2000,251139,1290
0,2001,251320,1309
0,2002,248820,1264
0,2003,248959,1199
0,2004,251809,1184
0,2005,257219,1302
0,2006,266887,1262
0,2007,283853,1203
0,2008,291214,1226
0,2009,295261,1261
0,2010,297437,1229
0,2011,290397,1140
0,2012,304718,1031
0,2013,309939,1094
0,2014,306333,1012
0,2015,308446,991
0,2016,318860,970
0,2017,306174,1019
0,2018,302514,988
0,2019,302355,1009
0,2020,296523,943
0,2021,298781,1009
0,2022,305434,958
0,2023,295550,911
1,1971,249943,358
1,1972,263427,363
1,1973,268711,356
1,1974,255067,310
1,1975,244403,286
1,1976,234155,269
1,1977,227309,219
1,1978,225578,215
1,1979,225016,204
1,1980,222896,209
1,1981,224631,184
1,1982,232589,228
1,1983,237097,163
1,1984,241246,181
1,1985,239865,178
1,1986,242597,172
1,1987,241123,149
1,1988,244292,175
1,1989,247817,170
1,1990,251302,171
1,1991,257523,155
1,1992,259878,157
1,1993,257688,167
1,1994,258426,148
1,1995,258057,139
1,1996,258399,128
1,1997,255188,131
1,1998,254452,126
1,1999,250579,123
1,2000,252358,106
1,2001,253737,107
1,2002,252634,103
1,2003,250356,99
1,2004,250613,107
1,2005,253896,95
1,2006,258624,93
1,2007,270527,88
1,2008,284625,94
1,2009,291342,101
1,2010,293410,101
1,2011,294616,79
1,2012,295000,81
1,2013,306929,96
1,2014,311416,67
1,2015,308292,77
1,2016,312044,78
1,2017,319271,75
1,2018,307204,58
1,2019,303218,78
1,2020,301762,65
1,2021,294942,52
1,2022,299299,70
1,2023,310209,64
2,1971,253376,195
2,1972,251953,216
2,1973,265973,224
2,1974,270764,259
2,1975,256555,184
2,1976,246573,167
2,1977,235574,169
2,1978,228865,149
2,1979,226501,131
2,1980,226446,121
2,1981,225201,119
2,1982,227306,131
2,1983,234157,142
2,1984,238073,118
2,1985,242494,123
2,1986,241525,115
2,1987,244950,118
2,1988,244571,115
2,1989,246951,109
2,1990,249829,112
2,1991,252883,85
2,1992,258951,106
2,1993,260367,96
2,1994,257860,87
2,1995,259208,94
2,1996,259111,98
2,1997,260191,74
2,1998,256723,88
2,1999,255860,59
2,2000,252181,77
2,2001,254645,64
2,2002,255225,71
2,2003,254603,63
2,2004,252008,51
2,2005,252876,65
2,2006,256466,60
2,2007,262849,53
2,2008,275386,68
2,2009,286329,49
2,2010,291536,65
2,2011,292984,48
2,2012,299930,56
2,2013,300416,59
2,2014,309581,45
2,2015,313848,58
2,2016,311507,43
2,2017,314175,46
2,2018,320093,50
2,2019,309250,48
2,2020,304057,31
2,2021,300985,37
2,2022,296494,49
2,2023,302272,41
3,1971,243163,155
3,1972,254434,164
3,1973,253772,166
3,1974,269421,186
3,1975,272024,178
3,1976,257872,119
3,1977,247482,134
3,1978,237114,108
3,1979,230360,113
3,1980,227964,100
3,1981,228736,106
3,1982,227811,105
3,1983,228964,100
3,1984,235148,98
3,1985,239445,107
3,1986,244353,101
3,1987,244036,77
3,1988,248018,77
3,1989,248221,76
3,1990,249088,87
3,1991,251425,59
3,1992,254217,76
3,1993,259786,75
3,1994,261296,68
3,1995,258718,68
3,1996,260095,73
3,1997,260814,63
3,1998,261981,66
3,1999,258484,59
3,2000,257625,43
3,2001,254321,49
3,2002,256267,55
3,2003,257025,62
3,2004,256689,61
3,2005,254359,41
3,2006,255509,33
3,2007,260237,52
3,2008,267512,39
3,2009,280443,39
3,2010,287139,33
3,2011,291934,43
3,2012,297775,33
3,2013,304784,37
3,2014,305045,33
3,2015,312136,32
3,2016,316679,37
3,2017,314874,42
3,2018,315896,23
3,2019,321228,42
3,2020,310673,35
3,2021,303531,36
3,2022,303265,38
3,2023,300285,37
4,1971,241654,134
4,1972,244257,140
4,1973,255214,136
4,1974,256399,110
4,1975,272033,131
4,1976,272935,105
4,1977,258416,109
4,1978,248416,104
4,1979,238427,93
4,1980,232315,93
4,1981,230328,84
4,1982,231460,75
4,1983,229300,87
4,1984,230145,59
4,1985,236730,79
4,1986,241426,81
4,1987,246586,67
4,1988,247156,61
4,1989,251303,62
4,1990,251379,54
4,1991,250787,44
4,1992,252874,59
4,1993,254818,66
4,1994,260900,58
4,1995,262646,56
4,1996,259706,52
4,1997,261780,59
4,1998,262651,67
4,1999,264143,52
4,2000,260425,42
4,2001,259662,39
4,2002,256096,31
4,2003,258193,46
4,2004,259057,39
4,2005,259189,42
4,2006,257052,34
4,2007,259013,32
4,2008,264356,32
4,2009,272309,41
4,2010,284490,27
4,2011,288183,32
4,2012,297267,33
4,2013,302307,24
4,2014,309056,34
4,2015,309845,43
4,2016,314536,33
4,2017,319938,27
4,2018,317708,27
4,2019,317978,15
4,2020,321991,30
4,2021,310762,27
4,2022,306027,25
4,2023,307687,32
5,1971,237537,98
5,1972,242442,112
5,1973,244953,102
5,1974,256592,117
5,1975,258234,104
5,1976,274047,115
5,1977,273718,103
5,1978,259014,77
5,1979,249259,64
5,1980,240213,70
5,1981,235214,87
5,1982,232667,78
5,1983,233012,62
5,1984,230065,47
5,1985,231703,60
5,1986,238671,63
5,1987,243629,59
5,1988,249282,52
5,1989,250234,53
5,1990,253821,56
5,1991,254056,37
5,1992,252376,48
5,1993,253422,44
5,1994,255646,48
5,1995,262494,40
5,1996,264238,45
5,1997,261887,48
5,1998,263690,43
5,1999,264576,34
5,2000,266414,45
5,2001,262541,39
5,2002,261085,42
5,2003,258171,27
5,2004,260095,41
5,2005,261566,37
5,2006,261894,29
5,2007,260384,23
5,2008,262874,26
5,2009,268897,39
5,2010,276083,27
5,2011,288653,39
5,2012,293614,34
5,2013,302145,33
5,2014,306292,30
5,2015,313171,29
5,2016,314636,27
5,2017,318326,24
5,2018,322863,17
5,2019,320698,28
5,2020,319770,15
5,2021,320867,30
5,2022,313516,30
5,2023,310777,34
6,1971,241286,117
6,1972,238801,108
6,1973,242734,125
6,1974,246180,102
6,1975,257252,80
6,1976,259412,99
6,1977,275589,90
6,1978,274551,82
6,1979,259217,70
6,1980,250427,75
6,1981,242861,67
6,1982,237725,58
6,1983,233919,64
6,1984,233942,56
6,1985,231440,66
6,1986,233811,52
6,1987,241510,44
6,1988,246362,60
6,1989,252189,65
6,1990,252567,45
6,1991,255862,54
6,1992,255663,36
6,1993,252959,47
6,1994,254163,40
6,1995,256862,41
6,1996,264453,42
6,1997,265930,34
6,1998,264088,35
6,1999,265788,35
6,2000,266654,37
6,2001,268858,32
6,2002,264001,29
6,2003,262631,24
6,2004,260111,25
6,2005,262410,34
6,2006,264192,32
6,2007,264959,31
6,2008,263671,32
6,2009,266579,26
6,2010,272100,38
6,2011,279838,29
6,2012,291641,17
6,2013,298559,37
6,2014,306084,27
6,2015,309529,28
6,2016,316919,23
6,2017,317781,21
6,2018,321036,18
6,2019,325018,29
6,2020,323071,17
6,2021,319215,22
6,2022,323288,28
6,2023,317961,27
7,1971,251493,98
7,1972,242321,92
7,1973,239699,86
7,1974,243543,87
7,1975,246836,73
7,1976,257341,70
7,1977,260216,93
7,1978,277350,65
7,1979,274813,94
7,1980,259954,71
7,1981,252445,63
7,1982,245468,71
7,1983,239220,57
7,1984,234589,50
7,1985,235161,65
7,1986,233206,49
7,1987,236074,46
7,1988,244815,42
7,1989,248901,50
7,1990,254332,51
7,1991,254376,39
7,1992,257085,41
7,1993,256418,47
7,1994,253739,42
7,1995,255366,43
7,1996,258503,32
7,1997,265667,44
7,1998,267658,18
7,1999,266492,37
7,2000,267878,38
7,2001,269022,36
7,2002,270243,39
7,2003,265314,40
7,2004,264224,27
7,2005,262270,20
7,2006,264864,27
7,2007,266920,19
7,2008,267968,26
7,2009,266832,20
7,2010,269312,19
7,2011,275180,27
7,2012,282072,25
7,2013,294166,24
7,2014,302759,33
7,2015,309540,23
7,2016,312612,21
7,2017,319933,21
7,2018,319966,21
7,2019,323579,21
7,2020,326662,17
7,2021,323201,19
7,2022,321304,26
7,2023,327365,21
8,1971,256315,79
8,1972,253304,80
8,1973,242905,73
8,1974,241161,85
8,1975,243821,69
8,1976,246755,71
8,1977,258676,74
8,1978,261049,52
8,1979,278592,65
8,1980,275707,66
8,1981,261547,63
8,1982,254933,57
8,1983,246863,54
8,1984,240167,40
8,1985,235540,58
8,1986,236826,46
8,1987,235955,44
8,1988,238784,54
8,1989,248143,45
8,1990,250769,38
8,1991,255829,46
8,1992,256105,48
8,1993,257354,32
8,1994,257270,31
8,1995,254977,45
8,1996,256814,39
8,1997,260103,32
8,1998,266773,36
8,1999,269379,40
8,2000,269032,19
8,2001,270183,28
8,2002,270439,26
8,2003,271672,28
8,2004,266765,24
8,2005,266171,23
8,2006,264949,24
8,2007,267552,23
8,2008,269735,24
8,2009,271130,22
8,2010,269303,30
8,2011,272217,27
8,2012,277549,30
8,2013,284052,21
8,2014,296138,25
8,2015,306360,28
8,2016,313041,18
8,2017,315816,26
8,2018,322345,23
8,2019,322163,22
8,2020,325836,24
8,2021,326662,26
8,2022,325194,29
8,2023,325333,17
9,1971,259805,89
9,1972,257488,72
9,1973,254626,76
9,1974,243938,69
9,1975,242029,65
9,1976,243534,54
9,1977,247876,65
9,1978,260109,68
9,1979,261652,70
9,1980,280284,73
9,1981,277487,56
9,1982,264492,67
9,1983,256369,47
9,1984,247636,44
9,1985,241287,43
9,1986,236974,45
9,1987,238970,45
9,1988,239109,40
9,1989,241434,28
9,1990,250813,48
9,1991,252085,42
9,1992,257527,52
9,1993,256947,33
9,1994,257786,35
9,1995,258535,36
9,1996,256455,30
9,1997,258455,27
9,1998,261640,31
9,1999,268154,21
9,2000,271406,35
9,2001,271919,28
9,2002,271663,36
9,2003,271894,30
9,2004,273318,23
9,2005,268624,31
9,2006,268409,28
9,2007,267749,23
9,2008,270435,29
9,2009,272662,27
9,2010,273384,27
9,2011,271746,25
9,2012,274515,22
9,2013,279714,21
9,2014,285527,21
9,2015,297662,24
9,2016,310073,24
9,2017,316132,31
9,2018,318506,23
9,2019,324905,18
9,2020,324145,13
9,2021,326362,22
9,2022,328715,27
9,2023,328961,31
10,1971,260439,72
10,1972,261046,71
10,1973,258136,66
10,1974,256359,74
10,1975,244424,67
10,1976,242216,54
10,1977,244927,57
10,1978,248919,54
10,1979,261286,67
10,1980,262714,70
10,1981,282850,70
10,1982,280163,67
10,1983,266496,56
10,1984,257190,54
10,1985,248865,53
10,1986,242895,43
10,1987,239390,52
10,1988,241462,48
10,1989,242343,47
10,1990,243448,36
10,1991,252907,36
10,1992,253879,33
10,1993,258402,47
10,1994,257942,50
10,1995,258508,37
10,1996,260227,39
10,1997,258265,29
10,1998,260034,38
10,1999,263456,31
10,2000,269486,31
10,2001,273602,27
10,2002,273554,37
10,2003,273368,22
10,2004,273371,30
10,2005,275182,19
10,2006,270658,13
10,2007,271193,25
10,2008,270663,26
10,2009,273358,29
10,2010,274583,27
10,2011,275686,26
10,2012,274005,23
10,2013,276545,16
10,2014,281351,23
10,2015,286621,22
10,2016,299311,23
10,2017,312975,22
10,2018,318709,11
10,2019,321251,24
10,2020,327331,17
10,2021,324615,17
10,2022,328483,19
10,2023,332225,31
11,1971,251642,72
11,1972,262040,76
11,1973,261801,86
11,1974,259225,77
11,1975,257577,83
11,1976,244283,65
11,1977,243452,57
11,1978,246252,70
11,1979,249817,62
11,1980,262882,59
11,1981,264591,50
11,1982,285483,64
11,1983,281867,47
11,1984,267963,65
11,1985,258305,57
11,1986,250423,53
11,1987,245194,45
11,1988,242359,43
11,1989,243979,46
11,1990,244958,34
11,1991,244908,34
11,1992,253783,33
11,1993,254752,33
11,1994,259321,38
11,1995,259324,43
11,1996,259657,48
11,1997,261607,37
11,1998,259995,26
11,1999,261803,32
11,2000,265370,37
11,2001,271105,26
11,2002,274980,25
11,2003,275149,25
11,2004,274827,21
11,2005,275131,30
11,2006,277198,26
11,2007,273184,19
11,2008,273930,18
11,2009,273526,23
11,2010,275412,18
11,2011,276441,12
11,2012,277953,20
11,2013,275857,23
11,2014,278077,27
11,2015,282621,24
11,2016,287662,22
11,2017,301653,14
11,2018,315301,16
11,2019,321418,19
11,2020,323846,19
11,2021,328156,15
11,2022,326470,28
11,2023,331978,27
12,1971,252261,81
12,1972,253269,79
12,1973,263220,79
12,1974,262872,85
12,1975,259833,70
12,1976,258255,78
12,1977,246018,86
12,1978,244631,68
12,1979,247340,47
12,1980,251102,57
12,1981,265214,64
12,1982,266966,75
12,1983,287086,60
