year,month,dead,asmr
2015,1,3712,13.34
2015,2,3381,12.202
2015,3,3876,13.997
2015,4,3693,13.267
2015,5,3814,13.612
2015,6,3715,13.264
2015,7,3777,13.456
2015,8,3906,13.882
2015,9,3700,13.216
2015,10,3779,13.402
2015,11,3655,12.977
2015,12,3814,13.552
2016,1,3758,13.209
2016,2,3595,12.61
2016,3,3818,13.428
2016,4,3729,13.002
2016,5,3894,13.584
2016,6,3814,13.346
2016,7,3952,13.693
2016,8,3805,13.188
2016,9,3629,12.645
2016,10,3858,13.324
2016,11,3696,12.723
2016,12,3904,13.402
2017,1,3845,13.191
2017,2,3493,11.848
2017,3,3918,13.329
2017,4,3782,12.88
2017,5,3886,13.173
2017,6,3759,12.708
2017,7,4111,13.848
2017,8,4031,13.541
2017,9,3829,12.839
2017,10,3860,12.92
2017,11,3794,12.676
2017,12,3870,12.976
2018,1,3806,12.676
2018,2,3517,11.686
2018,3,3961,13.174
2018,4,3686,12.173
2018,5,4077,13.41
2018,6,4028,13.207
2018,7,4054,13.268
2018,8,4122,13.513
2018,9,3810,12.455
2018,10,4055,13.201
2018,11,3788,12.301
2018,12,3921,12.727
2019,1,4072,13.154
2019,2,3772,12.136
2019,3,4138,13.411
2019,4,3941,12.674
2019,5,4069,12.998
2019,6,3990,12.776
2019,7,4046,12.826
2019,8,4023,12.764
2019,9,3898,12.346
2019,10,3995,12.56
2019,11,3960,12.478
2019,12,3940,12.381
2020,1,3992,12.438
2020,2,3872,12.112
2020,3,4068,12.715
2020,4,3892,12.057
2020,5,4130,12.726
2020,6,3853,11.939
2020,7,4204,12.952
2020,8,4025,12.335
2020,9,3968,12.206
2020,10,4100,12.494
2020,11,4026,12.302
2020,12,4164,12.74
2021,1,4043,12.221
2021,2,3766,11.37
2021,3,4201,12.712
2021,4,3984,11.965
2021,5,4330,13
2021,6,4032,12.111
2021,7,4359,12.943
2021,8,4283,12.782
2021,9,4125,12.327
2021,10,4124,12.254
2021,11,4132,12.255
2021,12,4230,12.544
2022,1,4266,12.508
2022,2,3816,11.303
2022,3,4306,12.677
2022,4,4090,11.964
2022,5,4350,12.753
2022,6,4206,12.27
2022,7,4309,12.546
2022,8,4435,12.908
2022,9,4114,11.934
2022,10,4264,12.323
2022,11,4101,11.8
2022,12,4114,11.847
2023,1,4153,11.914
2023,2,3858,11.055
2023,3,4426,12.682
2023,4,4199,12.016
2023,5,4469,12.748
2023,6,4246,12.071
2023,7,4372,12.361
2023,8,4318,12.19
2023,9,4129,11.659
2023,10,4243,11.891
2023,11,4253,11.916
2023,12,4377,12.278
