age,survivors,deaths,death_per_thousand,years_lived,projection_probability,life_expectancy
0,100000,339,3.38721,99681,0.9997211,83.389
1,99661,16,0.15683,99653,0.9998479,82.671
2,99646,15,0.14743,99638,0.9998573,81.683
3,99631,14,0.13804,99624,0.9998667,80.695
4,99617,13,0.12864,99611,0.9998846,79.707
5,99604,10,0.10225,99599,0.9999004,78.717
6,99594,10,0.09685,99589,0.9999059,77.725
7,99585,9,0.09145,99580,0.9999113,76.732
8,99575,9,0.08604,99571,0.9999167,75.739
9,99567,8,0.08064,99563,0.999929,74.746
10,99559,6,0.0613,99556,0.9999409,73.752
11,99553,6,0.05685,99550,0.9999454,72.756
12,99547,5,0.0524,99544,0.9999429,71.76
13,99542,6,0.06171,99539,0.9999268,70.764
14,99536,8,0.08478,99532,0.9998849,69.768
15,99527,14,0.14544,99520,0.999839,68.774
16,0,0,809.16477,0,0.1871746,0.728
16,99513,18,0.17649,99504,0.999808,67.784
17,99495,21,0.20754,99485,0.9997759,66.796
18,99475,24,0.24075,99463,0.9997416,65.81
19,99451,27,0.2761,99437,0.9997004,64.825
20,99423,32,0.3232,99407,0.9996582,63.843
21,99391,36,0.3605,99373,0.9996209,62.864
22,99355,40,0.39778,99335,0.9995973,61.886
23,99316,40,0.4076,99295,0.9996012,60.911
24,99275,39,0.38999,99256,0.9996485,59.935
25,99237,31,0.31309,99221,0.9996933,58.958
26,99205,30,0.30039,99191,0.999706,57.977
27,99176,29,0.28769,99161,0.9997102,56.994
28,99147,29,0.29181,99133,0.9996977,56.01
29,99118,31,0.31274,99103,0.9996621,55.026
30,99087,36,0.36298,99069,0.9996257,54.044
31,99051,38,0.3856,99032,0.9996031,53.063
32,99013,40,0.40821,98993,0.999578,52.083
33,98973,43,0.43583,98951,0.9995479,51.104
34,98929,46,0.46846,98906,0.9995159,50.126
35,98883,49,0.49971,98858,0.999484,49.15
36,98834,53,0.53223,98807,0.9994515,48.174
37,98781,56,0.56475,98753,0.9994142,47.199
38,98725,60,0.60691,98695,0.9993672,46.226
39,98665,65,0.65872,98633,0.9993183,45.254
40,98600,69,0.70462,98566,0.9992697,44.283
41,98531,74,0.75604,98494,0.9992183,43.314
42,98456,79,0.80746,98417,0.999154,42.346
43,98377,87,0.88455,98333,0.9990641,41.38
44,98290,97,0.98732,98241,0.9989571,40.416
45,98193,108,1.09855,98139,0.9988496,39.456
46,98085,118,1.20234,98026,0.9987458,38.499
47,97967,128,1.30612,97903,0.9986217,37.544
48,97839,142,1.4506,97768,0.9984569,36.593
49,97697,160,1.63575,97617,0.9982559,35.645
50,97537,181,1.85266,97447,0.998053,34.703
51,97357,199,2.04142,97257,0.9978643,33.766
52,97158,217,2.23008,97050,0.9976614,32.834
53,96941,237,2.44738,96823,0.9974298,31.907
54,96704,260,2.69334,96574,0.9972059,30.984
55,96444,279,2.89516,96304,0.996984,30.066
56,96164,302,3.13729,96013,0.9967419,29.152
