reposter,reposted,count,reposter_likely_hybrid_or_not_bot
_blue25a11,_aussie17,3,F
_blue25a11,_blue25a11,78,F
_blue25a11,aasssdddaaa,1,F
_blue25a11,adagio4cello,1,F
_blue25a11,alexbruesewitz,2,F
_blue25a11,AlinaHabba,2,F
_blue25a11,alx,1,F
_blue25a11,AmericanHubener,1,F
_blue25a11,AndersonAfDMdEP,2,F
_blue25a11,ANTlWEF,1,F
_blue25a11,BBarucker,1,F
_blue25a11,BehizyTweets,4,F
_blue25a11,BGatesIsaPyscho,9,F
_blue25a11,BigFish3000,1,F
_blue25a11,bobby_verlaine,1,F
_blue25a11,britehong,6,F
_blue25a11,Brucekah1,1,F
_blue25a11,bud_cann,1,F
_blue25a11,cb_doge,2,F
_blue25a11,charliekirk11,1,F
_blue25a11,cheonchanglyong,1,F
_blue25a11,Chicago1Ray,1,F
_blue25a11,chunkuknagene,2,F
_blue25a11,CitizenFreePres,1,F
_blue25a11,CollinRugg,6,F
_blue25a11,COREA_FREEDOM,6,F
_blue25a11,Councillorsuzie,1,F
_blue25a11,CraigKellyPHON,2,F
_blue25a11,CWadae,3,F
_blue25a11,DesireeAmerica4,1,F
_blue25a11,DineshDSouza,1,F
_blue25a11,DonaldJTrumpJr,2,F
_blue25a11,DonaldTNews,2,F
_blue25a11,dongho8888,2,F
_blue25a11,drefanzor,1,F
_blue25a11,elonmusk,23,F
_blue25a11,ElonMuskAOC,6,F
_blue25a11,EndWokeness,1,F
_blue25a11,EpochTimes,7,F
_blue25a11,FairElectFund,1,F
_blue25a11,gatewaypundit,16,F
_blue25a11,GenFlynn,2,F
_blue25a11,ggabbugga,1,F
_blue25a11,goddeketal,3,F
_blue25a11,GuntherEagleman,1,F
_blue25a11,hongjinhwa2404,1,F
_blue25a11,Huberton,1,F
_blue25a11,ImMeme0,2,F
_blue25a11,JamesOKeefeIII,3,F
_blue25a11,JDunlap1974,3,F
_blue25a11,jelogui83,1,F
_blue25a11,jhKim_Catherine,2,F
_blue25a11,Jim_Jordan,2,F
_blue25a11,JudiciaryGOP,1,F
_blue25a11,julie_kelly2,6,F
_blue25a11,KaceeRAllen,1,F
_blue25a11,KanekoaTheGreat,1,F
_blue25a11,KariLake,2,F
_blue25a11,KenPaxtonTX,1,F
_blue25a11,kim00409544,1,F
_blue25a11,kylenabecker,2,F
_blue25a11,LaraLeaTrump,1,F
_blue25a11,LauraLoomer,9,F
_blue25a11,lawrie_dr,1,F
_blue25a11,LeadingReport,3,F
_blue25a11,lifebiomedguru,1,F
_blue25a11,liz_churchill10,1,F
_blue25a11,MAGAIncWarRoom,1,F
_blue25a11,MakisMD,1,F
_blue25a11,MarioNawfal,19,F
_blue25a11,mazemoore,1,F
_blue25a11,michaeljknowles,1,F
_blue25a11,minkyungwook,2,F
_blue25a11,minwoon,1,F
_blue25a11,MJTruthUltra,1,F
_blue25a11,myletrinh123,2,F
_blue25a11,NEWSMAX,1,F
_blue25a11,newstart_2024,1,F
_blue25a11,ninnyd101,1,F
_blue25a11,OlgaBazova,1,F
_blue25a11,OliLondonTV,1,F
_blue25a11,PeterBernegger,3,F
_blue25a11,PeterSweden7,10,F
_blue25a11,Rasmussen_Poll,17,F
_blue25a11,Real_RobN,1,F
_blue25a11,RealAF_Patriot,1,F
_blue25a11,RealAlexJones,2,F
_blue25a11,RealAmVoice,1,F
_blue25a11,realJoelFischer,1,F
_blue25a11,realLizUSA,1,F
_blue25a11,realMikeLindell,2,F
_blue25a11,RealPatrickWebb,2,F
_blue25a11,RealPizzaPepe,1,F
_blue25a11,RealSaavedra,1,F
_blue25a11,RepMTG,1,F
_blue25a11,RepThomasMassie,1,F
_blue25a11,RepTimBurchett,1,F
_blue25a11,RightHand5,1,F
_blue25a11,Riley_Gaines_,1,F
_blue25a11,robbystarbuck,1,F
_blue25a11,RobertKennedyJr,1,F
_blue25a11,robinmonotti,1,F
_blue25a11,RPl5ODtdC1JKqZd,14,F
_blue25a11,RudyGiuliani,1,F
_blue25a11,saitama_5992,2,F
_blue25a11,shellenberger,1,F
_blue25a11,SheriffLeaf,2,F
_blue25a11,SidneyPowell1,4,F
_blue25a11,simonateba,2,F
_blue25a11,SteveLovesAmmo,2,F
_blue25a11,Suzy_1776,1,F
_blue25a11,Syoko56390,1,F
_blue25a11,The_truth_eye,1,F
_blue25a11,TheBabylonBee,9,F
_blue25a11,TheChiefNerd,1,F
_blue25a11,thevivafrei,2,F
_blue25a11,Travis_4_Trump,4,F
_blue25a11,TuckerCarlson,10,F
_blue25a11,UsaFeatures,1,F
_blue25a11,usanews0,1,F
_blue25a11,VigilantFox,3,F
_blue25a11,VivekGRamaswamy,5,F
_blue25a11,WallStreetSilv,2,F
_blue25a11,WatchChad,1,F
_blue25a11,wideawake_media,10,F
_blue25a11,XfmxdYyCQggEm9U,1,F
_blue25a11,yuyutraveler,1,F
23xing1,_BlakeHabyan,3,F
23xing1,1NO0F20S05zEM51,1,F
23xing1,369Jessica369,2,F
23xing1,3ADNJ2EBCJY9OR5,1,F
23xing1,435hz,1,F
23xing1,9mQXZ3rpbMA48zL,1,F
23xing1,aboluowang,1,F
23xing1,AgainCarlakak,1,F
23xing1,Agdchan,1,F
23xing1,Agent131711,1,F
23xing1,aiyoutianyi,1,F
23xing1,akb8964,5,F
23xing1,alifarhat79,1,F
23xing1,Alphafox78,1,F
23xing1,alx,1,F
23xing1,amuse,1,F
23xing1,angeloinchina,2,F
23xing1,antiDSforever,1,F
23xing1,ANTlWEF,1,F
23xing1,argosaki,1,F
23xing1,bambkb,9,F
23xing1,Bao2022001,1,F
23xing1,Baoliaogeming64,4,F
23xing1,be_passersby,1,F
23xing1,bearbig,1,F
23xing1,BeiJing_LV,1,F
23xing1,bennyjohnson,3,F
23xing1,BGatesIsaPyscho,11,F
23xing1,BillGates,1,F
23xing1,bitfool1,1,F
23xing1,Blue22Dave,1,F
23xing1,BoDiplo,1,F
23xing1,BoomingBB,1,F
23xing1,Botidos,1,F
23xing1,CaoChangqing,14,F
23xing1,capTercio,1,F
23xing1,CartlandDavid,1,F
23xing1,catsscareme2021,1,F
23xing1,chenjunnyc,4,F
23xing1,cheyennexli,1,F
23xing1,ChooLucia,4,F
23xing1,chunhuidadi,1,F
23xing1,claudechen16,1,F
23xing1,CM05k6syOX777XN,1,F
23xing1,CollinRugg,5,F
23xing1,cosminDZS,1,F
23xing1,cowboyspirit_01,1,F
23xing1,CraigKellyPHON,1,F
23xing1,creepydotorg,1,F
23xing1,Culture_Crit,1,F
23xing1,david_david1968,1,F
23xing1,DC_Draino,2,F
23xing1,DD_Geopolitics,1,F
23xing1,Deborah07849071,1,F
23xing1,DeepBlueCrypto,2,F
23xing1,dejanirasilveir,20,F
23xing1,DesiSanatani,3,F
23xing1,DiedSuddenly_,3,F
23xing1,DineshDSouza,1,F
23xing1,djhxiaoming,1,F
23xing1,dom_lucre,1,F
23xing1,DonaldTNews,1,F
23xing1,DougAMacgregor,1,F
23xing1,DrEliDavid,3,F
23xing1,DrLoupis,4,F
23xing1,dsgohell,3,F
23xing1,Duomaomao00,1,F
23xing1,dw_chinese,2,F
23xing1,Earstohearyou,1,F
23xing1,edisoncomeon,1,F
23xing1,ElaineYuMuMu,10,F
23xing1,elonmusk,7,F
23xing1,ElonMuskAOC,3,F
23xing1,EndWokeness,4,F
23xing1,enjoygracelife,2,F
23xing1,Eric_Naish,1,F
23xing1,EricTrump,1,F
23xing1,EvaVlaar,2,F
23xing1,Family_viralvid,1,F
23xing1,FernandoGilSan2,1,F
23xing1,FinanceYF5,3,F
23xing1,forestcui07,2,F
23xing1,Freda8991,2,F
23xing1,FredDiBiase247,1,F
23xing1,fuzzyface,1,F
23xing1,Fxhedgers,1,F
23xing1,GaoFalin,1,F
23xing1,GeneGao11,1,F
23xing1,GeorgePapa19,1,F
23xing1,goddeketal,1,F
23xing1,greg_price11,1,F
23xing1,GUnderground_TV,1,F
23xing1,guyinspace,1,F
23xing1,HarbourneKiran,4,F
23xing1,HeQinglian,25,F
23xing1,historyinmemes,1,F
23xing1,Hnbhger17,1,F
23xing1,Hong1206_tw,1,F
23xing1,HotmailfromSH,2,F
23xing1,i007antiques1,1,F
23xing1,iluminatibot,7,F
23xing1,Inversionism,1,F
23xing1,isource_news,1,F
23xing1,itsme_urstruly,1,F
23xing1,jacksonhinklle,3,F
23xing1,Jacob43817149,12,F
23xing1,Jam79922967,1,F
23xing1,Jasmine62683951,1,F
23xing1,JesseBWatters,1,F
23xing1,Jessie2021626,5,F
23xing1,JimFergusonUK,20,F
23xing1,JinJack14,1,F
23xing1,JourneymanChina,1,F
23xing1,kaiyan_1,1,F
23xing1,KanekoaTheGreat,6,F
23xing1,Kanthan2030,2,F
23xing1,KariLakeWarRoom,1,F
23xing1,KELMAND1,3,F
23xing1,kevinhung2,11,F
23xing1,KevinWVanHorn,1,F
23xing1,KimDotcom,1,F
23xing1,KSFAN1,4,F
23xing1,Kunluntalk,10,F
23xing1,kylenabecker,1,F
23xing1,Lala_Deesky,14,F
23xing1,laobaishare,1,F
23xing1,laohei789,2,F
23xing1,LauraLoomer,2,F
23xing1,lawyerguo,1,F
23xing1,LBasemi,1,F
23xing1,LeadingReport,1,F
23xing1,leonzhao0215,1,F
23xing1,lex_is_lex_,1,F
23xing1,lexielovesJesus,2,F
23xing1,lianghuiwang2,1,F
23xing1,liangziyueqian1,1,F
23xing1,Linda82982011,1,F
23xing1,liz_churchill10,9,F
23xing1,LoneTraveler111,2,F
23xing1,LQ0068,1,F
23xing1,LUOXIANGZY,1,F
23xing1,lydia488144315,1,F
23xing1,mackintracey1,1,F
23xing1,MarioNawfal,3,F
23xing1,maryann_3040,1,F
23xing1,matttttt187,3,F
23xing1,MattWallace888,10,F
23xing1,MAVERIC68078049,1,F
23xing1,Megatron_ron,1,F
23xing1,mhwus,1,F
23xing1,Michael_0319,1,F
23xing1,mislavkolakusic,1,F
23xing1,MJTruthUltra,1,F
23xing1,mooncave3,1,F
23xing1,MrJerryGoode,1,F
23xing1,mtaibbi,1,F
23xing1,mtgreenee,1,F
23xing1,Mydoglucky2,6,F
23xing1,MyLordBebo,1,F
23xing1,narrative_hole,1,F
23xing1,newstart_2024,3,F
23xing1,NiKiTa_32156,1,F
23xing1,Nobody197575,6,F
23xing1,nuanxin8,10,F
23xing1,oak22222,7,F
23xing1,OliLondonTV,2,F
23xing1,OV_Matter,1,F
23xing1,OVNIS_UFOs,2,F
23xing1,PatBarn12394576,1,F
23xing1,PC28559050,1,F
23xing1,peacemaket71,2,F
23xing1,PeterSweden7,13,F
23xing1,PPC_CANADA2,1,F
23xing1,PPC_CANADA3,1,F
23xing1,PPC_CANADA4,1,F
23xing1,Prolotario1,5,F
23xing1,proverbs0910,2,F
23xing1,PunishDem1776,26,F
23xing1,QFs_Global,1,F
23xing1,QQzk_prs,2,F
23xing1,quoi2023,1,F
23xing1,RachelRui2,3,F
23xing1,RadioGenoa,20,F
23xing1,Rainmaker1973,1,F
23xing1,RandomTheGuy_,1,F
23xing1,raycat2021,1,F
23xing1,Real_RobN,1,F
23xing1,RealJohnnyYu,32,F
23xing1,realstewpeters,1,F
23xing1,realTaoRay,4,F
23xing1,Rebecca68467509,2,F
23xing1,Red_Pill_US,1,F
23xing1,RedpillDrifter,2,F
23xing1,ReiwaLuna06013,2,F
23xing1,remonwangxt,1,F
23xing1,Resist_05,8,F
23xing1,Restitutor_,1,F
23xing1,ReturnOfKappy,1,F
23xing1,ricwe123,2,F
23xing1,RNCResearch,1,F
23xing1,robinmonotti,2,F
23xing1,RocArcher,1,F
23xing1,SaiKate108,2,F
23xing1,SalmanTorsum,1,F
23xing1,Sam20210206,1,F
23xing1,seanwei001,1,F
23xing1,ShadowofEzra,3,F
23xing1,shell_zipi,3,F
23xing1,shellenberger,1,F
23xing1,shijinxia,1,F
23xing1,shiwuqianli4,2,F
23xing1,shoukaku999,1,F
23xing1,Shunyaa00,1,F
23xing1,simonateba,1,F
23xing1,SmallnoD,5,F
23xing1,snaptwiceontw,1,F
23xing1,SpartaJustice,15,F
23xing1,Spiro_Ghost,1,F
