year,age,cases
1999,0,874
1999,1,2986
1999,5,2236
1999,10,2478
1999,15,3887
1999,20,6010
1999,25,10095
1999,30,17022
1999,35,29745
1999,40,49724
1999,45,72172
1999,50,100663
1999,55,122848
1999,60,145634
1999,65,180126
1999,70,200657
1999,75,181242
1999,80,120791
1999,85,95337
2000,0,900
2000,1,3104
2000,5,2311
2000,10,2528
2000,15,4109
2000,20,6180
2000,25,10360
2000,30,17120
2000,35,30347
2000,40,51460
2000,45,75752
2000,50,107667
2000,55,128866
2000,60,149798
2000,65,179222
2000,70,200544
2000,75,182514
2000,80,124304
2000,85,97562
2001,0,980
2001,1,3281
2001,5,2308
2001,10,2751
2001,15,4317
2001,20,6625
2001,25,10313
2001,30,17724
2001,35,30298
2001,40,53256
2001,45,78075
2001,50,113880
2001,55,135425
2001,60,155032
2001,65,182864
2001,70,202986
2001,75,189053
2001,80,130020
2001,85,102406
2002,0,960
2002,1,3266
2002,5,2375
2002,10,2670
2002,15,4434
2002,20,6883
2002,25,10472
2002,30,17890
2002,35,29508
2002,40,53441
2002,45,80673
2002,50,114796
2002,55,144537
2002,60,160792
2002,65,182198
2002,70,198906
2002,75,187844
2002,80,134434
2002,85,103207
2003,0,998
2003,1,3248
2003,5,2247
2003,10,2735
2003,15,4448
2003,20,6983
2003,25,10478
2003,30,17979
2003,35,29443
2003,40,54440
2003,45,83785
2003,50,116112
2003,55,147731
2003,60,165124
2003,65,182860
2003,70,193228
2003,75,187784
2003,80,137365
2003,85,106516
2004,0,1016
2004,1,3516
2004,5,2329
2004,10,2865
2004,15,4596
2004,20,7270
2004,25,10752
2004,30,18436
2004,35,29239
2004,40,54939
2004,45,86632
2004,50,119800
2004,55,153252
2004,60,171201
2004,65,186682
2004,70,190352
2004,75,186004
2004,80,141274
2004,85,107823
2005,0,987
2005,1,3423
2005,5,2303
2005,10,2763
2005,15,4774
2005,20,7484
2005,25,11502
2005,30,18089
2005,35,29489
2005,40,54994
2005,45,88397
2005,50,123182
2005,55,161076
2005,60,176484
2005,65,190347
2005,70,190199
2005,75,186250
2005,80,143607
2005,85,112161
2006,0,1058
2006,1,3398
2006,5,2372
2006,10,2848
2006,15,4715
2006,20,7529
2006,25,11786
2006,30,17663
2006,35,29906
2006,40,54999
2006,45,90532
2006,50,127655
2006,55,170349
2006,60,183793
2006,65,198254
2006,70,193028
2006,75,186018
2006,80,144417
2006,85,115384
2007,0,1087
2007,1,3608
2007,5,2442
2007,10,2776
2007,15,4900
2007,20,7704
2007,25,12360
2007,30,17666
2007,35,30247
2007,40,54249
2007,45,92348
2007,50,133887
2007,55,173354
2007,60,200662
2007,65,209675
2007,70,196196
2007,75,186044
2007,80,146226
2007,85,119278
2008,0,1104
2008,1,3664
2008,5,2565
2008,10,2776
2008,15,4932
2008,20,7770
2008,25,12551
2008,30,18385
2008,35,30982
2008,40,53484
2008,45,93826
2008,50,138064
2008,55,175125
2008,60,206532
2008,65,217503
2008,70,197381
2008,75,182234
2008,80,146471
2008,85,124683
2009,0,1054
2009,1,3627
2009,5,2538
2009,10,2832
2009,15,4953
2009,20,7916
2009,25,12964
2009,30,18955
2009,35,30596
2009,40,53176
2009,45,94471
2009,50,141813
2009,55,178015
2009,60,214782
2009,65,224767
2009,70,200256
2009,75,177961
2009,80,143698
2009,85,125690
2010,0,1043
2010,1,3811
2010,5,2706
2010,10,2951
2010,15,4802
2010,20,7917
2010,25,12894
2010,30,18997
2010,35,29515
2010,40,51536
2010,45,90291
2010,50,139790
2010,55,178795
2010,60,218190
2010,65,226669
2010,70,200706
2010,75,175008
2010,80,141679
2010,85,126981
2011,0,1012
2011,1,3803
2011,5,2736
2011,10,2934
2011,15,4907
2011,20,8098
2011,25,12912
2011,30,19435
2011,35,28831
2011,40,52117
2011,45,88876
2011,50,141555
2011,55,184131
2011,60,228676
2011,65,235755
2011,70,206426
2011,75,176634
2011,80,142722
2011,85,129966
2012,0,1054
2012,1,3794
2012,5,2591
2012,10,2985
2012,15,4998
2012,20,8267
2012,25,13337
2012,30,20400
2012,35,28901
2012,40,52273
2012,45,86451
2012,50,139440
2012,55,184404
2012,60,221727
2012,65,243265
2012,70,207838
2012,75,173770
2012,80,138223
2012,85,130353
2013,0,1133
2013,1,3672
2013,5,2721
2013,10,3049
2013,15,4732
2013,20,8355
2013,25,13165
2013,30,20739
2013,35,29407
2013,40,52310
2013,45,84119
2013,50,139886
2013,55,188621
2013,60,223839
2013,65,252908
2013,70,219897
2013,75,178611
2013,80,138824
2013,85,133164
2014,0,1123
2014,1,3655
2014,5,2828
2014,10,3199
2014,15,4978
2014,20,8744
2014,25,13857
2014,30,21419
2014,35,30306
2014,40,51938
2014,45,82685
2014,50,140220
2014,55,193188
2014,60,230069
2014,65,259688
2014,70,225972
2014,75,180988
2014,80,136222
2014,85,134858
2015,0,1173
2015,1,3783
2015,5,2845
2015,10,3186
2015,15,5272
2015,20,8411
2015,25,14202
2015,30,22342
