year,age,race,dead,pop
2020,0,White,,9347920
2020,0,Hispanic,12,4755465
2020,0,Black or African American,,2681631
2020,0,Asian,,1088502
2020,0,American Indian or Alaska Native,,147997
2020,0,Native Hawaiian or Other Pacific Islander,,44258
2020,0,More than one race,,991183
2020,5,White,12,20301571
2020,5,Hispanic,18,10370200
2020,5,Black or African American,17,5638333
2020,5,Asian,,2192457
2020,5,American Indian or Alaska Native,,341411
2020,5,Native Hawaiian or Other Pacific Islander,,86019
2020,5,More than one race,,1891171
2020,15,White,112,22391838
2020,15,Hispanic,206,10013713
2020,15,Black or African American,133,5893959
2020,15,Asian,16,2346517
2020,15,American Indian or Alaska Native,16,357305
2020,15,Native Hawaiian or Other Pacific Islander,,84723
2020,15,More than one race,,1467629
2020,25,White,464,25067058
2020,25,Hispanic,932,9627323
2020,25,Black or African American,580,6600459
2020,25,Asian,86,3215568
2020,25,American Indian or Alaska Native,124,379426
2020,25,Native Hawaiian or Other Pacific Islander,28,103065
2020,25,More than one race,17,1076747
2020,35,White,1177,23794741
2020,35,Hispanic,2855,8742890
2020,35,Black or African American,1498,5395849
2020,35,Asian,240,3094108
2020,35,American Indian or Alaska Native,218,306092
2020,35,Native Hawaiian or Other Pacific Islander,46,92827
2020,35,More than one race,24,709685
2020,45,White,4644,24532589
2020,45,Hispanic,7010,7250232
2020,45,Black or African American,4051,5042472
2020,45,Asian,630,2663370
2020,45,American Indian or Alaska Native,455,282848
2020,45,Native Hawaiian or Other Pacific Islander,92,73322
2020,45,More than one race,77,521300
2020,55,White,16471,29200078
2020,55,Hispanic,12853,5255928
2020,55,Black or African American,9947,4990093
2020,55,Asian,1624,2147171
2020,55,American Indian or Alaska Native,869,299713
2020,55,Native Hawaiian or Other Pacific Islander,161,64957
2020,55,More than one race,163,445737
2020,65,White,39893,24236857
2020,65,Hispanic,16281,2978586
2020,65,Black or African American,15480,3246374
2020,65,Asian,3002,1561105
2020,65,American Indian or Alaska Native,1163,201422
2020,65,Native Hawaiian or Other Pacific Islander,167,41017
2020,65,More than one race,286,284037
2020,75,White,63635,12691925
2020,75,Hispanic,14443,1368466
2020,75,Black or African American,14327,1413506
2020,75,Asian,3352,749059
2020,75,American Indian or Alaska Native,908,87254
2020,75,Native Hawaiian or Other Pacific Islander,89,17209
2020,75,More than one race,270,124128
2020,85,White,83566,5208813
2020,85,Hispanic,10581,534768
2020,85,Black or African American,10791,524665
2020,85,Asian,3817,309340
2020,85,American Indian or Alaska Native,511,28870
2020,85,Native Hawaiian or Other Pacific Islander,42,6110
2020,85,More than one race,213,45854
2021,0,White,50,9073904
2021,0,Hispanic,37,4653123
2021,0,Black or African American,39,2631254
2021,0,Asian,,1057027
2021,0,American Indian or Alaska Native,,142699
2021,0,Native Hawaiian or Other Pacific Islander,,43451
2021,0,More than one race,,977306
2021,5,White,51,20590610
2021,5,Hispanic,39,10708903
2021,5,Black or African American,33,5742079
2021,5,Asian,,2262735
2021,5,American Indian or Alaska Native,,343560
2021,5,Native Hawaiian or Other Pacific Islander,,88514
2021,5,More than one race,,1956598
2021,15,White,538,22513594
2021,15,Hispanic,397,10302169
2021,15,Black or African American,332,5946466
2021,15,Asian,51,2348886
2021,15,American Indian or Alaska Native,34,361025
2021,15,Native Hawaiian or Other Pacific Islander,,85928
2021,15,More than one race,25,1530595
2021,25,White,2362,24615425
2021,25,Hispanic,1886,9585266
2021,25,Black or African American,1401,6550730
2021,25,Asian,201,3150525
2021,25,American Indian or Alaska Native,153,376674
2021,25,Native Hawaiian or Other Pacific Islander,60,101076
2021,25,More than one race,55,1115409
2021,35,White,6714,24479915
2021,35,Hispanic,4946,8995033
2021,35,Black or African American,3307,5574092
2021,35,Asian,414,3199693
2021,35,American Indian or Alaska Native,350,315125
2021,35,Native Hawaiian or Other Pacific Islander,119,97162
2021,35,More than one race,142,742834
2021,45,White,18438,24433257
2021,45,Hispanic,9678,7527470
2021,45,Black or African American,6727,5070664
2021,45,Asian,923,2760545
2021,45,American Indian or Alaska Native,654,282998
2021,45,Native Hawaiian or Other Pacific Islander,216,75268
2021,45,More than one race,243,538234
2021,55,White,42745,29172280
2021,55,Hispanic,15045,5530981
2021,55,Black or African American,12291,5065954
2021,55,Asian,1915,2210725
2021,55,American Indian or Alaska Native,1103,301649
2021,55,Native Hawaiian or Other Pacific Islander,256,67168
2021,55,More than one race,368,454307
2021,65,White,66620,24918506
2021,65,Hispanic,16274,3156522
2021,65,Black or African American,14725,3400038
2021,65,Asian,3248,1636070
2021,65,American Indian or Alaska Native,1199,210700
2021,65,Native Hawaiian or Other Pacific Islander,229,43368
2021,65,More than one race,418,300918
2021,75,White,71219,12425430
2021,75,Hispanic,12540,1387000
2021,75,Black or African American,10571,1395105
2021,75,Asian,3227,761842
2021,75,American Indian or Alaska Native,752,89126
2021,75,Native Hawaiian or Other Pacific Islander,135,18258
2021,75,More than one race,353,129314
2021,85,White,63020,4610510
2021,85,Hispanic,7768,505670
2021,85,Black or African American,6701,482154
2021,85,Asian,2796,297853
2021,85,American Indian or Alaska Native,374,28360
2021,85,Native Hawaiian or Other Pacific Islander,61,6053
2021,85,More than one race,205,45156
2022,0,White,97,8769504
2022,0,Hispanic,41,4890900
2022,0,Black or African American,66,2657538
2022,0,Asian,,1052893
2022,0,American Indian or Alaska Native,,131927
2022,0,Native Hawaiian or Other Pacific Islander,,41992
2022,0,More than one race,,972038
2022,5,White,57,20036788
2022,5,Hispanic,32,10158765
2022,5,Black or African American,22,5636208
2022,5,Asian,,2294232
2022,5,American Indian or Alaska Native,,326762
2022,5,Native Hawaiian or Other Pacific Islander,,88900
2022,5,More than one race,,1952799
2022,15,White,206,22919973
2022,15,Hispanic,97,10797120
2022,15,Black or African American,104,6090814
2022,15,Asian,13,2467427
2022,15,American Indian or Alaska Native,10,363016
2022,15,Native Hawaiian or Other Pacific Islander,,89182
2022,15,More than one race,,1614039
2022,25,White,752,24386592
2022,25,Hispanic,363,9707650
2022,25,Black or African American,387,6561025
2022,25,Asian,58,3210978
2022,25,American Indian or Alaska Native,38,370427
2022,25,Native Hawaiian or Other Pacific Islander,,100018
2022,25,More than one race,24,1164610
2022,35,White,1882,24515598
2022,35,Hispanic,898,9066900
2022,35,Black or African American,794,5631165
2022,35,Asian,102,3301564
2022,35,American Indian or Alaska Native,91,313321
2022,35,Native Hawaiian or Other Pacific Islander,20,99182
2022,35,More than one race,39,767635
2022,45,White,5529,23965135
2022,45,Hispanic,1885,7673597
2022,45,Black or African American,1725,5040591
2022,45,Asian,227,2845207
2022,45,American Indian or Alaska Native,173,277234
2022,45,Native Hawaiian or Other Pacific Islander,44,76472
2022,45,More than one race,78,553409
2022,55,White,15886,28363370
2022,55,Hispanic,3413,5658104
2022,55,Black or African American,3870,4997564
2022,55,Asian,512,2248868
2022,55,American Indian or Alaska Native,355,292846
2022,55,Native Hawaiian or Other Pacific Islander,58,67863
2022,55,More than one race,141,456822
2022,65,White,30048,24782192
2022,65,Hispanic,4564,3269070
2022,65,Black or African American,5700,3469908
2022,65,Asian,1038,1692813
2022,65,American Indian or Alaska Native,443,214361
2022,65,Native Hawaiian or Other Pacific Islander,68,45509
2022,65,More than one race,184,314586
2022,75,White,39545,13477685
2022,75,Hispanic,4546,1475743
2022,75,Black or African American,5043,1476815
2022,75,Asian,1446,827244
2022,75,American Indian or Alaska Native,366,98025
2022,75,Native Hawaiian or Other Pacific Islander,54,19959
2022,75,More than one race,175,145074
2022,85,White,41829,5009129
2022,85,Hispanic,4580,540356
2022,85,Black or African American,4261,508843
2022,85,Asian,2040,334799
2022,85,American Indian or Alaska Native,209,33053
2022,85,Native Hawaiian or Other Pacific Islander,30,6851
2022,85,More than one race,114,52837
2023,0,White,32,8769504
2023,0,Hispanic,10,4830835
2023,0,Black or African American,28,2657538
2023,0,Asian,,1052893
2023,0,American Indian or Alaska Native,,131927
2023,0,Native Hawaiian or Other Pacific Islander,,41992
2023,0,More than one race,,972038
2023,5,White,24,20036788
2023,5,Hispanic,10,10563345
2023,5,Black or African American,,5636208
2023,5,Asian,,2294232
2023,5,American Indian or Alaska Native,,326762
2023,5,Native Hawaiian or Other Pacific Islander,,88900
2023,5,More than one race,,1952799
2023,15,White,43,22919973
2023,15,Hispanic,18,10797120
2023,15,Black or African American,15,6090814
2023,15,Asian,,2467427
2023,15,American Indian or Alaska Native,,363016
2023,15,Native Hawaiian or Other Pacific Islander,,89182
2023,15,More than one race,,1614039
2023,25,White,120,24386592
2023,25,Hispanic,36,9707650
2023,25,Black or African American,64,6561025
2023,25,Asian,,3210978
2023,25,American Indian or Alaska Native,,370427
2023,25,Native Hawaiian or Other Pacific Islander,,100018
2023,25,More than one race,,1164610
