age,date,dead,pop
65,2020-01,34,45870
65,2020-02,32,45675
65,2020-03,40,45520
65,2020-04,61,45381
65,2020-05,52,45273
65,2020-06,48,45186
65,2020-07,49,45125
65,2020-08,44,45085
65,2020-09,33,45067
65,2020-10,42,45069
65,2020-11,48,45091
65,2020-12,49,45129
65,2021-01,67,45185
65,2021-02,34,45256
65,2021-03,46,45333
65,2021-04,42,45431
65,2021-05,43,45536
65,2021-06,41,45656
65,2021-07,29,45781
65,2021-08,30,45918
65,2021-09,38,46062
65,2021-10,54,46206
65,2021-11,44,46359
65,2021-12,45,46511
65,2022-01,63,46669
65,2022-02,50,46827
65,2022-03,36,46969
65,2022-04,35,47125
65,2022-05,38,47273
65,2022-06,43,47421
65,2022-07,36,47559
65,2022-08,45,47695
65,2022-09,34,47822
65,2022-10,48,47936
65,2022-11,46,48043
65,2022-12,43,48135
65,2023-01,36,48217
65,2023-02,42,48284
65,2023-03,29,48331
65,2023-04,44,48367
65,2023-05,33,48384
65,2023-06,37,48382
65,2023-07,38,48361
65,2023-08,43,48317
65,2023-09,42,48249
65,2023-10,36,48161
65,2023-11,45,48043
65,2023-12,55,47904
66,2020-01,48,41562
66,2020-02,33,41853
66,2020-03,42,42104
66,2020-04,68,42351
66,2020-05,55,42569
66,2020-06,50,42774
66,2020-07,39,42954
66,2020-08,30,43123
66,2020-09,27,43274
66,2020-10,39,43406
66,2020-11,53,43529
66,2020-12,56,43634
66,2021-01,61,43731
66,2021-02,46,43818
66,2021-03,47,43887
66,2021-04,39,43956
66,2021-05,54,44015
66,2021-06,50,44071
66,2021-07,41,44119
66,2021-08,35,44165
66,2021-09,48,44209
66,2021-10,47,44249
66,2021-11,44,44291
66,2021-12,48,44331
66,2022-01,57,44375
66,2022-02,43,44422
66,2022-03,49,44468
66,2022-04,40,44525
66,2022-05,52,44585
66,2022-06,40,44656
66,2022-07,40,44732
66,2022-08,35,44821
66,2022-09,47,44921
66,2022-10,39,45030
66,2022-11,52,45155
66,2022-12,54,45291
66,2023-01,38,45447
66,2023-02,46,45620
66,2023-03,31,45791
66,2023-04,37,46000
66,2023-05,38,46222
66,2023-06,44,46472
66,2023-07,50,46736
66,2023-08,54,47033
66,2023-09,52,47354
66,2023-10,40,47691
66,2023-11,49,48066
66,2023-12,46,48456
67,2020-01,37,39860
67,2020-02,46,40017
67,2020-03,44,40160
67,2020-04,74,40308
67,2020-05,57,40448
67,2020-06,48,40588
67,2020-07,36,40720
67,2020-08,41,40852
67,2020-09,39,40981
67,2020-10,45,41102
67,2020-11,41,41224
67,2020-12,45,41338
67,2021-01,46,41453
67,2021-02,39,41565
67,2021-03,49,41663
67,2021-04,38,41769
67,2021-05,45,41869
67,2021-06,44,41970
67,2021-07,34,42065
67,2021-08,42,42161
67,2021-09,36,42254
67,2021-10,43,42342
67,2021-11,48,42432
67,2021-12,59,42516
67,2022-01,59,42601
67,2022-02,54,42685
67,2022-03,46,42759
67,2022-04,42,42840
67,2022-05,39,42916
67,2022-06,34,42995
67,2022-07,35,43069
67,2022-08,33,43145
67,2022-09,39,43220
67,2022-10,50,43292
67,2022-11,36,43365
67,2022-12,48,43436
67,2023-01,44,43509
67,2023-02,35,43581
67,2023-03,46,43646
67,2023-04,51,43719
67,2023-05,35,43788
67,2023-06,51,43861
67,2023-07,47,43931
67,2023-08,45,44004
67,2023-09,45,44078
67,2023-10,43,44149
67,2023-11,42,44224
67,2023-12,61,44298
68,2020-01,36,37847
68,2020-02,41,37975
68,2020-03,46,38094
68,2020-04,95,38219
68,2020-05,59,38340
68,2020-06,34,38463
68,2020-07,41,38581
68,2020-08,46,38702
68,2020-09,34,38822
68,2020-10,41,38937
68,2020-11,47,39056
68,2020-12,81,39169
68,2021-01,57,39285
68,2021-02,33,39401
68,2021-03,40,39504
68,2021-04,39,39618
68,2021-05,48,39728
68,2021-06,29,39840
68,2021-07,50,39948
68,2021-08,42,40059
68,2021-09,40,40169
68,2021-10,46,40276
68,2021-11,46,40385
68,2021-12,47,40490
68,2022-01,78,40598
68,2022-02,54,40706
68,2022-03,53,40803
68,2022-04,36,40909
68,2022-05,60,41012
68,2022-06,37,41119
68,2022-07,50,41221
68,2022-08,45,41327
68,2022-09,39,41432
68,2022-10,51,41534
68,2022-11,48,41638
68,2022-12,53,41740
68,2023-01,51,41844
68,2023-02,54,41949
68,2023-03,53,42043
68,2023-04,37,42148
68,2023-05,46,42249
68,2023-06,45,42354
68,2023-07,48,42455
68,2023-08,45,42560
68,2023-09,44,42665
68,2023-10,46,42766
68,2023-11,52,42872
68,2023-12,43,42974
69,2020-01,24,34910
69,2020-02,46,35138
69,2020-03,52,35342
69,2020-04,89,35552
69,2020-05,62,35745
69,2020-06,39,35937
69,2020-07,39,36114
69,2020-08,42,36289
69,2020-09,50,36457
69,2020-10,46,36613
69,2020-11,59,36767
69,2020-12,61,36911
69,2021-01,68,37053
69,2021-02,41,37189
69,2021-03,47,37308
69,2021-04,37,37436
69,2021-05,60,37554
69,2021-06,46,37673
69,2021-07,52,37785
69,2021-08,38,37897
69,2021-09,52,38007
69,2021-10,47,38110
69,2021-11,52,38215
69,2021-12,49,38316
69,2022-01,60,38418
69,2022-02,58,38519
69,2022-03,51,38611
69,2022-04,50,38712
69,2022-05,41,38810
69,2022-06,40,38912
69,2022-07,48,39012
69,2022-08,51,39117
69,2022-09,51,39224
69,2022-10,40,39329
69,2022-11,47,39441
69,2022-12,47,39552
69,2023-01,59,39670
69,2023-02,52,39792
69,2023-03,57,39906
69,2023-04,43,40037
69,2023-05,45,40169
69,2023-06,47,40310
69,2023-07,42,40452
69,2023-08,36,40605
69,2023-09,39,40765
69,2023-10,50,40926
69,2023-11,55,41101
69,2023-12,31,41277
70,2020-01,56,34369
70,2020-02,51,34324
70,2020-03,38,34297
70,2020-04,100,34282
70,2020-05,65,34280
70,2020-06,43,34292
70,2020-07,31,34316
70,2020-08,38,34353
70,2020-09,43,34401
70,2020-10,40,34458
70,2020-11,48,34527
70,2020-12,64,34604
70,2021-01,56,34692
70,2021-02,42,34788
70,2021-03,42,34882
70,2021-04,38,34993
70,2021-05,42,35107
70,2021-06,43,35230
70,2021-07,36,35355
70,2021-08,30,35489
70,2021-09,39,35626
70,2021-10,51,35763
70,2021-11,50,35908
70,2021-12,54,36049
70,2022-01,81,36198
70,2022-02,52,36347
70,2022-03,53,36482
70,2022-04,48,36632
70,2022-05,40,36776
70,2022-06,37,36924
70,2022-07,48,37065
70,2022-08,47,37208
70,2022-09,44,37348
70,2022-10,48,37480
70,2022-11,54,37612
70,2022-12,55,37735
70,2023-01,56,37856
70,2023-02,54,37971
70,2023-03,44,38069
70,2023-04,42,38170
70,2023-05,32,38260
70,2023-06,41,38344
70,2023-07,54,38417
70,2023-08,35,38482
70,2023-09,42,38537
70,2023-10,59,38579
70,2023-11,60,38611
70,2023-12,65,38630
71,2020-01,51,33847
71,2020-02,46,33781
71,2020-03,45,33725
71,2020-04,84,33671
71,2020-05,70,33626
71,2020-06,45,33585
71,2020-07,51,33552
71,2020-08,44,33524
71,2020-09,42,33503
71,2020-10,58,33488
71,2020-11,58,33480
71,2020-12,69,33478
71,2021-01,52,33482
71,2021-02,47,33493
71,2021-03,55,33508
71,2021-04,52,33531
71,2021-05,55,33559
71,2021-06,36,33595
71,2021-07,44,33636
71,2021-08,41,33684
71,2021-09,45,33739
71,2021-10,54,33799
71,2021-11,56,33866
71,2021-12,63,33938
71,2022-01,64,34018
71,2022-02,70,34104
71,2022-03,50,34188
71,2022-04,45,34287
71,2022-05,46,34389
71,2022-06,60,34500
71,2022-07,41,34614
71,2022-08,53,34738
71,2022-09,33,34868
71,2022-10,46,35001
71,2022-11,50,35143
71,2022-12,54,35288
71,2023-01,48,35443
71,2023-02,45,35605
71,2023-03,47,35756
71,2023-04,40,35930
71,2023-05,38,36104
71,2023-06,38,36291
71,2023-07,32,36477
71,2023-08,53,36676
71,2023-09,60,36881
71,2023-10,44,37085
71,2023-11,49,37303
71,2023-12,44,37519
72,2020-01,60,33662
72,2020-02,58,33603
72,2020-03,54,33548
72,2020-04,108,33490
72,2020-05,75,33434
72,2020-06,61,33378
72,2020-07,53,33325
72,2020-08,42,33272
72,2020-09,56,33220
72,2020-10,52,33172
72,2020-11,55,33124
72,2020-12,71,33080
72,2021-01,55,33038
72,2021-02,55,32998
72,2021-03,58,32965
72,2021-04,58,32931
72,2021-05,53,32902
72,2021-06,42,32876
72,2021-07,49,32854
72,2021-08,54,32836
72,2021-09,51,32822
72,2021-10,54,32812
72,2021-11,47,32808
72,2021-12,56,32808
72,2022-01,74,32814
72,2022-02,48,32825
72,2022-03,60,32840
72,2022-04,43,32862
72,2022-05,55,32890
72,2022-06,45,32924
72,2022-07,49,32964
72,2022-08,47,33012
72,2022-09,48,33067
72,2022-10,43,33127
72,2022-11,50,33197
72,2022-12,47,33271
72,2023-01,61,33356
72,2023-02,59,33449
72,2023-03,51,33541
72,2023-04,48,33650
72,2023-05,50,33764
72,2023-06,45,33891
72,2023-07,42,34023
72,2023-08,52,34168
72,2023-09,48,34324
72,2023-10,52,34483
72,2023-11,38,34658
72,2023-12,55,34837
73,2020-01,59,39539
73,2020-02,55,38824
73,2020-03,68,38197
73,2020-04,101,37570
73,2020-05,82,37005
73,2020-06,49,36461
73,2020-07,53,35973
73,2020-08,57,35507
73,2020-09,55,35078
73,2020-10,62,34698
73,2020-11,56,34338
73,2020-12,86,34022
73,2021-01,70,33726
73,2021-02,70,33460
73,2021-03,63,33245
73,2021-04,57,33033
73,2021-05,51,32852
73,2021-06,62,32689
73,2021-07,53,32554
73,2021-08,39,32435
73,2021-09,47,32337
73,2021-10,51,32260
73,2021-11,73,32197
73,2021-12,80,32151
73,2022-01,92,32119
73,2022-02,67,32099
73,2022-03,54,32091
73,2022-04,64,32092
73,2022-05,46,32102
73,2022-06,37,32119
73,2022-07,60,32141
73,2022-08,47,32168
73,2022-09,50,32199
73,2022-10,51,32230
73,2022-11,50,32263
73,2022-12,65,32293
73,2023-01,47,32322
73,2023-02,35,32347
73,2023-03,58,32365
73,2023-04,62,32378
73,2023-05,55,32383
73,2023-06,58,32378
73,2023-07,48,32363
73,2023-08,57,32335
73,2023-09,38,32293
73,2023-10,70,32238
73,2023-11,48,32165
73,2023-12,42,32076
74,2020-01,47,11199
74,2020-02,48,14241
74,2020-03,47,16858
74,2020-04,109,19418
74,2020-05,84,21673
74,2020-06,43,23780
74,2020-07,47,25615
74,2020-08,49,27308
74,2020-09,38,28804
74,2020-10,57,30074
74,2020-11,49,31212
74,2020-12,75,32153
74,2021-01,75,32970
74,2021-02,62,33638
74,2021-03,65,34122
74,2021-04,64,34534
74,2021-05,67,34817
74,2021-06,54,35001
74,2021-07,63,35082
74,2021-08,61,35075
74,2021-09,67,34986
74,2021-10,55,34830
74,2021-11,61,34607
74,2021-12,74,34339
74,2022-01,89,34019
74,2022-02,51,33665
74,2022-03,70,33323
74,2022-04,50,32929
74,2022-05,52,32542
74,2022-06,66,32145
74,2022-07,54,31772
74,2022-08,54,31409
74,2022-09,56,31077
74,2022-10,51,30795
74,2022-11,61,30554
74,2022-12,69,30377
74,2023-01,55,30264
74,2023-02,49,30230
74,2023-03,43,30276
74,2023-04,54,30420
74,2023-05,66,30662
74,2023-06,49,31026
74,2023-07,67,31500
74,2023-08,51,32123
74,2023-09,57,32892
74,2023-10,50,33784
74,2023-11,51,34868
74,2023-12,81,36083
75,2020-01,65,34237
75,2020-02,35,31963
75,2020-03,52,30086
75,2020-04,98,28336
75,2020-05,78,26882
75,2020-06,59,25616
75,2020-07,40,24607
75,2020-08,48,23775
75,2020-09,49,23145
75,2020-10,54,22715
75,2020-11,52,22444
75,2020-12,66,22337
75,2021-01,84,22376
75,2021-02,56,22552
75,2021-03,60,22820
75,2021-04,48,23224
75,2021-05,59,23712
75,2021-06,42,24303
75,2021-07,58,24947
75,2021-08,52,25675
75,2021-09,58,26453
75,2021-10,63,27242
75,2021-11,63,28082
75,2021-12,76,28906
75,2022-01,98,29758
75,2022-02,68,30598
75,2022-03,61,31334
75,2022-04,62,32113
75,2022-05,63,32819
75,2022-06,71,33487
75,2022-07,85,34062
75,2022-08,59,34569
75,2022-09,50,34976
75,2022-10,75,35262
75,2022-11,76,35433
75,2022-12,100,35466
75,2023-01,65,35352
75,2023-02,60,35074
75,2023-03,68,34671
75,2023-04,52,34045
75,2023-05,63,33247
75,2023-06,51,32213
75,2023-07,48,30996
