name,batch,no_reports,serious,deaths
COMIRNATY,1F1005A,46,15,0
COMIRNATY,1F1006A,36,13,0
COMIRNATY,1F1020A,139,56,0
COMIRNATY,1F1045A,1,1,0
COMIRNATY,31100TB,6,2,0
COMIRNATY,EJ6134,85,39,0
COMIRNATY,EJ6790,88,51,2
COMIRNATY,EJ6796,54,24,0
COMIRNATY,EJ6797,316,135,3
COMIRNATY,EK9788,133,48,3
COMIRNATY,EL0725,130,67,3
COMIRNATY,EL1484,82,36,0
COMIRNATY,EL1491,197,86,1
COMIRNATY,EP2163,108,49,2
COMIRNATY,EP2166,106,48,2
COMIRNATY,ET1831,232,122,4
COMIRNATY,ET3620,248,110,4
COMIRNATY,ET6956,72,38,0
COMIRNATY,ET7205,170,84,3
COMIRNATY,EW2239,169,77,1
COMIRNATY,EW2246,234,109,4
COMIRNATY,EW4815,146,91,2
COMIRNATY,EX0893,124,60,1
COMIRNATY,EX3014,1,1,0
COMIRNATY,EX3599,53,21,1
COMIRNATY,EX8680,8,7,0
COMIRNATY,EY3014,251,110,4
COMIRNATY,EY7015,104,97,2
COMIRNATY,FA4597,1,0,0
COMIRNATY,FA4598,106,97,1
COMIRNATY,FC0681,190,94,1
COMIRNATY,FC2473,200,101,1
COMIRNATY,FC8736,40,19,0
COMIRNATY,FD0168,147,76,0
COMIRNATY,FD1921,326,154,4
COMIRNATY,FD4555,75,39,0
COMIRNATY,FD6840,256,135,0
COMIRNATY,FE1248,72,39,2
COMIRNATY,FE2296,64,34,0
COMIRNATY,FE6208,215,98,1
COMIRNATY,FE7051,53,39,0
COMIRNATY,FE8244,67,34,0
COMIRNATY,FF0680,111,54,0
COMIRNATY,FF2832,76,28,1
COMIRNATY,FF3318,92,45,0
COMIRNATY,FG3739,61,16,1
COMIRNATY,FG4509,69,29,0
COMIRNATY,FK0594,21,13,3
COMIRNATY,FL4213,16,5,0
COMIRNATY,FL5324,15,5,0
COMIRNATY,FM7533,95,34,1
COMIRNATY,FM7785,5,2,0
COMIRNATY,FM9088,6,3,0
COMIRNATY,FN4072,10,4,0
COMIRNATY,FN5519,10,2,0
COMIRNATY,FP1972,1,0,0
COMIRNATY,FP8234,1,0,0
COMIRNATY,FP8748,2,0,0
COMIRNATY,FP8956,2,1,1
COMIRNATY,FP9632,1,0,0
COMIRNATY,FR3566,2,0,0
COMIRNATY,FR5493,1,0,0
COMIRNATY,GD6798,3,3,0
COMIRNATY,GG3683,1,0,0
COMIRNATY,GH9722,9,3,0
COMIRNATY,GH9851,6,1,0
COMIRNATY,GJ1988,1,1,0
COMIRNATY,PCA0002,16,10,1
COMIRNATY,PCB0001,32,11,2
COMIRNATY,SCTR1,42,9,1
COMIRNATY,SCWF7,2,1,0
COMIRNATY,SDCN1,5,3,0
COMIRNATY,Unknown,4805,2334,71
COMIRNATY ORIGINAL/OMICRON BA.1,Unknown,6,0,0
COMIRNATY ORIGINAL/OMICRON BA.4-5,Unknown,18,7,0
COMIRNATY MULTIVALENT,Unknown,18,3,0
SPIKEVAX,000023A,2,1,0
SPIKEVAX,000039A,3,1,0
SPIKEVAX,000058A,13,3,0
SPIKEVAX,000139A,4,1,0
SPIKEVAX,090F21A,10,7,0
SPIKEVAX,093F21A,3,1,0
SPIKEVAX,200038A,2,1,0
SPIKEVAX,216040,2,1,0
SPIKEVAX,216041,6,1,0
SPIKEVAX,216046,7,1,0
SPIKEVAX,300042460,2,1,0
SPIKEVAX,300042698,5,1,0
SPIKEVAX,300042721,17,7,0
SPIKEVAX,3000493,51,20,1
SPIKEVAX,3000496,150,25,1
SPIKEVAX,3001531,202,41,1
SPIKEVAX,3001659,47,23,1
SPIKEVAX,3001939,22,12,0
SPIKEVAX,3001943,16,7,0
SPIKEVAX,3002330,27,19,1
SPIKEVAX,3002335,1,0,0
SPIKEVAX,3002339,21,12,1
SPIKEVAX,3002546,26,15,0
SPIKEVAX,3002916,30,18,0
SPIKEVAX,3002920,16,6,0
SPIKEVAX,3003601,13,8,0
SPIKEVAX,3003606,11,6,0
SPIKEVAX,3003659,19,6,0
SPIKEVAX,3004218,19,13,1
SPIKEVAX,3004493,9,2,0
SPIKEVAX,3004670,6,2,0
SPIKEVAX,3004738,6,5,0
SPIKEVAX,3005238,3,1,0
SPIKEVAX,3005242,2,0,0
SPIKEVAX,G26761A,40,27,1
SPIKEVAX,Unknown,762,288,18
VAXZEVRIA,210102,2,2,0
VAXZEVRIA,ABV2856,203,72,1
VAXZEVRIA,ABV4678,128,47,0
VAXZEVRIA,ABV5297,20,9,3
VAXZEVRIA,ABV5811,121,60,8
VAXZEVRIA,ABV6096,220,79,1
VAXZEVRIA,ABV7764,10,7,1
VAXZEVRIA,ABV8139,11,4,0
VAXZEVRIA,ABW1277,113,62,2
VAXZEVRIA,ABW2187,94,51,4
VAXZEVRIA,ABW2953,13,9,0
VAXZEVRIA,ABW4801,43,23,2
VAXZEVRIA,ABW9941,6,5,0
VAXZEVRIA,ABX3502,29,11,1
VAXZEVRIA,ABX3519,11,4,0
VAXZEVRIA,ABX4044,15,12,1
VAXZEVRIA,ABX5105,3,3,1
VAXZEVRIA,ABY1328,1,1,0
VAXZEVRIA,Unknown,469,234,19
COVID-19 VACCINE JANSSEN,ABZ5320,6,2,0
COVID-19 VACCINE JANSSEN,ACA5775,7,2,0
COVID-19 VACCINE JANSSEN,ACA5778,1,0,0
COVID-19 VACCINE JANSSEN,ACA6111,23,5,0
