age,pop,female,male
0,109186,55778,53408
1,110951,56820,54131
2,112998,57809,55189
3,114441,58611,55830
4,113056,57871,55185
5,112071,57498,54573
6,110943,57122,53821
7,108583,55562,53021
8,109119,55753,53366
9,109308,56137,53171
10,115773,59318,56455
11,119362,60997,58365
12,119637,61164,58473
13,117222,59817,57405
14,109110,56065,53045
15,103710,53278,50432
16,99432,51228,48204
17,96149,49383,46766
18,95363,48893,46470
19,95182,48764,46418
20,94972,49057,45915
21,94312,48522,45790
22,95372,48915,46457
23,95754,48980,46774
24,96653,49865,46788
25,101969,52514,49455
26,111320,57251,54069
27,125809,64995,60814
28,128755,66593,62162
29,133315,69246,64069
30,139098,72047,67051
31,134865,69586,65279
32,138492,71201,67291
33,138206,71659,66547
34,139900,72560,67340
35,141157,72940,68217
36,142173,73695,68478
37,143710,74364,69346
38,144811,74608,70203
39,147238,76093,71145
40,151422,78660,72762
41,169311,87659,81652
42,175899,90871,85028
43,179082,92448,86634
44,182203,93648,88555
45,188567,96639,91928
46,188911,97086,91825
47,183724,94777,88947
48,165247,84838,80409
49,151167,77363,73804
50,147390,75600,71790
51,139236,71071,68165
52,134935,68497,66438
53,132510,67475,65035
54,134039,68280,65759
55,135830,68572,67258
56,142338,72043,70295
57,142186,71445,70741
58,124985,62361,62624
59,121052,60315,60737
60,116973,58131,58842
61,115657,57134,58523
62,118277,57790,60487
63,132542,64109,68433
64,133159,63802,69357
65,134531,64067,70464
66,134926,63490,71436
67,132415,61822,70593
68,132888,61428,71460
69,133321,60740,72581
70,128713,57895,70818
71,123259,55082,68177
72,120504,53378,67126
73,125692,54720,70972
74,120461,51654,68807
75,94830,39443,55387
76,91252,37400,53852
77,89170,36207,52963
78,75721,30411,45310
79,68395,26773,41622
80,62536,24203,38333
81,55036,20647,34389
82,46929,17170,29759
83,41575,14671,26904
84,37297,12814,24483
85,33487,11312,22175
86,30222,9880,20342
87,27174,8646,18528
88,23910,7263,16647
89,20518,6111,14407
90,17126,4849,12277
91,13062,3589,9473
92,9830,2599,7231
93,7414,1833,5581
94,5354,1240,4114
95,3728,821,2907
96,2546,510,2036
97,1794,311,1483
98,1128,200,928
99,657,85,572
100,647,111,536
