year,week,age,dead
2021,1,0,4
2021,1,5,1
2021,1,10,1
2021,1,15,6
2021,1,20,2
2021,1,25,4
2021,1,30,10
2021,1,35,32
2021,1,40,36
2021,1,45,57
2021,1,50,72
2021,1,55,115
2021,1,60,199
2021,1,65,308
2021,1,70,569
2021,1,75,629
2021,1,80,666
2021,1,85,633
2021,1,90,502
2021,2,0,3
2021,2,5,1
2021,2,10,0
2021,2,15,1
2021,2,20,5
2021,2,25,10
2021,2,30,14
2021,2,35,19
2021,2,40,26
2021,2,45,56
2021,2,50,83
2021,2,55,116
2021,2,60,186
2021,2,65,381
2021,2,70,531
2021,2,75,624
2021,2,80,549
2021,2,85,656
2021,2,90,490
2021,3,0,4
2021,3,5,1
2021,3,10,1
2021,3,15,3
2021,3,20,4
2021,3,25,9
2021,3,30,8
2021,3,35,18
2021,3,40,22
2021,3,45,56
2021,3,50,76
2021,3,55,116
2021,3,60,202
2021,3,65,352
2021,3,70,520
2021,3,75,573
2021,3,80,568
2021,3,85,529
2021,3,90,536
2021,4,0,6
2021,4,5,1
2021,4,10,1
2021,4,15,2
2021,4,20,3
2021,4,25,6
2021,4,30,18
2021,4,35,17
2021,4,40,26
2021,4,45,47
2021,4,50,61
2021,4,55,127
2021,4,60,188
2021,4,65,313
2021,4,70,524
2021,4,75,566
2021,4,80,497
2021,4,85,579
2021,4,90,467
2021,5,0,9
2021,5,5,3
2021,5,10,1
2021,5,15,2
2021,5,20,3
2021,5,25,4
2021,5,30,8
2021,5,35,13
2021,5,40,33
2021,5,45,43
2021,5,50,71
2021,5,55,95
2021,5,60,203
2021,5,65,334
2021,5,70,484
2021,5,75,522
2021,5,80,511
2021,5,85,497
2021,5,90,438
2021,6,0,8
2021,6,5,0
2021,6,10,2
2021,6,15,5
2021,6,20,3
2021,6,25,8
2021,6,30,8
2021,6,35,23
2021,6,40,37
2021,6,45,52
2021,6,50,74
2021,6,55,113
2021,6,60,199
2021,6,65,337
2021,6,70,540
2021,6,75,556
2021,6,80,496
2021,6,85,550
2021,6,90,432
2021,7,0,7
2021,7,5,2
2021,7,10,3
2021,7,15,4
2021,7,20,3
2021,7,25,11
2021,7,30,6
2021,7,35,16
2021,7,40,41
2021,7,45,56
2021,7,50,69
2021,7,55,143
2021,7,60,193
2021,7,65,382
2021,7,70,548
2021,7,75,566
2021,7,80,497
2021,7,85,512
2021,7,90,413
2021,8,0,4
2021,8,5,2
2021,8,10,1
2021,8,15,2
2021,8,20,3
2021,8,25,7
2021,8,30,14
2021,8,35,24
2021,8,40,27
2021,8,45,76
2021,8,50,66
2021,8,55,136
2021,8,60,221
2021,8,65,332
2021,8,70,588
2021,8,75,629
2021,8,80,529
2021,8,85,550
2021,8,90,420
2021,9,0,3
2021,9,5,4
2021,9,10,1
2021,9,15,2
2021,9,20,4
2021,9,25,5
2021,9,30,13
2021,9,35,17
2021,9,40,42
2021,9,45,67
2021,9,50,92
2021,9,55,137
2021,9,60,221
2021,9,65,406
2021,9,70,617
2021,9,75,711
2021,9,80,606
2021,9,85,534
2021,9,90,437
2021,10,0,5
2021,10,5,0
2021,10,10,1
2021,10,15,3
2021,10,20,6
2021,10,25,7
2021,10,30,15
2021,10,35,16
2021,10,40,43
2021,10,45,64
2021,10,50,84
2021,10,55,146
2021,10,60,271
2021,10,65,445
2021,10,70,622
2021,10,75,708
2021,10,80,590
2021,10,85,569
2021,10,90,433
2021,11,0,3
2021,11,5,1
2021,11,10,0
2021,11,15,2
2021,11,20,2
2021,11,25,8
2021,11,30,13
2021,11,35,10
2021,11,40,37
2021,11,45,59
2021,11,50,84
2021,11,55,152
2021,11,60,266
2021,11,65,423
2021,11,70,627
2021,11,75,643
2021,11,80,572
2021,11,85,527
2021,11,90,406
2021,12,0,3
2021,12,5,0
2021,12,10,1
2021,12,15,1
2021,12,20,5
2021,12,25,7
2021,12,30,11
2021,12,35,18
2021,12,40,35
2021,12,45,64
2021,12,50,90
2021,12,55,122
2021,12,60,243
2021,12,65,404
2021,12,70,564
2021,12,75,627
2021,12,80,501
2021,12,85,419
2021,12,90,355
2021,13,0,2
2021,13,5,0
2021,13,10,0
2021,13,15,1
2021,13,20,8
2021,13,25,11
2021,13,30,8
2021,13,35,15
2021,13,40,36
2021,13,45,70
2021,13,50,78
2021,13,55,125
2021,13,60,222
2021,13,65,410
2021,13,70,532
2021,13,75,581
2021,13,80,480
2021,13,85,444
2021,13,90,366
2021,14,0,5
2021,14,5,2
2021,14,10,2
2021,14,15,0
2021,14,20,3
2021,14,25,4
2021,14,30,9
2021,14,35,17
2021,14,40,35
2021,14,45,53
2021,14,50,73
2021,14,55,114
2021,14,60,210
2021,14,65,356
2021,14,70,471
2021,14,75,504
2021,14,80,394
2021,14,85,373
2021,14,90,322
2021,15,0,5
2021,15,5,1
2021,15,10,1
2021,15,15,2
2021,15,20,1
2021,15,25,4
2021,15,30,6
2021,15,35,18
2021,15,40,30
2021,15,45,51
2021,15,50,70
2021,15,55,122
2021,15,60,174
