date,age,pop,dead,projdead
2010-01-01,0,570301.15,1.15035,1.04195
2010-01-02,0,570360.14,1.15010,1.04254
2010-01-03,0,570419.07,1.14986,1.04313
2010-01-04,0,570477.94,1.14962,1.04370
2010-01-05,0,570536.76,1.14938,1.04425
2010-01-06,0,570595.53,1.14914,1.04479
2010-01-07,0,570654.24,1.14890,1.04530
2010-01-08,0,570712.90,1.14866,1.04578
2010-01-09,0,570771.50,1.14842,1.04624
2010-01-10,0,570830.05,1.14818,1.04668
2010-01-11,0,570888.54,1.14794,1.04709
2010-01-12,0,570946.98,1.14769,1.04748
2010-01-13,0,571005.36,1.14745,1.04784
2010-01-14,0,571063.68,1.14721,1.04817
2010-01-15,0,571121.96,1.14697,1.04847
2010-01-16,0,571180.17,1.14673,1.04875
2010-01-17,0,571238.33,1.14649,1.04901
2010-01-18,0,571296.43,1.14625,1.04924
2010-01-19,0,571354.48,1.14601,1.04945
2010-01-20,0,571412.47,1.14577,1.04964
2010-01-21,0,571470.40,1.14553,1.04980
2010-01-22,0,571528.28,1.14528,1.04995
2010-01-23,0,571586.09,1.14504,1.05009
2010-01-24,0,571643.86,1.14480,1.05020
2010-01-25,0,571701.56,1.14456,1.05030
2010-01-26,0,571759.21,1.14432,1.05039
2010-01-27,0,571816.80,1.14408,1.05046
2010-01-28,0,571874.33,1.14384,1.05052
2010-01-29,0,571931.80,1.14360,1.05058
2010-01-30,0,571989.21,1.14336,1.05062
2010-01-31,0,572046.57,1.14311,1.05065
2010-02-01,0,572103.87,1.14287,1.05068
2010-02-02,0,572161.11,1.14263,1.05070
2010-02-03,0,572218.29,1.14239,1.05071
2010-02-04,0,572275.41,1.14215,1.05072
2010-02-05,0,572332.47,1.14191,1.05073
2010-02-06,0,572389.48,1.14167,1.05073
2010-02-07,0,572446.42,1.14143,1.05073
2010-02-08,0,572503.30,1.14119,1.05073
2010-02-09,0,572560.13,1.14095,1.05072
2010-02-10,0,572616.89,1.14070,1.05071
2010-02-11,0,572673.59,1.14046,1.05070
2010-02-12,0,572730.24,1.14022,1.05069
2010-02-13,0,572786.82,1.13998,1.05069
2010-02-14,0,572843.34,1.13974,1.05068
2010-02-15,0,572899.80,1.13950,1.05067
2010-02-16,0,572956.20,1.13926,1.05066
2010-02-17,0,573012.54,1.13902,1.05065
2010-02-18,0,573068.82,1.13878,1.05064
2010-02-19,0,573125.04,1.13854,1.05064
2010-02-20,0,573181.19,1.13829,1.05063
2010-02-21,0,573237.28,1.13805,1.05063
2010-02-22,0,573293.31,1.13781,1.05062
2010-02-23,0,573349.28,1.13757,1.05062
2010-02-24,0,573405.19,1.13733,1.05062
2010-02-25,0,573461.03,1.13709,1.05062
2010-02-26,0,573516.81,1.13685,1.05062
2010-02-27,0,573572.53,1.13661,1.05062
2010-02-28,0,573628.19,1.13637,1.05062
2010-03-01,0,573683.78,1.13613,1.05062
2010-03-02,0,573739.31,1.13589,1.05063
2010-03-03,0,573794.78,1.13564,1.05063
2010-03-04,0,573850.18,1.13540,1.05064
2010-03-05,0,573905.52,1.13516,1.05065
2010-03-06,0,573960.79,1.13492,1.05065
2010-03-07,0,574016.00,1.13468,1.05066
