year,age,pop
2021,0,128686 
2021,1,125727 
2021,2,129000 
2021,3,128823 
2021,4,130628 
2021,5,132260 
2021,6,133385 
2021,7,135029 
2021,8,137293 
2021,9,141375 
2021,10,146877 
2021,11,166616 
2021,12,172960 
2021,13,176931 
2021,14,178846 
2021,15,188496 
2021,16,188351 
2021,17,180008 
2021,18,162767 
2021,19,150790 
2021,20,145540 
2021,21,137843 
2021,22,133472 
2021,23,133453 
2021,24,135177 
2021,25,139409 
2021,26,146939 
2021,27,145834 
2021,28,128715 
2021,29,127198 
2021,30,124363 
2021,31,124348 
2021,32,130785 
2021,33,147760 
2021,34,152214 
2021,35,155653 
2021,36,158361 
2021,37,159934 
2021,38,163641 
2021,39,168043 
2021,40,165961 
2021,41,162459 
2021,42,165016 
2021,43,176161 
2021,44,174259 
2021,45,142500 
2021,46,143614 
2021,47,146155 
2021,48,128764 
2021,49,122746 
2021,50,118881 
2021,51,109665 
2021,52,101912 
2021,53,98693 
2021,54,97214 
2021,55,97684 
2021,56,100104 
2021,57,103126 
2021,58,106547 
2021,59,109382 
2021,60,112370 
2021,61,107705 
2021,62,106336 
2021,63,103596 
2021,64,104521 
2021,65,103477 
2021,66,101903 
2021,67,103919 
2021,68,99083 
2021,69,97221 
2021,70,84414 
2021,71,71178 
2021,72,37981 
2021,73,35366 
2021,74,37169 
2021,75,44412 
2021,76,62459 
2021,77,60823 
2021,78,54813 
2021,79,50440 
2021,80,45680 
2021,81,40987 
2021,82,34419 
2021,83,28876 
2021,84,25008 
2021,85,19286 
2021,86,15874 
2021,87,12699 
2021,88,10097 
2021,89,7671 
2021,90,5478 
2021,91,3879 
2021,92,2641 
2021,93,1760 
2021,94,1200 
2021,95,736 
2021,96,455 
2021,97,284 
2021,98,157 
2021,99,19 
2021,100,93 
2022,0,106791
2022,1,113116
2022,2,112822
2022,3,115429
2022,4,117206
2022,5,117462
2022,6,116221
2022,7,114932
2022,8,113394
2022,9,112975
2022,10,114022
2022,11,117778
2022,12,122215
2022,13,123487
2022,14,121919
2022,15,115294
2022,16,109323
2022,17,106299
2022,18,103844
2022,19,101549
2022,20,100408
2022,21,99473
2022,22,98644
2022,23,98544
2022,24,100261
2022,25,101192
2022,26,104797
2022,27,113326
2022,28,125562
2022,29,132883
2022,30,137059
2022,31,141204
2022,32,140519
2022,33,141700
2022,34,143216
2022,35,143375
2022,36,145731
2022,37,147157
2022,38,147588
2022,39,149164
2022,40,150840
2022,41,155358
2022,42,167496
2022,43,178044
2022,44,182080
2022,45,185706
2022,46,189674
2022,47,192009
2022,48,186668
2022,49,171918
2022,50,158685
2022,51,150853
2022,52,144476
2022,53,137788
2022,54,134005
2022,55,134425
2022,56,137166
2022,57,141928
2022,58,141772
2022,59,131516
2022,60,122457
2022,61,118988
2022,62,116126
2022,63,119076
2022,64,126716
2022,65,131903
2022,66,133245
2022,67,132542
2022,68,131716
2022,69,131266
2022,70,130345
2022,71,126885
2022,72,121229
2022,73,118610
2022,74,119315
2022,75,115674
2022,76,98915
2022,77,86889
2022,78,84041
2022,79,74556
2022,80,65195
2022,81,59655
2022,82,52113
2022,83,44373
2022,84,38721
2022,85,33871
2022,86,30055
2022,87,26544
2022,88,23276
2022,89,20143
2022,90,16931
2022,91,13689
2022,92,10443
2022,93,7610
2022,94,5426
2022,95,3789
2022,96,2589
2022,97,1726
2022,98,1134
2022,99,697
2022,100,763
