year,age,pop,dead
1960,0,126977,2581
1960,1,139022,222
1960,2,151918,136
1960,3,158758,119
1960,4,161661,103
1960,5,163816,76
1960,6,167265,75
1960,7,172410,64
1960,8,175394,71
1960,9,175061,43
1960,10,171592,59
1960,11,182013,56
1960,12,190867,58
1960,13,181092,84
1960,14,151926,69
1960,15,155558,58
1960,16,156208,105
1960,17,138614,124
1960,18,131977,159
1960,19,131912,158
1960,20,115667,140
1960,21,112858,153
1960,22,107866,125
1960,23,107840,148
1960,24,110811,132
1960,25,115062,140
1960,26,119362,161
1960,27,127795,151
1960,28,132668,150
1960,29,141700,173
1960,30,135664,165
1960,31,140343,162
1960,32,137556,167
1960,33,140262,215
1960,34,140926,216
1960,35,142502,233
1960,36,150052,236
1960,37,150454,263
1960,38,150106,307
1960,39,138522,305
1960,40,110867,332
1960,41,64165,187
1960,42,65407,182
1960,43,72164,204
1960,44,97831,242
1960,45,135086,482
1960,46,140495,544
1960,47,141825,578
1960,48,140013,672
1960,49,144912,740
1960,50,144849,812
1960,51,141301,948
1960,52,137057,1064
1960,53,137305,1125
1960,54,127695,1146
1960,55,129405,1306
1960,56,127609,1374
1960,57,128600,1520
1960,58,120570,1729
1960,59,120188,1876
1960,60,109420,1832
1960,61,102896,1919
1960,62,99395,2004
1960,63,92879,2116
1960,64,90235,2085
1960,65,82311,2176
1960,66,78410,2222
1960,67,70291,2341
1960,68,68731,2428
1960,69,60702,2498
1960,70,58849,2507
1960,71,57773,2616
1960,72,51383,2822
1960,73,48005,2719
1960,74,44893,2713
1960,75,42481,2853
1960,76,38064,2779
1960,77,34821,2921
1960,78,29711,2802
1960,79,26100,2590
1960,80,22667,2645
1960,81,21495,2633
1960,82,15875,2260
1960,83,11468,2074
1960,84,10487,1940
1960,85,8358,1668
1960,86,7630,1510
1960,87,6511,1156
1960,88,4107,1023
1960,89,4173,780
1960,90,2310,589
1960,91,2278,426
1960,92,1269,328
1960,93,643,228
1960,94,693,145
1960,95,399,100
1960,96,384,84
1960,97,98,39
1960,98,139,26
1960,99,NA,20
1960,100,105,21
1961,0,127588,2534
1961,1,127010,223
1961,2,139298,124
1961,3,151497,112
1961,4,158794,87
1961,5,161597,97
1961,6,163588,87
1961,7,166777,85
1961,8,171627,68
1961,9,174544,76
1961,10,174453,57
1961,11,169977,57
1961,12,178855,53
1961,13,186740,56
1961,14,183631,84
1961,15,150629,80
1961,16,157313,112
1961,17,154983,155
1961,18,137266,181
1961,19,132713,130
1961,20,131196,145
1961,21,115824,149
1961,22,112927,112
1961,23,108853,126
1961,24,109824,103
1961,25,112181,107
1961,26,116084,115
1961,27,120228,135
1961,28,127532,142
1961,29,131217,152
1961,30,136381,176
1961,31,131951,163
1961,32,133974,185
1961,33,132198,173
1961,34,136444,235
1961,35,138723,205
1961,36,142109,241
1961,37,147291,284
1961,38,146943,284
1961,39,145854,329
1961,40,133737,298
1961,41,107548,343
1961,42,62967,207
1961,43,65044,196
1961,44,71813,233
1961,45,98252,290
1961,46,134269,430
1961,47,139490,547
1961,48,140075,705
1961,49,140051,728
1961,50,143091,838
1961,51,143051,932
1961,52,139460,978
1961,53,134864,1059
1961,54,135096,1157
1961,55,124640,1218
1961,56,126494,1362
1961,57,123477,1421
1961,58,124469,1686
1961,59,117275,1838
1961,60,114180,1926
1961,61,105745,2057
1961,62,99541,2056
1961,63,95710,2065
1961,64,89373,2136
1961,65,85754,2210
1961,66,78276,2379
1961,67,73047,2518
1961,68,66141,2431
1961,69,65350,2439
1961,70,57303,2505
1961,71,55352,2621
1961,72,52274,2768
1961,73,47984,2937
1961,74,44138,2840
1961,75,40509,2948
1961,76,37448,2868
1961,77,32848,2877
1961,78,30245,2916
1961,79,25359,2765
1961,80,22057,2555
1961,81,19270,2504
1961,82,16838,2474
1961,83,13143,2202
1961,84,11046,1873
1961,85,9021,1813
1961,86,7265,1446
1961,87,5635,1379
1961,88,3966,1013
1961,89,3017,834
1961,90,2271,668
1961,91,1471,503
1961,92,1048,319
1961,93,654,232
1961,94,466,161
1961,95,280,99
1961,96,191,57
1961,97,98,38
1961,98,36,23
1961,99,NA,17
1961,100,45,16
1962,0,129055,2815
1962,1,127357,237
1962,2,127017,130
1962,3,139394,89
1962,4,151519,89
1962,5,158769,89
1962,6,161577,86
1962,7,163562,102
1962,8,166743,76
1962,9,171582,73
1962,10,174451,68
1962,11,174432,54
1962,12,169919,64
1962,13,178772,62
1962,14,186679,73
1962,15,183578,95
1962,16,150598,98
1962,17,157278,124
1962,18,154989,173
1962,19,137355,149
1962,20,132864,137
1962,21,131418,149
1962,22,116304,140
1962,23,113322,135
1962,24,109118,132
1962,25,110007,136
1962,26,112389,117
1962,27,116219,126
1962,28,120278,127
1962,29,127476,144
1962,30,131171,134
1962,31,136311,176
1962,32,131831,184
1962,33,133849,203
1962,34,132028,219
1962,35,136265,208
1962,36,138532,268
1962,37,141895,261
1962,38,146996,288
1962,39,146670,328
1962,40,145545,347
1962,41,133403,351
1962,42,107253,359
1962,43,62762,213
1962,44,64853,195
1962,45,71537,227
1962,46,97919,329
1962,47,133755,497
1962,48,138826,599
1962,49,139345,732
1962,50,139281,844
1962,51,142204,929
1962,52,142076,1020
1962,53,138466,1177
1962,54,133712,1223
1962,55,133856,1395
1962,56,123340,1392
1962,57,125106,1556
1962,58,121944,1686
1962,59,122580,1929
1962,60,115428,2144
1962,61,112139,2201
1962,62,103705,2275
