age,date,rate
0,2020-01-01,62.39
0,2020-01-02,62.44
0,2020-01-03,62.48
0,2020-01-04,62.53
0,2020-01-05,62.57
0,2020-01-06,62.61
0,2020-01-07,62.65
0,2020-01-08,62.68
0,2020-01-09,62.72
0,2020-01-10,62.75
0,2020-01-11,62.78
0,2020-01-12,62.81
0,2020-01-13,62.83
0,2020-01-14,62.85
0,2020-01-15,62.87
0,2020-01-16,62.89
0,2020-01-17,62.91
0,2020-01-18,62.92
0,2020-01-19,62.93
0,2020-01-20,62.94
0,2020-01-21,62.95
0,2020-01-22,62.96
0,2020-01-23,62.96
0,2020-01-24,62.97
0,2020-01-25,62.97
0,2020-01-26,62.97
0,2020-01-27,62.97
0,2020-01-28,62.97
0,2020-01-29,62.97
0,2020-01-30,62.97
0,2020-01-31,62.96
0,2020-02-01,62.96
0,2020-02-02,62.96
0,2020-02-03,62.95
0,2020-02-04,62.95
0,2020-02-05,62.94
0,2020-02-06,62.93
0,2020-02-07,62.93
0,2020-02-08,62.92
0,2020-02-09,62.92
0,2020-02-10,62.91
0,2020-02-11,62.90
0,2020-02-12,62.90
0,2020-02-13,62.89
0,2020-02-14,62.88
0,2020-02-15,62.88
0,2020-02-16,62.87
0,2020-02-17,62.86
0,2020-02-18,62.86
0,2020-02-19,62.85
0,2020-02-20,62.84
0,2020-02-21,62.84
0,2020-02-22,62.83
0,2020-02-23,62.82
0,2020-02-24,62.82
0,2020-02-25,62.81
0,2020-02-26,62.81
0,2020-02-27,62.80
0,2020-02-28,62.79
0,2020-02-29,62.79
0,2020-03-01,62.79
0,2020-03-02,62.78
0,2020-03-03,62.78
0,2020-03-04,62.77
0,2020-03-05,62.77
0,2020-03-06,62.76
0,2020-03-07,62.76
0,2020-03-08,62.75
0,2020-03-09,62.75
0,2020-03-10,62.74
0,2020-03-11,62.74
0,2020-03-12,62.73
0,2020-03-13,62.73
0,2020-03-14,62.72
0,2020-03-15,62.72
0,2020-03-16,62.71
0,2020-03-17,62.71
0,2020-03-18,62.71
0,2020-03-19,62.70
0,2020-03-20,62.70
0,2020-03-21,62.69
0,2020-03-22,62.69
0,2020-03-23,62.68
0,2020-03-24,62.68
0,2020-03-25,62.67
0,2020-03-26,62.67
0,2020-03-27,62.67
0,2020-03-28,62.66
0,2020-03-29,62.66
0,2020-03-30,62.65
0,2020-03-31,62.65
0,2020-04-01,62.64
0,2020-04-02,62.64
0,2020-04-03,62.63
0,2020-04-04,62.63
0,2020-04-05,62.63
0,2020-04-06,62.62
0,2020-04-07,62.62
0,2020-04-08,62.61
0,2020-04-09,62.61
0,2020-04-10,62.60
0,2020-04-11,62.60
0,2020-04-12,62.59
0,2020-04-13,62.59
0,2020-04-14,62.59
0,2020-04-15,62.58
0,2020-04-16,62.58
0,2020-04-17,62.57
0,2020-04-18,62.57
0,2020-04-19,62.56
0,2020-04-20,62.56
0,2020-04-21,62.56
0,2020-04-22,62.55
0,2020-04-23,62.55
0,2020-04-24,62.54
0,2020-04-25,62.54
0,2020-04-26,62.53
0,2020-04-27,62.53
0,2020-04-28,62.52
0,2020-04-29,62.52
0,2020-04-30,62.52
0,2020-05-01,62.51
0,2020-05-02,62.51
0,2020-05-03,62.50
0,2020-05-04,62.50
0,2020-05-05,62.49
0,2020-05-06,62.49
0,2020-05-07,62.49
0,2020-05-08,62.48
0,2020-05-09,62.48
0,2020-05-10,62.47
0,2020-05-11,62.47
0,2020-05-12,62.46
0,2020-05-13,62.46
0,2020-05-14,62.45
0,2020-05-15,62.45
0,2020-05-16,62.45
0,2020-05-17,62.44
0,2020-05-18,62.44
0,2020-05-19,62.43
0,2020-05-20,62.43
0,2020-05-21,62.42
0,2020-05-22,62.42
0,2020-05-23,62.42
0,2020-05-24,62.41
0,2020-05-25,62.41
0,2020-05-26,62.40
0,2020-05-27,62.40
0,2020-05-28,62.39
0,2020-05-29,62.39
0,2020-05-30,62.39
0,2020-05-31,62.38
0,2020-06-01,62.38
0,2020-06-02,62.37
0,2020-06-03,62.37
0,2020-06-04,62.36
0,2020-06-05,62.36
0,2020-06-06,62.36
0,2020-06-07,62.35
0,2020-06-08,62.35
0,2020-06-09,62.34
0,2020-06-10,62.34
0,2020-06-11,62.33
0,2020-06-12,62.33
0,2020-06-13,62.33
0,2020-06-14,62.32
0,2020-06-15,62.32
0,2020-06-16,62.31
0,2020-06-17,62.31
0,2020-06-18,62.30
0,2020-06-19,62.30
0,2020-06-20,62.30
0,2020-06-21,62.29
0,2020-06-22,62.29
0,2020-06-23,62.28
0,2020-06-24,62.28
0,2020-06-25,62.28
0,2020-06-26,62.27
0,2020-06-27,62.27
0,2020-06-28,62.26
0,2020-06-29,62.26
0,2020-06-30,62.25
0,2020-07-01,62.25
0,2020-07-02,62.25
0,2020-07-03,62.24
0,2020-07-04,62.24
0,2020-07-05,62.23
0,2020-07-06,62.23
0,2020-07-07,62.22
0,2020-07-08,62.22
0,2020-07-09,62.22
0,2020-07-10,62.21
0,2020-07-11,62.21
0,2020-07-12,62.20
0,2020-07-13,62.20
0,2020-07-14,62.20
0,2020-07-15,62.19
0,2020-07-16,62.19
0,2020-07-17,62.18
0,2020-07-18,62.18
0,2020-07-19,62.18
0,2020-07-20,62.17
0,2020-07-21,62.17
0,2020-07-22,62.16
0,2020-07-23,62.16
0,2020-07-24,62.15
0,2020-07-25,62.15
0,2020-07-26,62.15
0,2020-07-27,62.14
0,2020-07-28,62.14
0,2020-07-29,62.13
0,2020-07-30,62.13
0,2020-07-31,62.13
0,2020-08-01,62.12
0,2020-08-02,62.12
0,2020-08-03,62.11
0,2020-08-04,62.11
0,2020-08-05,62.11
0,2020-08-06,62.10
0,2020-08-07,62.10
0,2020-08-08,62.09
0,2020-08-09,62.09
0,2020-08-10,62.09
0,2020-08-11,62.08
0,2020-08-12,62.08
0,2020-08-13,62.07
0,2020-08-14,62.07
0,2020-08-15,62.07
0,2020-08-16,62.06
0,2020-08-17,62.06
0,2020-08-18,62.05
0,2020-08-19,62.05
0,2020-08-20,62.04
0,2020-08-21,62.04
0,2020-08-22,62.04
0,2020-08-23,62.03
0,2020-08-24,62.03
0,2020-08-25,62.02
0,2020-08-26,62.02
0,2020-08-27,62.02
0,2020-08-28,62.01
0,2020-08-29,62.01
0,2020-08-30,62.00
0,2020-08-31,62.00
0,2020-09-01,62.00
0,2020-09-02,61.99
0,2020-09-03,61.99
0,2020-09-04,61.99
0,2020-09-05,61.98
0,2020-09-06,61.98
0,2020-09-07,61.97
0,2020-09-08,61.97
0,2020-09-09,61.97
0,2020-09-10,61.96
0,2020-09-11,61.96
0,2020-09-12,61.95
0,2020-09-13,61.95
0,2020-09-14,61.95
0,2020-09-15,61.94
0,2020-09-16,61.94
0,2020-09-17,61.93
0,2020-09-18,61.93
0,2020-09-19,61.93
0,2020-09-20,61.92
0,2020-09-21,61.92
0,2020-09-22,61.91
0,2020-09-23,61.91
0,2020-09-24,61.91
0,2020-09-25,61.90
0,2020-09-26,61.90
0,2020-09-27,61.90
0,2020-09-28,61.89
0,2020-09-29,61.89
0,2020-09-30,61.88
0,2020-10-01,61.88
0,2020-10-02,61.88
0,2020-10-03,61.87
0,2020-10-04,61.87
0,2020-10-05,61.87
0,2020-10-06,61.86
0,2020-10-07,61.86
0,2020-10-08,61.85
0,2020-10-09,61.85
0,2020-10-10,61.85
0,2020-10-11,61.84
0,2020-10-12,61.84
0,2020-10-13,61.84
0,2020-10-14,61.83
0,2020-10-15,61.83
0,2020-10-16,61.82
0,2020-10-17,61.82
0,2020-10-18,61.82
0,2020-10-19,61.81
0,2020-10-20,61.81
0,2020-10-21,61.80
0,2020-10-22,61.80
0,2020-10-23,61.80
0,2020-10-24,61.79
0,2020-10-25,61.79
0,2020-10-26,61.78
0,2020-10-27,61.78
0,2020-10-28,61.78
0,2020-10-29,61.77
0,2020-10-30,61.77
0,2020-10-31,61.76
0,2020-11-01,61.76
0,2020-11-02,61.75
0,2020-11-03,61.75
0,2020-11-04,61.74
0,2020-11-05,61.74
0,2020-11-06,61.73
0,2020-11-07,61.73
0,2020-11-08,61.72
0,2020-11-09,61.72
0,2020-11-10,61.71
0,2020-11-11,61.71
0,2020-11-12,61.70
0,2020-11-13,61.70
0,2020-11-14,61.69
0,2020-11-15,61.69
0,2020-11-16,61.68
0,2020-11-17,61.67
0,2020-11-18,61.67
0,2020-11-19,61.66
0,2020-11-20,61.66
0,2020-11-21,61.65
0,2020-11-22,61.64
0,2020-11-23,61.64
0,2020-11-24,61.63
0,2020-11-25,61.63
0,2020-11-26,61.62
0,2020-11-27,61.62
0,2020-11-28,61.62
0,2020-11-29,61.61
0,2020-11-30,61.61
0,2020-12-01,61.61
0,2020-12-02,61.60
0,2020-12-03,61.60
0,2020-12-04,61.60
0,2020-12-05,61.60
0,2020-12-06,61.60
0,2020-12-07,61.61
0,2020-12-08,61.61
0,2020-12-09,61.61
0,2020-12-10,61.62
0,2020-12-11,61.63
0,2020-12-12,61.64
0,2020-12-13,61.65
0,2020-12-14,61.66
0,2020-12-15,61.68
0,2020-12-16,61.69
0,2020-12-17,61.71
0,2020-12-18,61.73
0,2020-12-19,61.76
0,2020-12-20,61.78
0,2020-12-21,61.81
0,2020-12-22,61.84
0,2020-12-23,61.87
0,2020-12-24,61.91
0,2020-12-25,61.95
0,2020-12-26,61.98
0,2020-12-27,62.02
0,2020-12-28,62.07
0,2020-12-29,62.11
0,2020-12-30,62.16
0,2020-12-31,62.20
0,2021-01-01,62.24
0,2021-01-02,62.29
0,2021-01-03,62.33
0,2021-01-04,62.38
0,2021-01-05,62.42
0,2021-01-06,62.46
0,2021-01-07,62.50
0,2021-01-08,62.53
0,2021-01-09,62.57
0,2021-01-10,62.60
0,2021-01-11,62.63
0,2021-01-12,62.66
0,2021-01-13,62.68
0,2021-01-14,62.70
0,2021-01-15,62.73
0,2021-01-16,62.74
0,2021-01-17,62.76
0,2021-01-18,62.77
0,2021-01-19,62.79
0,2021-01-20,62.80
0,2021-01-21,62.80
0,2021-01-22,62.81
0,2021-01-23,62.82
0,2021-01-24,62.82
0,2021-01-25,62.82
0,2021-01-26,62.82
0,2021-01-27,62.82
0,2021-01-28,62.82
0,2021-01-29,62.82
0,2021-01-30,62.82
0,2021-01-31,62.82
0,2021-02-01,62.81
0,2021-02-02,62.81
0,2021-02-03,62.80
0,2021-02-04,62.80
0,2021-02-05,62.79
0,2021-02-06,62.79
0,2021-02-07,62.78
0,2021-02-08,62.77
0,2021-02-09,62.77
0,2021-02-10,62.76
0,2021-02-11,62.75
0,2021-02-12,62.75
0,2021-02-13,62.74
0,2021-02-14,62.73
0,2021-02-15,62.73
0,2021-02-16,62.72
0,2021-02-17,62.71
0,2021-02-18,62.71
0,2021-02-19,62.70
0,2021-02-20,62.69
0,2021-02-21,62.69
0,2021-02-22,62.68
