year,week,age,dead
2010,1,0,8
2010,1,5,4
2010,1,10,0
2010,1,15,5
2010,1,20,4
2010,1,25,8
2010,1,30,13
2010,1,35,20
2010,1,40,22
2010,1,45,46
2010,1,50,61
2010,1,55,142
2010,1,60,199
2010,1,65,204
2010,1,70,197
2010,1,75,309
2010,1,80,402
2010,1,85,353
2010,1,90,158
2010,2,0,7
2010,2,5,1
2010,2,10,1
2010,2,15,0
2010,2,20,9
2010,2,25,7
2010,2,30,11
2010,2,35,15
2010,2,40,13
2010,2,45,35
2010,2,50,66
2010,2,55,118
2010,2,60,203
2010,2,65,240
2010,2,70,222
2010,2,75,288
2010,2,80,360
2010,2,85,363
2010,2,90,136
2010,3,0,11
2010,3,5,2
2010,3,10,0
2010,3,15,8
2010,3,20,6
2010,3,25,8
2010,3,30,18
2010,3,35,18
2010,3,40,33
2010,3,45,41
2010,3,50,76
2010,3,55,134
2010,3,60,175
2010,3,65,201
2010,3,70,237
2010,3,75,346
2010,3,80,376
2010,3,85,357
2010,3,90,153
2010,4,0,12
2010,4,5,2
2010,4,10,1
2010,4,15,5
2010,4,20,6
2010,4,25,9
2010,4,30,13
2010,4,35,13
2010,4,40,19
2010,4,45,42
2010,4,50,85
2010,4,55,124
2010,4,60,176
2010,4,65,171
2010,4,70,210
2010,4,75,317
2010,4,80,391
2010,4,85,364
2010,4,90,145
2010,5,0,7
2010,5,5,0
2010,5,10,2
2010,5,15,2
2010,5,20,3
2010,5,25,7
2010,5,30,12
2010,5,35,13
2010,5,40,25
2010,5,45,40
2010,5,50,51
2010,5,55,130
2010,5,60,190
2010,5,65,221
2010,5,70,229
2010,5,75,297
2010,5,80,420
2010,5,85,374
2010,5,90,144
2010,6,0,8
2010,6,5,0
2010,6,10,0
2010,6,15,5
2010,6,20,9
2010,6,25,6
2010,6,30,9
2010,6,35,16
2010,6,40,30
2010,6,45,36
2010,6,50,69
2010,6,55,140
2010,6,60,188
2010,6,65,207
2010,6,70,228
2010,6,75,304
2010,6,80,405
2010,6,85,409
2010,6,90,184
2010,7,0,10
2010,7,5,1
2010,7,10,1
2010,7,15,1
2010,7,20,6
2010,7,25,10
2010,7,30,9
2010,7,35,17
2010,7,40,21
2010,7,45,46
2010,7,50,76
2010,7,55,98
2010,7,60,178
2010,7,65,183
2010,7,70,245
2010,7,75,334
2010,7,80,409
2010,7,85,368
2010,7,90,180
2010,8,0,12
2010,8,5,0
2010,8,10,2
2010,8,15,1
2010,8,20,5
2010,8,25,7
2010,8,30,7
2010,8,35,14
2010,8,40,21
2010,8,45,31
2010,8,50,85
2010,8,55,110
2010,8,60,194
2010,8,65,224
2010,8,70,220
2010,8,75,319
2010,8,80,411
2010,8,85,341
2010,8,90,157
2010,9,0,7
2010,9,5,2
2010,9,10,2
2010,9,15,3
2010,9,20,8
2010,9,25,13
2010,9,30,10
2010,9,35,18
2010,9,40,30
2010,9,45,42
2010,9,50,61
2010,9,55,95
2010,9,60,171
2010,9,65,197
2010,9,70,211
2010,9,75,341
2010,9,80,384
2010,9,85,384
2010,9,90,157
2010,10,0,10
2010,10,5,3
2010,10,10,1
2010,10,15,3
2010,10,20,11
2010,10,25,9
2010,10,30,9
2010,10,35,15
2010,10,40,26
2010,10,45,33
2010,10,50,70
2010,10,55,116
2010,10,60,190
2010,10,65,220
2010,10,70,201
2010,10,75,316
2010,10,80,385
2010,10,85,420
2010,10,90,152
2010,11,0,8
2010,11,5,0
2010,11,10,0
2010,11,15,3
2010,11,20,3
2010,11,25,8
2010,11,30,14
2010,11,35,17
2010,11,40,30
2010,11,45,35
2010,11,50,73
2010,11,55,115
2010,11,60,194
2010,11,65,199
2010,11,70,219
2010,11,75,290
2010,11,80,424
2010,11,85,362
2010,11,90,147
2010,12,0,8
2010,12,5,2
2010,12,10,1
2010,12,15,8
2010,12,20,3
2010,12,25,7
2010,12,30,11
2010,12,35,12
2010,12,40,23
2010,12,45,43
2010,12,50,68
2010,12,55,131
2010,12,60,173
2010,12,65,214
2010,12,70,195
2010,12,75,325
2010,12,80,358
2010,12,85,364
2010,12,90,155
2010,13,0,5
2010,13,5,1
2010,13,10,1
2010,13,15,3
2010,13,20,8
2010,13,25,10
2010,13,30,7
2010,13,35,12
2010,13,40,20
2010,13,45,45
2010,13,50,59
2010,13,55,124
2010,13,60,182
2010,13,65,219
2010,13,70,182
2010,13,75,312
2010,13,80,371
2010,13,85,326
2010,13,90,153
2010,14,0,15
2010,14,5,0
2010,14,10,2
2010,14,15,5
2010,14,20,6
2010,14,25,9
2010,14,30,10
2010,14,35,13
2010,14,40,23
2010,14,45,34
2010,14,50,67
2010,14,55,107
2010,14,60,174
2010,14,65,203
2010,14,70,190
2010,14,75,300
2010,14,80,385
2010,14,85,324
2010,14,90,155
2010,15,0,4
2010,15,5,1
2010,15,10,0
2010,15,15,6
2010,15,20,15
2010,15,25,4
2010,15,30,8
2010,15,35,9
2010,15,40,19
2010,15,45,41
2010,15,50,82
2010,15,55,115
2010,15,60,171
2010,15,65,188
2010,15,70,185
2010,15,75,284
2010,15,80,349
2010,15,85,327
2010,15,90,140
2010,16,0,6
2010,16,5,0
2010,16,10,0
2010,16,15,8
2010,16,20,6
2010,16,25,6
2010,16,30,14
2010,16,35,17
2010,16,40,16
2010,16,45,29
2010,16,50,74
2010,16,55,123
2010,16,60,194
2010,16,65,214
2010,16,70,227
2010,16,75,295
2010,16,80,363
2010,16,85,361
2010,16,90,142
2010,17,0,5
2010,17,5,3
2010,17,10,1
2010,17,15,2
2010,17,20,7
2010,17,25,8
2010,17,30,8
2010,17,35,11
2010,17,40,28
2010,17,45,38
2010,17,50,73
2010,17,55,118
2010,17,60,165
2010,17,65,211
2010,17,70,193
2010,17,75,304
2010,17,80,428
2010,17,85,333
2010,17,90,148
2010,18,0,4
2010,18,5,0
2010,18,10,2
2010,18,15,6
2010,18,20,4
2010,18,25,10
2010,18,30,9
2010,18,35,15
2010,18,40,19
2010,18,45,23
2010,18,50,66
2010,18,55,110
2010,18,60,166
2010,18,65,204
2010,18,70,178
2010,18,75,257
2010,18,80,362
2010,18,85,308
2010,18,90,154
2010,19,0,5
2010,19,5,0
2010,19,10,2
2010,19,15,5
2010,19,20,3
2010,19,25,11
2010,19,30,14
2010,19,35,22
2010,19,40,29
2010,19,45,34
2010,19,50,70
2010,19,55,113
2010,19,60,163
2010,19,65,191
2010,19,70,199
2010,19,75,273
2010,19,80,333
2010,19,85,305
2010,19,90,132
2010,20,0,8
2010,20,5,0
2010,20,10,1
2010,20,15,3
2010,20,20,6
2010,20,25,9
2010,20,30,12
2010,20,35,14
2010,20,40,22
2010,20,45,29
2010,20,50,71
2010,20,55,119
2010,20,60,183
2010,20,65,210
2010,20,70,187
2010,20,75,280
2010,20,80,377
2010,20,85,346
2010,20,90,148
2010,21,0,9
2010,21,5,1
2010,21,10,1
2010,21,15,8
2010,21,20,5
2010,21,25,5
2010,21,30,17
2010,21,35,13
2010,21,40,23
2010,21,45,41
2010,21,50,67
2010,21,55,113
2010,21,60,162
2010,21,65,180
2010,21,70,214
2010,21,75,282
2010,21,80,365
2010,21,85,309
2010,21,90,149
2010,22,0,9
2010,22,5,0
2010,22,10,0
2010,22,15,2
2010,22,20,5
2010,22,25,2
2010,22,30,6
2010,22,35,18
2010,22,40,26
2010,22,45,40
2010,22,50,60
2010,22,55,107
2010,22,60,175
2010,22,65,204
2010,22,70,230
2010,22,75,264
2010,22,80,319
2010,22,85,316
2010,22,90,145
2010,23,0,16
2010,23,5,1
2010,23,10,2
2010,23,15,10
2010,23,20,5
2010,23,25,9
2010,23,30,11
2010,23,35,20
2010,23,40,25
2010,23,45,44
2010,23,50,60
2010,23,55,101
2010,23,60,178
2010,23,65,198
2010,23,70,220
2010,23,75,333
2010,23,80,396
2010,23,85,360
2010,23,90,194
2010,24,0,7
2010,24,5,1
2010,24,10,2
2010,24,15,3
2010,24,20,9
2010,24,25,6
2010,24,30,9
2010,24,35,15
2010,24,40,22
2010,24,45,34
2010,24,50,73
2010,24,55,129
2010,24,60,180
2010,24,65,187
2010,24,70,190
2010,24,75,263
2010,24,80,329
2010,24,85,321
2010,24,90,120
2010,25,0,10
2010,25,5,0
2010,25,10,2
2010,25,15,4
2010,25,20,8
2010,25,25,12
2010,25,30,8
2010,25,35,17
2010,25,40,20
2010,25,45,39
2010,25,50,59
2010,25,55,123
2010,25,60,170
2010,25,65,170
2010,25,70,178
2010,25,75,261
2010,25,80,347
2010,25,85,335
2010,25,90,151
2010,26,0,9
2010,26,5,0
2010,26,10,4
2010,26,15,4
2010,26,20,11
2010,26,25,9
2010,26,30,15
2010,26,35,17
2010,26,40,25
2010,26,45,37
2010,26,50,69
2010,26,55,117
2010,26,60,211
2010,26,65,201
2010,26,70,208
2010,26,75,264
2010,26,80,379
2010,26,85,331
2010,26,90,155
2010,27,0,10
2010,27,5,0
2010,27,10,0
2010,27,15,2
2010,27,20,10
2010,27,25,18
2010,27,30,12
2010,27,35,23
2010,27,40,20
2010,27,45,46
2010,27,50,67
2010,27,55,96
2010,27,60,185
2010,27,65,183
2010,27,70,205
2010,27,75,265
2010,27,80,335
2010,27,85,342
2010,27,90,150
2010,28,0,5
2010,28,5,2
2010,28,10,4
2010,28,15,3
2010,28,20,10
2010,28,25,15
2010,28,30,15
2010,28,35,23
2010,28,40,25
2010,28,45,38
2010,28,50,84
2010,28,55,112
2010,28,60,178
2010,28,65,208
2010,28,70,215
2010,28,75,325
2010,28,80,404
2010,28,85,384
2010,28,90,168
2010,29,0,6
2010,29,5,1
2010,29,10,1
2010,29,15,1
2010,29,20,12
2010,29,25,9
2010,29,30,14
2010,29,35,15
2010,29,40,15
2010,29,45,40
2010,29,50,56
2010,29,55,106
2010,29,60,191
2010,29,65,181
2010,29,70,197
2010,29,75,302
2010,29,80,339
2010,29,85,302
2010,29,90,170
2010,30,0,7
2010,30,5,0
2010,30,10,0
2010,30,15,3
2010,30,20,10
2010,30,25,13
2010,30,30,18
2010,30,35,14
2010,30,40,32
2010,30,45,34
2010,30,50,62
2010,30,55,117
2010,30,60,173
2010,30,65,170
2010,30,70,176
2010,30,75,235
2010,30,80,333
2010,30,85,310
2010,30,90,106
2010,31,0,2
2010,31,5,1
2010,31,10,3
2010,31,15,5
2010,31,20,7
2010,31,25,5
2010,31,30,14
2010,31,35,19
2010,31,40,20
2010,31,45,38
2010,31,50,52
2010,31,55,121
2010,31,60,171
2010,31,65,205
2010,31,70,188
2010,31,75,240
2010,31,80,355
2010,31,85,289
