year,week,week_ending,deaths,asmr,status,covid,long_term_care
2021,1,2021-01-10,0,0,Fully vaccinated,TRUE,TRUE
2021,2,2021-01-17,0,0,Fully vaccinated,TRUE,TRUE
2021,3,2021-01-24,0,0,Fully vaccinated,TRUE,TRUE
2021,4,2021-01-31,0,0,Fully vaccinated,TRUE,TRUE
2021,5,2021-02-07,0,0,Fully vaccinated,TRUE,TRUE
2021,6,2021-02-14,0,0,Fully vaccinated,TRUE,TRUE
2021,7,2021-02-21,1,6.66,Fully vaccinated,TRUE,TRUE
2021,8,2021-02-28,3,2.89,Fully vaccinated,TRUE,TRUE
2021,9,2021-03-07,1,1.71,Fully vaccinated,TRUE,TRUE
2021,10,2021-03-14,1,0.17,Fully vaccinated,TRUE,TRUE
2021,11,2021-03-21,6,1.75,Fully vaccinated,TRUE,TRUE
2021,12,2021-03-28,12,1.64,Fully vaccinated,TRUE,TRUE
2021,13,2021-04-04,5,0.5,Fully vaccinated,TRUE,TRUE
2021,14,2021-04-11,5,0.62,Fully vaccinated,TRUE,TRUE
2021,15,2021-04-18,5,0.36,Fully vaccinated,TRUE,TRUE
2021,16,2021-04-25,6,0.63,Fully vaccinated,TRUE,TRUE
2021,17,2021-05-02,11,1.33,Fully vaccinated,TRUE,TRUE
2021,18,2021-05-09,11,0.68,Fully vaccinated,TRUE,TRUE
2021,19,2021-05-16,13,1.75,Fully vaccinated,TRUE,TRUE
2021,20,2021-05-23,10,1.33,Fully vaccinated,TRUE,TRUE
2021,21,2021-05-30,1,0.03,Fully vaccinated,TRUE,TRUE
2021,22,2021-06-06,7,0.71,Fully vaccinated,TRUE,TRUE
2021,23,2021-06-13,4,0.62,Fully vaccinated,TRUE,TRUE
2021,24,2021-06-20,3,0.08,Fully vaccinated,TRUE,TRUE
2021,25,2021-06-27,3,0.1,Fully vaccinated,TRUE,TRUE
2021,26,2021-07-04,4,0.22,Fully vaccinated,TRUE,TRUE
2021,27,2021-07-11,4,0.49,Fully vaccinated,TRUE,TRUE
2021,28,2021-07-18,4,0.44,Fully vaccinated,TRUE,TRUE
2021,29,2021-07-25,18,2.03,Fully vaccinated,TRUE,TRUE
2021,30,2021-08-01,24,2.05,Fully vaccinated,TRUE,TRUE
2021,31,2021-08-08,33,2.37,Fully vaccinated,TRUE,TRUE
2021,32,2021-08-15,27,2.61,Fully vaccinated,TRUE,TRUE
2021,33,2021-08-22,26,1.93,Fully vaccinated,TRUE,TRUE
2021,34,2021-08-29,20,1.66,Fully vaccinated,TRUE,TRUE
2021,35,2021-09-05,14,1.34,Fully vaccinated,TRUE,TRUE
2021,36,2021-09-12,24,2.87,Fully vaccinated,TRUE,TRUE
2021,37,2021-09-19,28,3.18,Fully vaccinated,TRUE,TRUE
2021,38,2021-09-26,14,1.1,Fully vaccinated,TRUE,TRUE
2021,39,2021-10-03,9,1.46,Fully vaccinated,TRUE,TRUE
2021,40,2021-10-10,18,1.11,Fully vaccinated,TRUE,TRUE
2021,41,2021-10-17,33,2.22,Fully vaccinated,TRUE,TRUE
2021,42,2021-10-24,80,8.5,Fully vaccinated,TRUE,TRUE
2021,43,2021-10-31,108,11.21,Fully vaccinated,TRUE,TRUE
2021,44,2021-11-07,133,11.78,Fully vaccinated,TRUE,TRUE
2021,45,2021-11-14,210,19.1,Fully vaccinated,TRUE,TRUE
2021,46,2021-11-21,318,28.65,Fully vaccinated,TRUE,TRUE
2021,47,2021-11-28,386,37.47,Fully vaccinated,TRUE,TRUE
2021,48,2021-12-05,401,34.56,Fully vaccinated,TRUE,TRUE
2021,49,2021-12-12,426,36.05,Fully vaccinated,TRUE,TRUE
2021,50,2021-12-19,289,22.63,Fully vaccinated,TRUE,TRUE
2021,51,2021-12-26,170,18.85,Fully vaccinated,TRUE,TRUE
2021,52,2022-01-02,124,11.68,Fully vaccinated,TRUE,TRUE
2022,1,2022-01-09,68,5.6,Fully vaccinated,TRUE,TRUE
2022,2,2022-01-16,58,4.15,Fully vaccinated,TRUE,TRUE
2022,3,2022-01-23,49,5.6,Fully vaccinated,TRUE,TRUE
2022,4,2022-01-30,55,4.63,Fully vaccinated,TRUE,TRUE
2022,5,2022-02-06,76,7.15,Fully vaccinated,TRUE,TRUE
2022,6,2022-02-13,86,8.13,Fully vaccinated,TRUE,TRUE
2022,7,2022-02-20,99,9.11,Fully vaccinated,TRUE,TRUE
2022,8,2022-02-27,77,5.88,Fully vaccinated,TRUE,TRUE
2022,9,2022-03-06,90,9.24,Fully vaccinated,TRUE,TRUE
2022,10,2022-03-13,113,10.89,Fully vaccinated,TRUE,TRUE
2022,11,2022-03-20,176,17.01,Fully vaccinated,TRUE,TRUE
2022,12,2022-03-27,166,12.2,Fully vaccinated,TRUE,TRUE
2022,13,2022-04-03,168,16.48,Fully vaccinated,TRUE,TRUE
2022,14,2022-04-10,125,8.48,Fully vaccinated,TRUE,TRUE
2022,15,2022-04-17,105,8.7,Fully vaccinated,TRUE,TRUE
2022,16,2022-04-24,73,5.97,Fully vaccinated,TRUE,TRUE
2022,17,2022-05-01,50,5.72,Fully vaccinated,TRUE,TRUE
2022,18,2022-05-08,29,3.4,Fully vaccinated,TRUE,TRUE
2022,19,2022-05-15,18,1.68,Fully vaccinated,TRUE,TRUE
2022,20,2022-05-22,25,4.05,Fully vaccinated,TRUE,TRUE
2022,21,2022-05-29,11,0.82,Fully vaccinated,TRUE,TRUE
2022,22,2022-06-05,12,0.9,Fully vaccinated,TRUE,TRUE
2022,23,2022-06-12,9,0.51,Fully vaccinated,TRUE,TRUE
2022,24,2022-06-19,30,3.45,Fully vaccinated,TRUE,TRUE
2022,25,2022-06-26,38,3.77,Fully vaccinated,TRUE,TRUE
2022,26,2022-07-03,64,5.46,Fully vaccinated,TRUE,TRUE
2022,27,2022-07-10,47,3.88,Fully vaccinated,TRUE,TRUE
2022,28,2022-07-17,79,6.58,Fully vaccinated,TRUE,TRUE
2022,29,2022-07-24,88,6.94,Fully vaccinated,TRUE,TRUE
2022,30,2022-07-31,85,8.48,Fully vaccinated,TRUE,TRUE
2022,31,2022-08-07,75,6.69,Fully vaccinated,TRUE,TRUE
2022,32,2022-08-14,63,4.33,Fully vaccinated,TRUE,TRUE
2022,33,2022-08-21,52,4.41,Fully vaccinated,TRUE,TRUE
2022,34,2022-08-28,35,2.62,Fully vaccinated,TRUE,TRUE
2022,35,2022-09-04,33,1.92,Fully vaccinated,TRUE,TRUE
2022,36,2022-09-11,36,3.92,Fully vaccinated,TRUE,TRUE
2022,37,2022-09-18,26,1.81,Fully vaccinated,TRUE,TRUE
2022,38,2022-09-25,26,2.52,Fully vaccinated,TRUE,TRUE
2022,39,2022-10-02,47,4.22,Fully vaccinated,TRUE,TRUE
2022,40,2022-10-09,84,7.01,Fully vaccinated,TRUE,TRUE
2022,41,2022-10-16,93,7.65,Fully vaccinated,TRUE,TRUE
2022,42,2022-10-23,104,9.13,Fully vaccinated,TRUE,TRUE
2022,43,2022-10-30,72,6.85,Fully vaccinated,TRUE,TRUE
2022,44,2022-11-06,53,4.88,Fully vaccinated,TRUE,TRUE
2022,45,2022-11-13,44,4.02,Fully vaccinated,TRUE,TRUE
2022,46,2022-11-20,33,2.43,Fully vaccinated,TRUE,TRUE
2022,47,2022-11-27,22,2.15,Fully vaccinated,TRUE,TRUE
2022,48,2022-12-04,43,3.62,Fully vaccinated,TRUE,TRUE
2022,49,2022-12-11,42,4.31,Fully vaccinated,TRUE,TRUE
2022,50,2022-12-18,55,5.04,Fully vaccinated,TRUE,TRUE
2022,51,2022-12-25,80,10.17,Fully vaccinated,TRUE,TRUE
2022,52,2023-01-01,70,5.19,Fully vaccinated,TRUE,TRUE
2021,1,2021-01-10,0,0,Vaccinated,TRUE,TRUE
2021,2,2021-01-17,0,0,Vaccinated,TRUE,TRUE
2021,3,2021-01-24,0,0,Vaccinated,TRUE,TRUE
2021,4,2021-01-31,8,19.85,Vaccinated,TRUE,TRUE
2021,5,2021-02-07,32,12.66,Vaccinated,TRUE,TRUE
2021,6,2021-02-14,109,22.41,Vaccinated,TRUE,TRUE
2021,7,2021-02-21,155,26.44,Vaccinated,TRUE,TRUE
2021,8,2021-02-28,107,14.71,Vaccinated,TRUE,TRUE
2021,9,2021-03-07,72,9.35,Vaccinated,TRUE,TRUE
2021,10,2021-03-14,52,4.93,Vaccinated,TRUE,TRUE
2021,11,2021-03-21,27,2.88,Vaccinated,TRUE,TRUE
2021,12,2021-03-28,39,2.67,Vaccinated,TRUE,TRUE
2021,13,2021-04-04,14,1.51,Vaccinated,TRUE,TRUE
2021,14,2021-04-11,17,1.41,Vaccinated,TRUE,TRUE
2021,15,2021-04-18,21,2.23,Vaccinated,TRUE,TRUE
2021,16,2021-04-25,11,0.64,Vaccinated,TRUE,TRUE
2021,17,2021-05-02,15,1.74,Vaccinated,TRUE,TRUE
2021,18,2021-05-09,21,2.1,Vaccinated,TRUE,TRUE
2021,19,2021-05-16,17,1.94,Vaccinated,TRUE,TRUE
2021,20,2021-05-23,16,1.83,Vaccinated,TRUE,TRUE
2021,21,2021-05-30,4,0.86,Vaccinated,TRUE,TRUE
2021,22,2021-06-06,11,0.91,Vaccinated,TRUE,TRUE
2021,23,2021-06-13,7,0.8,Vaccinated,TRUE,TRUE
2021,24,2021-06-20,5,0.12,Vaccinated,TRUE,TRUE
2021,25,2021-06-27,3,0.09,Vaccinated,TRUE,TRUE
2021,26,2021-07-04,6,0.45,Vaccinated,TRUE,TRUE
2021,27,2021-07-11,4,0.45,Vaccinated,TRUE,TRUE
2021,28,2021-07-18,4,0.41,Vaccinated,TRUE,TRUE
2021,29,2021-07-25,21,2.03,Vaccinated,TRUE,TRUE
2021,30,2021-08-01,25,1.94,Vaccinated,TRUE,TRUE
2021,31,2021-08-08,39,3.17,Vaccinated,TRUE,TRUE
2021,32,2021-08-15,28,2.49,Vaccinated,TRUE,TRUE
2021,33,2021-08-22,27,1.84,Vaccinated,TRUE,TRUE
