#England resident population estimates (nomisweb.co.uk/datasets/pestsyoala)
year,age,pop
2001,0,557502
2001,1,572104
2001,2,586546
2001,3,596281
2001,4,611406
2001,5,607008
2001,6,608881
2001,7,623653
2001,8,630796
2001,9,650450
2001,10,660955
2001,11,650382
2001,12,642727
2001,13,650171
2001,14,633826
2001,15,625706
2001,16,629729
2001,17,607690
2001,18,593746
2001,19,588129
2001,20,612518
2001,21,616613
2001,22,599160
2001,23,576893
2001,24,581400
2001,25,603724
2001,26,630571
2001,27,654561
2001,28,696247
2001,29,735365
2001,30,756225
2001,31,750268
2001,32,770400
2001,33,777463
2001,34,796206
2001,35,796931
2001,36,798783
2001,37,790570
2001,38,776545
2001,39,756143
2001,40,736326
2001,41,708830
2001,42,694600
2001,43,685074
2001,44,663083
2001,45,640280
2001,46,624378
2001,47,627954
2001,48,621132
2001,49,615223
2001,50,617818
2001,51,636516
2001,52,657414
2001,53,707124
2001,54,745951
2001,55,607770
2001,56,593845
2001,57,579578
2001,58,553477
2001,59,498114
2001,60,467092
2001,61,487005
2001,62,488071
2001,63,482757
2001,64,470534
2001,65,456222
2001,66,441673
2001,67,423029
2001,68,419424
2001,69,419748
2001,70,418497
2001,71,406238
2001,72,389768
2001,73,372608
2001,74,365793
2001,75,354946
2001,76,339266
2001,77,326016
2001,78,313336
2001,79,311163
2001,80,308622
2001,81,287067
2001,82,200110
2001,83,160327
2001,84,162830
2001,85,155219
2001,86,148434
2001,87,130533
2001,88,111700
2001,89,92390
2001,90,320567
2002,0,559072
2002,1,559188
2002,2,574416
2002,3,589440
2002,4,599405
2002,5,614820
2002,6,610238
2002,7,611499
2002,8,626939
2002,9,632843
2002,10,652912
2002,11,663404
2002,12,650721
2002,13,642301
2002,14,648646
2002,15,632470
2002,16,626288
2002,17,630897
2002,18,611942
2002,19,602402
2002,20,596031
2002,21,623727
2002,22,631273
2002,23,614417
2002,24,590051
2002,25,592793
2002,26,613740
2002,27,639044
2002,28,662416
2002,29,702910
2002,30,737388
2002,31,758547
2002,32,752195
2002,33,771688
2002,34,778255
2002,35,797150
2002,36,798043
2002,37,799886
2002,38,791707
2002,39,777880
2002,40,759053
2002,41,738179
2002,42,710610
2002,43,696153
2002,44,686134
2002,45,659475
2002,46,637082
2002,47,620510
2002,48,624345
2002,49,618189
2002,50,613054
2002,51,615886
2002,52,634206
2002,53,654633
2002,54,703103
2002,55,743699
2002,56,602983
2002,57,589067
2002,58,576221
2002,59,549000
2002,60,494062
2002,61,462138
2002,62,481872
2002,63,482751
2002,64,477024
2002,65,463742
2002,66,449207
2002,67,434613
2002,68,415454
2002,69,411016
2002,70,410775
2002,71,408208
2002,72,395400
2002,73,378019
2002,74,360196
2002,75,352165
2002,76,340193
2002,77,323900
2002,78,309949
2002,79,296628
2002,80,292254
2002,81,287985
2002,82,265030
2002,83,185183
2002,84,145996
2002,85,146730
2002,86,138062
2002,87,130664
2002,88,113448
2002,89,95465
2002,90,330572
2003,0,575898
2003,1,559670
2003,2,561672
2003,3,577061
2003,4,592909
2003,5,603012
2003,6,618423
2003,7,614219
2003,8,614737
2003,9,630410
2003,10,635470
2003,11,655147
2003,12,665542
2003,13,651555
2003,14,642784
2003,15,650495
2003,16,634417
2003,17,630318
2003,18,637983
2003,19,622459
2003,20,608883
2003,21,607081
2003,22,636193
2003,23,645179
2003,24,628006
2003,25,600961
2003,26,603217
2003,27,622938
2003,28,647392
2003,29,669860
2003,30,705708
2003,31,739403
2003,32,761424
2003,33,753478
2003,34,772638
2003,35,779044
2003,36,797142
2003,37,798308
2003,38,800337
2003,39,792520
2003,40,777246
2003,41,758729
2003,42,737587
2003,43,710041
2003,44,695616
2003,45,684913
2003,46,658477
2003,47,636182
2003,48,618962
2003,49,622908
2003,50,615969
2003,51,609813
2003,52,612857
2003,53,630774
2003,54,650785
2003,55,696732
2003,56,739466
2003,57,596688
2003,58,583159
2003,59,571623
2003,60,544274
2003,61,489775
2003,62,456714
2003,63,476283
2003,64,476991
2003,65,470131
2003,66,456287
2003,67,441787
2003,68,427136
2003,69,407126
2003,70,401983
2003,71,401191
2003,72,397268
2003,73,383808
2003,74,365734
2003,75,347254
2003,76,337785
2003,77,324901
2003,78,307977
2003,79,293156
2003,80,278916
2003,81,273151
2003,82,266722
2003,83,242773
2003,84,170294
2003,85,131445
2003,86,130797
2003,87,121222
2003,88,113634
2003,89,96967
2003,90,339615
2004,0,597087
2004,1,575093
2004,2,560054
2004,3,563931
2004,4,579825
2004,5,596528
2004,6,606000
2004,7,621878
2004,8,617893
2004,9,617567
2004,10,632425
2004,11,636571
2004,12,655097
2004,13,665401
2004,14,649740
2004,15,644054
2004,16,652594
2004,17,636158
2004,18,636682
2004,19,649084
2004,20,630928
2004,21,624523
2004,22,627661
2004,23,656866
2004,24,666626
2004,25,641493
2004,26,611604
2004,27,612991
2004,28,632020
2004,29,655221
2004,30,671763
2004,31,707659
2004,32,740197
2004,33,762433
2004,34,753567
2004,35,773674
2004,36,779322
2004,37,796931
2004,38,798103
2004,39,800278
2004,40,790918
2004,41,775413
2004,42,757677
2004,43,735705
2004,44,708471
2004,45,694444
2004,46,683283
2004,47,656854
2004,48,634734
2004,49,616718
2004,50,619389
2004,51,612944
2004,52,605649
2004,53,609051
2004,54,626331
2004,55,646422
2004,56,690908
2004,57,735994
2004,58,591242
2004,59,577547
2004,60,567349
2004,61,538939
2004,62,484664
2004,63,450629
2004,64,469943
2004,65,469704
2004,66,462860
2004,67,448542
2004,68,433634
2004,69,418632
2004,70,398479
2004,71,392444
2004,72,390808
2004,73,385862
2004,74,371782
2004,75,352724
2004,76,333902
2004,77,322960
2004,78,309201
2004,79,291641
2004,80,275976
2004,81,260834
2004,82,253561
