year,week,ending,dead
2018,1,2018-01-06,-31.4
2018,2,2018-01-13,-18.54
2018,3,2018-01-20,-10.38
2018,4,2018-01-27,-6.41
2018,5,2018-02-03,2.74
2018,6,2018-02-10,-1.44
2018,7,2018-02-17,-8.06
2018,8,2018-02-24,-12.05
2018,9,2018-03-03,-20.32
2018,10,2018-03-10,-30.41
2018,11,2018-03-17,-36.27
2018,12,2018-03-24,-34.25
2018,13,2018-03-31,-32.33
2018,14,2018-04-07,-34.32
2018,15,2018-04-14,-33.26
2018,16,2018-04-21,-31.67
2018,17,2018-04-28,-30.46
2018,18,2018-05-05,-28.28
2018,19,2018-05-12,-25.4
2018,20,2018-05-19,-25.03
2018,21,2018-05-26,-28.94
2018,22,2018-06-02,-30.39
2018,23,2018-06-09,-25.12
2018,24,2018-06-16,-16.39
2018,25,2018-06-23,-13.71
2018,26,2018-06-30,-14.82
2018,27,2018-07-07,-13.41
2018,28,2018-07-14,-6.76
2018,29,2018-07-21,-2.99
2018,30,2018-07-28,0.15
2018,31,2018-08-04,0.41
2018,32,2018-08-11,-0.13
2018,33,2018-08-18,-4.98
2018,34,2018-08-25,-7.13
2018,35,2018-09-01,-4.42
2018,36,2018-09-08,-4.37
2018,37,2018-09-15,-11.76
2018,38,2018-09-22,-10.03
2018,39,2018-09-29,-4.52
2018,40,2018-10-06,0.67
2018,41,2018-10-13,3.24
2018,42,2018-10-20,-0.01
2018,43,2018-10-27,-2.75
2018,44,2018-11-03,1.06
2018,45,2018-11-10,0.73
2018,46,2018-11-17,0.01
2018,47,2018-11-24,4.49
2018,48,2018-12-01,5.22
2018,49,2018-12-08,2.61
2018,50,2018-12-15,-0.28
2018,51,2018-12-22,4.81
2018,52,2018-12-29,7.15
2019,1,2019-01-05,2.71
2019,2,2019-01-12,-3.88
2019,3,2019-01-19,-5.3
2019,4,2019-01-26,-3
2019,5,2019-02-02,-1.42
2019,6,2019-02-09,-7.7
2019,7,2019-02-16,-13.96
2019,8,2019-02-23,-12.97
2019,9,2019-03-02,-9.72
2019,10,2019-03-09,-6.46
2019,11,2019-03-16,-1.34
2019,12,2019-03-23,0.96
2019,13,2019-03-30,-2.03
2019,14,2019-04-06,-2.39
2019,15,2019-04-13,0.36
2019,16,2019-04-20,0.89
2019,17,2019-04-27,-0.27
2019,18,2019-05-04,-2.78
2019,19,2019-05-11,-3.74
2019,20,2019-05-18,-1.95
2019,21,2019-05-25,-5.12
2019,22,2019-06-01,-6.22
2019,23,2019-06-08,-7.01
2019,24,2019-06-15,-9.44
2019,25,2019-06-22,-12.87
2019,26,2019-06-29,-14.52
2019,27,2019-07-06,-17.21
2019,28,2019-07-13,-18.11
2019,29,2019-07-20,-23.78
2019,30,2019-07-27,-32.28
2019,31,2019-08-03,-33.85
2019,32,2019-08-10,-31
2019,33,2019-08-17,-28.37
2019,34,2019-08-24,-27.9
2019,35,2019-08-31,-29.87
2019,36,2019-09-07,-24.36
2019,37,2019-09-14,-18.93
2019,38,2019-09-21,-19.51
2019,39,2019-09-28,-23.96
2019,40,2019-10-05,-30.91
2019,41,2019-10-12,-37.27
2019,42,2019-10-19,-32.8
2019,43,2019-10-26,-34.39
2019,44,2019-11-02,-33.24
2019,45,2019-11-09,-32.78
2019,46,2019-11-16,-35.44
2019,47,2019-11-23,-33.88
2019,48,2019-11-30,-29.23
2019,49,2019-12-07,-32.18
2019,50,2019-12-14,-34.64
2019,51,2019-12-21,-34.41
2019,52,2019-12-28,-27.3
2020,1,2020-01-04,-11.66
2020,2,2020-01-11,3.29
2020,3,2020-01-18,15.1
2020,4,2020-01-25,22.59
2020,5,2020-02-01,30.44
2020,6,2020-02-08,39.83
2020,7,2020-02-15,43.7
2020,8,2020-02-22,38.66
2020,9,2020-02-29,35.94
2020,10,2020-03-07,36.44
2020,11,2020-03-14,41.71
2020,12,2020-03-21,41.9
2020,13,2020-03-28,36.88
2020,14,2020-04-04,36.69
2020,15,2020-04-11,39.18
2020,16,2020-04-18,44.33
2020,17,2020-04-25,39.74
2020,18,2020-05-02,35.86
2020,19,2020-05-09,29.83
2020,20,2020-05-16,27.2
2020,21,2020-05-23,26.74
2020,22,2020-05-30,25.6
2020,23,2020-06-06,19.97
2020,24,2020-06-13,16.28
2020,25,2020-06-20,14.24
2020,26,2020-06-27,19.87
2020,27,2020-07-04,21.04
2020,28,2020-07-11,20.04
2020,29,2020-07-18,19.18
2020,30,2020-07-25,24.57
2020,31,2020-08-01,31.39
2020,32,2020-08-08,31.17
2020,33,2020-08-15,30.59
2020,34,2020-08-22,28.94
2020,35,2020-08-29,24.82
2020,36,2020-09-05,20.76
2020,37,2020-09-12,15.84
2020,38,2020-09-19,11.26
2020,39,2020-09-26,16.19
2020,40,2020-10-03,10.19
2020,41,2020-10-10,8.18
2020,42,2020-10-17,13.74
2020,43,2020-10-24,15.5
2020,44,2020-10-31,18.69
2020,45,2020-11-07,19.01
2020,46,2020-11-14,16.47
2020,47,2020-11-21,22.81
2020,48,2020-11-28,26.13
2020,49,2020-12-05,28.75
2020,50,2020-12-12,37.55
2020,51,2020-12-19,46.08
2020,52,2020-12-26,58.46
2020,53,2021-01-02,69.27
2021,1,2021-01-09,76.67
2021,2,2021-01-16,84.84
2021,3,2021-01-23,90.39
2021,4,2021-01-30,88.53
2021,5,2021-02-06,86.29
2021,6,2021-02-13,77.05
2021,7,2021-02-20,68.83
2021,8,2021-02-27,71.68
2021,9,2021-03-06,65.2
2021,10,2021-03-13,60.75
2021,11,2021-03-20,59.46
2021,12,2021-03-27,59.89
2021,13,2021-04-03,55.56
2021,14,2021-04-10,56.19
2021,15,2021-04-17,54.52
2021,16,2021-04-24,55.74
2021,17,2021-05-01,58.38
2021,18,2021-05-08,57.2
2021,19,2021-05-15,52.22
2021,20,2021-05-22,56.5
2021,21,2021-05-29,52.37
2021,22,2021-06-05,51.46
2021,23,2021-06-12,57.29
2021,24,2021-06-19,57.19
2021,25,2021-06-26,52.83
2021,26,2021-07-03,58.86
2021,27,2021-07-10,59.52
2021,28,2021-07-17,61.77
2021,29,2021-07-24,63.36
2021,30,2021-07-31,65.61
2021,31,2021-08-07,75.41
2021,32,2021-08-14,83.73
2021,33,2021-08-21,89.04
2021,34,2021-08-28,91.09
2021,35,2021-09-04,102
2021,36,2021-09-11,113.31
2021,37,2021-09-18,110.78
2021,38,2021-09-25,109.94
2021,39,2021-10-02,108.13
2021,40,2021-10-09,102.28
2021,41,2021-10-16,104.08
2021,42,2021-10-23,94.6
2021,43,2021-10-30,82.48
2021,44,2021-11-06,78.04
2021,45,2021-11-13,72.53
2021,46,2021-11-20,70.88
2021,47,2021-11-27,75.68
2021,48,2021-12-04,75.03
2021,49,2021-12-11,85.94
2021,50,2021-12-18,103
2021,51,2021-12-25,120.68
2021,52,2022-01-01,134.08
2022,1,2022-01-08,143.43
2022,2,2022-01-15,150.07
2022,3,2022-01-22,156.89
2022,4,2022-01-29,148.38
2022,5,2022-02-05,132.94
2022,6,2022-02-12,110.1
2022,7,2022-02-19,93.89
2022,8,2022-02-26,90.33
2022,9,2022-03-05,87.45
2022,10,2022-03-12,83.73
2022,11,2022-03-19,86.34
2022,12,2022-03-26,90.42
2022,13,2022-04-02,98.07
2022,14,2022-04-09,101.47
2022,15,2022-04-16,105.11
2022,16,2022-04-23,102.57
2022,17,2022-04-30,104.95
2022,18,2022-05-07,112.2
2022,19,2022-05-14,114.21
2022,20,2022-05-21,113.99
2022,21,2022-05-28,111.67
2022,22,2022-06-04,112.12
2022,23,2022-06-11,113.7
2022,24,2022-06-18,113.67
2022,25,2022-06-25,107.3
2022,26,2022-07-02,103.59
2022,27,2022-07-09,110.53
2022,28,2022-07-16,113.72
2022,29,2022-07-23,113.9
2022,30,2022-07-30,110.68
2022,31,2022-08-06,106.43
2022,32,2022-08-13,113.61
2022,33,2022-08-20,113.15
2022,34,2022-08-27,117.56
2022,35,2022-09-03,116.35
2022,36,2022-09-10,124.11
2022,37,2022-09-17,131.92
2022,38,2022-09-24,137.41
2022,39,2022-10-01,139.22
2022,40,2022-10-08,140.5
2022,41,2022-10-15,130.18
2022,42,2022-10-22,134.35
2022,43,2022-10-29,133.87
2022,44,2022-11-05,140.1
2022,45,2022-11-12,146.02
2022,46,2022-11-19,139.55
2022,47,2022-11-26,143.03
2022,48,2022-12-03,146.75
2022,49,2022-12-10,143.3
2022,50,2022-12-17,140.81
2022,51,2022-12-24,135.28
2022,52,2022-12-31,136.87
2023,1,2023-01-07,152.24
2023,2,2023-01-14,165.81
2023,3,2023-01-21,175.97
2023,4,2023-01-28,181.7
2023,5,2023-02-04,181.17
2023,6,2023-02-11,186.31
2023,7,2023-02-18,182.98
2023,8,2023-02-25,181.54
2023,9,2023-03-04,186.04
2023,10,2023-03-11,179.25
2023,11,2023-03-18,173.12
2023,12,2023-03-25,167.49
2023,13,2023-04-01,166.02
2023,14,2023-04-08,160.65
2023,15,2023-04-15,159.37
2023,16,2023-04-22,157.76
2023,17,2023-04-29,165.77
2023,18,2023-05-06,165.62
2023,19,2023-05-13,161.71
2023,20,2023-05-20,161.9
2023,21,2023-05-27,168.88
2023,22,2023-06-03,170.18
2023,23,2023-06-10,161.84
2023,24,2023-06-17,160.44
2023,25,2023-06-24,161.82
2023,26,2023-07-01,170.07
2023,27,2023-07-08,169.37
2023,28,2023-07-15,169.05
2023,29,2023-07-22,173.06
2023,30,2023-07-29,178.84
2023,31,2023-08-05,184.19
2023,32,2023-08-12,190.65
2023,33,2023-08-19,192.32
2023,34,2023-08-26,192.39
2023,35,2023-09-02,192.22
2023,36,2023-09-09,185.98
2023,37,2023-09-16,186.95
2023,38,2023-09-23,197.09
2023,39,2023-09-30,196.81
2023,40,2023-10-07,194.2
2023,41,2023-10-14,195.39
2023,42,2023-10-21,197.37
2023,43,2023-10-28,196.7
2023,44,2023-11-04,195.38
2023,45,2023-11-11,184.69
2023,46,2023-11-18,180.24
2023,47,2023-11-25,179.84
2023,48,2023-12-02,173.43
2023,49,2023-12-09,180.85
2023,50,2023-12-16,184.35
2023,51,2023-12-23,195.75
2023,52,2023-12-30,214.81
2024,1,2024-01-06,235.98
2024,2,2024-01-13,257.14
2024,3,2024-01-20,275.96
2024,4,2024-01-27,276.05
2024,5,2024-02-03,259.53
2024,6,2024-02-10,276.67
2024,7,2024-02-17,269.71
2024,8,2024-02-24,272.42
2024,9,2024-03-02,270.14
2024,10,2024-03-09,267.59
2024,11,2024-03-16,262.3
2024,12,2024-03-23,266.43
2024,13,2024-03-30,269.56
2024,14,2024-04-06,267.82
2024,15,2024-04-13,259.29
2024,16,2024-04-20,255.4
2024,17,2024-04-27,250.4
2024,18,2024-05-04,245.03
2024,19,2024-05-11,243.29
2024,20,2024-05-18,243.32
2024,21,2024-05-25,240.39
2024,22,2024-06-01,241.78
2024,23,2024-06-08,238.05
2024,24,2024-06-15,239.18
2024,25,2024-06-22,241.53
2024,26,2024-06-29,239.92
2024,27,2024-07-06,245.15
2024,28,2024-07-13,247.71
2024,29,2024-07-20,256.87
2024,30,2024-07-27,262.05
2024,31,2024-08-03,267.14
2024,32,2024-08-10,271.49
2024,33,2024-08-17,273.8
2024,34,2024-08-24,271.05
2024,35,2024-08-31,267.86
2024,36,2024-09-07,267.77
2024,37,2024-09-14,267.42
2024,38,2024-09-21,262.54
2024,39,2024-09-28,256.8
2024,40,2024-10-05,256.47
2024,41,2024-10-12,245.94
2024,42,2024-10-19,252.53
2024,43,2024-10-26,242.12
2024,44,2024-11-02,238.18
2024,45,2024-11-09,241.19
2024,46,2024-11-16,237.99
2024,47,2024-11-23,254.43
2024,48,2024-11-30,258.53
2024,49,2024-12-07,257.4
2024,50,2024-12-14,257.73
2024,51,2024-12-21,261.89
2024,52,2024-12-28,273.45
2025,1,2025-01-04,282.33
2025,2,2025-01-11,292.26
2025,3,2025-01-18,299.53
2025,4,2025-01-25,308.34
2025,5,2025-02-01,315.65
2025,6,2025-02-08,317.92
2025,7,2025-02-15,314.29
2025,8,2025-02-22,314.73
2025,9,2025-03-01,311.81
2025,10,2025-03-08,305.88
2025,11,2025-03-15,301.06
2025,12,2025-03-22,303.3
2025,13,2025-03-29,304.79
2025,14,2025-04-05,305.92
2025,15,2025-04-12,304.95
