cause,type,date,dead
X44 drug deaths included,MCD COVID not subtracted,2018-01,7898
X44 drug deaths included,MCD COVID not subtracted,2018-02,6887
X44 drug deaths included,MCD COVID not subtracted,2018-03,7342
X44 drug deaths included,MCD COVID not subtracted,2018-04,6829
X44 drug deaths included,MCD COVID not subtracted,2018-05,7055
X44 drug deaths included,MCD COVID not subtracted,2018-06,6884
X44 drug deaths included,MCD COVID not subtracted,2018-07,7046
X44 drug deaths included,MCD COVID not subtracted,2018-08,6925
X44 drug deaths included,MCD COVID not subtracted,2018-09,6872
X44 drug deaths included,MCD COVID not subtracted,2018-10,7064
X44 drug deaths included,MCD COVID not subtracted,2018-11,6942
X44 drug deaths included,MCD COVID not subtracted,2018-12,7436
X44 drug deaths included,MCD COVID not subtracted,2019-01,7293
X44 drug deaths included,MCD COVID not subtracted,2019-02,6501
X44 drug deaths included,MCD COVID not subtracted,2019-03,7446
X44 drug deaths included,MCD COVID not subtracted,2019-04,6832
X44 drug deaths included,MCD COVID not subtracted,2019-05,6955
X44 drug deaths included,MCD COVID not subtracted,2019-06,6726
X44 drug deaths included,MCD COVID not subtracted,2019-07,7024
X44 drug deaths included,MCD COVID not subtracted,2019-08,6954
X44 drug deaths included,MCD COVID not subtracted,2019-09,6537
X44 drug deaths included,MCD COVID not subtracted,2019-10,7019
X44 drug deaths included,MCD COVID not subtracted,2019-11,7158
X44 drug deaths included,MCD COVID not subtracted,2019-12,7793
X44 drug deaths included,MCD COVID not subtracted,2020-01,7786
X44 drug deaths included,MCD COVID not subtracted,2020-02,7252
X44 drug deaths included,MCD COVID not subtracted,2020-03,8205
X44 drug deaths included,MCD COVID not subtracted,2020-04,9583
X44 drug deaths included,MCD COVID not subtracted,2020-05,9616
X44 drug deaths included,MCD COVID not subtracted,2020-06,8892
X44 drug deaths included,MCD COVID not subtracted,2020-07,9734
X44 drug deaths included,MCD COVID not subtracted,2020-08,9443
X44 drug deaths included,MCD COVID not subtracted,2020-09,8553
X44 drug deaths included,MCD COVID not subtracted,2020-10,8650
X44 drug deaths included,MCD COVID not subtracted,2020-11,9044
X44 drug deaths included,MCD COVID not subtracted,2020-12,10557
X44 drug deaths included,MCD COVID not subtracted,2021-01,11128
X44 drug deaths included,MCD COVID not subtracted,2021-02,9210
X44 drug deaths included,MCD COVID not subtracted,2021-03,9856
X44 drug deaths included,MCD COVID not subtracted,2021-04,9771
X44 drug deaths included,MCD COVID not subtracted,2021-05,9555
X44 drug deaths included,MCD COVID not subtracted,2021-06,9358
X44 drug deaths included,MCD COVID not subtracted,2021-07,9740
X44 drug deaths included,MCD COVID not subtracted,2021-08,11817
X44 drug deaths included,MCD COVID not subtracted,2021-09,11743
X44 drug deaths included,MCD COVID not subtracted,2021-10,10901
X44 drug deaths included,MCD COVID not subtracted,2021-11,10034
X44 drug deaths included,MCD COVID not subtracted,2021-12,11156
X44 drug deaths included,MCD COVID not subtracted,2022-01,11516
X44 drug deaths included,MCD COVID not subtracted,2022-02,9359
X44 drug deaths included,MCD COVID not subtracted,2022-03,9258
X44 drug deaths included,MCD COVID not subtracted,2022-04,8660
X44 drug deaths included,MCD COVID not subtracted,2022-05,8661
X44 drug deaths included,MCD COVID not subtracted,2022-06,8964
X44 drug deaths included,MCD COVID not subtracted,2022-07,9518
X44 drug deaths included,MCD COVID not subtracted,2022-08,8904
X44 drug deaths included,MCD COVID not subtracted,2022-09,8794
X44 drug deaths included,MCD COVID not subtracted,2022-10,9127
X44 drug deaths included,MCD COVID not subtracted,2022-11,9231
X44 drug deaths included,MCD COVID not subtracted,2022-12,10204
X44 drug deaths included,MCD COVID not subtracted,2023-01,9349
X44 drug deaths included,MCD COVID not subtracted,2023-02,8239
X44 drug deaths included,MCD COVID not subtracted,2023-03,9056
X44 drug deaths included,MCD COVID not subtracted,2023-04,8665
X44 drug deaths included,MCD COVID not subtracted,2023-05,8891
X44 drug deaths included,MCD COVID not subtracted,2023-06,8352
X44 drug deaths included,MCD COVID not subtracted,2023-07,8987
X44 drug deaths included,MCD COVID not subtracted,2023-08,8901
X44 drug deaths included,MCD COVID not subtracted,2023-09,8225
X44 drug deaths included,MCD COVID not subtracted,2023-10,8351
X44 drug deaths included,MCD COVID not subtracted,2023-11,8281
X44 drug deaths included,MCD COVID not subtracted,2023-12,8965
X44 drug deaths included,MCD COVID not subtracted,2024-01,8953
X44 drug deaths included,MCD COVID not subtracted,2024-02,8246
X44 drug deaths included,MCD COVID not subtracted,2024-03,8331
X44 drug deaths included,MCD COVID not subtracted,2024-04,8079
X44 drug deaths included,MCD COVID not subtracted,2024-05,8314
X44 drug deaths included,MCD COVID not subtracted,2024-06,6379
X44 drug deaths included,MCD COVID not subtracted,2024-07,6646
X44 drug deaths included,MCD COVID not subtracted,2024-08,7322
X44 drug deaths included,MCD COVID not subtracted,2024-09,8094
X44 drug deaths included,MCD COVID not subtracted,2024-10,9830
X44 drug deaths included,MCD COVID not subtracted,2024-11,5711
X44 drug deaths not included,MCD COVID not subtracted,2018-01,6330
X44 drug deaths not included,MCD COVID not subtracted,2018-02,5435
X44 drug deaths not included,MCD COVID not subtracted,2018-03,5756
X44 drug deaths not included,MCD COVID not subtracted,2018-04,5351
X44 drug deaths not included,MCD COVID not subtracted,2018-05,5503
X44 drug deaths not included,MCD COVID not subtracted,2018-06,5378
X44 drug deaths not included,MCD COVID not subtracted,2018-07,5522
X44 drug deaths not included,MCD COVID not subtracted,2018-08,5403
X44 drug deaths not included,MCD COVID not subtracted,2018-09,5360
X44 drug deaths not included,MCD COVID not subtracted,2018-10,5551
X44 drug deaths not included,MCD COVID not subtracted,2018-11,5549
X44 drug deaths not included,MCD COVID not subtracted,2018-12,5907
X44 drug deaths not included,MCD COVID not subtracted,2019-01,5835
X44 drug deaths not included,MCD COVID not subtracted,2019-02,5237
X44 drug deaths not included,MCD COVID not subtracted,2019-03,5852
X44 drug deaths not included,MCD COVID not subtracted,2019-04,5417
X44 drug deaths not included,MCD COVID not subtracted,2019-05,5392
X44 drug deaths not included,MCD COVID not subtracted,2019-06,5229
X44 drug deaths not included,MCD COVID not subtracted,2019-07,5403
X44 drug deaths not included,MCD COVID not subtracted,2019-08,5330
X44 drug deaths not included,MCD COVID not subtracted,2019-09,5010
X44 drug deaths not included,MCD COVID not subtracted,2019-10,5354
X44 drug deaths not included,MCD COVID not subtracted,2019-11,5473
X44 drug deaths not included,MCD COVID not subtracted,2019-12,6075
X44 drug deaths not included,MCD COVID not subtracted,2020-01,5952
X44 drug deaths not included,MCD COVID not subtracted,2020-02,5465
X44 drug deaths not included,MCD COVID not subtracted,2020-03,6055
X44 drug deaths not included,MCD COVID not subtracted,2020-04,7156
X44 drug deaths not included,MCD COVID not subtracted,2020-05,6631
X44 drug deaths not included,MCD COVID not subtracted,2020-06,6511
X44 drug deaths not included,MCD COVID not subtracted,2020-07,7234
X44 drug deaths not included,MCD COVID not subtracted,2020-08,6891
X44 drug deaths not included,MCD COVID not subtracted,2020-09,6260
X44 drug deaths not included,MCD COVID not subtracted,2020-10,6554
X44 drug deaths not included,MCD COVID not subtracted,2020-11,6818
X44 drug deaths not included,MCD COVID not subtracted,2020-12,8187
X44 drug deaths not included,MCD COVID not subtracted,2021-01,8425
X44 drug deaths not included,MCD COVID not subtracted,2021-02,6758
X44 drug deaths not included,MCD COVID not subtracted,2021-03,6816
X44 drug deaths not included,MCD COVID not subtracted,2021-04,6717
X44 drug deaths not included,MCD COVID not subtracted,2021-05,6599
X44 drug deaths not included,MCD COVID not subtracted,2021-06,6592
X44 drug deaths not included,MCD COVID not subtracted,2021-07,6923
X44 drug deaths not included,MCD COVID not subtracted,2021-08,8915
X44 drug deaths not included,MCD COVID not subtracted,2021-09,9016
X44 drug deaths not included,MCD COVID not subtracted,2021-10,8118
X44 drug deaths not included,MCD COVID not subtracted,2021-11,7360
X44 drug deaths not included,MCD COVID not subtracted,2021-12,8495
X44 drug deaths not included,MCD COVID not subtracted,2022-01,8725
X44 drug deaths not included,MCD COVID not subtracted,2022-02,6676
X44 drug deaths not included,MCD COVID not subtracted,2022-03,6333
X44 drug deaths not included,MCD COVID not subtracted,2022-04,5942
X44 drug deaths not included,MCD COVID not subtracted,2022-05,5902
X44 drug deaths not included,MCD COVID not subtracted,2022-06,6193
X44 drug deaths not included,MCD COVID not subtracted,2022-07,6620
X44 drug deaths not included,MCD COVID not subtracted,2022-08,6146
X44 drug deaths not included,MCD COVID not subtracted,2022-09,6177
X44 drug deaths not included,MCD COVID not subtracted,2022-10,6247
X44 drug deaths not included,MCD COVID not subtracted,2022-11,6458
X44 drug deaths not included,MCD COVID not subtracted,2022-12,7278
X44 drug deaths not included,MCD COVID not subtracted,2023-01,6443
X44 drug deaths not included,MCD COVID not subtracted,2023-02,5533
X44 drug deaths not included,MCD COVID not subtracted,2023-03,6002
X44 drug deaths not included,MCD COVID not subtracted,2023-04,5723
X44 drug deaths not included,MCD COVID not subtracted,2023-05,5800
X44 drug deaths not included,MCD COVID not subtracted,2023-06,5472
X44 drug deaths not included,MCD COVID not subtracted,2023-07,6139
X44 drug deaths not included,MCD COVID not subtracted,2023-08,5970
X44 drug deaths not included,MCD COVID not subtracted,2023-09,5569
X44 drug deaths not included,MCD COVID not subtracted,2023-10,5690
X44 drug deaths not included,MCD COVID not subtracted,2023-11,5753
X44 drug deaths not included,MCD COVID not subtracted,2023-12,6359
X44 drug deaths not included,MCD COVID not subtracted,2024-01,6528
X44 drug deaths not included,MCD COVID not subtracted,2024-02,5930
X44 drug deaths not included,MCD COVID not subtracted,2024-03,5978
X44 drug deaths not included,MCD COVID not subtracted,2024-04,5922
X44 drug deaths not included,MCD COVID not subtracted,2024-05,6260
X44 drug deaths not included,MCD COVID not subtracted,2024-06,6309
X44 drug deaths not included,MCD COVID not subtracted,2024-07,6646
X44 drug deaths not included,MCD COVID not subtracted,2024-08,7322
X44 drug deaths not included,MCD COVID not subtracted,2024-09,8094
X44 drug deaths not included,MCD COVID not subtracted,2024-10,9830
X44 drug deaths not included,MCD COVID not subtracted,2024-11,5711
X44 drug deaths not included,MCD COVID subtracted,2018-01,6330
X44 drug deaths not included,MCD COVID subtracted,2018-02,5435
X44 drug deaths not included,MCD COVID subtracted,2018-03,5756
X44 drug deaths not included,MCD COVID subtracted,2018-04,5351
X44 drug deaths not included,MCD COVID subtracted,2018-05,5503
X44 drug deaths not included,MCD COVID subtracted,2018-06,5378
