cause,date,dead
X42,1999-01,489
X42,1999-02,542
X42,1999-03,532
X42,1999-04,547
X42,1999-05,530
X42,1999-06,532
X42,1999-07,617
X42,1999-08,562
X42,1999-09,511
X42,1999-10,577
X42,1999-11,484
X42,1999-12,535
X42,2000-01,570
X42,2000-02,582
X42,2000-03,595
X42,2000-04,609
X42,2000-05,633
X42,2000-06,590
X42,2000-07,559
X42,2000-08,541
X42,2000-09,472
X42,2000-10,451
X42,2000-11,506
X42,2000-12,541
X42,2001-01,513
X42,2001-02,467
X42,2001-03,541
X42,2001-04,587
X42,2001-05,561
X42,2001-06,602
X42,2001-07,664
X42,2001-08,712
X42,2001-09,574
X42,2001-10,545
X42,2001-11,548
X42,2001-12,611
X42,2002-01,661
X42,2002-02,636
X42,2002-03,755
X42,2002-04,744
X42,2002-05,778
X42,2002-06,734
X42,2002-07,776
X42,2002-08,749
X42,2002-09,645
X42,2002-10,738
X42,2002-11,737
X42,2002-12,711
X42,2003-01,806
X42,2003-02,752
X42,2003-03,810
X42,2003-04,761
X42,2003-05,853
X42,2003-06,798
X42,2003-07,873
X42,2003-08,796
X42,2003-09,752
X42,2003-10,807
X42,2003-11,756
X42,2003-12,768
X42,2004-01,838
X42,2004-02,835
X42,2004-03,894
X42,2004-04,797
X42,2004-05,865
X42,2004-06,882
X42,2004-07,923
X42,2004-08,834
X42,2004-09,769
X42,2004-10,829
X42,2004-11,707
X42,2004-12,834
X42,2005-01,870
X42,2005-02,848
X42,2005-03,985
X42,2005-04,973
X42,2005-05,941
X42,2005-06,907
X42,2005-07,941
X42,2005-08,906
X42,2005-09,945
X42,2005-10,949
X42,2005-11,909
X42,2005-12,959
X42,2006-01,1016
X42,2006-02,1005
X42,2006-03,1150
X42,2006-04,1133
X42,2006-05,1163
X42,2006-06,1178
X42,2006-07,1222
X42,2006-08,1173
X42,2006-09,1062
X42,2006-10,1079
X42,2006-11,986
X42,2006-12,1035
X42,2007-01,1045
X42,2007-02,978
X42,2007-03,1097
X42,2007-04,1057
X42,2007-05,1021
X42,2007-06,1032
X42,2007-07,1030
X42,2007-08,1042
X42,2007-09,1037
X42,2007-10,999
X42,2007-11,999
X42,2007-12,1127
X42,2008-01,1049
X42,2008-02,1064
X42,2008-03,1063
X42,2008-04,1048
X42,2008-05,1115
X42,2008-06,962
X42,2008-07,1005
X42,2008-08,946
X42,2008-09,894
X42,2008-10,949
X42,2008-11,930
X42,2008-12,995
X42,2009-01,1029
X42,2009-02,965
X42,2009-03,1014
X42,2009-04,976
X42,2009-05,1033
X42,2009-06,916
X42,2009-07,970
X42,2009-08,928
X42,2009-09,977
X42,2009-10,940
X42,2009-11,878
X42,2009-12,983
X42,2010-01,911
X42,2010-02,924
X42,2010-03,1000
X42,2010-04,894
X42,2010-05,976
X42,2010-06,918
X42,2010-07,933
X42,2010-08,976
X42,2010-09,912
X42,2010-10,963
