date,type,age,reports,dead
2020-12-10,Pfizer,18,1,0
2020-12-11,Pfizer,,2,0
2020-12-11,Pfizer,18,11,0
2020-12-11,Pfizer,65,1,0
2020-12-14,Pfizer,,5,0
2020-12-14,Pfizer,18,95,0
2020-12-14,Pfizer,3,1,0
2020-12-14,Pfizer,65,4,0
2020-12-14,Pfizer,85,2,0
2020-12-15,Pfizer,,3,0
2020-12-15,Pfizer,18,103,0
2020-12-15,Pfizer,65,3,0
2020-12-15,Pfizer,85,1,0
2020-12-16,Pfizer,,6,0
2020-12-16,Pfizer,18,64,0
2020-12-16,Pfizer,65,6,0
2020-12-16,Pfizer,85,1,0
2020-12-17,Pfizer,,11,0
2020-12-17,Pfizer,18,71,0
2020-12-17,Pfizer,65,5,0
2020-12-17,Pfizer,85,4,0
2020-12-18,Pfizer,,8,0
2020-12-18,Pfizer,12,1,0
2020-12-18,Pfizer,18,83,0
2020-12-18,Pfizer,65,4,0
2020-12-18,Pfizer,85,3,0
2020-12-21,Pfizer,,16,0
2020-12-21,Pfizer,12,1,0
2020-12-21,Pfizer,18,216,0
2020-12-21,Pfizer,3,1,0
2020-12-21,Pfizer,65,24,0
2020-12-21,Pfizer,85,24,0
2020-12-22,Pfizer,,16,0
2020-12-22,Pfizer,18,124,0
2020-12-22,Pfizer,65,18,0
2020-12-22,Pfizer,85,10,0
2020-12-23,Pfizer,,18,1
2020-12-23,Pfizer,12,1,0
2020-12-23,Pfizer,18,197,0
2020-12-23,Pfizer,65,35,1
2020-12-23,Pfizer,85,20,0
2020-12-24,Pfizer,,16,0
2020-12-24,Pfizer,18,142,0
2020-12-24,Pfizer,65,21,2
2020-12-24,Pfizer,85,11,1
2020-12-25,Pfizer,,16,0
2020-12-25,Pfizer,18,160,1
2020-12-25,Pfizer,65,24,0
2020-12-25,Pfizer,85,19,1
2020-12-28,Pfizer,,9,0
2020-12-28,Pfizer,12,2,0
2020-12-28,Pfizer,18,54,0
2020-12-28,Pfizer,65,8,0
2020-12-28,Pfizer,85,1,0
