"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"2018"	"2018"	21467	3848208	557.8
	"< 1 year"	"0"	"2019"	"2019"	20921	3783052	553.0
	"< 1 year"	"0"	"2020"	"2020"	19582	3735010	524.3
	"< 1 year"	"0"	"2021"	"2021"	19920	3564493	558.8
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	20516	3564493	575.6
	"< 1 year"	"0"	"2023 (provisional and partial)"	"2023"	16500	3564493	462.9
"Total"	"< 1 year"	"0"			118906	22059749	539.0
	"1 year"	"1"	"2018"	"2018"	1448	3912900	37.0
	"1 year"	"1"	"2019"	"2019"	1474	3829599	38.5
	"1 year"	"1"	"2020"	"2020"	1364	3773884	36.1
	"1 year"	"1"	"2021"	"2021"	1490	3702936	40.2
	"1 year"	"1"	"2022 (provisional)"	"2022"	1613	3702936	43.6
	"1 year"	"1"	"2023 (provisional and partial)"	"2023"	1348	3702936	36.4
"Total"	"1 year"	"1"			8737	22625191	38.6
	"2 years"	"2"	"2018"	"2018"	1047	3991437	26.2
	"2 years"	"2"	"2019"	"2019"	916	3922044	23.4
	"2 years"	"2"	"2020"	"2020"	889	3853025	23.1
	"2 years"	"2"	"2021"	"2021"	960	3767428	25.5
	"2 years"	"2"	"2022 (provisional)"	"2022"	1055	3767428	28.0
	"2 years"	"2"	"2023 (provisional and partial)"	"2023"	872	3767428	23.1
"Total"	"2 years"	"2"			5739	23068790	24.9
	"3 years"	"3"	"2018"	"2018"	745	4036562	18.5
	"3 years"	"3"	"2019"	"2019"	710	3998665	17.8
	"3 years"	"3"	"2020"	"2020"	725	3921526	18.5
	"3 years"	"3"	"2021"	"2021"	737	3856743	19.1
	"3 years"	"3"	"2022 (provisional)"	"2022"	841	3856743	21.8
	"3 years"	"3"	"2023 (provisional and partial)"	"2023"	688	3856743	17.8
"Total"	"3 years"	"3"			4446	23526982	18.9
	"4 years"	"4"	"2018"	"2018"	590	4021168	14.7
	"4 years"	"4"	"2019"	"2019"	576	4043323	14.2
