date,age,dead,pop
2009-01,0,297,5400265
2009-01,5,49,5756629
2009-01,10,50,5976291
2009-01,15,113,6124148
2009-01,20,269,7065960
2009-01,25,311,7589174
2009-01,30,453,8866323
2009-01,35,664,9643616
2009-01,40,964,8456167
2009-01,45,1339,7776420
2009-01,50,2144,7786430
2009-01,55,4110,9628073
2009-01,60,5827,9079592
2009-01,65,7664,8145055
2009-01,70,10872,6941733
2009-01,75,16005,5734703
2009-01,80,20206,4113044
2009-01,85,19077,2218631
2009-01,90,14618,956573
2009-01,95,6761,296191
2009-01,100,1459,43577
2009-02,0,275,5398650
2009-02,5,50,5747677
2009-02,10,33,5973209
2009-02,15,87,6116130
2009-02,20,221,7053440
2009-02,25,304,7577735
2009-02,30,371,8828044
2009-02,35,638,9651457
2009-02,40,793,8471561
2009-02,45,1146,7775233
2009-02,50,1822,7778268
2009-02,55,3438,9564405
2009-02,60,4840,9115032
2009-02,65,6551,8178302
2009-02,70,9228,6936070
2009-02,75,13207,5742902
2009-02,80,16590,4128554
2009-02,85,15947,2232709
2009-02,90,11763,957332
2009-02,95,5678,299201
2009-02,100,1261,44348
2009-03,0,306,5397007
2009-03,5,42,5739616
2009-03,10,47,5970229
2009-03,15,106,6109379
2009-03,20,300,7041284
2009-03,25,329,7567615
2009-03,30,464,8793958
2009-03,35,689,9658127
2009-03,40,904,8485572
2009-03,45,1264,7774946
2009-03,50,1975,7771649
2009-03,55,3754,9506880
2009-03,60,5418,9147488
2009-03,65,7198,8208454
2009-03,70,9493,6930909
2009-03,75,14025,5750328
2009-03,80,17620,4142416
2009-03,85,16678,2245527
2009-03,90,12364,958034
2009-03,95,6076,301820
2009-03,100,1291,45023
2009-04,0,307,5394924
2009-04,5,44,5730751
2009-04,10,37,5966789
2009-04,15,138,6102507
2009-04,20,261,7026637
2009-04,25,307,7556658
2009-04,30,405,8757135
2009-04,35,635,9665343
2009-04,40,813,8501096
2009-04,45,1197,7775935
2009-04,50,1945,7765082
2009-04,55,3496,9443693
2009-04,60,5055,9184214
2009-04,65,6647,8241382
2009-04,70,8897,6925399
2009-04,75,13070,5758698
2009-04,80,16534,4157581
2009-04,85,15345,2259721
2009-04,90,11434,958906
2009-04,95,5579,304543
2009-04,100,1261,45728
2009-05,0,313,5392588
2009-05,5,41,5722262
2009-05,10,38,5963394
2009-05,15,133,6096520
2009-05,20,234,7011023
2009-05,25,300,7546312
2009-05,30,434,8722791
2009-05,35,679,9672440
2009-05,40,910,8516026
2009-05,45,1228,7778634
2009-05,50,1857,7759417
2009-05,55,3593,9383566
2009-05,60,4993,9220842
2009-05,65,6834,8272214
2009-05,70,9081,6920521
2009-05,75,12891,5767072
2009-05,80,16367,4172057
2009-05,85,15290,2273352
2009-05,90,11226,959920
2009-05,95,5435,306936
2009-05,100,1195,46351
2009-06,0,303,5389782
2009-06,5,40,5713618
2009-06,10,39,5959900
2009-06,15,125,6091081
2009-06,20,218,6993134
2009-06,25,259,7535899
2009-06,30,395,8689034
2009-06,35,618,9680197
2009-06,40,771,8531247
2009-06,45,1132,7783685
2009-06,50,1808,7754203
2009-06,55,3308,9323041
2009-06,60,4809,9260129
2009-06,65,6354,8302383
2009-06,70,8358,6916218
2009-06,75,12167,5776142
2009-06,80,14755,4186787
2009-06,85,13747,2287211
2009-06,90,10064,961226
2009-06,95,4787,309087
2009-06,100,1064,46918
2009-07,0,289,5386628
2009-07,5,41,5705408
2009-07,10,40,5956607
2009-07,15,149,6086603
2009-07,20,247,6973870
2009-07,25,304,7526103
2009-07,30,395,8658425
2009-07,35,635,9688403
2009-07,40,855,8545669
2009-07,45,1207,7791207
2009-07,50,1864,7749702
2009-07,55,3279,9266553
2009-07,60,4855,9299840
2009-07,65,6464,8329347
2009-07,70,8388,6913025
2009-07,75,12138,5785451
2009-07,80,15118,4200802
2009-07,85,14132,2300293
2009-07,90,10413,962816
2009-07,95,4916,310790
2009-07,100,1111,47372
2009-08,0,254,5382856
2009-08,5,42,5697117
2009-08,10,45,5953378
2009-08,15,150,6082850
2009-08,20,237,6951679
2009-08,25,273,7516281
2009-08,30,409,8629321
2009-08,35,611,9697908
2009-08,40,814,8560143
2009-08,45,1184,7802163
2009-08,50,1843,7745539
2009-08,55,3298,9210889
2009-08,60,4910,9342939
2009-08,65,6600,8354282
2009-08,70,8308,6910998
2009-08,75,12444,5795753
2009-08,80,15558,4215016
2009-08,85,14513,2313353
2009-08,90,10523,964878
2009-08,95,5279,312088
2009-08,100,1173,47726
2009-09,0,261,5378498
2009-09,5,44,5689058
2009-09,10,38,5950406
2009-09,15,121,6080051
2009-09,20,249,6926896
2009-09,25,276,7506777
2009-09,30,400,8603190
2009-09,35,643,9708765
2009-09,40,846,8574066
2009-09,45,1095,7816826
2009-09,50,1712,7741794
2009-09,55,3161,9158537
2009-09,60,4762,9388456
2009-09,65,6418,8375612
2009-09,70,8374,6910536
2009-09,75,12151,5806885
2009-09,80,15477,4228937
2009-09,85,14463,2325829
2009-09,90,10690,967447
2009-09,95,5170,312845
2009-09,100,1146,47946
2009-10,0,260,5373669
2009-10,5,48,5681510
2009-10,10,31,5947851
2009-10,15,110,6078307
2009-10,20,244,6900198
2009-10,25,301,7497892
2009-10,30,366,8581102
2009-10,35,648,9720841
2009-10,40,923,8586918
2009-10,45,1241,7834971
2009-10,50,1856,7738496
2009-10,55,3413,9111549
2009-10,60,5121,9435101
2009-10,65,6854,8392228
2009-10,70,9200,6911832
2009-10,75,13201,5818573
2009-10,80,16669,4242110
2009-10,85,15983,2337237
2009-10,90,11409,970494
2009-10,95,5754,312997
2009-10,100,1221,48012
2009-11,0,289,5368078
2009-11,5,38,5673961
2009-11,10,39,5945566
2009-11,15,121,6077472
2009-11,20,229,6869915
2009-11,25,291,7488995
2009-11,30,371,8561538
2009-11,35,667,9734887
2009-11,40,831,8599703
2009-11,45,1212,7857605
2009-11,50,1794,7735349
2009-11,55,3383,9066869
2009-11,60,5176,9486029
2009-11,65,6833,8404919
2009-11,70,9115,6915033
2009-11,75,13472,5831607
2009-11,80,17416,4255407
2009-11,85,16617,2348340
2009-11,90,12002,974227
2009-11,95,5760,312565
2009-11,100,1323,47932
2009-12,0,306,5362213
2009-12,5,55,5666850
2009-12,10,51,5943661
2009-12,15,114,6077474
2009-12,20,251,6838484
2009-12,25,304,7480572
2009-12,30,464,8545261
2009-12,35,659,9749586
2009-12,40,945,8612003
2009-12,45,1334,7882402
2009-12,50,2068,7732484
2009-12,55,3698,9026978
2009-12,60,5839,9537723
2009-12,65,7627,8412862
2009-12,70,10216,6919782
2009-12,75,14716,5845030
2009-12,80,19108,4267978
2009-12,85,18137,2358539
2009-12,90,13241,978337
2009-12,95,6606,311672
2009-12,100,1445,47733
2010-01,0,298,5355819
2010-01,5,39,5659650
2010-01,10,55,5941967
2010-01,15,145,6078175
2010-01,20,233,6804334
2010-01,25,295,7471968
2010-01,30,451,8530644
2010-01,35,675,9765471
2010-01,40,857,8625074
2010-01,45,1322,7910075
2010-01,50,1912,7729637
2010-01,55,3682,8988774
2010-01,60,5886,9593376
2010-01,65,7727,8416600
2010-01,70,10276,6926229
2010-01,75,15274,5859609
2010-01,80,20074,4280669
2010-01,85,19503,2368647
2010-01,90,14300,983021
2010-01,95,7105,310359
2010-01,100,1581,47423
2010-02,0,300,5349224
2010-02,5,29,5652545
2010-02,10,39,5940510
2010-02,15,95,6079450
2010-02,20,221,6769017
2010-02,25,282,7463369
2010-02,30,395,8517714
2010-02,35,620,9781608
2010-02,40,814,8638956
2010-02,45,1085,7938878
2010-02,50,1769,7726828
2010-02,55,3242,8953183
2010-02,60,5161,9651043
2010-02,65,6795,8415807
2010-02,70,9149,6934068
2010-02,75,13442,5874780
2010-02,80,17060,4293064
2010-02,85,17059,2378449
2010-02,90,12592,988071
2010-02,95,6103,308753
2010-02,100,1454,47033
2010-03,0,307,5343212
2010-03,5,42,5646165
2010-03,10,51,5939363
2010-03,15,130,6080977
2010-03,20,247,6736562
2010-03,25,338,7455526
2010-03,30,439,8507021
2010-03,35,649,9796018
2010-03,40,886,8652566
2010-03,45,1307,7965062
2010-03,50,1916,7724260
2010-03,55,3371,8922903
2010-03,60,5559,9704643
2010-03,65,7252,8411208
2010-03,70,9482,6942203
2010-03,75,14183,5888882
2010-03,80,18328,4304014
2010-03,85,17769,2387150
2010-03,90,12973,992884
2010-03,95,6555,307139
2010-03,100,1504,46631
2010-04,0,287,5336624
2010-04,5,38,5639092
2010-04,10,44,5938240
2010-04,15,98,6082954
2010-04,20,256,6700512
2010-04,25,289,7446669
2010-04,30,425,8495760
2010-04,35,638,9811365
2010-04,40,849,8669233
2010-04,45,1121,7993350
2010-04,50,1871,7721312
2010-04,55,3311,8891026
2010-04,60,5344,9765420
2010-04,65,6968,8401827
2010-04,70,9002,6952218
2010-04,75,13365,5904817
2010-04,80,17475,4315872
2010-04,85,17090,2396740
2010-04,90,12498,998417
2010-04,95,6142,305266
2010-04,100,1440,46154
2010-05,0,314,5330443
2010-05,5,36,5632188
2010-05,10,42,5937262
2010-05,15,120,6085028
2010-05,20,226,6665997
2010-05,25,273,7437835
2010-05,30,409,8484932
2010-05,35,636,9825191
2010-05,40,856,8687371
2010-05,45,1269,8019144
2010-05,50,1850,7718284
2010-05,55,3237,8861409
2010-05,60,5411,9825434
2010-05,65,6944,8388471
2010-05,70,9022,6962761
2010-05,75,13517,5920440
2010-05,80,17182,4327090
2010-05,85,16838,2406099
2010-05,90,12359,1003905
2010-05,95,6087,303464
2010-05,100,1409,45682
2010-06,0,272,5324395
2010-06,5,30,5624939
2010-06,10,48,5936321
2010-06,15,122,6087199
2010-06,20,215,6631239
2010-06,25,280,7428343
2010-06,30,356,8473272
2010-06,35,631,9837971
2010-06,40,824,8708627
2010-06,45,1089,8043225
2010-06,50,1769,7714901
2010-06,55,3031,8831634
2010-06,60,5138,9888431
2010-06,65,6195,8370261
2010-06,70,8478,6974366
2010-06,75,12428,5936668
2010-06,80,15794,4338426
2010-06,85,15520,2415982
2010-06,90,11262,1009639
2010-06,95,5680,301715
2010-06,100,1306,45207
2010-07,0,264,5319000
2010-07,5,48,5617763
2010-07,10,39,5935440
2010-07,15,133,6089197
2010-07,20,218,6598983
2010-07,25,311,7418713
2010-07,30,403,8461014
2010-07,35,678,9848451
2010-07,40,869,8732047
2010-07,45,1256,8063140
2010-07,50,1877,7711308
2010-07,55,3246,8803195
2010-07,60,5413,9950104
2010-07,65,6843,8348383
2010-07,70,8988,6986126
2010-07,75,12866,5952329
2010-07,80,16612,4349155
2010-07,85,15999,2425876
2010-07,90,11641,1015176
2010-07,95,5730,300228
2010-07,100,1296,44783
2010-08,0,259,5314035
2010-08,5,43,5610126
2010-08,10,53,5934517
2010-08,15,128,6091019
2010-08,20,243,6567603
2010-08,25,298,7408210
2010-08,30,407,8446796
2010-08,35,582,9856883
2010-08,40,884,8759630
2010-08,45,1154,8079278
2010-08,50,1789,7707193
2010-08,55,3288,8773754
2010-08,60,5584,10014310
2010-08,65,6740,8321392
2010-08,70,8894,6998655
