date,age,dead,pop
2009-01,0,6,5211925.49573778
2009-01,5,10,5794762.77796742
2009-01,10,5,5956264.23071728
2009-01,15,13,6003326.99024222
2009-01,20,23,7019450.2670626
2009-01,25,24,7714897.12931622
2009-01,30,63,9196108.48908593
2009-01,35,146,9588013.67249382
2009-01,40,263,5921371.12077636
2009-01,45,418,10375350.1789387
2009-01,50,834,8263545.82776082
2009-01,55,1718,9234392.84874911
2009-01,60,2583,5002876.91404081
2009-01,65,3321,12470771.1083526
2009-01,70,4108,7059271.94077151
2009-01,75,5232,5683443.3392809
2009-01,80,5056,4282997.4561169
2009-01,85,3417,2102520.60810898
2009-01,90,1815,982863.271706154
2009-01,95,557,244483.954081412
2009-01,100,74,44501.9395955001
2009-02,0,9,5221069.68612652
2009-02,5,9,5785321.8247166
2009-02,10,3,5954807.97486164
2009-02,15,10,6013107.91971626
2009-02,20,17,6986453.0068125
2009-02,25,26,7697318.71211618
2009-02,30,51,9150046.55593103
2009-02,35,127,9621925.9839785
2009-02,40,202,6148973.6677827
2009-02,45,384,10176194.5094379
2009-02,50,683,8216883.22056083
2009-02,55,1476,9220890.5615927
2009-02,60,2249,5425154.89495376
2009-02,65,2941,12121895.7302742
2009-02,70,3757,7044115.54663748
2009-02,75,4478,5699105.57365487
2009-02,80,4481,4282918.51430194
2009-02,85,3081,2122216.12088643
2009-02,90,1509,983550.569173127
2009-02,95,486,247954.427497057
2009-02,100,65,44250.3717812692
2009-03,0,12,5228869.6240914
2009-03,5,4,5776727.63201275
2009-03,10,8,5953555.52908271
2009-03,15,14,6021371.55482833
2009-03,20,24,6957491.58337082
2009-03,25,21,7681606.8047181
2009-03,30,71,9109183.1462725
2009-03,35,130,9650516.32477624
2009-03,40,227,6345721.62710653
2009-03,45,410,10005305.0410898
2009-03,50,756,8176678.01648985
2009-03,55,1623,9207331.569235
2009-03,60,2451,5789162.71688248
2009-03,65,3301,11821304.5592544
2009-03,70,3948,7031785.1092713
2009-03,75,4952,5713284.07363815
2009-03,80,4975,4283346.91992585
2009-03,85,3406,2139779.79262331
2009-03,90,1662,984330.408811753
2009-03,95,535,251006.273965887
2009-03,100,67,44046.6376909689
2009-04,0,9,5237008.45364454
2009-04,5,6,5767145.08669167
2009-04,10,7,5952232.18483932
2009-04,15,8,6029904.92188816
2009-04,20,17,6926345.04044144
2009-04,25,31,7664388.97768014
2009-04,30,62,9064750.88312991
2009-04,35,142,9679950.82748789
2009-04,40,226,6553998.6599883
2009-04,45,381,9825835.92348208
2009-04,50,761,8134268.21349029
2009-04,55,1615,9190866.1009488
2009-04,60,2426,6173301.65727292
2009-04,65,3145,11504247.387512
2009-04,70,3851,7019606.39568998
2009-04,75,4877,5729006.16947749
2009-04,80,4796,4284360.82296868
2009-04,85,3215,2158979.68437888
2009-04,90,1600,985367.281452088
2009-04,95,518,254295.192368384
2009-04,100,59,43846.5294180724
2009-05,0,15,5244399.25738149
2009-05,5,12,5757810.50340383
2009-05,10,12,5951008.59545892
2009-05,15,13,6037563.10052089
2009-05,20,17,6897106.83762705
2009-05,25,18,7647898.62744372
2009-05,30,66,9022550.91380065
2009-05,35,148,9706254.74003063
2009-05,40,252,6746221.81492332
2009-05,45,411,9661667.10616524
2009-05,50,765,8095284.61143351
2009-05,55,1624,9173532.39380263
2009-05,60,2513,6526564.35973608
2009-05,65,3373,11212832.4253975
2009-05,70,4088,7009262.53299447
2009-05,75,5017,5744234.780849
2009-05,80,4915,4285868.40437533
2009-05,85,3292,2177318.85897706
2009-05,90,1638,986541.690197493
2009-05,95,504,257389.769327752
2009-05,100,59,43677.7998564774
2009-06,0,10,5251547.15134329
2009-06,5,9,5748108.44580947
2009-06,10,11,5949796.50115542
2009-06,15,13,6044873.80737514
2009-06,20,11,6867811.97489594
2009-06,25,29,7631030.48713768
2009-06,30,72,8979758.35319481
2009-06,35,132,9731223.54154188
2009-06,40,231,6935442.05786561
2009-06,45,381,9501614.43061493
2009-06,50,720,8057079.05194294
2009-06,55,1585,9154233.76439888
2009-06,60,2481,6872923.99927585
2009-06,65,3243,10927274.9820054
2009-06,70,3953,7000030.11417599
2009-06,75,4948,5759973.60771321
2009-06,80,4706,4287955.74195044
2009-06,85,3166,2196024.59639164
2009-06,90,1656,987929.162423838
2009-06,95,478,260498.140247582
2009-06,100,72,43528.6184524717
2009-07,0,4,5258002.84661788
2009-07,5,10,5738671.42847669
2009-07,10,10,5948667.70045724
2009-07,15,12,6051381.82080939
2009-07,20,19,6840335.33218088
2009-07,25,28,7614867.16650994
2009-07,30,73,8939122.9521097
2009-07,35,146,9753286.43485626
2009-07,40,233,7109677.62098732
2009-07,45,371,9355774.55331134
2009-07,50,792,8022069.26508608
2009-07,55,1573,9134271.6632409
2009-07,60,2416,7190439.05493748
2009-07,65,3256,10665656.363969
2009-07,70,3974,6992472.40954988
2009-07,75,5054,5775196.19476841
2009-07,80,4960,4290474.35830164
2009-07,85,3414,2213894.54349052
2009-07,90,1767,989437.535597747
2009-07,95,529,263421.517047916
2009-07,100,69,43408.0527891243
2009-08,0,6,5264209.11868213
2009-08,5,9,5728877.18612939
2009-08,10,4,5947540.25282374
2009-08,15,19,6057538.17979236
2009-08,20,18,6812829.34679015
2009-08,25,28,7598325.20066324
2009-08,30,55,8897924.130005
