location,age,dose,month,dead,pop
All selected cities,80over,0,2021-02,1030,7641491
All selected cities,80over,1,2021-02,0,7
All selected cities,80over,2,2021-02,0,0
All selected cities,80over,3,2021-02,0,0
All selected cities,80over,4,2021-02,0,0
All selected cities,80over,5,2021-02,0,0
All selected cities,80over,6,2021-02,0,0
All selected cities,80over,7,2021-02,0,0
All selected cities,all,0,2021-02,1544,64305049
All selected cities,all,1,2021-02,0,2144
All selected cities,all,2,2021-02,0,0
All selected cities,all,3,2021-02,0,0
All selected cities,all,4,2021-02,0,0
All selected cities,all,5,2021-02,0,0
All selected cities,all,6,2021-02,0,0
All selected cities,all,7,2021-02,0,0
All selected cities,80over,0,2021-03,1360,8421617
All selected cities,80over,1,2021-03,0,442
All selected cities,80over,2,2021-03,0,33
All selected cities,80over,3,2021-03,0,0
All selected cities,80over,4,2021-03,0,0
All selected cities,80over,5,2021-03,0,0
All selected cities,80over,6,2021-03,0,0
All selected cities,80over,7,2021-03,0,0
All selected cities,all,0,2021-03,2051,70953835
All selected cities,all,1,2021-03,0,170077
All selected cities,all,2,2021-03,0,15292
All selected cities,all,3,2021-03,0,0
All selected cities,all,4,2021-03,0,0
All selected cities,all,5,2021-03,0,0
All selected cities,all,6,2021-03,0,0
All selected cities,all,7,2021-03,0,0
All selected cities,80over,0,2021-04,1273,8080535
All selected cities,80over,1,2021-04,7,29074
All selected cities,80over,2,2021-04,0,800
All selected cities,80over,3,2021-04,0,0
All selected cities,80over,4,2021-04,0,0
All selected cities,80over,5,2021-04,0,0
All selected cities,80over,6,2021-04,0,0
All selected cities,80over,7,2021-04,0,0
All selected cities,all,0,2021-04,1910,68100155
All selected cities,all,1,2021-04,9,420722
All selected cities,all,2,2021-04,0,263718
All selected cities,all,3,2021-04,0,0
All selected cities,all,4,2021-04,0,0
All selected cities,all,5,2021-04,0,0
All selected cities,all,6,2021-04,0,0
All selected cities,all,7,2021-04,0,0
All selected cities,80over,0,2021-05,1205,7702655
All selected cities,80over,1,2021-05,58,574915
All selected cities,80over,2,2021-05,13,63269
All selected cities,80over,3,2021-05,0,0
