date,count_first_shot_general,count_second_shot_general,count_third_shot_general,count_fourth_shot_general,count_fifth_shot_general,count_sixth_shot_general,count_seventh_shot_general,count_first_shot_general_wo_deceased,count_second_shot_general_wo_deceased,count_third_shot_general_wo_deceased,count_fourth_shot_general_wo_deceased,count_fifth_shot_general_wo_deceased,count_sixth_shot_general_wo_deceased,count_seventh_shot_general_wo_deceased
2021/4/12,4757,0,0,0,0,0,0,3418,0,0,0,0,0,0
2021/4/13,4368,0,0,0,0,0,0,2847,0,0,0,0,0,0
2021/4/14,5367,0,0,0,0,0,0,3974,0,0,0,0,0,0
2021/4/15,8967,0,0,0,0,0,0,6975,0,0,0,0,0,0
2021/4/16,10977,0,0,0,0,0,0,9418,0,0,0,0,0,0
2021/4/17,7726,0,0,0,0,0,0,6823,0,0,0,0,0,0
2021/4/18,8465,0,0,0,0,0,0,7760,0,0,0,0,0,0
2021/4/19,31377,0,0,0,0,0,0,24983,0,0,0,0,0,0
2021/4/20,48584,0,0,0,0,0,0,38541,0,0,0,0,0,0
2021/4/21,58000,0,0,0,0,0,0,46112,0,0,0,0,0,0
2021/4/22,55735,0,0,0,0,0,0,44836,0,0,0,0,0,0
2021/4/23,52501,0,0,0,0,0,0,44170,0,0,0,0,0,0
2021/4/24,35835,0,0,0,0,0,0,31332,0,0,0,0,0,0
2021/4/25,25627,0,0,0,0,0,0,23137,0,0,0,0,0,0
2021/4/26,56703,0,0,0,0,0,0,44759,0,0,0,0,0,0
2021/4/27,75407,0,0,0,0,0,0,60223,0,0,0,0,0,0
2021/4/28,81837,0,0,0,0,0,0,67231,0,0,0,0,0,0
2021/4/29,20492,0,0,0,0,0,0,16864,0,0,0,0,0,0
2021/4/30,62090,0,0,0,0,0,0,51514,0,0,0,0,0,0
2021/5/1,40779,0,0,0,0,0,0,35539,0,0,0,0,0,0
2021/5/2,27335,0,0,0,0,0,0,24265,0,0,0,0,0,0
2021/5/3,7405,813,0,0,0,0,0,6069,664,0,0,0,0,0
2021/5/4,8526,699,0,0,0,0,0,7131,472,0,0,0,0,0
2021/5/5,9850,912,0,0,0,0,0,8286,603,0,0,0,0,0
2021/5/6,47988,9317,0,0,0,0,0,38726,7126,0,0,0,0,0
2021/5/7,50933,12029,0,0,0,0,0,41634,9974,0,0,0,0,0
2021/5/8,63248,7745,0,0,0,0,0,55522,6735,0,0,0,0,0
2021/5/9,75886,8257,0,0,0,0,0,69225,7593,0,0,0,0,0
2021/5/10,106386,29176,0,0,0,0,0,87856,23189,0,0,0,0,0
2021/5/11,133910,45578,0,0,0,0,0,109702,36016,0,0,0,0,0
2021/5/12,163825,54445,0,0,0,0,0,137882,43303,0,0,0,0,0
2021/5/13,160349,53182,0,0,0,0,0,135378,42981,0,0,0,0,0
2021/5/14,137045,52010,0,0,0,0,0,116549,44077,0,0,0,0,0
2021/5/15,139756,35520,0,0,0,0,0,125652,31344,0,0,0,0,0
2021/5/16,190426,24389,0,0,0,0,0,174466,22021,0,0,0,0,0
2021/5/17,211917,53093,0,0,0,0,0,183182,42026,0,0,0,0,0
2021/5/18,258290,69169,0,0,0,0,0,221354,55253,0,0,0,0,0
2021/5/19,313736,72795,0,0,0,0,0,271969,59915,0,0,0,0,0
2021/5/20,327673,28603,0,0,0,0,0,285486,23395,0,0,0,0,0
2021/5/21,284864,61760,0,0,0,0,0,249907,51914,0,0,0,0,0
2021/5/22,288256,43161,0,0,0,0,0,260397,38068,0,0,0,0,0
2021/5/23,327631,28012,0,0,0,0,0,300589,25017,0,0,0,0,0
2021/5/24,454479,10348,0,0,0,0,0,399079,8497,0,0,0,0,0
