year,month,dead
2018,01,5599
2018,02,4608
2018,03,4684
2018,04,4422
2018,05,4281
2018,06,4185
2018,07,4266
2018,08,4217
2018,09,4178
2018,10,4703
2018,11,4542
2018,12,4776
2019,01,4947
2019,02,4464
2019,03,4669
2019,04,4342
2019,05,4457
2019,06,4214
2019,07,4418
2019,08,4222
2019,09,4134
2019,10,4609
2019,11,4527
2019,12,5009
2020,01,5033
2020,02,4614
2020,03,8632
2020,04,24687
2020,05,7222
2020,06,4577
2020,07,4441
2020,08,4359
2020,09,4246
2020,10,4554
2020,11,4729
2020,12,5846
2021,01,6921
2021,02,6269
2021,03,6282
2021,04,5391
2021,05,4858
2021,06,4350
2021,07,4334
2021,08,4843
2021,09,4808
2021,10,4873
2021,11,4975
2021,12,5663
2022,01,8036
2022,02,5014
2022,03,4684
2022,04,4274
2022,05,4615
2022,06,4333
2022,07,4691
2022,08,4731
2022,09,4472
2022,10,4963
2022,11,5026
2022,12,5607
2023,01,5254
2023,02,4389
2023,03,4707
2023,04,4330
2023,05,4520
2023,06,4145
2023,07,4231
2023,08,4362
2023,09,4353
2023,10,4787
2023,11,4647
2023,12,5225
2024,01,5490
2024,02,4594
2024,03,4744
2024,04,4399
2024,05,4374
2024,06,4243
2024,07,4389
2024,08,4352
2024,09,4159
2024,10,4423
2024,11,1088
