age,year,dead
0,2018,383
0,2019,411
0,2020,339
0,2021,345
0,2022,351
0,2023,348
0,2024,263
1,2018,25
1,2019,22
1,2020,18
1,2021,19
1,2022,18
1,2023,29
1,2024,18
2,2018,14
2,2019,24
2,2021,13
2,2022,15
2,2023,20
2,2024,18
3,2018,13
3,2019,19
3,2021,12
3,2022,17
3,2024,14
4,2018,10
4,2019,10
4,2020,13
4,2021,17
4,2022,12
4,2023,10
4,2024,11
5,2018,11
5,2019,11
5,2020,13
5,2021,16
5,2022,21
5,2023,14
5,2024,15
6,2019,14
6,2021,13
6,2022,14
6,2023,11
6,2024,10
7,2018,10
7,2019,13
7,2021,11
7,2023,10
7,2024,12
8,2018,11
8,2019,11
9,2018,10
9,2019,10
9,2021,10
9,2023,15
10,2019,13
10,2020,12
10,2021,11
10,2022,10
10,2024,14
11,2018,17
11,2020,12
11,2022,14
11,2023,16
12,2019,12
12,2020,11
12,2022,19
12,2023,10
13,2018,15
13,2019,10
13,2022,12
13,2023,16
13,2024,18
14,2018,11
14,2019,12
14,2020,15
14,2022,15
14,2023,24
14,2024,12
15,2018,23
15,2019,22
15,2020,18
15,2021,18
15,2022,17
15,2023,21
15,2024,22
16,2018,14
16,2019,10
16,2020,13
16,2021,22
16,2022,23
16,2023,24
16,2024,27
17,2018,18
17,2019,18
17,2020,21
17,2021,32
17,2022,32
17,2023,35
17,2024,32
18,2018,38
18,2019,35
18,2020,49
18,2021,47
18,2022,39
18,2023,38
18,2024,31
19,2018,33
19,2019,36
19,2020,51
19,2021,38
19,2022,37
19,2023,39
19,2024,31
20,2018,48
20,2019,41
20,2020,60
20,2021,47
20,2022,56
20,2023,56
20,2024,41
21,2018,54
21,2019,49
21,2020,73
21,2021,66
21,2022,53
21,2023,45
21,2024,40
22,2018,52
22,2019,56
22,2020,97
22,2021,59
22,2022,68
22,2023,73
22,2024,44
23,2018,53
23,2019,58
23,2020,106
23,2021,70
23,2022,64
23,2023,60
23,2024,54
24,2018,58
24,2019,80
24,2020,90
24,2021,89
24,2022,77
24,2023,83
24,2024,74
25,2018,76
25,2019,71
25,2020,108
25,2021,92
25,2022,90
25,2023,73
25,2024,51
26,2018,104
26,2019,102
26,2020,105
26,2021,107
26,2022,91
26,2023,86
26,2024,58
27,2018,97
27,2019,100
27,2020,122
27,2021,113
27,2022,116
27,2023,102
27,2024,70
28,2018,101
28,2019,98
28,2020,124
28,2021,106
28,2022,130
28,2023,109
28,2024,79
29,2018,96
29,2019,106
29,2020,157
29,2021,146
29,2022,123
29,2023,115
29,2024,96
30,2018,98
30,2019,141
30,2020,165
30,2021,136
30,2022,159
30,2023,131
30,2024,102
31,2018,106
31,2019,112
31,2020,170
31,2021,160
31,2022,151
31,2023,126
31,2024,95
32,2018,104
32,2019,118
32,2020,172
32,2021,176
32,2022,151
32,2023,161
32,2024,117
33,2018,125
33,2019,127
33,2020,170
33,2021,167
33,2022,138
33,2023,161
33,2024,153
34,2018,102
34,2019,123
34,2020,193
34,2021,174
34,2022,171
34,2023,159
34,2024,135
35,2018,124
35,2019,131
35,2020,208
35,2021,186
35,2022,179
35,2023,162
35,2024,151
36,2018,119
36,2019,143
36,2020,219
36,2021,166
36,2022,195
36,2023,171
36,2024,102
37,2018,124
37,2019,131
37,2020,239
37,2021,186
37,2022,205
37,2023,165
37,2024,133
38,2018,134
38,2019,138
38,2020,228
38,2021,205
38,2022,213
38,2023,193
38,2024,138
39,2018,144
39,2019,139
39,2020,251
39,2021,236
39,2022,217
39,2023,183
39,2024,133
40,2018,155
40,2019,152
40,2020,224
40,2021,223
40,2022,227
40,2023,209
40,2024,170
41,2018,154
41,2019,164
41,2020,254
41,2021,234
41,2022,214
41,2023,217
41,2024,168
42,2018,184
42,2019,185
42,2020,291
42,2021,260
42,2022,236
42,2023,218
42,2024,189
43,2018,190
43,2019,167
43,2020,296
43,2021,228
43,2022,258
43,2023,259
43,2024,190
44,2018,189
44,2019,199
44,2020,290
44,2021,265
44,2022,228
44,2023,231
44,2024,182
45,2018,207
45,2019,192
45,2020,310
45,2021,281
45,2022,285
45,2023,264
45,2024,186
46,2018,249
46,2019,206
46,2020,315
46,2021,286
46,2022,275
46,2023,251
46,2024,229
47,2018,263
47,2019,242
47,2020,370
47,2021,273
47,2022,278
47,2023,293
47,2024,201
48,2018,294
48,2019,271
48,2020,433
48,2021,316
48,2022,322
48,2023,273
48,2024,209
49,2018,326
49,2019,311
49,2020,521
49,2021,363
49,2022,326
49,2023,274
49,2024,212
50,2018,362
50,2019,327
50,2020,511
50,2021,452
50,2022,380
50,2023,303
50,2024,255
51,2018,381
51,2019,377
51,2020,535
51,2021,427
51,2022,392
51,2023,353
51,2024,284
52,2018,403
52,2019,412
52,2020,621
52,2021,476
52,2022,429
52,2023,386
52,2024,261
53,2018,450
53,2019,426
53,2020,721
53,2021,549
53,2022,460
53,2023,430
53,2024,331
54,2018,474
54,2019,480
54,2020,762
54,2021,557
54,2022,514
54,2023,472
54,2024,355
55,2018,578
55,2019,543
55,2020,825
55,2021,630
55,2022,554
55,2023,503
55,2024,388
56,2018,554
56,2019,551
56,2020,916
56,2021,692
56,2022,593
56,2023,569
56,2024,419
57,2018,633
57,2019,583
57,2020,948
57,2021,807
57,2022,708
57,2023,652
57,2024,465
58,2018,631
58,2019,652
58,2020,1056
58,2021,866
58,2022,755
58,2023,642
58,2024,522
59,2018,706
59,2019,658
59,2020,1122
59,2021,857
59,2022,754
59,2023,725
59,2024,561
60,2018,689
60,2019,707
60,2020,1152
60,2021,905
60,2022,806
60,2023,799
60,2024,624
61,2018,736
61,2019,797
61,2020,1256
61,2021,1007
61,2022,820
61,2023,748
61,2024,612
62,2018,804
62,2019,829
62,2020,1279
62,2021,990
62,2022,955
62,2023,840
62,2024,675
63,2018,884
63,2019,811
63,2020,1386
63,2021,1057
63,2022,929
63,2023,911
63,2024,736
64,2018,801
64,2019,918
64,2020,1358
64,2021,1086
64,2022,994
64,2023,961
64,2024,747
65,2018,856
65,2019,936
65,2020,1464
65,2021,1112
65,2022,1037
65,2023,914
65,2024,798
66,2018,872
66,2019,898
66,2020,1375
66,2021,1197
66,2022,1015
66,2023,982
66,2024,782
67,2018,919
67,2019,971
67,2020,1591
67,2021,1152
67,2022,1104
67,2023,980
67,2024,860
68,2018,951
68,2019,920
68,2020,1577
68,2021,1204
68,2022,1069
68,2023,970
68,2024,901
69,2018,970
69,2019,1037
69,2020,1676
69,2021,1199
69,2022,1076
69,2023,1024
69,2024,896
