date,age,deaths
2011-01-02,30 to 59,58
2011-01-02,60 to 79,202
2011-01-02,80 and over,253
2011-01-02,Total,538
2011-01-02,Under 30,25
2011-01-09,30 to 59,70
2011-01-09,60 to 79,199
2011-01-09,80 and over,278
2011-01-09,Total,564
2011-01-09,Under 30,17
2011-01-16,30 to 59,73
2011-01-16,60 to 79,193
2011-01-16,80 and over,257
2011-01-16,Total,543
2011-01-16,Under 30,20
2011-01-23,30 to 59,67
2011-01-23,60 to 79,170
2011-01-23,80 and over,256
2011-01-23,Total,507
2011-01-23,Under 30,14
2011-01-30,30 to 59,72
2011-01-30,60 to 79,171
2011-01-30,80 and over,260
2011-01-30,Total,516
2011-01-30,Under 30,13
2011-02-06,30 to 59,81
2011-02-06,60 to 79,198
2011-02-06,80 and over,279
2011-02-06,Total,585
2011-02-06,Under 30,27
2011-02-13,30 to 59,62
2011-02-13,60 to 79,198
2011-02-13,80 and over,280
2011-02-13,Total,560
2011-02-13,Under 30,20
2011-02-20,30 to 59,65
2011-02-20,60 to 79,188
2011-02-20,80 and over,264
2011-02-20,Total,533
2011-02-20,Under 30,16
2011-02-27,30 to 59,147
2011-02-27,60 to 79,202
2011-02-27,80 and over,254
2011-02-27,Total,677
2011-02-27,Under 30,74
2011-03-06,30 to 59,63
2011-03-06,60 to 79,174
2011-03-06,80 and over,260
2011-03-06,Total,513
2011-03-06,Under 30,16
2011-03-13,30 to 59,65
2011-03-13,60 to 79,182
2011-03-13,80 and over,257
2011-03-13,Total,523
2011-03-13,Under 30,19
2011-03-20,30 to 59,66
2011-03-20,60 to 79,171
2011-03-20,80 and over,300
2011-03-20,Total,553
2011-03-20,Under 30,16
2011-03-27,30 to 59,60
2011-03-27,60 to 79,190
2011-03-27,80 and over,257
2011-03-27,Total,523
2011-03-27,Under 30,16
2011-04-03,30 to 59,63
2011-04-03,60 to 79,180
2011-04-03,80 and over,298
2011-04-03,Total,565
2011-04-03,Under 30,24
2011-04-10,30 to 59,68
2011-04-10,60 to 79,191
2011-04-10,80 and over,300
2011-04-10,Total,572
2011-04-10,Under 30,13
2011-04-17,30 to 59,59
2011-04-17,60 to 79,164
2011-04-17,80 and over,274
2011-04-17,Total,519
2011-04-17,Under 30,22
2011-04-24,30 to 59,65
2011-04-24,60 to 79,179
2011-04-24,80 and over,302
2011-04-24,Total,569
2011-04-24,Under 30,23
2011-05-01,30 to 59,74
2011-05-01,60 to 79,198
2011-05-01,80 and over,278
2011-05-01,Total,564
2011-05-01,Under 30,14
2011-05-08,30 to 59,75
2011-05-08,60 to 79,201
2011-05-08,80 and over,312
2011-05-08,Total,602
2011-05-08,Under 30,14
2011-05-15,30 to 59,69
2011-05-15,60 to 79,179
2011-05-15,80 and over,301
2011-05-15,Total,566
2011-05-15,Under 30,17
2011-05-22,30 to 59,67
2011-05-22,60 to 79,196
2011-05-22,80 and over,277
2011-05-22,Total,554
2011-05-22,Under 30,14
2011-05-29,30 to 59,71
2011-05-29,60 to 79,188
2011-05-29,80 and over,297
2011-05-29,Total,575
2011-05-29,Under 30,19
2011-06-05,30 to 59,54
2011-06-05,60 to 79,190
2011-06-05,80 and over,283
2011-06-05,Total,542
2011-06-05,Under 30,15
2011-06-12,30 to 59,62
2011-06-12,60 to 79,207
2011-06-12,80 and over,278
2011-06-12,Total,562
2011-06-12,Under 30,15
2011-06-19,30 to 59,70
2011-06-19,60 to 79,185
2011-06-19,80 and over,306
2011-06-19,Total,579
2011-06-19,Under 30,18
2011-06-26,30 to 59,69
2011-06-26,60 to 79,193
2011-06-26,80 and over,305
2011-06-26,Total,582
2011-06-26,Under 30,15
2011-07-03,30 to 59,73
2011-07-03,60 to 79,192
2011-07-03,80 and over,314
2011-07-03,Total,601
2011-07-03,Under 30,22
2011-07-10,30 to 59,60
2011-07-10,60 to 79,217
