year,births
1935,27150
1936,28395
1937,29895
1938,30846
1939,32871
1940,36945
1941,39171
1942,37818
1943,34686
1944,38037
1945,41535
1946,47523
1947,49698
1948,49062
1949,48843
1950,49332
1951,49806
1952,51846
1953,51888
1954,54057
1955,55596
1956,56532
1957,58425
1958,60558
1959,61800
1960,62778
1961,65391
1962,65013
1963,64527
1964,62304
1965,60045
1966,60003
1967,61023
1968,62112
1969,62361
1970,62052
1971,64458
1972,63216
1973,60729
1974,59334
1975,56640
1976,55104
1977,54180
1978,51030
1979,52278
1980,50541
1981,50793
1982,49938
1983,50475
1984,51636
1985,51798
1986,52821
1987,55254
1988,57546
1989,58092
1990,60153
1991,59913
1992,59166
1993,58782
1994,57321
1995,57672
1996,57282
1997,57603
1998,55350
1999,57051
2000,56604
2001,55800
2002,54021
2003,56136
2004,58074
2005,57744
2006,59193
2007,64044
2008,64341
2009,62541
2010,63897
2011,61404
2012,61179
2013,58719
2014,57243
2015,61038
2016,59430
2017,59610
2018,58020
2019,59637
2020,57573
2021,58659
2022,58887
2023,56955
