year,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
1971,431,39,35,96,106,97,129,181,293,470,750,1219,1917,2934,4481,7151,11874,19262,28073
1972,404,37,33,116,113,89,119,171,265,451,733,1172,1932,2964,4589,7435,11835,18790,30962
1973,399,42,35,122,124,98,117,186,270,476,726,1257,1857,3031,4592,7205,11484,19045,32067
1974,368,38,43,116,106,104,115,176,296,474,751,1168,1902,2810,4632,7063,11184,19096,31486
1975,378,46,34,102,111,101,117,175,264,460,739,1107,1904,2729,4513,6578,10628,18623,31753
1976,324,31,37,107,121,92,100,158,289,462,708,1166,1777,2799,4615,6986,10370,17567,31366
1977,336,41,38,130,141,122,123,162,297,476,726,1125,1800,2807,4499,6886,10368,17002,31136
1978,316,31,34,105,120,101,104,160,272,473,693,1082,1772,2651,4333,6453,9357,15839,28891
1979,306,32,32,101,115,103,101,151,242,438,701,1084,1774,2703,4365,6742,9984,15349,30265
1980,307,33,32,97,128,121,107,143,223,427,640,1097,1759,2872,4298,7096,10841,16238,36258
1981,299,27,32,103,120,90,108,134,251,409,643,1069,1598,2651,4062,6222,9734,15278,25443
1982,288,30,24,95,123,98,113,147,226,408,624,1069,1637,2607,4033,6081,9923,14958,25172
1983,297,30,30,93,131,91,103,134,219,381,590,1017,1624,2581,4013,6360,10046,14975,24794
1984,285,28,28,91,109,90,114,122,217,338,617,998,1523,2418,3916,6148,9286,14521,23452
1985,267,33,32,101,112,109,97,127,215,376,610,1015,1613,2508,3983,6446,9945,16565,28628
1986,289,26,34,103,125,108,113,144,200,324,613,973,1590,2411,3943,6227,9659,14303,24588
1987,259,28,34,106,134,111,112,135,188,338,639,969,1520,2423,3941,6071,9543,14966,24371
1988,281,27,29,98,134,111,112,137,203,322,556,906,1521,2348,3692,6005,9538,15418,24590
1989,264,27,27,112,134,102,106,129,201,323,570,841,1472,2262,3616,5766,9172,14329,24975
1990,227,22,24,103,138,109,105,126,193,320,534,895,1400,2210,3552,5405,8756,13195,23298
1991,206,24,26,83,112,94,101,144,195,299,484,797,1320,2107,3248,5172,8523,13242,23106
1992,180,26,29,87,113,98,95,130,167,285,494,809,1285,2094,3237,5175,8775,13942,23153
1993,180,16,21,91,115,92,88,123,191,259,488,783,1256,1992,3167,5259,8303,13612,23129
1994,168,19,19,74,95,95,101,117,168,246,467,725,1224,1948,3132,4951,8205,13333,23408
1995,160,19,22,83,115,104,97,112,164,274,482,740,1201,1968,3093,5013,7973,13430,24635
1996,171,18,25,95,95,96,102,114,137,277,438,708,1255,1935,3056,4844,8204,13507,24672
1997,163,16,22,88,88,99,99,106,169,249,434,690,1107,1878,2876,4442,7883,12762,23586
1998,135,17,26,77,84,87,93,112,171,226,371,663,1099,1733,2653,4322,7166,11711,21660
1999,137,13,23,73,85,87,87,109,159,239,383,676,1113,1702,2806,4585,7454,12790,24423
2000,152,16,21,61,74,88,91,99,153,236,365,614,956,1644,2585,4252,6984,11631,21401
2001,132,16,21,69,81,76,91,99,146,213,364,568,998,1612,2645,4144,7073,12553,23440
2002,135,16,18,58,72,81,85,108,145,225,348,588,925,1536,2543,4184,6858,12470,23602
2003,126,13,18,72,67,73,87,106,147,227,359,551,893,1482,2469,3974,6861,12074,22986
2004,136,11,17,65,67,69,72,109,136,230,345,519,873,1441,2378,3928,6887,12405,23243
2005,125,15,16,66,74,65,78,103,150,216,323,518,823,1297,2128,3579,6497,10958,21440
2006,125,12,14,64,61,65,73,95,136,215,323,513,819,1300,2233,3697,6266,11460,23116
2007,136,13,18,58,70,60,81,107,145,207,323,503,775,1283,2173,3608,6279,11168,22269
2008,134,13,17,62,72,64,69,103,135,189,297,522,786,1276,2117,3618,6349,11376,22452
2009,124,11,18,58,68,63,84,93,139,204,329,449,751,1239,2053,3391,6121,10999,22250
2010,124,6,14,53,63,55,65,93,137,211,304,464,699,1168,1898,3223,5959,10567,21076
2011,109,6,14,55,72,64,76,90,139,191,289,475,718,1203,1913,3333,5987,11203,22583
2012,101,11,15,55,61,55,64,82,132,211,305,426,682,1125,1874,3225,5877,11138,22415
2013,99,8,10,49,54,51,58,87,126,199,309,441,681,1062,1818,3146,5603,10722,20635
2014,124,13,10,38,48,51,59,83,123,187,306,448,680,1069,1784,3165,5902,10749,22173
2015,100,10,12,46,53,53,61,75,118,196,291,433,663,1074,1833,3127,5831,10540,22090
2016,83,11,11,39,49,55,64,76,126,183,298,456,653,1038,1661,2899,5525,10272,21068
2017,90,9,11,41,60,61,67,89,116,190,294,437,691,1053,1749,3096,5741,10874,21610
2018,90,9,14,44,56,56,67,83,122,173,292,458,675,1020,1671,2933,5574,10381,21478
2019,107,8,17,41,60,56,73,83,121,195,307,445,649,1027,1669,2917,5351,10754,21510
2020,86,7,14,40,50,53,54,77,115,180,281,427,622,975,1539,2747,4980,9540,19456
2021,105,8,13,41,53,52,63,84,124,169,292,431,645,986,1593,2777,5126,10022,20738
2022,82,7,11,34,54,61,65,83,118,194,297,473,707,1056,1674,3004,5472,10755,23481
2023,84,6,10,43,57,60,66,79,127,187,278,458,687,1029,1624,2854,5357,10052,22008
