year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1948,1350,201,87,51,51,54,27,27,24,15,27,24,24,30,27,30,36,36,54,42,57,48,66,42,54,51,57,48,57,42,45,42,60,48,51,57,69,57,60,72,60,66,96,81,78,84,96,102,135,126,141,99,156,141,177,159,210,192,243,249,276,255,312,381,402,438,393,432,453,468,453,405,459,483,474,447,486,423,471,381,405,339,372,282,276,228,228,162,177,111,90,72,66,54,39,21,21,12,12,6,27
1949,1470,210,102,75,42,39,30,21,27,15,18,24,21,21,21,18,39,42,33,54,33,48,45,42,54,45,42,45,39,42,42,48,48,57,54,69,66,48,75,75,75,69,84,87,63,120,87,93,138,129,150,126,171,147,192,135,198,204,237,234,297,261,300,327,363,450,372,387,468,468,513,414,528,546,522,456,465,405,447,438,363,339,324,354,291,249,225,183,144,144,108,69,78,63,27,30,18,15,12,9,12
1950,1365,165,78,54,36,27,30,21,33,21,18,21,21,15,24,21,30,39,36,51,39,39,51,45,45,42,39,30,48,36,33,42,45,51,57,57,69,60,75,69,81,45,84,81,84,96,102,108,126,141,165,117,120,171,174,180,201,204,246,246,264,270,336,336,360,453,405,438,432,519,510,420,585,534,543,480,504,417,516,459,474,366,369,318,342,282,258,216,168,153,132,84,69,54,39,30,39,15,9,12,15
1951,1374,162,69,60,36,39,33,24,15,21,24,18,12,18,15,33,21,27,36,42,51,33,45,42,48,48,42,39,45,51,48,48,39,57,45,54,57,57,72,69,63,87,87,90,87,96,105,129,117,150,150,147,159,162,186,177,210,207,243,276,279,261,363,369,378,423,417,426,471,489,567,525,552,549,534,576,546,465,483,492,438,432,405,384,360,318,279,222,183,147,114,105,90,51,39,42,15,18,12,9,21
1952,1476,177,81,63,42,30,36,27,27,21,21,21,24,18,21,24,21,33,30,27,39,42,39,36,39,33,45,54,54,39,42,42,54,42,42,69,63,57,66,72,72,75,84,78,87,105,111,111,117,138,138,141,216,177,177,168,192,204,255,228,252,240,339,345,369,417,420,465,462,462,510,504,567,573,558,594,579,522,492,498,474,417,408,363,360,324,291,219,186,168,105,84,84,54,30,33,21,18,12,3,15
1953,1335,135,84,69,39,27,21,18,33,24,21,27,24,15,24,24,27,21,39,36,45,33,36,45,45,33,30,39,36,48,54,33,54,48,27,42,39,42,63,72,75,72,96,90,99,111,105,123,135,153,123,108,198,183,189,150,195,231,267,237,240,228,318,324,375,405,363,414,453,492,507,450,543,600,585,561,564,507,525,462,447,390,420,420,360,267,258,219,162,147,135,75,75,60,42,33,30,15,9,9,15
1954,1302,147,78,72,39,45,33,21,18,12,18,9,18,21,21,18,24,30,33,39,45,51,42,48,36,51,45,42,51,48,45,33,45,45,45,39,48,51,60,69,51,51,81,78,90,99,99,111,126,117,141,123,153,180,189,144,225,204,231,267,342,228,300,339,357,402,405,402,420,480,486,450,561,585,648,618,630,522,576,504,507,384,432,381,417,333,309,243,207,174,111,99,96,57,48,33,21,18,18,12,18
1955,1365,153,75,54,39,30,30,33,18,21,24,15,18,18,27,21,33,30,36,30,36,36,36,45,36,33,36,42,39,33,42,36,33,36,45,57,51,51,54,72,66,63,78,75,81,108,108,126,114,138,138,165,174,174,216,234,201,198,222,243,249,255,297,288,357,408,381,432,492,459,504,498,561,570,612,648,615,579,603,555,519,420,426,393,441,345,276,249,210,192,150,90,57,75,48,33,30,21,15,12,18
1956,1311,126,81,69,42,30,30,27,21,12,21,21,27,18,21,27,18,24,27,30,33,30,33,42,27,36,36,42,39,33,48,39,39,45,48,54,54,54,54,63,87,63,81,87,90,99,96,99,135,129,159,141,150,162,183,180,216,237,243,270,264,213,264,315,357,387,351,432,477,483,486,486,561,597,621,645,687,567,621,615,603,465,471,450,438,375,366,300,255,201,162,93,99,78,42,39,36,18,15,6,15
1957,1419,132,72,54,33,39,27,30,18,27,21,15,27,21,24,33,24,39,42,33,45,30,36,36,36,36,42,36,39,36,48,42,48,42,57,51,57,51,60,48,69,66,78,84,84,117,123,138,117,141,135,144,195,180,177,192,243,231,240,249,285,264,297,366,348,405,393,450,453,534,543,519,600,621,654,606,711,633,663,618,627,534,513,486,468,423,372,360,228,204,156,129,117,69,60,48,30,30,12,12,18
