year,month,deaths
1980,1,1980
1980,2,1803
1980,3,2064
1980,4,1929
1980,5,2253
1980,6,2208
1980,7,2787
1980,8,3069
1980,9,2226
1980,10,2076
1980,11,2022
1980,12,1953
1981,1,1917
1981,2,1722
1981,3,1911
1981,4,1899
1981,5,2157
1981,6,2214
1981,7,2295
1981,8,2433
1981,9,2310
1981,10,2208
1981,11,2028
1981,12,1962
1982,1,1890
1982,2,1752
1982,3,1893
1982,4,1959
1982,5,2274
1982,6,2217
1982,7,2421
1982,8,2358
1982,9,2313
1982,10,2292
1982,11,1977
1982,12,2103
1983,1,2061
1983,2,1683
1983,3,1977
1983,4,2046
1983,5,2202
1983,6,2379
1983,7,2757
1983,8,2475
1983,9,2259
1983,10,2148
1983,11,2046
1983,12,1950
1984,1,1986
1984,2,1833
1984,3,1971
1984,4,2004
1984,5,2250
1984,6,2244
1984,7,2361
1984,8,2328
1984,9,2100
1984,10,2217
1984,11,1986
1984,12,2094
1985,1,2046
1985,2,1734
1985,3,2091
1985,4,2139
1985,5,2418
1985,6,2754
1985,7,2760
1985,8,2535
1985,9,2385
1985,10,2202
1985,11,2100
1985,12,2151
1986,1,2127
1986,2,1773
1986,3,2091
1986,4,2055
1986,5,2202
1986,6,2334
1986,7,2640
1986,8,2508
1986,9,2523
1986,10,2301
1986,11,2181
1986,12,2157
1987,1,2049
1987,2,1923
1987,3,2115
1987,4,2229
1987,5,2376
1987,6,2448
1987,7,2634
1987,8,2544
1987,9,2430
1987,10,2325
1987,11,2100
1987,12,2169
1988,1,2112
1988,2,1923
1988,3,2115
1988,4,2154
1988,5,2451
1988,6,2580
1988,7,2739
1988,8,2496
1988,9,2304
1988,10,2301
1988,11,2058
1988,12,2139
1989,1,2040
1989,2,1890
1989,3,2223
1989,4,2130
1989,5,2232
1989,6,2253
1989,7,2628
1989,8,2772
1989,9,2499
1989,10,2217
1989,11,2055
1989,12,2076
1990,1,2028
1990,2,1863
1990,3,1974
1990,4,2082
1990,5,2247
1990,6,2304
1990,7,2502
1990,8,2679
1990,9,2337
1990,10,2226
1990,11,2049
1990,12,2118
1991,1,2001
1991,2,1797
1991,3,1956
1991,4,2058
1991,5,2271
1991,6,2343
1991,7,2493
1991,8,2454
1991,9,2412
1991,10,2295
1991,11,2115
1991,12,2139
1992,1,1992
1992,2,1794
1992,3,2199
1992,4,2109
1992,5,2376
1992,6,2475
1992,7,2559
1992,8,2610
1992,9,2460
1992,10,2325
1992,11,2019
1992,12,2181
1993,1,2016
1993,2,1878
1993,3,2091
1993,4,2079
1993,5,2328
1993,6,2355
1993,7,2655
1993,8,2541
1993,9,2541
1993,10,2256
1993,11,2148
1993,12,2145
1994,1,1872
1994,2,1788
1994,3,1992
1994,4,2121
1994,5,2295
1994,6,2364
1994,7,2766
1994,8,2817
1994,9,2433
1994,10,2304
1994,11,2130
1994,12,2145
1995,1,2070
1995,2,1791
1995,3,2232
1995,4,1998
1995,5,2292
1995,6,2442
1995,7,2718
1995,8,2793
1995,9,2610
1995,10,2349
1995,11,2223
1995,12,2202
1996,1,2094
1996,2,1944
1996,3,2199
1996,4,2094
1996,5,2295
1996,6,2850
1996,7,3252
1996,8,2433
1996,9,2430
1996,10,2271
1996,11,2178
1996,12,2049
1997,1,2079
1997,2,1824
1997,3,2160
1997,4,2178
1997,5,2292
1997,6,2313
1997,7,2616
1997,8,2754
1997,9,2547
1997,10,2358
1997,11,2124
1997,12,2163
1998,1,2118
1998,2,1848
1998,3,2157
1998,4,2103
1998,5,2265
1998,6,2349
1998,7,2439
1998,8,2529
1998,9,2367
1998,10,2247
1998,11,2082
1998,12,2214
1999,1,2211
1999,2,1902
1999,3,2148
1999,4,2163
1999,5,2295
1999,6,2577
1999,7,2856
1999,8,2766
1999,9,2508
1999,10,2337
1999,11,2127
1999,12,2208
2000,1,2151
2000,2,1920
2000,3,2064
2000,4,2127
2000,5,2262
2000,6,2295
2000,7,2379
2000,8,2430
2000,9,2400
2000,10,2295
2000,11,2133
2000,12,2208
2001,1,2055
2001,2,1902
2001,3,2109
2001,4,2187
2001,5,2337
2001,6,2544
2001,7,2787
2001,8,2793
2001,9,2430
2001,10,2409
2001,11,2115
2001,12,2202
2002,1,2256
2002,2,1998
2002,3,2169
2002,4,2142
2002,5,2400
2002,6,2478
2002,7,2685
2002,8,2721
2002,9,2535
2002,10,2361
2002,11,2151
2002,12,2208
2003,1,2088
2003,2,1836
2003,3,2106
2003,4,2214
2003,5,2403
2003,6,2550
2003,7,2970
2003,8,2598
2003,9,2418
2003,10,2400
2003,11,2097
2003,12,2151
2004,1,2109
2004,2,2049
2004,3,2229
2004,4,2130
2004,5,2259
2004,6,2424
2004,7,2658
2004,8,2652
2004,9,2982
2004,10,2559
2004,11,2133
