type,year,age,count
arrival,2001,0,6946
arrival,2002,0,7702
arrival,2003,0,7639
arrival,2004,0,7056
arrival,2005,0,7186
arrival,2006,0,7703
arrival,2007,0,7918
arrival,2008,0,8361
arrival,2009,0,7440
arrival,2010,0,6379
arrival,2011,0,6523
arrival,2012,0,6844
arrival,2013,0,7630
arrival,2014,0,8399
arrival,2015,0,8926
arrival,2016,0,9777
arrival,2017,0,9716
arrival,2018,0,9257
arrival,2019,0,9784
arrival,2020,0,5807
arrival,2021,0,4747
arrival,2022,0,7629
arrival,2023,0,12953
arrival,2001,5,7203
arrival,2002,5,8529
arrival,2003,5,7814
arrival,2004,5,6674
arrival,2005,5,6687
arrival,2006,5,7075
arrival,2007,5,7144
arrival,2008,5,7102
arrival,2009,5,5851
arrival,2010,5,5178
arrival,2011,5,4744
arrival,2012,5,4778
arrival,2013,5,5411
arrival,2014,5,6128
arrival,2015,5,6804
arrival,2016,5,7932
arrival,2017,5,8148
arrival,2018,5,7975
arrival,2019,5,8763
arrival,2020,5,4958
arrival,2021,5,3763
arrival,2022,5,7476
arrival,2023,5,15187
arrival,2001,10,7791
arrival,2002,10,9220
arrival,2003,10,8129
arrival,2004,10,6670
arrival,2005,10,6738
arrival,2006,10,7161
arrival,2007,10,7111
arrival,2008,10,7152
arrival,2009,10,6180
arrival,2010,10,5277
arrival,2011,10,4833
arrival,2012,10,4769
arrival,2013,10,4839
arrival,2014,10,5447
arrival,2015,10,5978
arrival,2016,10,6753
arrival,2017,10,6721
arrival,2018,10,6693
arrival,2019,10,7569
arrival,2020,10,4247
arrival,2021,10,2929
arrival,2022,10,6491
arrival,2023,10,13423
arrival,2001,15,15054
arrival,2002,15,17831
arrival,2003,15,12420
arrival,2004,15,8635
arrival,2005,15,8180
arrival,2006,15,8596
arrival,2007,15,9363
arrival,2008,15,10687
arrival,2009,15,10533
arrival,2010,15,10073
arrival,2011,15,9850
arrival,2012,15,9475
arrival,2013,15,10282
arrival,2014,15,11901
arrival,2015,15,12070
arrival,2016,15,11881
arrival,2017,15,10805
arrival,2018,15,9869
arrival,2019,15,10631
arrival,2020,15,5362
arrival,2021,15,2911
arrival,2022,15,6760
arrival,2023,15,14781
arrival,2001,20,14681
arrival,2002,20,18425
arrival,2003,20,15103
arrival,2004,20,11714
arrival,2005,20,12004
arrival,2006,20,12756
arrival,2007,20,14157
arrival,2008,20,16681
arrival,2009,20,16628
arrival,2010,20,16588
arrival,2011,20,16069
arrival,2012,20,15715
arrival,2013,20,17107
arrival,2014,20,21789
arrival,2015,20,23853
arrival,2016,20,20773
arrival,2017,20,19232
arrival,2018,20,18733
arrival,2019,20,20457
arrival,2020,20,11229
arrival,2021,20,4324
arrival,2022,20,11137
arrival,2023,20,26812
arrival,2001,25,17067
arrival,2002,25,19662
arrival,2003,25,18531
arrival,2004,25,16261
arrival,2005,25,16309
arrival,2006,25,17366
arrival,2007,25,17627
arrival,2008,25,19245
arrival,2009,25,18145
arrival,2010,25,17223
arrival,2011,25,17320
arrival,2012,25,18202
arrival,2013,25,20063
arrival,2014,25,23912
arrival,2015,25,27802
arrival,2016,25,27289
arrival,2017,25,26889
arrival,2018,25,26299
arrival,2019,25,29311
arrival,2020,25,16320
arrival,2021,25,7217
arrival,2022,25,19029
arrival,2023,25,40827
arrival,2001,30,12844
arrival,2002,30,15733
arrival,2003,30,15377
arrival,2004,30,13594
arrival,2005,30,13316
arrival,2006,30,13799
arrival,2007,30,13728
arrival,2008,30,14094
arrival,2009,30,11854
arrival,2010,30,10898
arrival,2011,30,11336
arrival,2012,30,11807
arrival,2013,30,12973
arrival,2014,30,14978
arrival,2015,30,16892
arrival,2016,30,17950
arrival,2017,30,18431
arrival,2018,30,18608
arrival,2019,30,21342
arrival,2020,30,11904
arrival,2021,30,7757
arrival,2022,30,18152
arrival,2023,30,38472
arrival,2001,35,9990
arrival,2002,35,11558
arrival,2003,35,11060
arrival,2004,35,9620
arrival,2005,35,9869
arrival,2006,35,10705
arrival,2007,35,10885
arrival,2008,35,10954
arrival,2009,35,8615
arrival,2010,35,7648
arrival,2011,35,7563
arrival,2012,35,7558
arrival,2013,35,8076
arrival,2014,35,9060
arrival,2015,35,10313
arrival,2016,35,11284
arrival,2017,35,11852
arrival,2018,35,12615
arrival,2019,35,14640
arrival,2020,35,7784
arrival,2021,35,5554
arrival,2022,35,13038
arrival,2023,35,29400
arrival,2001,40,7280
arrival,2002,40,8268
arrival,2003,40,8137
arrival,2004,40,7261
arrival,2005,40,7355
arrival,2006,40,8018
arrival,2007,40,7822
arrival,2008,40,7821
arrival,2009,40,6345
arrival,2010,40,5552
arrival,2011,40,5610
arrival,2012,40,5736
arrival,2013,40,6173
arrival,2014,40,6978
arrival,2015,40,7367
arrival,2016,40,8139
arrival,2017,40,8013
arrival,2018,40,8639
arrival,2019,40,10047
arrival,2020,40,5506
arrival,2021,40,3846
arrival,2022,40,9006
arrival,2023,40,20281
arrival,2001,45,4527
arrival,2002,45,5402
arrival,2003,45,5231
arrival,2004,45,4914
arrival,2005,45,5013
arrival,2006,45,5054
arrival,2007,45,5176
arrival,2008,45,5278
arrival,2009,45,4408
arrival,2010,45,3991
arrival,2011,45,4073
arrival,2012,45,4030
arrival,2013,45,4080
arrival,2014,45,4577
arrival,2015,45,4936
arrival,2016,45,5411
arrival,2017,45,5537
arrival,2018,45,5765
arrival,2019,45,7084
arrival,2020,45,4124
arrival,2021,45,2889
arrival,2022,45,5653
arrival,2023,45,11630
arrival,2001,50,3445
arrival,2002,50,3654
arrival,2003,50,3599
arrival,2004,50,3472
arrival,2005,50,3505
arrival,2006,50,3675
arrival,2007,50,3854
arrival,2008,50,3858
arrival,2009,50,3557
arrival,2010,50,3323
arrival,2011,50,3254
arrival,2012,50,3424
arrival,2013,50,3526
arrival,2014,50,3915
arrival,2015,50,3979
arrival,2016,50,4245
arrival,2017,50,3948
arrival,2018,50,3836
arrival,2019,50,5567
arrival,2020,50,3283
arrival,2021,50,2385
arrival,2022,50,4065
arrival,2023,50,7412
arrival,2001,55,2588
arrival,2002,55,2646
arrival,2003,55,2634
arrival,2004,55,2799
arrival,2005,55,2847
arrival,2006,55,3142
arrival,2007,55,3034
arrival,2008,55,3063
arrival,2009,55,3006
arrival,2010,55,2871
arrival,2011,55,3166
arrival,2012,55,3302
arrival,2013,55,3558
arrival,2014,55,3863
arrival,2015,55,3870
arrival,2016,55,3901
arrival,2017,55,3486
arrival,2018,55,3489
arrival,2019,55,5676
arrival,2020,55,3188
arrival,2021,55,2198
arrival,2022,55,3202
arrival,2023,55,6112
arrival,2001,60,2040
arrival,2002,60,2137
arrival,2003,60,1944
arrival,2004,60,1917
arrival,2005,60,2019
arrival,2006,60,2287
arrival,2007,60,2319
arrival,2008,60,2433
arrival,2009,60,2462
arrival,2010,60,2434
arrival,2011,60,2671
arrival,2012,60,2817
arrival,2013,60,2901
arrival,2014,60,3316
arrival,2015,60,3342
arrival,2016,60,3601
arrival,2017,60,3334
arrival,2018,60,3260
arrival,2019,60,5984
arrival,2020,60,3115
arrival,2021,60,1983
arrival,2022,60,2900
arrival,2023,60,6168
arrival,2001,65,1384
arrival,2002,65,1410
arrival,2003,65,1316
arrival,2004,65,1326
arrival,2005,65,1409
arrival,2006,65,1555
arrival,2007,65,1493
arrival,2008,65,1485
arrival,2009,65,1508
arrival,2010,65,1481
arrival,2011,65,1565
arrival,2012,65,1624
arrival,2013,65,1835
arrival,2014,65,1889
arrival,2015,65,2065
arrival,2016,65,2247
arrival,2017,65,2077
arrival,2018,65,2001
arrival,2019,65,4457
arrival,2020,65,2329
arrival,2021,65,1490
arrival,2022,65,2181
arrival,2023,65,5241
arrival,2001,70,857
arrival,2002,70,888
arrival,2003,70,747
arrival,2004,70,709
arrival,2005,70,735
arrival,2006,70,922
arrival,2007,70,888
arrival,2008,70,840
arrival,2009,70,883
arrival,2010,70,780
arrival,2011,70,817
arrival,2012,70,843
arrival,2013,70,902
arrival,2014,70,1025
arrival,2015,70,990
arrival,2016,70,953
arrival,2017,70,949
arrival,2018,70,1042
arrival,2019,70,2405
arrival,2020,70,1243
arrival,2021,70,732
arrival,2022,70,1188
arrival,2023,70,3151
arrival,2001,75,527
arrival,2002,75,518
arrival,2003,75,462
arrival,2004,75,462
arrival,2005,75,432
arrival,2006,75,471
arrival,2007,75,503
arrival,2008,75,535
arrival,2009,75,482
arrival,2010,75,430
arrival,2011,75,438
arrival,2012,75,456
arrival,2013,75,516
arrival,2014,75,587
arrival,2015,75,532
arrival,2016,75,540
arrival,2017,75,497
arrival,2018,75,522
arrival,2019,75,1213
arrival,2020,75,624
arrival,2021,75,392
arrival,2022,75,641
arrival,2023,75,1668
arrival,2001,80,231
arrival,2002,80,270
arrival,2003,80,251
arrival,2004,80,255
arrival,2005,80,212
arrival,2006,80,242
arrival,2007,80,261
arrival,2008,80,245
arrival,2009,80,223
arrival,2010,80,227
arrival,2011,80,225
arrival,2012,80,239
arrival,2013,80,258
arrival,2014,80,258
arrival,2015,80,250
arrival,2016,80,276
arrival,2017,80,273
arrival,2018,80,267
arrival,2019,80,564
arrival,2020,80,284
arrival,2021,80,219
arrival,2022,80,348
arrival,2023,80,750
arrival,2001,85,89
arrival,2002,85,93
arrival,2003,85,103
arrival,2004,85,96
arrival,2005,85,97
arrival,2006,85,107
