year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1992,59520,60480,59250,57520,56440,53740,53240,52510,51840,51270,51380,52640,52180,51680,50990,53220,53880,55820,57910,59330,61020,60580,58320,57070,55100,54050,53590,54740,57530,59480,60210,59670,58160,57280,55250,54440,53470,52050,51170,49800,49350,48900,48970,48890,49160,48750,42720,40080,37850,35720,38170,37940,35370,32810,31380,30390,29190,28310,28260,28400,28680,29730,29330,28830,28520,28000,27400,26790,25450,24670,24290,23260,21850,18350,17890,17880,16740,16020,15080,13820,12380,10830,9780,8790,7460,6370,5520,4490,3760,3030,2430,1990,1410,1060,840,1880
1993,58290,59530,60630,59390,57670,56640,53910,53400,52700,52040,51490,51630,52900,52470,52000,51340,53600,54130,55930,57970,59160,60320,59590,57510,56640,54900,54140,53940,55240,58120,60000,60610,59950,58430,57540,55510,54700,53720,52290,51410,50040,49530,49070,49120,49010,49260,48800,42700,40040,37790,35650,38070,37820,35270,32660,31210,30240,29010,28100,28030,28160,28430,29400,28950,28450,28050,27480,26870,26220,24820,23990,23620,22570,21120,17670,17140,17080,15910,15170,14200,12890,11490,9990,8900,7950,6670,5670,4810,3880,3220,2530,2000,1620,1130,840,1980
1994,57700,58540,59880,60970,59760,58030,56980,54240,53760,53070,52430,51910,52040,53340,52970,52540,51920,54020,54350,56100,57820,58490,59300,58750,57020,56490,55110,54600,54570,56080,58970,60690,61110,60420,58940,58040,55960,55110,54140,52740,51820,50390,49840,49370,49410,49290,49440,48890,42770,40060,37790,35590,37940,37700,35120,32500,31050,30050,28810,27910,27790,27900,28150,29060,28570,28000,27550,26940,26320,25660,24210,23350,22930,21840,20350,16940,16400,16300,15080,14310,13260,12020,10650,9150,8060,7130,5870,4960,4170,3340,2720,2090,1620,1310,890,2050
1995,57810,58050,59010,60390,61520,60350,58580,57530,54790,54280,53590,52960,52490,52630,53950,53620,53270,52520,54370,54610,56160,57250,57460,58310,58050,56650,56590,55620,55460,55630,57270,59980,61540,61840,61150,59720,58700,56550,55710,54740,53360,52350,50860,50270,49780,49790,49540,49630,49060,42830,40060,37760,35500,37830,37550,34980,32320,30860,29880,28620,27660,27540,27620,27810,28670,28090,27510,27020,26400,25760,25010,23580,22640,22180,21070,19550,16220,15630,15480,14240,13410,12350,11100,9780,8300,7240,6320,5140,4280,3580,2790,2220,1700,1280,1000,2110
1996,57360,58190,58610,59630,60990,62170,61030,59230,58180,55440,54900,54220,53590,53130,53300,54690,54370,53900,52920,54610,54660,55700,56300,56500,57630,57740,56860,57260,56600,56740,57110,58530,61020,62640,62910,62190,60580,59400,57270,56430,55480,54010,52850,51320,50690,50160,50100,49730,49810,49160,42860,40040,37690,35410,37690,37420,34820,32140,30690,29650,28360,27400,27250,27290,27430,28220,27590,26990,26450,25800,25100,24320,22900,21890,21390,20220,18720,15420,14830,14620,13350,12520,11420,10160,8890,7440,6420,5520,4460,3650,2980,2280,1800,1340,990,2200
1997,56930,57520,58520,58970,60040,61390,62640,61540,59700,58640,56040,55430,54690,53980,53600,53860,55210,54710,54040,52970,54430,54000,54650,55200,55580,57070,57710,57290,58050,57630,57920,58190,59340,61780,63400,63610,62780,61050,59870,57760,56880,55910,54290,53050,51570,50940,50340,50210,49770,49830,49190,42860,39950,37640,35300,37600,37320,34720,32040,30550,29470,28210,27260,27020,26990,27060,27770,27110,26440,25890,25160,24420,23650,22200,21130,20580,19410,17910,14670,14030,13720,12460,11600,10490,9200,8000,6630,5670,4800,3790,3050,2470,1840,1410,1050,2310
1998,57360,56930,57610,58660,59130,60180,61500,62840,61800,59910,58860,56410,55680,54910,54110,53810,54150,55250,54480,53720,52570,53460,52570,53130,53840,54600,56540,57480,57520,58520,58200,58460,58550,59650,61990,63640,63900,63000,61180,59960,57950,57010,55970,54310,52970,51520,50910,50280,50100,49630,49690,49080,42730,39850,37570,35130,37480,37210,34630,31950,30460,29350,28080,27130,26790,26710,26670,27330,26610,25840,25290,24510,23730,22940,21510,20360,19750,18640,17120,13910,13170,12780,11600,10700,9570,8300,7180,5850,4950,4110,3190,2550,2010,1470,1110,2510
1999,55710,57210,56790,57480,58580,59080,60120,61460,62860,61880,59930,58910,56620,55800,55000,54200,54100,54280,55000,54060,53180,51620,51800,50740,51550,52550,53770,56020,57420,57730,58680,58330,58520,58610,59650,61970,63700,63910,62990,61110,59880,57850,56880,55830,54140,52750,51300,50730,50090,49880,49370,49430,48860,42570,39700,37430,34920,37320,37090,34480,31820,30340,29190,27930,26970,26520,26380,26290,26910,26100,25250,24650,23830,23050,22190,20750,19530,18910,17790,16220,13100,12330,11870,10710,9840,8680,7410,6360,5090,4290,3450,2620,2080,1620,1170,2670
2000,56710,55530,57050,56660,57420,58500,59010,60050,61370,62860,61910,59940,58960,56820,55940,55230,54640,54630,54470,54800,53640,52230,50180,49980,49070,50210,51760,53390,56130,57800,58040,58760,58270,58570,58650,59680,61960,63630,63810,62900,61020,59740,57660,56710,55630,53910,52450,50960,50470,49820,49590,49070,49140,48630,42360,39480,37240,34710,37140,36910,34300,31630,30170,29030,27760,26770,26200,26010,25840,26400,25580,24640,24010,23150,22320,21450,19980,18690,18050,16900,15310,12310,11440,10940,9840,8940,7780,6570,5560,4380,3630,2850,2150,1670,1280,2840
2001,55950,56480,55320,56910,56570,57370,58410,58930,59990,61290,62860,62020,60000,59050,57070,56230,55720,55290,55540,55250,54960,53160,51160,48880,48480,47840,49390,51250,53430,56600,58230,58240,58700,58250,58640,58690,59730,61870,63500,63660,62780,60880,59570,57520,56540,55450,53650,52130,50670,50190,49520,49270,48730,48850,48410,42170,39320,37090,34530,36940,36720,34150,31440,30010,28840,27570,26560,25890,25630,25420,25880,25040,24020,23360,22440,21560,20710,19220,17840,17140,16010,14400,11500,10560,10070,8940,8050,6920,5750,4790,3720,3020,2300,1710,1290,3110
2002,54970,56230,56940,55800,57270,57050,58020,59060,59550,60650,61960,63510,62590,60510,59580,57790,57230,57030,57150,57670,56740,55450,53260,51210,48930,48610,48240,50040,52190,54760,58130,59480,59060,59470,59070,59420,59470,60510,62570,64220,64260,63320,61370,59960,57870,56930,55780,53860,52250,50770,50180,49490,49230,48620,48780,48340,42140,39260,36990,34430,36830,36580,34000,31260,29830,28620,27280,26240,25540,25200,24970,25330,24440,23360,22700,21700,20800,19920,18370,16970,16200,15080,13440,10640,9650,9110,8000,7100,5980,4950,4040,3060,2450,1820,1320,3190
2003,55900,55120,56850,57670,56470,57830,57710,58840,59900,60360,61530,62780,64200,63220,61190,60320,58760,58470,58620,59020,59400,57760,55830,53640,51650,49450,49340,49260,51410,53870,56680,59910,60830,60230,60720,60230,60360,60430,61490,63530,65150,65030,64020,61970,60490,58380,57430,56120,54130,52440,50910,50260,49510,49220,48570,48720,48290,42120,39210,36910,34320,36750,36440,33810,31090,29600,28360,26970,25850,25140,24730,24440,24770,23850,22710,22000,20960,20020,19050,17530,16060,15230,14080,12490,9780,8740,8170,7100,6180,5120,4220,3340,2490,1930,1390,3260
