year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1992Q1,60610,59660,57890,56760,54290,53270,52680,51980,51280,51220,52340,52190,51880,50770,52430,53620,55060,57470,58960,60950,61600,59450,58140,55980,54400,53540,54140,56520,58840,59900,59690,58420,57450,55600,54480,53780,52210,51470,49810,49540,48760,49000,48680,49170,49230,44050,40880,38430,35810,37810,38220,36310,33350,31780,30690,29740,28450,28550,28440,28780,29720,29760,29170,29040,28390,28030,27370,26190,25260,24950,23870,23340,19140,18610,18380,17770,16620,16100,14700,13510,11740,10740,9680,8470,7130,6300,5260,4390,3610,2950,2410,1830,1320,1070,790,1810
1992Q2,60400,60070,58330,57030,55060,53300,52890,52150,51460,51180,52030,52360,52110,50940,51830,53630,54530,56920,58610,60430,61570,59730,58280,56380,54580,53660,53910,55840,58520,59790,59980,58830,57670,56190,54670,54070,52590,51700,50160,49700,48860,49000,48700,49160,49300,45770,41440,38860,36400,37000,38310,37080,33890,32090,30880,30010,28550,28550,28280,28680,29350,29820,29220,28990,28390,28060,27360,26440,25280,24860,23970,23630,19700,18600,18120,17960,16510,16210,14780,13670,11890,10800,9700,8620,7200,6340,5360,4410,3660,2980,2420,1890,1340,1070,810,1840
1992Q3,60000,60350,58810,57250,55820,53400,53090,52320,51660,51200,51650,52560,52150,51290,51300,53530,54110,56370,58280,59870,61350,60180,58320,56720,54810,53870,53690,55230,58110,59610,60150,59280,57830,56840,54870,54310,52990,51870,50650,49760,49050,48960,48820,49060,49190,47520,41910,39390,37180,36210,38310,37620,34620,32400,31110,30230,28800,28460,28220,28570,28980,29830,29260,28910,28450,28060,27340,26670,25330,24750,24150,23510,20710,18490,17940,18000,16550,16160,14920,13770,12110,10830,9720,8740,7300,6370,5440,4450,3710,3000,2430,1950,1370,1070,820,1860
1992Q4,59520,60480,59250,57520,56440,53740,53240,52510,51840,51270,51380,52640,52180,51680,50990,53220,53880,55820,57910,59330,61020,60580,58320,57070,55100,54050,53590,54740,57530,59480,60210,59670,58160,57280,55250,54440,53470,52050,51170,49800,49350,48900,48970,48890,49160,48750,42720,40080,37850,35720,38170,37940,35370,32810,31380,30390,29190,28310,28260,28400,28680,29730,29330,28830,28520,28000,27400,26790,25450,24670,24290,23260,21850,18350,17890,17880,16740,16020,15080,13820,12380,10830,9780,8790,7460,6370,5520,4490,3760,3030,2430,1990,1410,1060,840,1880
1993Q1,58940,60500,59680,57900,56840,54360,53320,52730,52030,51360,51310,52470,52310,52040,50950,52660,53900,55200,57490,58910,60630,60790,58420,57330,55510,54190,53620,54380,56890,59260,60250,59980,58590,57600,55730,54600,53910,52320,51590,49950,49660,48870,49100,48760,49210,49270,44030,40800,38370,35730,37720,38100,36190,33240,31670,30560,29560,28240,28330,28200,28530,29440,29420,28790,28610,27880,27490,26850,25610,24660,24290,23160,22630,18490,17910,17640,16980,15830,15260,13850,12610,10880,9870,8800,7640,6380,5590,4560,3790,3060,2450,2000,1470,1060,850,1900
1993Q2,58500,60300,60120,58350,57110,55170,53370,52960,52230,51560,51290,52180,52510,52300,51150,52080,53940,54690,56970,58600,60170,60790,58730,57470,55900,54340,53740,54170,56230,58970,60180,60290,59040,57840,56330,54810,54240,52740,51840,50330,49860,48980,49120,48800,49210,49350,45760,41370,38790,36320,36920,38200,36970,33790,31970,30740,29850,28350,28330,28040,28440,29070,29480,28830,28570,27890,27520,26850,25850,24660,24200,23270,22930,19030,17910,17380,17160,15710,15360,13910,12760,11020,9930,8830,7780,6430,5640,4650,3810,3120,2460,2000,1530,1070,850,1920
1993Q3,58330,59940,60450,58880,57360,55980,53520,53200,52450,51810,51360,51840,52770,52390,51550,51600,53880,54300,56460,58310,59660,60610,59190,57510,56270,54570,53940,54000,55670,58620,60060,60500,59530,58040,57030,55060,54520,53190,52050,50850,49960,49200,49100,48940,49130,49260,47540,41860,39330,37110,36130,38210,37500,34520,32270,30960,30070,28620,28250,27980,28330,28710,29500,28880,28510,27960,27530,26820,26090,24710,24070,23470,22810,20010,17800,17200,17190,15740,15320,14050,12840,11240,9970,8850,7890,6520,5670,4720,3840,3170,2490,2000,1580,1100,850,1960
1993Q4,58290,59530,60630,59390,57670,56640,53910,53400,52700,52040,51490,51630,52900,52470,52000,51340,53600,54130,55930,57970,59160,60320,59590,57510,56640,54900,54140,53940,55240,58120,60000,60610,59950,58430,57540,55510,54700,53720,52290,51410,50040,49530,49070,49120,49010,49260,48800,42700,40040,37790,35650,38070,37820,35270,32660,31210,30240,29010,28100,28030,28160,28430,29400,28950,28450,28050,27480,26870,26220,24820,23990,23620,22570,21120,17670,17140,17080,15910,15170,14200,12890,11490,9990,8900,7950,6670,5670,4810,3880,3220,2530,2000,1620,1130,840,1980
1994Q1,58310,59030,60710,59890,58100,57080,54590,53530,52970,52280,51630,51610,52780,52640,52420,51350,53100,54200,55340,57580,58740,59950,59790,57620,56900,55370,54300,53990,54940,57560,59860,60720,60320,58930,57930,56040,54910,54200,52630,51870,50220,49870,49070,49280,48930,49360,49350,44050,40780,38340,35670,37630,37990,36090,33090,31490,30400,29390,28050,28110,27950,28290,29120,29050,28420,28150,27380,26950,26290,25000,23990,23640,22480,21890,17800,17150,16860,16150,14980,14380,12910,11720,10050,8990,7950,6830,5650,4880,3950,3260,2580,2020,1630,1170,840,2010
1994Q2,58210,58680,60570,60380,58610,57400,55440,53620,53240,52530,51880,51640,52520,52880,52730,51600,52570,54270,54860,57090,58420,59500,59780,57920,57030,55800,54510,54130,54760,56980,59650,60720,60690,59420,58250,56720,55170,54570,53090,52180,50630,50100,49220,49330,49010,49400,49470,45810,41380,38780,36280,36840,38080,36860,33630,31790,30580,29670,28160,28130,27790,28200,28760,29130,28460,28130,27390,26980,26290,25260,24020,23550,22590,22180,18320,17160,16620,16350,14860,14490,12980,11880,10210,9060,7980,6960,5680,4940,4030,3280,2630,2040,1630,1230,850,2030
