year_reg,month_reg,ethnicity,sex,age_group,count
2010,1,Total,Female,00_00,15
2010,1,Total,Female,01_04,3
2010,1,Total,Female,05_09,3
2010,1,Total,Female,15_19,9
2010,1,Total,Female,20_24,6
2010,1,Total,Female,25_29,9
2010,1,Total,Female,30_34,9
2010,1,Total,Female,35_39,9
2010,1,Total,Female,40_44,12
2010,1,Total,Female,45_49,24
2010,1,Total,Female,50_54,30
2010,1,Total,Female,55_59,30
2010,1,Total,Female,60_64,48
2010,1,Total,Female,65_69,69
2010,1,Total,Female,70_74,75
2010,1,Total,Female,75_79,123
2010,1,Total,Female,80_84,165
2010,1,Total,Female,85_89,222
2010,1,Total,Female,90_94,162
2010,1,Total,Female,95_,75
2010,1,Total,Female,10_14,0
2010,1,Total,Male,00_00,6
2010,1,Total,Male,01_04,3
2010,1,Total,Male,05_09,0
2010,1,Total,Male,15_19,12
2010,1,Total,Male,20_24,12
2010,1,Total,Male,25_29,6
2010,1,Total,Male,30_34,6
2010,1,Total,Male,35_39,15
2010,1,Total,Male,40_44,18
2010,1,Total,Male,45_49,30
2010,1,Total,Male,50_54,45
2010,1,Total,Male,55_59,72
2010,1,Total,Male,60_64,78
2010,1,Total,Male,65_69,99
2010,1,Total,Male,70_74,123
2010,1,Total,Male,75_79,144
2010,1,Total,Male,80_84,198
2010,1,Total,Male,85_89,153
2010,1,Total,Male,90_94,78
2010,1,Total,Male,95_,24
2010,1,Total,Male,10_14,3
2010,1,European,Female,00_00,3
2010,1,European,Female,01_04,3
2010,1,European,Female,05_09,3
2010,1,European,Female,15_19,3
2010,1,European,Female,20_24,6
2010,1,European,Female,25_29,6
2010,1,European,Female,30_34,6
2010,1,European,Female,35_39,6
2010,1,European,Female,40_44,6
2010,1,European,Female,45_49,18
2010,1,European,Female,50_54,18
2010,1,European,Female,55_59,24
2010,1,European,Female,60_64,33
2010,1,European,Female,65_69,48
2010,1,European,Female,70_74,57
2010,1,European,Female,75_79,105
2010,1,European,Female,80_84,150
2010,1,European,Female,85_89,213
2010,1,European,Female,90_94,156
2010,1,European,Female,95_,72
2010,1,European,Female,10_14,0
2010,1,European,Male,00_00,3
2010,1,European,Male,01_04,3
2010,1,European,Male,05_09,0
2010,1,European,Male,15_19,6
2010,1,European,Male,20_24,3
