month_of_death,age_at_death,last_dose_number,days_between_last_vaccination_and_death,count
2019-07,0_to_20,0,NA,109
2019-07,100+,0,NA,28
2019-07,21_to_40,0,NA,79
2019-07,41_to_60,0,NA,288
2019-07,61_to_80,0,NA,1168
2019-07,81_to_100,0,NA,1727
2019-08,0_to_20,0,NA,70
2019-08,100+,0,NA,23
2019-08,21_to_40,0,NA,89
2019-08,41_to_60,0,NA,361
2019-08,61_to_80,0,NA,1130
2019-08,81_to_100,0,NA,1521
2019-09,0_to_20,0,NA,93
2019-09,100+,0,NA,15
2019-09,21_to_40,0,NA,85
2019-09,41_to_60,0,NA,284
2019-09,61_to_80,0,NA,1091
2019-09,81_to_100,0,NA,1411
2019-10,0_to_20,0,NA,76
2019-10,100+,0,NA,21
2019-10,21_to_40,0,NA,81
2019-10,41_to_60,0,NA,296
2019-10,61_to_80,0,NA,1041
2019-10,81_to_100,0,NA,1391
2019-11,0_to_20,0,NA,74
2019-11,100+,0,NA,21
2019-11,21_to_40,0,NA,97
2019-11,41_to_60,0,NA,300
2019-11,61_to_80,0,NA,947
2019-11,81_to_100,0,NA,1268
2019-12,0_to_20,0,NA,105
2019-12,100+,0,NA,13
2019-12,21_to_40,0,NA,80
2019-12,41_to_60,0,NA,322
2019-12,61_to_80,0,NA,947
2019-12,81_to_100,0,NA,1183
2020-01,0_to_20,0,NA,75
2020-01,100+,0,NA,19
2020-01,21_to_40,0,NA,80
2020-01,41_to_60,0,NA,330
2020-01,61_to_80,0,NA,1017
2020-01,81_to_100,0,NA,1250
2020-02,0_to_20,0,NA,78
2020-02,100+,0,NA,15
2020-02,21_to_40,0,NA,78
2020-02,41_to_60,0,NA,275
2020-02,61_to_80,0,NA,918
2020-02,81_to_100,0,NA,1188
2020-03,0_to_20,0,NA,82
2020-03,100+,0,NA,19
2020-03,21_to_40,0,NA,84
2020-03,41_to_60,0,NA,293
2020-03,61_to_80,0,NA,1009
2020-03,81_to_100,0,NA,1277
2020-04,0_to_20,0,NA,74
2020-04,100+,0,NA,15
2020-04,21_to_40,0,NA,57
2020-04,41_to_60,0,NA,288
2020-04,61_to_80,0,NA,1008
2020-04,81_to_100,0,NA,1302
2020-05,0_to_20,0,NA,86
2020-05,100+,0,NA,20
2020-05,21_to_40,0,NA,70
2020-05,41_to_60,0,NA,285
2020-05,61_to_80,0,NA,1046
2020-05,81_to_100,0,NA,1271
2020-06,0_to_20,0,NA,90
2020-06,100+,0,NA,15
2020-06,21_to_40,0,NA,59
2020-06,41_to_60,0,NA,285
2020-06,61_to_80,0,NA,966
2020-06,81_to_100,0,NA,1331
2020-07,0_to_20,0,NA,89
2020-07,100+,0,NA,18
2020-07,21_to_40,0,NA,75
2020-07,41_to_60,0,NA,295
2020-07,61_to_80,0,NA,1101
2020-07,81_to_100,0,NA,1404
2020-08,0_to_20,0,NA,87
2020-08,100+,0,NA,11
2020-08,21_to_40,0,NA,82
2020-08,41_to_60,0,NA,265
2020-08,61_to_80,0,NA,1072
2020-08,81_to_100,0,NA,1354
2020-09,0_to_20,0,NA,88
2020-09,100+,0,NA,12
2020-09,21_to_40,0,NA,70
2020-09,41_to_60,0,NA,292
2020-09,61_to_80,0,NA,1031
2020-09,81_to_100,0,NA,1223
2020-10,0_to_20,0,NA,82
2020-10,100+,0,NA,15
2020-10,21_to_40,0,NA,84
2020-10,41_to_60,0,NA,324
2020-10,61_to_80,0,NA,1057
2020-10,81_to_100,0,NA,1272
2020-11,0_to_20,0,NA,68
2020-11,100+,0,NA,17
2020-11,21_to_40,0,NA,59
2020-11,41_to_60,0,NA,312
2020-11,61_to_80,0,NA,1025
2020-11,81_to_100,0,NA,1214
2020-12,0_to_20,0,NA,93
2020-12,100+,0,NA,13
2020-12,21_to_40,0,NA,81
2020-12,41_to_60,0,NA,322
2020-12,61_to_80,0,NA,1017
2020-12,81_to_100,0,NA,1387
2021-01,0_to_20,0,NA,88
2021-01,100+,0,NA,17
2021-01,21_to_40,0,NA,78
2021-01,41_to_60,0,NA,304
2021-01,61_to_80,0,NA,1079
2021-01,81_to_100,0,NA,1351
2021-02,0_to_20,0,NA,86
2021-02,100+,0,NA,13
2021-02,21_to_40,0,NA,78
2021-02,41_to_60,0,NA,287
2021-02,61_to_80,0,NA,890
2021-02,81_to_100,0,NA,1181
2021-03,0_to_20,0,NA,82
2021-03,100+,0,NA,19
2021-03,21_to_40,0,NA,97
2021-03,41_to_60,0,NA,300
2021-03,41_to_60,1,<=_30,<5
2021-03,61_to_80,0,NA,1049
2021-03,61_to_80,1,<=_30,<5
2021-03,81_to_100,0,NA,1335
2021-04,0_to_20,0,NA,93
2021-04,100+,0,NA,15
2021-04,21_to_40,0,NA,86
2021-04,41_to_60,0,NA,292
2021-04,61_to_80,0,NA,984
2021-04,61_to_80,1,<=_30,<5
2021-04,61_to_80,2,<=_30,<5
2021-04,81_to_100,0,NA,1333
2021-04,81_to_100,1,<=_30,12
2021-05,0_to_20,0,NA,84
2021-05,100+,0,NA,14
2021-05,100+,1,<=_30,<5
2021-05,21_to_40,0,NA,67
2021-05,21_to_40,1,<=_30,<5
2021-05,21_to_40,2,<=_90,<5
2021-05,41_to_60,0,NA,311
2021-05,41_to_60,1,<=_30,<5
2021-05,41_to_60,1,<=_90,<5
2021-05,41_to_60,2,<=_30,<5
2021-05,41_to_60,2,<=_90,<5
2021-05,61_to_80,0,NA,993
2021-05,61_to_80,1,<=_30,54
2021-05,61_to_80,1,<=_90,<5
2021-05,61_to_80,2,<=_30,11
2021-05,61_to_80,2,<=_90,<5
2021-05,81_to_100,0,NA,1209
2021-05,81_to_100,1,<=_30,185
2021-05,81_to_100,1,<=_90,11
2021-05,81_to_100,2,<=_30,27
2021-05,81_to_100,2,<=_90,<5
2021-06,0_to_20,0,NA,94
2021-06,0_to_20,2,<=_30,<5
2021-06,100+,0,NA,14
2021-06,100+,1,<=_30,<5
2021-06,100+,1,<=_90,<5
2021-06,100+,2,<=_30,<5
2021-06,21_to_40,0,NA,77
2021-06,21_to_40,1,<=_90,<5
2021-06,21_to_40,2,<=_90,<5
2021-06,41_to_60,0,NA,279
2021-06,41_to_60,1,<=_30,<5
2021-06,41_to_60,1,<=_90,<5
2021-06,41_to_60,2,<=_30,<5
2021-06,61_to_80,0,NA,855
2021-06,61_to_80,1,<=_180,<5
2021-06,61_to_80,1,<=_30,111
2021-06,61_to_80,1,<=_90,22
2021-06,61_to_80,2,<=_180,<5
2021-06,61_to_80,2,<=_30,75
2021-06,61_to_80,2,<=_90,14
2021-06,81_to_100,0,NA,901
2021-06,81_to_100,1,<=_30,258
2021-06,81_to_100,1,<=_90,50
2021-06,81_to_100,2,<=_30,212
2021-06,81_to_100,2,<=_90,41
2021-07,0_to_20,0,NA,95
2021-07,0_to_20,2,<=_90,<5
2021-07,100+,0,NA,7
2021-07,100+,1,<=_30,<5
2021-07,100+,2,<=_30,9
2021-07,100+,2,<=_90,7
2021-07,21_to_40,0,NA,72
2021-07,21_to_40,1,<=_30,<5
2021-07,21_to_40,2,<=_30,<5
2021-07,41_to_60,0,NA,274
2021-07,41_to_60,1,<=_30,11
2021-07,41_to_60,1,<=_90,<5
2021-07,41_to_60,2,<=_30,6
2021-07,41_to_60,2,<=_90,10
2021-07,61_to_80,0,NA,794
2021-07,61_to_80,1,<=_30,100
2021-07,61_to_80,1,<=_90,53
2021-07,61_to_80,2,<=_30,133
2021-07,61_to_80,2,<=_90,128
2021-07,81_to_100,0,NA,742
2021-07,81_to_100,1,<=_30,143
2021-07,81_to_100,1,<=_90,103
