year,cmr
1872,1139
1873,1267
1874,1305
1875,1592
1876,1266
1877,1160
1878,1104
1879,1246
1880,1146
1881,1114
1882,1119
1883,1145
1884,1039
1885,1067
1886,1054
1887,1029
1888,943
1889,944
1890,966
1891,1035
1892,1006
1893,1023
1894,1019
1895,991
1896,911
1897,914
1898,984
1899,1024
1900,944
1901,981
1902,1050
1903,1040
1904,957
1905,927
1906,931
1907,1095
1908,957
1909,922
1910,971
1911,940
1912,887
1913,947
1914,931
1915,906
1916,964
1917,958
1918,1484
1919,946
1920,1015
1921,900
1922,910
1923,921
1924,853
1925,856
1926,885
1927,876
1928,883
1929,897
1930,880
1931,863
1932,843
1933,835
1934,890
1935,875
1936,931
1937,957
1938,1050
1939,978
1940,970
1941,1045
1942,1105
1943,1047
1944,1030
1945,1044
1946,1007
1947,970
1948,942
1949,939
1950,947
1951,967
1952,947
1953,896
1954,901
1955,899
1956,902
1957,934
1958,888
1959,905
1960,879
1961,898
1962,889
1963,884
1964,883
1965,872
1966,886
1967,843
1968,888
1969,869
1970,881
1971,849
1972,851
1973,850
1974,830
1975,810
1976,813
1977,826
1978,785
1979,808
1980,848
1981,797
1982,803
1983,807
1984,780
1985,840
1986,825
1987,830
1988,826
1989,812
1990,789
1991,755
1992,767
1993,758
1994,744
1995,757
1996,757
1997,726
1998,687
1999,733
2000,691
2001,716
2002,710
2003,695
2004,695
2005,654
2006,675
2007,675
2008,685
2009,673
2010,653
2011,686
2012,682
2013,665
2014,687
2015,685
2016,661
2017,692
2018,678
2019,687
2020,641
2021,683
2022,753
2023,722
