year,age,dead,pop
1948,0,1350,
1948,1,201,
1948,2,87,
1948,3,51,
1948,4,51,
1948,5,54,
1948,6,27,
1948,7,27,
1948,8,24,
1948,9,15,
1948,10,27,
1948,11,24,
1948,12,24,
1948,13,30,
1948,14,27,
1948,15,30,
1948,16,36,
1948,17,36,
1948,18,54,
1948,19,42,
1948,20,57,
1948,21,48,
1948,22,66,
1948,23,42,
1948,24,54,
1948,25,51,
1948,26,57,
1948,27,48,
1948,28,57,
1948,29,42,
1948,30,45,
1948,31,42,
1948,32,60,
1948,33,48,
1948,34,51,
1948,35,57,
1948,36,69,
1948,37,57,
1948,38,60,
1948,39,72,
1948,40,60,
1948,41,66,
1948,42,96,
1948,43,81,
1948,44,78,
1948,45,84,
1948,46,96,
1948,47,102,
1948,48,135,
1948,49,126,
1948,50,141,
1948,51,99,
1948,52,156,
1948,53,141,
1948,54,177,
1948,55,159,
1948,56,210,
1948,57,192,
1948,58,243,
1948,59,249,
1948,60,276,
1948,61,255,
1948,62,312,
1948,63,381,
1948,64,402,
1948,65,438,
1948,66,393,
1948,67,432,
1948,68,453,
1948,69,468,
1948,70,453,
1948,71,405,
1948,72,459,
1948,73,483,
1948,74,474,
1948,75,447,
1948,76,486,
1948,77,423,
1948,78,471,
1948,79,381,
1948,80,405,
1948,81,339,
1948,82,372,
1948,83,282,
1948,84,276,
1948,85,228,
1948,86,228,
1948,87,162,
1948,88,177,
1948,89,111,
1948,90,90,
1948,91,72,
1948,92,66,
1948,93,54,
1948,94,39,
1948,95,21,
1948,96,21,
1948,97,12,
1948,98,12,
1948,99,6,
1948,100,27,
1949,0,1470,
1949,1,210,
1949,2,102,
1949,3,75,
1949,4,42,
1949,5,39,
1949,6,30,
1949,7,21,
1949,8,27,
1949,9,15,
1949,10,18,
1949,11,24,
1949,12,21,
1949,13,21,
1949,14,21,
1949,15,18,
1949,16,39,
1949,17,42,
1949,18,33,
1949,19,54,
1949,20,33,
1949,21,48,
1949,22,45,
1949,23,42,
1949,24,54,
1949,25,45,
1949,26,42,
1949,27,45,
1949,28,39,
1949,29,42,
1949,30,42,
1949,31,48,
1949,32,48,
1949,33,57,
1949,34,54,
1949,35,69,
1949,36,66,
1949,37,48,
1949,38,75,
1949,39,75,
1949,40,75,
1949,41,69,
1949,42,84,
1949,43,87,
1949,44,63,
1949,45,120,
1949,46,87,
1949,47,93,
1949,48,138,
1949,49,129,
1949,50,150,
1949,51,126,
1949,52,171,
1949,53,147,
1949,54,192,
1949,55,135,
1949,56,198,
1949,57,204,
1949,58,237,
1949,59,234,
1949,60,297,
1949,61,261,
1949,62,300,
1949,63,327,
1949,64,363,
1949,65,450,
1949,66,372,
1949,67,387,
1949,68,468,
1949,69,468,
1949,70,513,
1949,71,414,
1949,72,528,
1949,73,546,
1949,74,522,
1949,75,456,
1949,76,465,
1949,77,405,
1949,78,447,
1949,79,438,
1949,80,363,
1949,81,339,
1949,82,324,
1949,83,354,
1949,84,291,
1949,85,249,
1949,86,225,
1949,87,183,
1949,88,144,
1949,89,144,
1949,90,108,
1949,91,69,
1949,92,78,
1949,93,63,
1949,94,27,
1949,95,30,
1949,96,18,
1949,97,15,
1949,98,12,
1949,99,9,
1949,100,12,
1950,0,1365,
1950,1,165,
1950,2,78,
1950,3,54,
1950,4,36,
1950,5,27,
1950,6,30,
1950,7,21,
1950,8,33,
1950,9,21,
1950,10,18,
1950,11,21,
1950,12,21,
1950,13,15,
1950,14,24,
1950,15,21,
1950,16,30,
1950,17,39,
1950,18,36,
1950,19,51,
1950,20,39,
1950,21,39,
1950,22,51,
1950,23,45,
1950,24,45,
1950,25,42,
1950,26,39,
1950,27,30,
1950,28,48,
1950,29,36,
1950,30,33,
1950,31,42,
1950,32,45,
1950,33,51,
1950,34,57,
1950,35,57,
1950,36,69,
1950,37,60,
1950,38,75,
1950,39,69,
1950,40,81,
1950,41,45,
1950,42,84,
1950,43,81,
1950,44,84,
1950,45,96,
1950,46,102,
1950,47,108,
1950,48,126,
1950,49,141,
1950,50,165,
1950,51,117,
1950,52,120,
1950,53,171,
1950,54,174,
1950,55,180,
1950,56,201,
1950,57,204,
1950,58,246,
1950,59,246,
1950,60,264,
1950,61,270,
1950,62,336,
1950,63,336,
1950,64,360,
1950,65,453,
1950,66,405,
1950,67,438,
1950,68,432,
1950,69,519,
1950,70,510,
1950,71,420,
1950,72,585,
1950,73,534,
1950,74,543,
1950,75,480,
1950,76,504,
1950,77,417,
1950,78,516,
1950,79,459,
1950,80,474,
1950,81,366,
1950,82,369,
1950,83,318,
1950,84,342,
1950,85,282,
1950,86,258,
1950,87,216,
1950,88,168,
1950,89,153,
1950,90,132,
1950,91,84,
1950,92,69,
1950,93,54,
1950,94,39,
1950,95,30,
1950,96,39,
1950,97,15,
1950,98,9,
1950,99,12,
1950,100,15,
1951,0,1374,
1951,1,162,
1951,2,69,
1951,3,60,
1951,4,36,
1951,5,39,
1951,6,33,
1951,7,24,
1951,8,15,
1951,9,21,
1951,10,24,
1951,11,18,
1951,12,12,
1951,13,18,
1951,14,15,
1951,15,33,
1951,16,21,
1951,17,27,
1951,18,36,
1951,19,42,
1951,20,51,
1951,21,33,
1951,22,45,
1951,23,42,
1951,24,48,
1951,25,48,
1951,26,42,
1951,27,39,
