year,q,age,pop
1992,1,0,60610
1992,1,1,59660
1992,1,2,57890
1992,1,3,56760
1992,1,4,54290
1992,1,5,53270
1992,1,6,52680
1992,1,7,51980
1992,1,8,51280
1992,1,9,51220
1992,1,10,52340
1992,1,11,52190
1992,1,12,51880
1992,1,13,50770
1992,1,14,52430
1992,1,15,53620
1992,1,16,55060
1992,1,17,57470
1992,1,18,58960
1992,1,19,60950
1992,1,20,61600
1992,1,21,59450
1992,1,22,58140
1992,1,23,55980
1992,1,24,54400
1992,1,25,53540
1992,1,26,54140
1992,1,27,56520
1992,1,28,58840
1992,1,29,59900
1992,1,30,59690
1992,1,31,58420
1992,1,32,57450
1992,1,33,55600
1992,1,34,54480
1992,1,35,53780
1992,1,36,52210
1992,1,37,51470
1992,1,38,49810
1992,1,39,49540
1992,1,40,48760
1992,1,41,49000
1992,1,42,48680
1992,1,43,49170
1992,1,44,49230
1992,1,45,44050
1992,1,46,40880
1992,1,47,38430
1992,1,48,35810
1992,1,49,37810
1992,1,50,38220
1992,1,51,36310
1992,1,52,33350
1992,1,53,31780
1992,1,54,30690
1992,1,55,29740
1992,1,56,28450
1992,1,57,28550
1992,1,58,28440
1992,1,59,28780
1992,1,60,29720
1992,1,61,29760
1992,1,62,29170
1992,1,63,29040
1992,1,64,28390
1992,1,65,28030
1992,1,66,27370
1992,1,67,26190
1992,1,68,25260
1992,1,69,24950
1992,1,70,23870
1992,1,71,23340
1992,1,72,19140
1992,1,73,18610
1992,1,74,18380
1992,1,75,17770
1992,1,76,16620
1992,1,77,16100
1992,1,78,14700
1992,1,79,13510
1992,1,80,11740
1992,1,81,10740
1992,1,82,9680
1992,1,83,8470
1992,1,84,7130
1992,1,85,6300
1992,1,86,5260
1992,1,87,4390
1992,1,88,3610
1992,1,89,2950
1992,1,90,2410
1992,1,91,1830
1992,1,92,1320
1992,1,93,1070
1992,1,94,790
1992,1,95,1810
1992,2,0,60400
1992,2,1,60070
1992,2,2,58330
1992,2,3,57030
1992,2,4,55060
1992,2,5,53300
1992,2,6,52890
1992,2,7,52150
1992,2,8,51460
1992,2,9,51180
1992,2,10,52030
1992,2,11,52360
1992,2,12,52110
1992,2,13,50940
1992,2,14,51830
1992,2,15,53630
1992,2,16,54530
1992,2,17,56920
1992,2,18,58610
1992,2,19,60430
1992,2,20,61570
1992,2,21,59730
1992,2,22,58280
1992,2,23,56380
1992,2,24,54580
1992,2,25,53660
1992,2,26,53910
1992,2,27,55840
1992,2,28,58520
1992,2,29,59790
1992,2,30,59980
1992,2,31,58830
1992,2,32,57670
1992,2,33,56190
1992,2,34,54670
1992,2,35,54070
1992,2,36,52590
1992,2,37,51700
1992,2,38,50160
1992,2,39,49700
1992,2,40,48860
1992,2,41,49000
1992,2,42,48700
1992,2,43,49160
1992,2,44,49300
1992,2,45,45770
1992,2,46,41440
1992,2,47,38860
1992,2,48,36400
1992,2,49,37000
1992,2,50,38310
1992,2,51,37080
1992,2,52,33890
1992,2,53,32090
1992,2,54,30880
1992,2,55,30010
1992,2,56,28550
1992,2,57,28550
1992,2,58,28280
1992,2,59,28680
1992,2,60,29350
1992,2,61,29820
1992,2,62,29220
1992,2,63,28990
1992,2,64,28390
1992,2,65,28060
1992,2,66,27360
1992,2,67,26440
1992,2,68,25280
1992,2,69,24860
1992,2,70,23970
1992,2,71,23630
1992,2,72,19700
1992,2,73,18600
1992,2,74,18120
1992,2,75,17960
1992,2,76,16510
1992,2,77,16210
1992,2,78,14780
1992,2,79,13670
1992,2,80,11890
1992,2,81,10800
1992,2,82,9700
1992,2,83,8620
1992,2,84,7200
1992,2,85,6340
1992,2,86,5360
1992,2,87,4410
1992,2,88,3660
1992,2,89,2980
1992,2,90,2420
1992,2,91,1890
1992,2,92,1340
1992,2,93,1070
1992,2,94,810
1992,2,95,1840
1992,3,0,60000
1992,3,1,60350
1992,3,2,58810
1992,3,3,57250
1992,3,4,55820
1992,3,5,53400
1992,3,6,53090
1992,3,7,52320
1992,3,8,51660
1992,3,9,51200
1992,3,10,51650
1992,3,11,52560
1992,3,12,52150
1992,3,13,51290
1992,3,14,51300
1992,3,15,53530
1992,3,16,54110
1992,3,17,56370
1992,3,18,58280
1992,3,19,59870
1992,3,20,61350
1992,3,21,60180
1992,3,22,58320
1992,3,23,56720
1992,3,24,54810
1992,3,25,53870
1992,3,26,53690
1992,3,27,55230
1992,3,28,58110
1992,3,29,59610
1992,3,30,60150
1992,3,31,59280
1992,3,32,57830
1992,3,33,56840
1992,3,34,54870
1992,3,35,54310
1992,3,36,52990
1992,3,37,51870
1992,3,38,50650
1992,3,39,49760
1992,3,40,49050
1992,3,41,48960
1992,3,42,48820
1992,3,43,49060
1992,3,44,49190
1992,3,45,47520
1992,3,46,41910
1992,3,47,39390
1992,3,48,37180
1992,3,49,36210
1992,3,50,38310
1992,3,51,37620
1992,3,52,34620
1992,3,53,32400
1992,3,54,31110
1992,3,55,30230
1992,3,56,28800
1992,3,57,28460
1992,3,58,28220
1992,3,59,28570
1992,3,60,28980
1992,3,61,29830
1992,3,62,29260
1992,3,63,28910
1992,3,64,28450
1992,3,65,28060
1992,3,66,27340
1992,3,67,26670
1992,3,68,25330
1992,3,69,24750
1992,3,70,24150
1992,3,71,23510
1992,3,72,20710
1992,3,73,18490
1992,3,74,17940
1992,3,75,18000
1992,3,76,16550
1992,3,77,16160
1992,3,78,14920
1992,3,79,13770
1992,3,80,12110
1992,3,81,10830
1992,3,82,9720
1992,3,83,8740
1992,3,84,7300
1992,3,85,6370
1992,3,86,5440
1992,3,87,4450
1992,3,88,3710
1992,3,89,3000
1992,3,90,2430
1992,3,91,1950
1992,3,92,1370
1992,3,93,1070
1992,3,94,820
1992,3,95,1860
