year,livebirths,stillbirths
1951,49806,915
1952,51846,957
1953,51888,1008
1954,54057,984
1955,55596,891
1956,56532,981
1957,58425,936
1958,60558,933
1959,61800,942
1960,62778,888
1961,65391,909
1962,65013,843
1963,64527,825
1964,62304,813
1965,60045,717
1966,60003,669
1967,61023,735
1968,62112,750
1969,62361,624
1970,62052,672
1971,64458,660
1972,63216,645
1973,60729,558
1974,59334,513
1975,56640,474
1976,55104,423
1977,54180,414
1978,51030,363
1979,52278,348
1980,50541,348
1981,50793,333
1982,49938,297
1983,50475,270
1984,51636,261
1985,51798,255
1986,52821,249
1987,55254,267
1988,57546,279
1989,58092,267
1990,60153,246
1991,59913,276
1992,59166,237
1993,58782,180
1994,57321,183
1995,57672,246
1996,57282,381
1997,57603,366
1998,55350,327
1999,57051,381
2000,56604,348
2001,55800,327
2002,54021,354
2003,56136,348
2004,58074,483
2005,57744,360
2006,59193,369
2007,64044,459
2008,64341,507
2009,62541,384
2010,63897,417
2011,61404,420
2012,61179,390
2013,58719,333
2014,57243,363
2015,61038,291
2016,59430,318
2017,59610,303
2018,58020,309
2019,59637,339
2020,57573,345
2021,58659,339
2022,58887,366
2023,56955,312
2024,58341,375
