cause,year,month,status,dead,pop,asmr,asmr_low,asmr_high
All causes,2021,January,Unvaccinated,52353,3052744,2498.4,2476.1,2520.7
All causes,2021,January,Within 21 days of first dose,7335,221244,1308.3,389.5,2227.1
All causes,2021,January,21 days or more after first dose,2354,35966,1661.1,1505.7,1816.6
All causes,2021,January,Within 21 days of second dose,409,23217,248.1,168.6,327.6
All causes,2021,January,21 days or more after second dose,80,4039,162.1,127.9,202.5
All causes,2021,February,Unvaccinated,19991,2174222,4683.9,4605.9,4761.8
All causes,2021,February,Within 21 days of first dose,6975,436280,977.3,950.1,1004.5
All causes,2021,February,21 days or more after first dose,14100,368525,1030.6,1004.5,1056.7
All causes,2021,February,Within 21 days of second dose,39,3212,637.4,417.9,916.3
All causes,2021,February,21 days or more after second dose,889,31271,406.5,301.3,511.7
All causes,2021,March,Unvaccinated,7835,1784083,2676.6,2607.8,2745.5
All causes,2021,March,Within 21 days of first dose,1799,441664,2003.0,1777.4,2228.7
All causes,2021,March,21 days or more after first dose,22473,994253,990.5,974.7,1006.3
All causes,2021,March,Within 21 days of second dose,1290,71774,486.1,445.8,526.3
All causes,2021,March,21 days or more after second dose,1321,44850,579.2,486.9,671.4
All causes,2021,April,Unvaccinated,4044,1354319,2055.4,1985.7,2125.1
All causes,2021,April,Within 21 days of first dose,393,193563,1927.3,1673.5,2181.1
All causes,2021,April,21 days or more after first dose,15867,1103666,1795.4,1764.1,1826.7
All causes,2021,April,Within 21 days of second dose,5073,373658,461.5,444.6,478.4
All causes,2021,April,21 days or more after second dose,5872,203731,708.7,679.4,738.0
All causes,2021,May,Unvaccinated,2755,1197309,1695.1,1625.1,1765.1
All causes,2021,May,Within 21 days of first dose,121,142790,1689.5,1304.9,2074.0
All causes,2021,May,21 days or more after first dose,7605,735942,4725.8,4599.4,4852.3
All causes,2021,May,Within 21 days of second dose,2932,456008,781.3,747.4,815.2
All causes,2021,May,21 days or more after second dose,18695,801816,847.1,695.8,998.3
All causes,2021,June,Unvaccinated,2201,918234,1502.2,1433.5,1570.8
All causes,2021,June,Within 21 days of first dose,64,166875,1267.0,886.3,1725.6
All causes,2021,June,21 days or more after first dose,3362,375294,5337.4,5132.5,5542.2
All causes,2021,June,Within 21 days of second dose,831,349615,1437.4,1306.6,1568.1
All causes,2021,June,21 days or more after second dose,23795,1413751,781.6,770.6,792.7
All causes,2021,July,Unvaccinated,2149,763000,1479.9,1412.0,1547.7
All causes,2021,July,Within 21 days of first dose,30,107578,857.6,488.4,1342.8
All causes,2021,July,21 days or more after first dose,2078,371045,4701.0,4481.3,4920.6
All causes,2021,July,Within 21 days of second dose,256,166522,1751.5,1489.3,2013.6
All causes,2021,July,21 days or more after second dose,29357,1920382,874.8,864.1,885.5
All causes,2021,August,Unvaccinated,2168,705504,1562.2,1491.3,1633.0
All causes,2021,August,Within 21 days of first dose,28,35897,2000.6,1254.2,2991.3
All causes,2021,August,21 days or more after first dose,1389,267917,3581.1,3378.4,3783.7
All causes,2021,August,Within 21 days of second dose,84,156761,1409.4,1074.5,1803.5
All causes,2021,August,21 days or more after second dose,30032,2159570,893.7,851.5,935.8
All causes,2021,September,Unvaccinated,1958,634100,1484.3,1413.9,1554.7
All causes,2021,September,Within 21 days of first dose,10,30010,735.5,239.9,1534.4
All causes,2021,September,21 days or more after first dose,1094,151660,3280.0,3073.0,3487.0
All causes,2021,September,Within 21 days of second dose,29,97004,810.3,489.1,1230.3
All causes,2021,September,21 days or more after second dose,30864,2302796,932.8,900.0,965.7
All causes,2021,October,Unvaccinated,1809,609332,1361.3,1294.3,1428.3
All causes,2021,October,Within 21 days of first dose,16,34429,1673.5,920.2,2770.7
All causes,2021,October,21 days or more after first dose,988,144136,3018.2,2818.2,3218.3
All causes,2021,October,Within 21 days of second dose,33,30692,1528.2,1026.2,2179.7
All causes,2021,October,21 days or more after second dose,33039,2501224,955.3,928.9,981.7
Deaths involving COVID-19,2021,January,Unvaccinated,24366,3052744,1183.8,1168.3,1199.2
Deaths involving COVID-19,2021,January,Within 21 days of first dose,2322,221244,736.2,-182.2,1654.6
Deaths involving COVID-19,2021,January,21 days or more after first dose,1014,35966,692.8,594.7,791.0
Deaths involving COVID-19,2021,January,Within 21 days of second dose,57,23217,19.2,14.4,25.0
Deaths involving COVID-19,2021,January,21 days or more after second dose,11,4039,23.2,11.4,41.9
Deaths involving COVID-19,2021,February,Unvaccinated,7697,2174222,1906.8,1856.7,1956.9
Deaths involving COVID-19,2021,February,Within 21 days of first dose,1399,436280,200.5,188.9,212.1
Deaths involving COVID-19,2021,February,21 days or more after first dose,3342,368525,228.4,216.9,240.0
Deaths involving COVID-19,2021,February,Within 21 days of second dose,4,3212,,,
Deaths involving COVID-19,2021,February,21 days or more after second dose,62,31271,16.1,12.3,20.7
Deaths involving COVID-19,2021,March,Unvaccinated,1320,1784083,459.2,430.7,487.7
Deaths involving COVID-19,2021,March,Within 21 days of first dose,131,441664,179.0,141.1,216.9
Deaths involving COVID-19,2021,March,21 days or more after first dose,1551,994253,66.3,62.7,70.0
Deaths involving COVID-19,2021,March,Within 21 days of second dose,28,71774,11.0,5.6,18.2
Deaths involving COVID-19,2021,March,21 days or more after second dose,35,44850,20.4,2.4,43.7
Deaths involving COVID-19,2021,April,Unvaccinated,245,1354319,125.7,108.6,142.7
Deaths involving COVID-19,2021,April,Within 21 days of first dose,18,193563,108.4,55.8,183.3
Deaths involving COVID-19,2021,April,21 days or more after first dose,391,1103666,49.7,44.4,55.1
Deaths involving COVID-19,2021,April,Within 21 days of second dose,41,373658,3.4,2.3,4.7
Deaths involving COVID-19,2021,April,21 days or more after second dose,60,203731,7.3,4.5,10.7
Deaths involving COVID-19,2021,May,Unvaccinated,79,1197309,44.4,34.2,56.6
Deaths involving COVID-19,2021,May,Within 21 days of first dose,4,142790,,,
Deaths involving COVID-19,2021,May,21 days or more after first dose,109,735942,69.3,54.0,84.7
Deaths involving COVID-19,2021,May,Within 21 days of second dose,24,456008,7.0,4.1,11.0
Deaths involving COVID-19,2021,May,21 days or more after second dose,72,801816,2.7,2.0,3.5
Deaths involving COVID-19,2021,June,Unvaccinated,95,918234,52.2,40.8,65.4
Deaths involving COVID-19,2021,June,Within 21 days of first dose,1,166875,,,
Deaths involving COVID-19,2021,June,21 days or more after first dose,48,375294,72.4,50.2,99.8
Deaths involving COVID-19,2021,June,Within 21 days of second dose,8,349615,,,
Deaths involving COVID-19,2021,June,21 days or more after second dose,163,1413751,5.5,4.5,6.4
Deaths involving COVID-19,2021,July,Unvaccinated,329,763000,206.2,181.4,231.0
Deaths involving COVID-19,2021,July,Within 21 days of first dose,5,107578,,,
Deaths involving COVID-19,2021,July,21 days or more after first dose,66,371045,140.8,105.4,183.4
Deaths involving COVID-19,2021,July,Within 21 days of second dose,4,166522,,,
Deaths involving COVID-19,2021,July,21 days or more after second dose,741,1920382,22.7,20.9,24.4
Deaths involving COVID-19,2021,August,Unvaccinated,573,705504,376.2,342.3,410.1
Deaths involving COVID-19,2021,August,Within 21 days of first dose,8,35897,,,
Deaths involving COVID-19,2021,August,21 days or more after first dose,83,267917,216.4,168.4,273.0
Deaths involving COVID-19,2021,August,Within 21 days of second dose,4,156761,,,
Deaths involving COVID-19,2021,August,21 days or more after second dose,1540,2159570,44.9,42.6,47.1
Deaths involving COVID-19,2021,September,Unvaccinated,481,634100,343.3,310.1,376.5
Deaths involving COVID-19,2021,September,Within 21 days of first dose,2,30010,,,
Deaths involving COVID-19,2021,September,21 days or more after first dose,88,151660,254.5,200.3,317.9
Deaths involving COVID-19,2021,September,Within 21 days of second dose,2,97004,,,
Deaths involving COVID-19,2021,September,21 days or more after second dose,2014,2302796,59.8,57.2,62.5
Deaths involving COVID-19,2021,October,Unvaccinated,393,609332,285.4,255.0,315.9
Deaths involving COVID-19,2021,October,Within 21 days of first dose,0,34429,,,
Deaths involving COVID-19,2021,October,21 days or more after first dose,67,144136,216.5,165.5,277.7
Deaths involving COVID-19,2021,October,Within 21 days of second dose,1,30692,,,
Deaths involving COVID-19,2021,October,21 days or more after second dose,2188,2501224,62.4,59.8,65.0
Non-COVID-19 deaths,2021,January,Unvaccinated,27987,3052744,1314.6,1298.5,1330.7
Non-COVID-19 deaths,2021,January,Within 21 days of first dose,5013,221244,572.1,545.6,598.5
Non-COVID-19 deaths,2021,January,21 days or more after first dose,1340,35966,968.3,847.8,1088.8
Non-COVID-19 deaths,2021,January,Within 21 days of second dose,352,23217,228.9,149.5,308.3
Non-COVID-19 deaths,2021,January,21 days or more after second dose,69,4039,138.9,107.5,176.5
Non-COVID-19 deaths,2021,February,Unvaccinated,12294,2174222,2777.1,2717.4,2836.8
Non-COVID-19 deaths,2021,February,Within 21 days of first dose,5576,436280,776.8,752.1,801.4
Non-COVID-19 deaths,2021,February,21 days or more after first dose,10758,368525,802.2,778.8,825.6
Non-COVID-19 deaths,2021,February,Within 21 days of second dose,35,3212,586.9,373.3,862.0
Non-COVID-19 deaths,2021,February,21 days or more after second dose,827,31271,390.4,285.3,495.5
Non-COVID-19 deaths,2021,March,Unvaccinated,6515,1784083,2217.5,2154.8,2280.1
Non-COVID-19 deaths,2021,March,Within 21 days of first dose,1668,441664,1824.1,1601.7,2046.5
Non-COVID-19 deaths,2021,March,21 days or more after first dose,20922,994253,924.2,908.8,939.6
Non-COVID-19 deaths,2021,March,Within 21 days of second dose,1262,71774,475.0,435.2,514.9
Non-COVID-19 deaths,2021,March,21 days or more after second dose,1286,44850,558.7,468.6,648.9
Non-COVID-19 deaths,2021,April,Unvaccinated,3799,1354319,1929.7,1862.1,1997.4
Non-COVID-19 deaths,2021,April,Within 21 days of first dose,375,193563,1818.9,1572.2,2065.6
Non-COVID-19 deaths,2021,April,21 days or more after first dose,15476,1103666,1745.7,1714.9,1776.5
Non-COVID-19 deaths,2021,April,Within 21 days of second dose,5032,373658,458.1,441.3,475.0
Non-COVID-19 deaths,2021,April,21 days or more after second dose,5812,203731,701.4,672.2,730.5
Non-COVID-19 deaths,2021,May,Unvaccinated,2676,1197309,1650.7,1581.5,1719.8
Non-COVID-19 deaths,2021,May,Within 21 days of first dose,117,142790,1615.0,1239.9,1990.1
Non-COVID-19 deaths,2021,May,21 days or more after first dose,7496,735942,4656.5,4531.0,4782.1
