cause,year,month,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2021,January,Unvaccinated,52351,3050101,2502.9,,2480.5,2525.2
All causes,2021,January,"First dose, less than 21 days ago",7570,221650,1330.1,,421.7,2238.5
All causes,2021,January,"First dose, at least 21 days ago",2363,35916,1718.5,,1542.3,1894.6
All causes,2021,January,"Second dose, less than 21 days ago",433,23297,265.6,,183.7,347.5
All causes,2021,January,"Second dose, between 21 days and 6 months ago",82,4049,166.1,,131.4,207
All causes,2021,January,"Second dose, at least 6 months ago",0,0,,,,
All causes,2021,January,"Third dose or booster, less than 21 days ago",0,0,,,,
All causes,2021,January,"Third dose or booster, at least 21 days ago",0,0,,,,
All causes,2021,January,Ever vaccinated,10448,284912,1250,,501.3,1998.7
All causes,2021,February,Unvaccinated,19716,2152832,5235.4,,5147.2,5323.7
All causes,2021,February,"First dose, less than 21 days ago",7336,450948,1003.2,,975.9,1030.5
All causes,2021,February,"First dose, at least 21 days ago",14281,373011,1038.5,,1012.5,1064.6
All causes,2021,February,"Second dose, less than 21 days ago",44,3320,708.8,,477.7,998.1
All causes,2021,February,"Second dose, between 21 days and 6 months ago",901,31398,454.5,,335.6,573.5
All causes,2021,February,"Second dose, at least 6 months ago",0,0,,,,
All causes,2021,February,"Third dose or booster, less than 21 days ago",0,0,,,,
All causes,2021,February,"Third dose or booster, at least 21 days ago",0,0,,,,
All causes,2021,February,Ever vaccinated,22562,858677,904,,888.7,919.2
All causes,2021,March,Unvaccinated,7549,1760858,3277.3,,3189.8,3364.9
All causes,2021,March,"First dose, less than 21 days ago",1855,440695,2060.5,,1835.9,2285
All causes,2021,March,"First dose, at least 21 days ago",23001,1018209,997.3,,981.5,1013.1
All causes,2021,March,"Second dose, less than 21 days ago",1332,69450,526.7,,483.5,570
All causes,2021,March,"Second dose, between 21 days and 6 months ago",1338,45174,598.2,,504.3,692
All causes,2021,March,"Second dose, at least 6 months ago",0,0,,,,
All causes,2021,March,"Third dose or booster, less than 21 days ago",0,0,,,,
All causes,2021,March,"Third dose or booster, at least 21 days ago",0,0,,,,
