cause,year,month,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2021,April,Unvaccinated,3577,1629172,2088.1,,2009.9,2166.2
All causes,2021,April,"First dose, less than 21 days ago",430,226280,1846.2,,1600.9,2091.5
All causes,2021,April,"First dose, at least 21 days ago",16320,1274516,1596.1,,1568.3,1623.9
All causes,2021,April,"Second dose, less than 21 days ago",5479,404373,472.8,,456.4,489.1
All causes,2021,April,"Second dose, between 21 days and 6 months ago",5944,219349,713.5,,678.8,748.1
All causes,2021,April,"Second dose, at least 6 months ago",0,0,,,,
All causes,2021,April,"Third dose or booster, less than 21 days ago",1,2,,,,
All causes,2021,April,"Third dose or booster, at least 21 days ago",1,2,,,,
All causes,2021,April,"Fourth dose or booster, less than 21 days ago",0,0,,,,
All causes,2021,April,"Fourth dose or booster, at least 21 days ago",0,0,,,,
All causes,2021,April,Ever vaccinated,28175,2124523,812.7,,802.6,822.9
All causes,2021,May,Unvaccinated,2885,1441734,1721.5,,1649.9,1793.0
All causes,2021,May,"First dose, less than 21 days ago",156,186679,1629.5,,1268.4,1990.6
All causes,2021,May,"First dose, at least 21 days ago",8166,846621,5007.7,,4875.4,5140.1
All causes,2021,May,"Second dose, less than 21 days ago",3393,527045,778.4,,746.7,810.0
All causes,2021,May,"Second dose, between 21 days and 6 months ago",19680,879326,769.7,,754.6,784.8
All causes,2021,May,"Second dose, at least 6 months ago",0,0,,,,
All causes,2021,May,"Third dose or booster, less than 21 days ago",1,3,,,,
All causes,2021,May,"Third dose or booster, at least 21 days ago",1,5,,,,
All causes,2021,May,"Fourth dose or booster, less than 21 days ago",0,0,,,,
All causes,2021,May,"Fourth dose or booster, at least 21 days ago",0,0,,,,
All causes,2021,May,Ever vaccinated,31397,2439679,856.3,,846.4,866.2
All causes,2021,June,Unvaccinated,2407,1082160,1540.6,,1470.9,1610.4
All causes,2021,June,"First dose, less than 21 days ago",95,220318,1843.4,,919.5,2919.8
All causes,2021,June,"First dose, at least 21 days ago",3731,462819,6385.4,,6145.2,6625.7
All causes,2021,June,"Second dose, less than 21 days ago",985,407615,1473.5,,1344.6,1602.3
All causes,2021,June,"Second dose, between 21 days and 6 months ago",25888,1585793,795.3,,784.4,806.2
All causes,2021,June,"Second dose, at least 6 months ago",0,26,,,,
All causes,2021,June,"Third dose or booster, less than 21 days ago",0,47,,,,
All causes,2021,June,"Third dose or booster, at least 21 days ago",0,12,,,,
All causes,2021,June,"Fourth dose or booster, less than 21 days ago",0,0,,,,
All causes,2021,June,"Fourth dose or booster, at least 21 days ago",0,0,,,,
All causes,2021,June,Ever vaccinated,30699,2676630,950.1,,753.1,1147.0
All causes,2021,July,Unvaccinated,2581,899033,1687.6,,1614.8,1760.4
All causes,2021,July,"First dose, less than 21 days ago",71,128197,1097.6,,674.7,1602.4
All causes,2021,July,"First dose, at least 21 days ago",2350,464725,6065.2,,5786.5,6344.0
All causes,2021,July,"Second dose, less than 21 days ago",327,214571,1889.0,,1622.2,2155.9
All causes,2021,July,"Second dose, between 21 days and 6 months ago",31046,2151653,1347.1,,743.8,1950.5
All causes,2021,July,"Second dose, at least 6 months ago",1214,28217,576.4,,450.6,702.1
All causes,2021,July,"Third dose or booster, less than 21 days ago",0,44,,,,
All causes,2021,July,"Third dose or booster, at least 21 days ago",4,93,,,,
All causes,2021,July,"Fourth dose or booster, less than 21 days ago",0,0,,,,
All causes,2021,July,"Fourth dose or booster, at least 21 days ago",0,0,,,,
All causes,2021,July,Ever vaccinated,35012,2987500,1063.6,,880.2,1246.9
All causes,2021,August,Unvaccinated,2583,834809,1768.3,,1692.8,1843.8
All causes,2021,August,"First dose, less than 21 days ago",41,43595,1886.7,,1183.9,2774.1
All causes,2021,August,"First dose, at least 21 days ago",1535,315685,4798.1,,4527.2,5069.1
