cause,year,month,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2021,April,Unvaccinated,3556,1627374,2087.2,,2009.1,2165.4
All causes,2021,April,"First dose, less than 21 days ago",428,225906,1851.2,,1605.1,2097.3
All causes,2021,April,"First dose, at least 21 days ago",16237,1271496,1594.8,,1567.0,1622.6
All causes,2021,April,"Second dose, less than 21 days ago",5431,402753,470.9,,454.5,487.2
All causes,2021,April,"Second dose, between 21 days and 6 months ago",5884,218219,709.1,,674.4,743.8
All causes,2021,April,"Second dose, at least 6 months ago",0,0,,,,
All causes,2021,April,"Third dose or booster, less than 21 days ago",0,2,,,,
All causes,2021,April,"Third dose or booster, at least 21 days ago",0,2,,,,
All causes,2021,April,Ever vaccinated,27980,2118377,810.3,,800.2,820.4
All causes,2021,May,Unvaccinated,2871,1440421,1720.2,,1648.7,1791.8
All causes,2021,May,"First dose, less than 21 days ago",155,186246,1614.5,,1254.4,1974.6
All causes,2021,May,"First dose, at least 21 days ago",8123,844993,5002.5,,4869.9,5135.0
All causes,2021,May,"Second dose, less than 21 days ago",3373,525787,777.1,,745.4,808.8
All causes,2021,May,"Second dose, between 21 days and 6 months ago",19529,875765,766.2,,751.5,781.0
All causes,2021,May,"Second dose, at least 6 months ago",0,0,,,,
All causes,2021,May,"Third dose or booster, less than 21 days ago",0,2,,,,
All causes,2021,May,"Third dose or booster, at least 21 days ago",0,5,,,,
All causes,2021,May,Ever vaccinated,31180,2432797,853.9,,844.0,863.8
All causes,2021,June,Unvaccinated,2385,1081514,1537.8,,1468.0,1607.6
All causes,2021,June,"First dose, less than 21 days ago",93,219920,1809.9,,889.4,2884.2
All causes,2021,June,"First dose, at least 21 days ago",3697,461837,6358.5,,6118.5,6598.5
All causes,2021,June,"Second dose, less than 21 days ago",976,406838,1462.1,,1333.6,1590.7
All causes,2021,June,"Second dose, between 21 days and 6 months ago",25687,1580685,791.7,,780.8,802.6
All causes,2021,June,"Second dose, at least 6 months ago",0,26,,,,
All causes,2021,June,"Third dose or booster, less than 21 days ago",0,46,,,,
All causes,2021,June,"Third dose or booster, at least 21 days ago",0,11,,,,
All causes,2021,June,Ever vaccinated,30453,2669362,946.8,,749.3,1144.3
All causes,2021,July,Unvaccinated,2553,898740,1681.5,,1608.8,1754.2
All causes,2021,July,"First dose, less than 21 days ago",70,127971,1101.5,,677.1,1608.7
All causes,2021,July,"First dose, at least 21 days ago",2331,463938,6036.0,,5757.7,6314.4
All causes,2021,July,"Second dose, less than 21 days ago",325,214015,1885.4,,1618.3,2152.5
All causes,2021,July,"Second dose, between 21 days and 6 months ago",30819,2145514,1348.2,,739.3,1957.1
All causes,2021,July,"Second dose, at least 6 months ago",1208,28063,578.1,,451.6,704.6
All causes,2021,July,"Third dose or booster, less than 21 days ago",0,43,,,,
All causes,2021,July,"Third dose or booster, at least 21 days ago",0,93,,,,
All causes,2021,July,Ever vaccinated,34753,2979637,1061.0,,877.2,1244.8
All causes,2021,August,Unvaccinated,2557,834628,1758.7,,1683.4,1834.1
All causes,2021,August,"First dose, less than 21 days ago",39,43541,1875.3,,1172.9,2767.8
All causes,2021,August,"First dose, at least 21 days ago",1522,315220,4780.4,,4509.8,5051.0
All causes,2021,August,"Second dose, less than 21 days ago",131,202848,1467.3,,1113.8,1820.7
All causes,2021,August,"Second dose, between 21 days and 6 months ago",31314,2442539,919.7,,909.2,930.3
All causes,2021,August,"Second dose, at least 6 months ago",1733,41936,680.4,,583.2,777.6
All causes,2021,August,"Third dose or booster, less than 21 days ago",0,29,,,,
All causes,2021,August,"Third dose or booster, at least 21 days ago",0,145,,,,
All causes,2021,August,Ever vaccinated,34739,3046258,923.2,,913.5,933.0
All causes,2021,September,Unvaccinated,2394,753541,1722.5,,1646.4,1798.6
All causes,2021,September,"First dose, less than 21 days ago",18,36815,741.9,u,220.4,1485.0
All causes,2021,September,"First dose, at least 21 days ago",1235,174341,4636.0,,4349.1,4922.9
All causes,2021,September,"Second dose, less than 21 days ago",53,116941,977.8,,616.2,1421.7
All causes,2021,September,"Second dose, between 21 days and 6 months ago",29265,2542509,985.2,,973.7,996.7
All causes,2021,September,"Second dose, at least 6 months ago",5170,122229,1067.6,,1006.8,1128.4
All causes,2021,September,"Third dose or booster, less than 21 days ago",87,11415,220.2,,161.0,289.8
All causes,2021,September,"Third dose or booster, at least 21 days ago",0,188,,,,
All causes,2021,September,Ever vaccinated,35828,3004439,983.1,,971.7,994.5
All causes,2021,October,Unvaccinated,2379,726117,1705.5,,1630.3,1780.6
All causes,2021,October,"First dose, less than 21 days ago",20,43120,1907.5,,1090.0,3051.0
All causes,2021,October,"First dose, at least 21 days ago",1154,164401,4727.9,,4426.5,5029.2
All causes,2021,October,"Second dose, less than 21 days ago",54,38582,1944.6,,1388.0,2626.4
All causes,2021,October,"Second dose, between 21 days and 6 months ago",14530,2235223,1248.1,,1125.4,1370.8
All causes,2021,October,"Second dose, at least 6 months ago",18767,361802,1759.7,,1726.6,1792.8
