cause,year,month,age,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2021,April,18-39,Unvaccinated,298,851304,35.7,,31.6,39.8
All causes,2021,April,18-39,"First dose, less than 21 days ago",18,40264,40.2,u,23.6,63.8
All causes,2021,April,18-39,"First dose, at least 21 days ago",200,166953,114.6,,98.3,131.0
All causes,2021,April,18-39,"Second dose, less than 21 days ago",19,42578,42.6,u,25.4,66.9
All causes,2021,April,18-39,"Second dose, at least 21 days ago",16,30461,58.9,u,30.1,100.9
All causes,2021,April,18-39,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,18-39,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,18-39,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,18-39,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,40-49,Unvaccinated,273,268896,108.4,,95.4,121.5
All causes,2021,April,40-49,"First dose, less than 21 days ago",38,73694,49.3,,33.8,69.1
All causes,2021,April,40-49,"First dose, at least 21 days ago",306,146715,204.8,,181.6,227.9
All causes,2021,April,40-49,"Second dose, less than 21 days ago",36,29894,117.3,,82.0,162.5
All causes,2021,April,40-49,"Second dose, at least 21 days ago",13,22034,57.7,u,30.7,98.7
All causes,2021,April,40-49,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,40-49,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,40-49,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,40-49,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,50-59,Unvaccinated,450,57345,808.4,,733.3,883.4
All causes,2021,April,50-59,"First dose, less than 21 days ago",101,95694,108.6,,87.2,130.0
All causes,2021,April,50-59,"First dose, at least 21 days ago",1122,370628,298.2,,280.7,315.7
All causes,2021,April,50-59,"Second dose, less than 21 days ago",96,42895,219.0,,177.2,267.6
All causes,2021,April,50-59,"Second dose, at least 21 days ago",56,28342,194.6,,146.9,252.8
All causes,2021,April,50-59,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,50-59,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,50-59,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,50-59,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,60-69,Unvaccinated,666,25974,2699.9,,2491.7,2908.0
All causes,2021,April,60-69,"First dose, less than 21 days ago",87,13829,1008.6,,766.5,1292.7
All causes,2021,April,60-69,"First dose, at least 21 days ago",2508,362294,697.9,,670.6,725.3
All causes,2021,April,60-69,"Second dose, less than 21 days ago",262,53477,478.5,,419.0,537.9
All causes,2021,April,60-69,"Second dose, at least 21 days ago",141,18275,828.6,,689.6,967.6
All causes,2021,April,60-69,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,60-69,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,60-69,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,60-69,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,70-79,Unvaccinated,705,11683,6215.5,,5753.6,6677.3
All causes,2021,April,70-79,"First dose, less than 21 days ago",61,1167,5521.0,,4207.8,7110.5
All causes,2021,April,70-79,"First dose, at least 21 days ago",4819,187701,2890.4,,2805.9,2975.0
All causes,2021,April,70-79,"Second dose, less than 21 days ago",1282,150361,821.0,,775.7,866.4
All causes,2021,April,70-79,"Second dose, at least 21 days ago",661,32000,2013.3,,1846.9,2179.8
All causes,2021,April,70-79,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,70-79,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,70-79,"Fourth dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,70-79,"Fourth dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,80-89,Unvaccinated,770,5236,14600.4,,13568.8,15632.1
All causes,2021,April,80-89,"First dose, less than 21 days ago",84,468,17730.1,,14135.6,21959.0
All causes,2021,April,80-89,"First dose, at least 21 days ago",4697,29467,15849.1,,15395.7,16302.4
All causes,2021,April,80-89,"Second dose, less than 21 days ago",2242,70621,3194.1,,3061.9,3326.4
All causes,2021,April,80-89,"Second dose, at least 21 days ago",3062,73434,4145.4,,3998.6,4292.3
All causes,2021,April,80-89,"Third dose or booster, less than 21 days ago",<3,0,,,,
