cause,year,month,age,status,dead,pop,asmr,noted_as_unreliable,asmr_low,asmr_high
All causes,2021,April,18-39,Unvaccinated,283,850131,33.9,,30.0,37.9
All causes,2021,April,18-39,"First dose, less than 21 days ago",18,40183,40.2,u,23.6,63.9
All causes,2021,April,18-39,"First dose, at least 21 days ago",194,166571,111.2,,95.2,127.3
All causes,2021,April,18-39,"Second dose, less than 21 days ago",19,42438,42.8,u,25.5,67.1
All causes,2021,April,18-39,"Second dose, at least 21 days ago",15,30337,56.5,u,28.0,98.4
All causes,2021,April,18-39,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,18-39,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,40-49,Unvaccinated,271,268474,107.8,,94.8,120.8
All causes,2021,April,40-49,"First dose, less than 21 days ago",37,73568,48.4,,33.0,68.1
All causes,2021,April,40-49,"First dose, at least 21 days ago",303,146386,203.4,,180.3,226.5
All causes,2021,April,40-49,"Second dose, less than 21 days ago",36,29786,117.7,,82.3,163.1
All causes,2021,April,40-49,"Second dose, at least 21 days ago",13,21934,57.9,u,30.8,99.2
All causes,2021,April,40-49,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,40-49,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,50-59,Unvaccinated,450,57306,808.9,,733.8,884.0
All causes,2021,April,50-59,"First dose, less than 21 days ago",100,95549,107.8,,86.5,129.2
All causes,2021,April,50-59,"First dose, at least 21 days ago",1112,369856,296.1,,278.6,313.6
All causes,2021,April,50-59,"Second dose, less than 21 days ago",95,42727,217.7,,176.0,266.3
All causes,2021,April,50-59,"Second dose, at least 21 days ago",56,28202,195.6,,147.7,254.1
All causes,2021,April,50-59,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,50-59,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,60-69,Unvaccinated,665,25961,2696.6,,2488.5,2904.6
All causes,2021,April,60-69,"First dose, less than 21 days ago",87,13811,1009.4,,767.1,1293.6
All causes,2021,April,60-69,"First dose, at least 21 days ago",2498,361510,696.8,,669.4,724.1
All causes,2021,April,60-69,"Second dose, less than 21 days ago",258,53269,474.3,,414.9,533.7
All causes,2021,April,60-69,"Second dose, at least 21 days ago",139,18172,824.0,,684.8,963.2
All causes,2021,April,60-69,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,60-69,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,70-79,Unvaccinated,704,11677,6211.5,,5749.6,6673.4
All causes,2021,April,70-79,"First dose, less than 21 days ago",61,1166,5527.8,,4213.0,7119.3
All causes,2021,April,70-79,"First dose, at least 21 days ago",4797,187129,2887.0,,2802.4,2971.7
All causes,2021,April,70-79,"Second dose, less than 21 days ago",1278,149778,821.6,,776.1,867.0
All causes,2021,April,70-79,"Second dose, at least 21 days ago",650,31830,1992.3,,1826.2,2158.4
All causes,2021,April,70-79,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,70-79,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,80-89,Unvaccinated,769,5227,14606.6,,13573.8,15639.3
All causes,2021,April,80-89,"First dose, less than 21 days ago",84,466,17804.7,,14195.0,22051.4
All causes,2021,April,80-89,"First dose, at least 21 days ago",4675,29337,15846.0,,15391.7,16300.3
All causes,2021,April,80-89,"Second dose, less than 21 days ago",2220,70301,3177.4,,3045.2,3309.6
All causes,2021,April,80-89,"Second dose, at least 21 days ago",3042,73045,4140.2,,3993.1,4287.4
All causes,2021,April,80-89,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,80-89,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,April,90+,Unvaccinated,388,1384,28043.3,,25321.9,30977.4
All causes,2021,April,90+,"First dose, less than 21 days ago",41,137,29858.5,,21424.5,40507.7
All causes,2021,April,90+,"First dose, at least 21 days ago",2656,7552,35170.0,,33845.0,36533.5
All causes,2021,April,90+,"Second dose, less than 21 days ago",1525,14102,10814.1,,10278.1,11370.8
All causes,2021,April,90+,"Second dose, at least 21 days ago",1968,14537,13538.3,,12946.7,14149.9
All causes,2021,April,90+,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,April,90+,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,18-39,Unvaccinated,239,798592,31.9,,27.8,36.0
All causes,2021,May,18-39,"First dose, less than 21 days ago",17,72305,26.6,u,9.8,50.7
All causes,2021,May,18-39,"First dose, at least 21 days ago",111,137403,77.5,,62.7,92.4
All causes,2021,May,18-39,"Second dose, less than 21 days ago",36,62071,51.4,,35.7,71.5
All causes,2021,May,18-39,"Second dose, at least 21 days ago",66,96378,69.4,,52.6,89.6
All causes,2021,May,18-39,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,18-39,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,40-49,Unvaccinated,252,127286,221.7,,193.5,249.8
All causes,2021,May,40-49,"First dose, less than 21 days ago",45,105829,45.0,,32.5,60.6
All causes,2021,May,40-49,"First dose, at least 21 days ago",318,199201,158.6,,140.7,176.6
All causes,2021,May,40-49,"Second dose, less than 21 days ago",74,55406,127.7,,100.1,160.6
All causes,2021,May,40-49,"Second dose, at least 21 days ago",124,70044,173.9,,143.2,204.6
All causes,2021,May,40-49,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2021,May,40-49,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,50-59,Unvaccinated,362,51833,714.5,,640.6,788.4
All causes,2021,May,50-59,"First dose, less than 21 days ago",12,5069,223.1,u,111.3,395.9
All causes,2021,May,50-59,"First dose, at least 21 days ago",952,335493,283.1,,265.1,301.1
All causes,2021,May,50-59,"Second dose, less than 21 days ago",262,119416,214.1,,188.0,240.2
All causes,2021,May,50-59,"Second dose, at least 21 days ago",392,101957,376.5,,339.1,414.0
All causes,2021,May,50-59,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2021,May,50-59,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,60-69,Unvaccinated,526,24556,2270.6,,2073.9,2467.3
All causes,2021,May,60-69,"First dose, less than 21 days ago",21,1487,1593.3,,972.4,2454.7
All causes,2021,May,60-69,"First dose, at least 21 days ago",1613,151813,1419.4,,1343.3,1495.5
All causes,2021,May,60-69,"Second dose, less than 21 days ago",644,179490,354.5,,326.9,382.2
All causes,2021,May,60-69,"Second dose, at least 21 days ago",1102,132088,826.8,,776.5,877.1
All causes,2021,May,60-69,"Third dose or booster, less than 21 days ago",<3,0,,,,
All causes,2021,May,60-69,"Third dose or booster, at least 21 days ago",<3,0,,,,
All causes,2021,May,70-79,Unvaccinated,582,11379,5258.7,,4828.7,5688.8
All causes,2021,May,70-79,"First dose, less than 21 days ago",27,457,5897.7,,3867.4,8606.7
All causes,2021,May,70-79,"First dose, at least 21 days ago",2123,12842,18476.5,,17663.9,19289.1
All causes,2021,May,70-79,"Second dose, less than 21 days ago",1101,94882,1378.4,,1290.8,1466.0
All causes,2021,May,70-79,"Second dose, at least 21 days ago",4204,275899,1487.7,,1442.6,1532.8
All causes,2021,May,70-79,"Third dose or booster, less than 21 days ago",<3,1,,,,
All causes,2021,May,70-79,"Third dose or booster, at least 21 days ago",<3,1,,,,
All causes,2021,May,80-89,Unvaccinated,546,5079,10681.5,,9785.2,11577.7
All causes,2021,May,80-89,"First dose, less than 21 days ago",25,180,13520.3,,8741.6,19969.5
All causes,2021,May,80-89,"First dose, at least 21 days ago",1956,4265,45009.0,,43000.9,47017.1
All causes,2021,May,80-89,"Second dose, less than 21 days ago",771,10147,7533.7,,7001.6,8065.7
