ed,cause,month,age,status,dead,pop,asmr,unreliable,asmrlow,asmrhigh
3,All causes,2021-01,Total,Unvaccinated,52353,3052744,2498.4,,2476.1,2520.7
3,All causes,2021-01,Total,"First dose, less than 21 days ago",7335,221244,1308.3,,389.5,2227.1
3,All causes,2021-01,Total,"First dose, at least 21 days ago",2354,35966,1661.1,,1505.7,1816.6
3,All causes,2021-01,Total,"Second dose, less than 21 days ago",409,23217,248.1,,168.6,327.6
3,All causes,2021-01,Total,"Second dose, at least 21 days ago",80,4039,162.1,,127.9,202.5
3,All causes,2021-02,Total,Unvaccinated,19991,2174222,4683.9,,4605.9,4761.8
3,All causes,2021-02,Total,"First dose, less than 21 days ago",6975,436280,977.3,,950.1,1004.5
3,All causes,2021-02,Total,"First dose, at least 21 days ago",14100,368525,1030.6,,1004.5,1056.7
3,All causes,2021-02,Total,"Second dose, less than 21 days ago",39,3212,637.4,,417.9,916.3
3,All causes,2021-02,Total,"Second dose, at least 21 days ago",889,31271,406.5,,301.3,511.7
3,All causes,2021-03,Total,Unvaccinated,7835,1784083,2676.6,,2607.8,2745.5
3,All causes,2021-03,Total,"First dose, less than 21 days ago",1799,441664,2003.0,,1777.4,2228.7
3,All causes,2021-03,Total,"First dose, at least 21 days ago",22473,994253,990.5,,974.7,1006.3
3,All causes,2021-03,Total,"Second dose, less than 21 days ago",1290,71774,486.1,,445.8,526.3
3,All causes,2021-03,Total,"Second dose, at least 21 days ago",1321,44850,579.2,,486.9,671.4
3,All causes,2021-04,Total,Unvaccinated,4044,1354319,2055.4,,1985.7,2125.1
3,All causes,2021-04,Total,"First dose, less than 21 days ago",393,193563,1927.3,,1673.5,2181.1
3,All causes,2021-04,Total,"First dose, at least 21 days ago",15867,1103666,1795.4,,1764.1,1826.7
3,All causes,2021-04,Total,"Second dose, less than 21 days ago",5073,373658,461.5,,444.6,478.4
3,All causes,2021-04,Total,"Second dose, at least 21 days ago",5872,203731,708.7,,679.4,738.0
3,All causes,2021-05,Total,Unvaccinated,2755,1197309,1695.1,,1625.1,1765.1
3,All causes,2021-05,Total,"First dose, less than 21 days ago",121,142790,1689.5,,1304.9,2074.0
3,All causes,2021-05,Total,"First dose, at least 21 days ago",7605,735942,4725.8,,4599.4,4852.3
3,All causes,2021-05,Total,"Second dose, less than 21 days ago",2932,456008,781.3,,747.4,815.2
3,All causes,2021-05,Total,"Second dose, at least 21 days ago",18695,801816,847.1,,695.8,998.3
3,All causes,2021-06,Total,Unvaccinated,2201,918234,1502.2,,1433.5,1570.8
3,All causes,2021-06,Total,"First dose, less than 21 days ago",64,166875,1267.0,,886.3,1725.6
3,All causes,2021-06,Total,"First dose, at least 21 days ago",3362,375294,5337.4,,5132.5,5542.2
3,All causes,2021-06,Total,"Second dose, less than 21 days ago",831,349615,1437.4,,1306.6,1568.1
3,All causes,2021-06,Total,"Second dose, at least 21 days ago",23795,1413751,781.6,,770.6,792.7
3,All causes,2021-07,Total,Unvaccinated,2149,763000,1479.9,,1412.0,1547.7
3,All causes,2021-07,Total,"First dose, less than 21 days ago",30,107578,857.6,,488.4,1342.8
3,All causes,2021-07,Total,"First dose, at least 21 days ago",2078,371045,4701.0,,4481.3,4920.6
3,All causes,2021-07,Total,"Second dose, less than 21 days ago",256,166522,1751.5,,1489.3,2013.6
3,All causes,2021-07,Total,"Second dose, at least 21 days ago",29357,1920382,874.8,,864.1,885.5
3,All causes,2021-08,Total,Unvaccinated,2168,705504,1562.2,,1491.3,1633.0
3,All causes,2021-08,Total,"First dose, less than 21 days ago",28,35897,2000.6,,1254.2,2991.3
3,All causes,2021-08,Total,"First dose, at least 21 days ago",1389,267917,3581.1,,3378.4,3783.7
3,All causes,2021-08,Total,"Second dose, less than 21 days ago",84,156761,1409.4,,1074.5,1803.5
3,All causes,2021-08,Total,"Second dose, at least 21 days ago",30032,2159570,893.7,,851.5,935.8
3,All causes,2021-09,Total,Unvaccinated,1958,634100,1484.3,,1413.9,1554.7
3,All causes,2021-09,Total,"First dose, less than 21 days ago",10,30010,735.5,u,239.9,1534.4
3,All causes,2021-09,Total,"First dose, at least 21 days ago",1094,151660,3280.0,,3073.0,3487.0
3,All causes,2021-09,Total,"Second dose, less than 21 days ago",29,97004,810.3,,489.1,1230.3
3,All causes,2021-09,Total,"Second dose, at least 21 days ago",30864,2302796,932.8,,900.0,965.7
3,All causes,2021-10,Total,Unvaccinated,1809,609332,1361.3,,1294.3,1428.3
3,All causes,2021-10,Total,"First dose, less than 21 days ago",16,34429,1673.5,u,920.2,2770.7
3,All causes,2021-10,Total,"First dose, at least 21 days ago",988,144136,3018.2,,2818.2,3218.3
3,All causes,2021-10,Total,"Second dose, less than 21 days ago",33,30692,1528.2,,1026.2,2179.7
3,All causes,2021-10,Total,"Second dose, at least 21 days ago",33039,2501224,955.3,,928.9,981.7
3,Deaths involving COVID-19,2021-01,Total,Unvaccinated,24366,3052744,1183.8,,1168.3,1199.2
3,Deaths involving COVID-19,2021-01,Total,"First dose, less than 21 days ago",2322,221244,736.2,,-182.2,1654.6
3,Deaths involving COVID-19,2021-01,Total,"First dose, at least 21 days ago",1014,35966,692.8,,594.7,791.0
3,Deaths involving COVID-19,2021-01,Total,"Second dose, less than 21 days ago",57,23217,19.2,,14.4,25.0
3,Deaths involving COVID-19,2021-01,Total,"Second dose, at least 21 days ago",11,4039,23.2,u,11.4,41.9
3,Deaths involving COVID-19,2021-02,Total,Unvaccinated,7697,2174222,1906.8,,1856.7,1956.9
3,Deaths involving COVID-19,2021-02,Total,"First dose, less than 21 days ago",1399,436280,200.5,,188.9,212.1
3,Deaths involving COVID-19,2021-02,Total,"First dose, at least 21 days ago",3342,368525,228.4,,216.9,240.0
3,Deaths involving COVID-19,2021-02,Total,"Second dose, less than 21 days ago",4,3212,NA,,NA,NA
3,Deaths involving COVID-19,2021-02,Total,"Second dose, at least 21 days ago",62,31271,16.1,,12.3,20.7
3,Deaths involving COVID-19,2021-03,Total,Unvaccinated,1320,1784083,459.2,,430.7,487.7
3,Deaths involving COVID-19,2021-03,Total,"First dose, less than 21 days ago",131,441664,179.0,,141.1,216.9
3,Deaths involving COVID-19,2021-03,Total,"First dose, at least 21 days ago",1551,994253,66.3,,62.7,70.0
3,Deaths involving COVID-19,2021-03,Total,"Second dose, less than 21 days ago",28,71774,11.0,,5.6,18.2
3,Deaths involving COVID-19,2021-03,Total,"Second dose, at least 21 days ago",35,44850,20.4,,2.4,43.7
3,Deaths involving COVID-19,2021-04,Total,Unvaccinated,245,1354319,125.7,,108.6,142.7
3,Deaths involving COVID-19,2021-04,Total,"First dose, less than 21 days ago",18,193563,108.4,u,55.8,183.3
3,Deaths involving COVID-19,2021-04,Total,"First dose, at least 21 days ago",391,1103666,49.7,,44.4,55.1
3,Deaths involving COVID-19,2021-04,Total,"Second dose, less than 21 days ago",41,373658,3.4,,2.3,4.7
3,Deaths involving COVID-19,2021-04,Total,"Second dose, at least 21 days ago",60,203731,7.3,,4.5,10.7
3,Deaths involving COVID-19,2021-05,Total,Unvaccinated,79,1197309,44.4,,34.2,56.6
3,Deaths involving COVID-19,2021-05,Total,"First dose, less than 21 days ago",4,142790,NA,,NA,NA
3,Deaths involving COVID-19,2021-05,Total,"First dose, at least 21 days ago",109,735942,69.3,,54.0,84.7
3,Deaths involving COVID-19,2021-05,Total,"Second dose, less than 21 days ago",24,456008,7.0,,4.1,11.0
3,Deaths involving COVID-19,2021-05,Total,"Second dose, at least 21 days ago",72,801816,2.7,,2.0,3.5
3,Deaths involving COVID-19,2021-06,Total,Unvaccinated,95,918234,52.2,,40.8,65.4
3,Deaths involving COVID-19,2021-06,Total,"First dose, less than 21 days ago",1,166875,NA,,NA,NA
3,Deaths involving COVID-19,2021-06,Total,"First dose, at least 21 days ago",48,375294,72.4,,50.2,99.8
3,Deaths involving COVID-19,2021-06,Total,"Second dose, less than 21 days ago",8,349615,NA,,NA,NA
3,Deaths involving COVID-19,2021-06,Total,"Second dose, at least 21 days ago",163,1413751,5.5,,4.5,6.4
3,Deaths involving COVID-19,2021-07,Total,Unvaccinated,329,763000,206.2,,181.4,231.0
3,Deaths involving COVID-19,2021-07,Total,"First dose, less than 21 days ago",5,107578,NA,,NA,NA
3,Deaths involving COVID-19,2021-07,Total,"First dose, at least 21 days ago",66,371045,140.8,,105.4,183.4
3,Deaths involving COVID-19,2021-07,Total,"Second dose, less than 21 days ago",4,166522,NA,,NA,NA
3,Deaths involving COVID-19,2021-07,Total,"Second dose, at least 21 days ago",741,1920382,22.7,,20.9,24.4
3,Deaths involving COVID-19,2021-08,Total,Unvaccinated,573,705504,376.2,,342.3,410.1
3,Deaths involving COVID-19,2021-08,Total,"First dose, less than 21 days ago",8,35897,NA,,NA,NA
3,Deaths involving COVID-19,2021-08,Total,"First dose, at least 21 days ago",83,267917,216.4,,168.4,273.0
3,Deaths involving COVID-19,2021-08,Total,"Second dose, less than 21 days ago",4,156761,NA,,NA,NA
3,Deaths involving COVID-19,2021-08,Total,"Second dose, at least 21 days ago",1540,2159570,44.9,,42.6,47.1
3,Deaths involving COVID-19,2021-09,Total,Unvaccinated,481,634100,343.3,,310.1,376.5
3,Deaths involving COVID-19,2021-09,Total,"First dose, less than 21 days ago",2,30010,NA,,NA,NA
3,Deaths involving COVID-19,2021-09,Total,"First dose, at least 21 days ago",88,151660,254.5,,200.3,317.9
3,Deaths involving COVID-19,2021-09,Total,"Second dose, less than 21 days ago",2,97004,NA,,NA,NA
3,Deaths involving COVID-19,2021-09,Total,"Second dose, at least 21 days ago",2014,2302796,59.8,,57.2,62.5
3,Deaths involving COVID-19,2021-10,Total,Unvaccinated,393,609332,285.4,,255.0,315.9
3,Deaths involving COVID-19,2021-10,Total,"First dose, less than 21 days ago",0,34429,NA,,NA,NA
3,Deaths involving COVID-19,2021-10,Total,"First dose, at least 21 days ago",67,144136,216.5,,165.5,277.7
3,Deaths involving COVID-19,2021-10,Total,"Second dose, less than 21 days ago",1,30692,NA,,NA,NA
3,Deaths involving COVID-19,2021-10,Total,"Second dose, at least 21 days ago",2188,2501224,62.4,,59.8,65.0
3,Non-COVID-19 deaths,2021-01,Total,Unvaccinated,27987,3052744,1314.6,,1298.5,1330.7
3,Non-COVID-19 deaths,2021-01,Total,"First dose, less than 21 days ago",5013,221244,572.1,,545.6,598.5
3,Non-COVID-19 deaths,2021-01,Total,"First dose, at least 21 days ago",1340,35966,968.3,,847.8,1088.8
3,Non-COVID-19 deaths,2021-01,Total,"Second dose, less than 21 days ago",352,23217,228.9,,149.5,308.3
3,Non-COVID-19 deaths,2021-01,Total,"Second dose, at least 21 days ago",69,4039,138.9,,107.5,176.5
3,Non-COVID-19 deaths,2021-02,Total,Unvaccinated,12294,2174222,2777.1,,2717.4,2836.8
3,Non-COVID-19 deaths,2021-02,Total,"First dose, less than 21 days ago",5576,436280,776.8,,752.1,801.4
3,Non-COVID-19 deaths,2021-02,Total,"First dose, at least 21 days ago",10758,368525,802.2,,778.8,825.6
3,Non-COVID-19 deaths,2021-02,Total,"Second dose, less than 21 days ago",35,3212,586.9,,373.3,862.0
3,Non-COVID-19 deaths,2021-02,Total,"Second dose, at least 21 days ago",827,31271,390.4,,285.3,495.5
3,Non-COVID-19 deaths,2021-03,Total,Unvaccinated,6515,1784083,2217.5,,2154.8,2280.1
3,Non-COVID-19 deaths,2021-03,Total,"First dose, less than 21 days ago",1668,441664,1824.1,,1601.7,2046.5
3,Non-COVID-19 deaths,2021-03,Total,"First dose, at least 21 days ago",20922,994253,924.2,,908.8,939.6
3,Non-COVID-19 deaths,2021-03,Total,"Second dose, less than 21 days ago",1262,71774,475.0,,435.2,514.9
3,Non-COVID-19 deaths,2021-03,Total,"Second dose, at least 21 days ago",1286,44850,558.7,,468.6,648.9
3,Non-COVID-19 deaths,2021-04,Total,Unvaccinated,3799,1354319,1929.7,,1862.1,1997.4
3,Non-COVID-19 deaths,2021-04,Total,"First dose, less than 21 days ago",375,193563,1818.9,,1572.2,2065.6
3,Non-COVID-19 deaths,2021-04,Total,"First dose, at least 21 days ago",15476,1103666,1745.7,,1714.9,1776.5
3,Non-COVID-19 deaths,2021-04,Total,"Second dose, less than 21 days ago",5032,373658,458.1,,441.3,475.0
3,Non-COVID-19 deaths,2021-04,Total,"Second dose, at least 21 days ago",5812,203731,701.4,,672.2,730.5
3,Non-COVID-19 deaths,2021-05,Total,Unvaccinated,2676,1197309,1650.7,,1581.5,1719.8
3,Non-COVID-19 deaths,2021-05,Total,"First dose, less than 21 days ago",117,142790,1615.0,,1239.9,1990.1
3,Non-COVID-19 deaths,2021-05,Total,"First dose, at least 21 days ago",7496,735942,4656.5,,4531.0,4782.1
3,Non-COVID-19 deaths,2021-05,Total,"Second dose, less than 21 days ago",2908,456008,774.3,,740.5,808.0
3,Non-COVID-19 deaths,2021-05,Total,"Second dose, at least 21 days ago",18623,801816,844.4,,693.1,995.6
3,Non-COVID-19 deaths,2021-06,Total,Unvaccinated,2106,918234,1450.0,,1382.4,1517.6
3,Non-COVID-19 deaths,2021-06,Total,"First dose, less than 21 days ago",63,166875,1231.7,,856.8,1684.0
3,Non-COVID-19 deaths,2021-06,Total,"First dose, at least 21 days ago",3314,375294,5265.0,,5061.6,5468.5
3,Non-COVID-19 deaths,2021-06,Total,"Second dose, less than 21 days ago",823,349615,1415.6,,1286.0,1545.2
3,Non-COVID-19 deaths,2021-06,Total,"Second dose, at least 21 days ago",23632,1413751,776.1,,765.1,787.1
3,Non-COVID-19 deaths,2021-07,Total,Unvaccinated,1820,763000,1273.7,,1210.5,1336.8
3,Non-COVID-19 deaths,2021-07,Total,"First dose, less than 21 days ago",25,107578,775.7,,426.0,1247.6
3,Non-COVID-19 deaths,2021-07,Total,"First dose, at least 21 days ago",2012,371045,4560.1,,4343.7,4776.5
3,Non-COVID-19 deaths,2021-07,Total,"Second dose, less than 21 days ago",252,166522,1719.3,,1459.9,1978.6
3,Non-COVID-19 deaths,2021-07,Total,"Second dose, at least 21 days ago",28616,1920382,852.1,,841.6,862.7
3,Non-COVID-19 deaths,2021-08,Total,Unvaccinated,1595,705504,1186.0,,1123.8,1248.2
