batch,doses,adverse,group
EJ6796,11700,2160,blue
EJ6797,43290,7092,blue
EM0477,57330,7713,blue
EJ6136,32760,4405,blue
EJ6134,67860,8097,blue
EK9788,73710,7415,blue
EJ6789,53820,3958,blue
EJ6790,56160,1971,blue
EP9598,65520,965,blue
ER2659,153270,1176,green
ET7205,2340,16,green
EP9605,80730,493,green
FA4632,11700,42,green
ET3674,262080,936,green
FC5295,136890,483,green
FC2336,595530,2035,green
FC1433,422370,1272,green
FA7812,267930,756,green
EX2405,113490,316,green
FC8889,274950,736,green
FD0932,698490,1765,green
EW6126,814320,2048,green
FE2083,343980,862,green
EW4811,292500,711,green
FD4555,381420,917,green
FE2090,428220,1005,green
FA8142,57330,132,green
FC5029,245700,511,green
EY4834,200070,396,green
FG3716,159120,267,green
FE9174,245700,402,green
ER9480,46800,60,green
FF0884,239850,147,green
FG9019,95940,18,yellow
FH3219,403650,62,yellow
FH8469,485550,67,yellow
FJ3438,163800,19,yellow
FJ4187,129870,14,yellow
FH3220,129870,11,yellow
FM3092,205920,12,yellow
FL1072,248040,14,yellow
FN3731,205920,6,yellow
FK9706,180180,5,yellow
FM3802,181350,4,yellow
FK0115,163800,2,yellow
FN3758,205920,2,yellow
FK8911,181350,1,yellow
FK9412,111150,0,yellow
FM3289,70200,0,yellow
FM9088,157950,0,yellow
FN5519,193050,0,yellow
