cause,year,dead
drug,2005,10
drug,2006,13
drug,2010,11
drug,2011,25
drug,2012,15
drug,2013,13
drug,2014,13
drug,2015,13
drug,2016,18
drug,2018,13
drug,2019,28
drug,2020,33
drug,2021,39
drug,2022,71
drug,2023,83
drug,2024,73
covid,2020,349
covid,2021,406
covid,2022,404
covid,2023,194
covid,2024,103
covid,2025,10
all,1999,4746
all,2000,4720
all,2001,4844
all,2002,4741
all,2003,4709
all,2004,4883
all,2005,5011
all,2006,4859
all,2007,4960
all,2008,5070
all,2009,5009
all,2010,5178
all,2011,5401
all,2012,5197
all,2013,5704
all,2014,5555
all,2015,5978
all,2016,6066
all,2017,6249
all,2018,6423
all,2019,6481
all,2020,6791
all,2021,7055
all,2022,7434
all,2023,6761
all,2024,6867
all,2025,2126
other,1999,4746
other,2000,4720
other,2001,4844
other,2002,4741
other,2003,4709
other,2004,4883
other,2005,5001
other,2006,4846
other,2007,4960
other,2008,5070
other,2009,5009
other,2010,5167
other,2011,5376
other,2012,5182
other,2013,5691
other,2014,5542
other,2015,5965
other,2016,6048
other,2017,6249
other,2018,6410
other,2019,6453
other,2020,6410
other,2021,6612
other,2022,6959
other,2023,6484
other,2024,6693
other,2025,2116
