year,sex,age,cases
2023,Men,0,73
2023,Woman,0,74
2022,Men,0,87
2022,Woman,0,61
2021,Men,0,76
2021,Woman,0,72
2020,Men,0,74
2020,Woman,0,56
2019,Men,0,80
2019,Woman,0,62
2018,Men,0,59
2018,Woman,0,51
2017,Men,0,68
2017,Woman,0,62
2016,Men,0,63
2016,Woman,0,60
2015,Men,0,74
2015,Woman,0,62
2014,Men,0,88
2014,Woman,0,67
2013,Men,0,77
2013,Woman,0,74
2012,Men,0,73
2012,Woman,0,54
2011,Men,0,60
2011,Woman,0,60
2010,Men,0,75
2010,Woman,0,69
2009,Men,0,64
2009,Woman,0,54
2008,Men,0,65
2008,Woman,0,51
2007,Men,0,51
2007,Woman,0,60
2006,Men,0,63
2006,Woman,0,52
2005,Men,0,56
2005,Woman,0,52
2004,Men,0,58
2004,Woman,0,77
2003,Men,0,56
2003,Woman,0,52
2002,Men,0,56
2002,Woman,0,49
2001,Men,0,57
2001,Woman,0,72
2000,Men,0,47
2000,Woman,0,46
1999,Men,0,58
1999,Woman,0,51
1998,Men,0,74
1998,Woman,0,60
1997,Men,0,80
1997,Woman,0,72
1996,Men,0,69
1996,Woman,0,73
1995,Men,0,66
1995,Woman,0,59
1994,Men,0,72
1994,Woman,0,72
1993,Men,0,90
1993,Woman,0,56
1992,Men,0,59
1992,Woman,0,71
1991,Men,0,63
1991,Woman,0,44
1990,Men,0,58
1990,Woman,0,73
1989,Men,0,52
1989,Woman,0,53
1988,Men,0,43
1988,Woman,0,60
1987,Men,0,74
1987,Woman,0,45
1986,Men,0,58
1986,Woman,0,66
1985,Men,0,58
1985,Woman,0,43
1984,Men,0,61
1984,Woman,0,55
1983,Men,0,45
1983,Woman,0,41
1982,Men,0,44
1982,Woman,0,43
1981,Men,0,42
1981,Woman,0,45
1980,Men,0,61
1980,Woman,0,54
1979,Men,0,64
1979,Woman,0,48
1978,Men,0,58
1978,Woman,0,49
1977,Men,0,60
1977,Woman,0,38
1976,Men,0,58
1976,Woman,0,39
1975,Men,0,53
1975,Woman,0,45
1974,Men,0,61
1974,Woman,0,62
1973,Men,0,64
