age,year,month,dead
0,2000,1,116
0,2000,2,135
0,2000,3,128
0,2000,4,115
0,2000,5,148
0,2000,6,139
0,2000,7,135
0,2000,8,155
0,2000,9,115
0,2000,10,132
0,2000,11,125
0,2000,12,105
35,2000,1,993
35,2000,2,979
35,2000,3,975
35,2000,4,907
35,2000,5,962
35,2000,6,914
35,2000,7,960
35,2000,8,947
35,2000,9,936
35,2000,10,977
35,2000,11,951
35,2000,12,993
65,2000,1,1419
65,2000,2,1205
65,2000,3,1237
65,2000,4,1163
65,2000,5,1199
65,2000,6,1094
65,2000,7,1146
65,2000,8,1079
65,2000,9,1092
65,2000,10,1108
65,2000,11,1116
65,2000,12,1201
75,2000,1,3384
75,2000,2,2800
75,2000,3,2723
75,2000,4,2633
75,2000,5,2528
75,2000,6,2437
75,2000,7,2524
75,2000,8,2485
75,2000,9,2516
75,2000,10,2526
75,2000,11,2561
75,2000,12,2835
85,2000,1,3910
85,2000,2,3062
85,2000,3,3010
85,2000,4,2688
85,2000,5,2656
85,2000,6,2448
85,2000,7,2696
85,2000,8,2590
85,2000,9,2550
85,2000,10,2694
85,2000,11,2696
85,2000,12,3025
0,2001,1,126
0,2001,2,109
0,2001,3,131
0,2001,4,146
0,2001,5,149
0,2001,6,129
0,2001,7,154
0,2001,8,106
0,2001,9,142
0,2001,10,154
0,2001,11,103
0,2001,12,100
35,2001,1,955
35,2001,2,925
35,2001,3,956
35,2001,4,935
35,2001,5,995
35,2001,6,931
35,2001,7,950
35,2001,8,974
35,2001,9,929
35,2001,10,1017
35,2001,11,910
35,2001,12,1022
65,2001,1,1197
65,2001,2,1085
65,2001,3,1207
65,2001,4,1122
65,2001,5,1211
65,2001,6,1129
65,2001,7,1207
65,2001,8,1085
65,2001,9,1084
65,2001,10,1133
65,2001,11,1124
65,2001,12,1183
75,2001,1,2821
75,2001,2,2414
75,2001,3,2892
75,2001,4,2714
75,2001,5,2673
75,2001,6,2517
75,2001,7,2560
75,2001,8,2453
75,2001,9,2485
75,2001,10,2599
75,2001,11,2590
75,2001,12,2875
85,2001,1,3175
85,2001,2,2938
85,2001,3,3127
85,2001,4,3053
85,2001,5,2872
85,2001,6,2765
85,2001,7,2772
85,2001,8,2702
85,2001,9,2642
85,2001,10,2680
85,2001,11,2978
85,2001,12,3221
0,2002,1,117
0,2002,2,125
0,2002,3,120
0,2002,4,141
0,2002,5,143
0,2002,6,130
0,2002,7,144
0,2002,8,139
0,2002,9,119
0,2002,10,116
0,2002,11,102
0,2002,12,115
35,2002,1,993
35,2002,2,886
35,2002,3,1048
35,2002,4,877
35,2002,5,958
35,2002,6,943
35,2002,7,963
35,2002,8,959
35,2002,9,854
35,2002,10,977
35,2002,11,930
35,2002,12,1026
65,2002,1,1247
65,2002,2,1059
65,2002,3,1225
65,2002,4,1145
65,2002,5,1160
65,2002,6,1029
65,2002,7,1158
65,2002,8,1104
65,2002,9,1095
65,2002,10,1189
65,2002,11,1065
65,2002,12,1185
75,2002,1,2891
75,2002,2,2504
75,2002,3,3082
75,2002,4,2752
75,2002,5,2540
75,2002,6,2327
75,2002,7,2466
75,2002,8,2514
75,2002,9,2432
75,2002,10,2693
75,2002,11,2660
75,2002,12,2962
85,2002,1,3223
85,2002,2,2873
85,2002,3,3535
85,2002,4,3233
85,2002,5,2768
85,2002,6,2625
85,2002,7,2800
85,2002,8,2894
85,2002,9,2681
85,2002,10,3095
85,2002,11,2963
85,2002,12,3509
0,2003,1,120
0,2003,2,104
0,2003,3,136
0,2003,4,116
0,2003,5,119
0,2003,6,124
0,2003,7,143
0,2003,8,112
0,2003,9,139
0,2003,10,120
0,2003,11,110
0,2003,12,129
35,2003,1,982
35,2003,2,902
35,2003,3,968
35,2003,4,893
35,2003,5,989
35,2003,6,970
35,2003,7,972
35,2003,8,910
35,2003,9,924
35,2003,10,950
35,2003,11,903
35,2003,12,1039
65,2003,1,1281
65,2003,2,1055
65,2003,3,1136
65,2003,4,1111
65,2003,5,1112
65,2003,6,997
65,2003,7,1094
65,2003,8,1146
65,2003,9,1023
65,2003,10,1148
65,2003,11,1087
65,2003,12,1211
75,2003,1,3121
75,2003,2,2571
75,2003,3,2814
75,2003,4,2696
75,2003,5,2375
75,2003,6,2305
75,2003,7,2479
75,2003,8,2473
75,2003,9,2474
75,2003,10,2538
75,2003,11,2450
75,2003,12,2810
85,2003,1,3813
85,2003,2,2977
85,2003,3,3250
85,2003,4,2883
85,2003,5,2676
85,2003,6,2483
85,2003,7,2768
85,2003,8,2625
85,2003,9,2662
85,2003,10,2885
85,2003,11,2837
85,2003,12,3306
0,2004,1,124
0,2004,2,110
0,2004,3,118
0,2004,4,122
0,2004,5,119
0,2004,6,140
0,2004,7,122
0,2004,8,141
0,2004,9,99
0,2004,10,129
0,2004,11,126
0,2004,12,125
35,2004,1,1009
35,2004,2,890
35,2004,3,994
35,2004,4,895
35,2004,5,970
35,2004,6,940
35,2004,7,945
35,2004,8,967
35,2004,9,906
35,2004,10,957
35,2004,11,924
35,2004,12,1011
65,2004,1,1203
65,2004,2,1077
65,2004,3,1184
