year,age,born,pop
1968,14,5,50906
1968,15,50,53003
1968,16,331,53182
1968,17,1328,53472
1968,18,2799,56207
1968,19,4258,59951
1968,20,5878,63274
1968,21,6813,64448
1968,22,7978,66178
1968,23,8732,66198
1968,24,9217,65565
1968,25,9118,61979
1968,26,8335,56533
1968,27,7292,50492
1968,28,6392,48068
1968,29,5933,49284
1968,30,5104,47388
1968,31,4134,45469
1968,32,3693,44777
1968,33,2924,42858
1968,34,2576,42730
1968,35,2100,42255
1968,36,1870,44555
1968,37,1645,44950
1968,38,1288,46250
1968,39,998,45457
1968,40,807,47418
1968,41,545,46688
1968,42,372,48307
1968,43,264,50027
1968,44,150,51065
1968,45,94,51994
1968,46,31,53018
1968,47,17,56967
1968,48,9,60585
1968,49,6,49710
1969,14,6,52191
1969,15,44,51228
1969,16,272,53504
1969,17,1036,53967
1969,18,2276,54532
1969,19,3545,57507
1969,20,5002,61389
1969,21,6359,64565
1969,22,7341,65574
1969,23,8347,67110
1969,24,8874,66841
1969,25,9146,66010
1969,26,8748,62375
1969,27,7600,56899
1969,28,6340,50861
1969,29,5644,48342
1969,30,5020,49518
1969,31,4109,47574
1969,32,3502,45668
1969,33,2940,44967
1969,34,2312,43031
1969,35,1957,42881
1969,36,1561,42375
1969,37,1454,44676
1969,38,1127,45080
1969,39,890,46358
1969,40,727,45540
1969,41,544,47510
1969,42,352,46748
1969,43,221,48339
1969,44,157,50019
1969,45,86,51051
1969,46,44,52006
1969,47,22,52975
1969,48,9,56910
1969,49,7,60515
1970,14,8,52249
1970,15,55,52518
1970,16,348,51769
1970,17,1132,54261
1970,18,2197,55057
1970,19,3331,55821
1970,20,4663,58814
1970,21,6132,62565
1970,22,7526,65614
1970,23,8499,66482
1970,24,9441,67823
1970,25,9400,67317
1970,26,9467,66355
1970,27,8639,62650
1970,28,7165,57115
1970,29,5726,51154
1970,30,4890,48516
1970,31,4204,49711
1970,32,3523,47813
1970,33,2807,45826
1970,34,2375,45180
1970,35,1900,43204
1970,36,1595,43039
1970,37,1297,42453
1970,38,1071,44781
1970,39,867,45202
1970,40,604,46433
1970,41,487,45650
1970,42,321,47585
1970,43,200,46822
1970,44,126,48385
1970,45,71,50018
1970,46,52,51054
1970,47,15,51994
1970,48,9,52973
1970,49,6,56801
1971,14,9,52639
1971,15,72,52388
1971,16,310,52725
1971,17,1084,52053
1971,18,2207,54541
1971,19,3468,55410
1971,20,4704,56130
1971,21,6142,59072
1971,22,7561,62736
1971,23,8838,65649
1971,24,9552,66467
1971,25,10057,67777
1971,26,9971,67196
1971,27,9141,66245
1971,28,8040,62551
1971,29,6572,57043
1971,30,5234,51051
1971,31,4241,48396
1971,32,3644,49661
1971,33,3040,47738
1971,34,2407,45780
1971,35,1954,45105
1971,36,1520,43184
1971,37,1248,42985
1971,38,922,42455
1971,39,797,44745
1971,40,587,45172
1971,41,442,46379
1971,42,277,45609
1971,43,205,47516
1971,44,125,46744
1971,45,66,48263
1971,46,27,49939
1971,47,11,50935
1971,48,6,51830
1971,49,4,52833
1972,14,7,51361
1972,15,47,52633
1972,16,320,52451
1972,17,1072,52896
1972,18,2045,52264
1972,19,3316,54667
1972,20,4548,55453
1972,21,5702,56094
1972,22,7115,58884
1972,23,8344,62496
1972,24,9237,65342
1972,25,9758,66045
1972,26,9667,67356
1972,27,9267,66811
1972,28,8361,65918
1972,29,7067,62259
1972,30,5771,56744
1972,31,4299,50776
1972,32,3526,48180
1972,33,2937,49467
1972,34,2303,47549
1972,35,1828,45643
1972,36,1439,44966
1972,37,1133,43050
1972,38,943,42840
1972,39,666,42323
1972,40,537,44634
1972,41,386,45056
1972,42,273,46259
1972,43,180,45503
1972,44,90,47383
1972,45,48,46621
1972,46,24,48111
1972,47,10,49768
1972,48,7,50727
1972,49,0,51672
1973,14,5,51116
1973,15,51,51357
1973,16,274,52684
1973,17,981,52549
1973,18,1960,53037
1973,19,2932,52446
1973,20,4421,54811
1973,21,5647,55529
1973,22,6585,56084
1973,23,7683,58755
1973,24,8782,62355
1973,25,9179,65104
1973,26,9444,65866
1973,27,9103,67043
1973,28,8301,66534
1973,29,7534,65610
1973,30,6085,61984
1973,31,4778,56537
1973,32,3506,50620
1973,33,2771,48007
1973,34,2426,49254
1973,35,1880,47449
1973,36,1479,45505
1973,37,1073,44843
1973,38,856,42939
1973,39,617,42731
1973,40,450,42227
1973,41,320,44556
1973,42,210,44917
1973,43,134,46169
1973,44,91,45385
1973,45,49,47276
1973,46,31,46510
1973,47,16,47968
1973,48,7,49618
1973,49,2,50601
1974,14,6,50380
1974,15,34,51158
1974,16,242,51497
1974,17,892,52883
1974,18,1880,52831
1974,19,3233,53390
1974,20,4449,52868
1974,21,5584,55171
1974,22,6623,55784
1974,23,7440,56183
1974,24,8271,58923
1974,25,8965,62415
1974,26,9305,65172
1974,27,8983,65793
1974,28,8409,66951
1974,29,7448,66511
1974,30,6410,65559
1974,31,5250,61961
1974,32,3982,56510
1974,33,2979,50553
1974,34,2298,47958
1974,35,1878,49223
1974,36,1483,47424
1974,37,1069,45483
1974,38,876,44802
1974,39,619,42897
1974,40,468,42716
1974,41,327,42198
1974,42,205,44507
1974,43,119,44864
1974,44,77,46105
1974,45,38,45311
1974,46,20,47205
1974,47,10,46427
1974,48,1,47879
1974,49,1,49473
