year,age,dead,pop
1968,0,1478,110889
1968,1,87,120179
1968,2,63,121655
1968,3,62,122113
1968,4,50,122196
1968,5,43,112831
1968,6,51,107101
1968,7,38,104487
1968,8,49,102131
1968,9,32,104596
1968,10,29,104883
1968,11,28,106466
1968,12,30,107469
1968,13,38,106731
1968,14,34,104580
1968,15,50,109081
1968,16,57,109148
1968,17,68,109482
1968,18,87,115309
1968,19,113,121875
1968,20,119,127771
1968,21,98,131165
1968,22,107,135284
1968,23,108,136085
1968,24,118,135573
1968,25,86,128048
1968,26,87,117674
1968,27,109,105020
1968,28,92,99996
1968,29,101,101739
1968,30,113,97663
1968,31,97,93708
1968,32,112,91571
1968,33,102,88226
1968,34,117,86941
1968,35,124,85982
1968,36,134,89955
1968,37,152,90579
1968,38,157,92876
1968,39,152,91463
1968,40,171,95086
1968,41,169,94006
1968,42,214,96932
1968,43,236,100659
1968,44,231,102228
1968,45,292,104895
1968,46,376,106283
1968,47,419,114376
1968,48,458,121745
1968,49,357,100292
1968,50,420,100274
1968,51,472,101967
1968,52,553,100823
1968,53,568,100341
1968,54,640,103907
1968,55,709,103800
1968,56,785,104492
1968,57,864,102054
1968,58,983,101307
1968,59,1056,102405
1968,60,1061,98840
1968,61,1161,95382
1968,62,1229,92459
1968,63,1377,88631
1968,64,1389,85666
1968,65,1549,81986
1968,66,1695,81230
1968,67,1762,78173
1968,68,1897,74573
1968,69,1915,68706
1968,70,2093,66910
1968,71,2234,62399
1968,72,2467,59582
1968,73,2569,56152
1968,74,2479,51406
1968,75,2693,48104
1968,76,2788,43765
1968,77,2861,41045
1968,78,2806,36388
1968,79,2877,32527
1968,80,2926,30040
1968,81,2912,27055
1968,82,2855,23594
1968,83,2689,20149
1968,84,2343,17282
1968,85,2136,13603
1968,86,2017,11059
1968,87,1757,8892
1968,88,1638,7174
1968,89,1299,5841
1968,90,1089,4207
1968,91,898,3266
1968,92,727,2264
1968,93,473,1576
1968,94,332,1098
1968,95,239,696
1968,96,163,461
1968,97,131,267
1968,98,71,171
1968,99,43,76
1968,100,79,105
1969,0,1264,105913
1969,1,78,113331
1969,2,65,121339
1969,3,55,122752
1969,4,71,122955
1969,5,46,123056
1969,6,48,113560
1969,7,45,107682
1969,8,39,105125
1969,9,29,102670
1969,10,20,105095
1969,11,31,105352
1969,12,32,106935
1969,13,27,107905
1969,14,28,107167
