date,age,dead,pop,persondays
2010-05,0,2128,3946559,122343329
2010-05,1,137,3971316,123110796
2010-05,2,111,4094845,126940195
2010-05,3,74,4116610,127614910
2010-05,4,53,4067915,126105365
2010-05,5,53,4059420,125842020
2010-05,6,46,4068574,126125794
2010-05,7,31,4034719,125076289
2010-05,8,49,4039496,125224376
2010-05,9,51,4140674,128360894
2010-05,10,26,4177354,129497974
2010-05,11,40,4114756,127557436
2010-05,12,43,4108565,127365515
2010-05,13,68,4118534,127674554
2010-05,14,74,4159175,128934425
2010-05,15,93,4238894,131405714
2010-05,16,138,4315201,133771231
2010-05,17,205,4388753,136051343
2010-05,18,254,4481588,138929228
2010-05,19,293,4529187,140404797
2010-05,20,339,4468549,138525019
2010-05,21,338,4290943,133019233
2010-05,22,335,4195448,130058888
2010-05,23,328,4128483,127982973
2010-05,24,352,4173884,129390404
2010-05,25,338,4202943,130291233
2010-05,26,358,4092990,126882690
2010-05,27,355,4187497,129812407
2010-05,28,384,4174418,129406958
2010-05,29,401,4171771,129324901
2010-05,30,401,4248473,131702663
2010-05,31,390,3955067,122607077
2010-05,32,414,3944264,122272184
2010-05,33,379,3864593,119802383
2010-05,34,403,3801979,117861349
2010-05,35,422,3922657,121602367
2010-05,36,412,3781203,117217293
2010-05,37,469,3890856,120616536
2010-05,38,505,4076789,126380459
2010-05,39,583,4320896,133947776
2010-05,40,553,4358273,135106463
2010-05,41,643,4107929,127345799
2010-05,42,715,4058016,125798496
2010-05,43,772,4083479,126587849
2010-05,44,853,4184666,129724646
2010-05,45,967,4471498,138616438
2010-05,46,1106,4511046,139842426
2010-05,47,1164,4525281,140283711
2010-05,48,1371,4529281,140407711
2010-05,49,1525,4597208,142513448
2010-05,50,1660,4650604,144168724
2010-05,51,1598,4472156,138636836
2010-05,52,1872,4490984,139220504
2010-05,53,1894,4397611,136325941
2010-05,54,2031,4288887,132955497
2010-05,55,2144,4254617,131893127
2010-05,56,2168,4054841,125700071
2010-05,57,2389,3938691,122099421
2010-05,58,2392,3796586,117694166
2010-05,59,2472,3658286,113406866
2010-05,60,2551,3619318,112198858
2010-05,61,2762,3501523,108547213
2010-05,62,2939,3540366,109751346
2010-05,63,3168,3539886,109736466
2010-05,64,2596,2673326,82873106
2010-05,65,2822,2679969,83079039
2010-05,66,3079,2633189,81628859
