year,age,dead
1999,0,27937
1999,1,1989
1999,2,1376
1999,3,1046
1999,4,838
1999,5,763
1999,6,696
1999,7,683
1999,8,692
1999,9,640
1999,10,687
1999,11,711
1999,12,717
1999,13,847
1999,14,1159
1999,15,1509
1999,16,2354
1999,17,2904
1999,18,3404
1999,19,3607
1999,20,3501
1999,21,3538
1999,22,3373
1999,23,3288
1999,24,3178
1999,25,3137
1999,26,3277
1999,27,3549
1999,28,3762
1999,29,3978
1999,30,4005
1999,31,4184
1999,32,4599
1999,33,4965
1999,34,5610
1999,35,6275
1999,36,6667
1999,37,7306
1999,38,8041
1999,39,8515
1999,40,9036
1999,41,9807
1999,42,10473
1999,43,11212
1999,44,11924
1999,45,12407
1999,46,13106
1999,47,13550
1999,48,14039
1999,49,15018
1999,50,15633
1999,51,16870
1999,52,18686
1999,53,16198
1999,54,17467
1999,55,19151
1999,56,21335
1999,57,20641
1999,58,21328
1999,59,22429
1999,60,23520
1999,61,25087
1999,62,26240
1999,63,28216
1999,64,31032
1999,65,31942
1999,66,34234
1999,67,36624
1999,68,40061
1999,69,43834
1999,70,45803
1999,71,49997
1999,72,53562
1999,73,56456
1999,74,60087
1999,75,62824
1999,76,64443
1999,77,68654
1999,78,70776
1999,79,71652
1999,80,70344
1999,81,72038
1999,82,72361
1999,83,72459
1999,84,73039
1999,85,72299
1999,86,70110
1999,87,66398
1999,88,63168
1999,89,58928
1999,90,53410
1999,91,49652
1999,92,43121
1999,93,36454
1999,94,31354
1999,95,25851
1999,96,20738
1999,97,15821
1999,98,12093
1999,99,8831
1999,100,17913
1999,NA,356
2000,0,28035
2000,1,1946
2000,2,1317
2000,3,932
2000,4,784
2000,5,744
2000,6,653
2000,7,642
2000,8,609
2000,9,605
2000,10,644
2000,11,742
2000,12,741
2000,13,872
2000,14,1161
2000,15,1559
2000,16,2209
2000,17,2736
2000,18,3367
2000,19,3692
2000,20,3723
2000,21,3779
2000,22,3512
2000,23,3396
2000,24,3334
2000,25,3299
2000,26,3249
2000,27,3482
2000,28,3629
2000,29,4022
2000,30,4025
2000,31,4255
2000,32,4382
2000,33,4786
2000,34,5322
2000,35,5891
2000,36,6566
2000,37,7235
2000,38,7901
2000,39,8547
2000,40,9405
2000,41,9973
2000,42,10600
2000,43,11629
2000,44,12051
2000,45,12905
2000,46,13390
2000,47,14164
2000,48,14887
2000,49,15486
2000,50,16356
2000,51,16992
2000,52,18527
2000,53,20212
2000,54,17422
2000,55,18781
2000,56,20403
2000,57,22527
2000,58,22248
2000,59,22792
2000,60,23748
2000,61,25092
2000,62,26924
2000,63,28018
2000,64,30313
2000,65,32150
2000,66,33135
2000,67,36042
2000,68,38801
2000,69,41611
2000,70,45594
2000,71,48157
2000,72,52391
2000,73,55183
2000,74,58145
2000,75,62634
2000,76,64746
2000,77,66877
2000,78,70755
2000,79,72688
2000,80,73680
2000,81,70977
2000,82,73375
2000,83,72303
2000,84,72410
2000,85,72959
2000,86,71132
2000,87,68345
2000,88,63584
2000,89,59793
2000,90,54952
2000,91,49513
2000,92,44901
2000,93,37997
2000,94,31920
2000,95,26185
2000,96,21011
2000,97,16402
2000,98,12134
2000,99,8909
2000,100,18434
2000,NA,356
2001,0,27568
2001,1,2002
2001,2,1303
2001,3,983
2001,4,819
2001,5,670
2001,6,633
2001,7,581
2001,8,584
2001,9,625
2001,10,636
2001,11,681
2001,12,736
2001,13,861
2001,14,1088
2001,15,1461
2001,16,2182
2001,17,2771
2001,18,3377
2001,19,3764
2001,20,3757
2001,21,4095
2001,22,3715
2001,23,3609
2001,24,3521
2001,25,3406
2001,26,3573
2001,27,3511
2001,28,3763
2001,29,3958
2001,30,4382
2001,31,4438
2001,32,4571
2001,33,4879
2001,34,5202
2001,35,5901
2001,36,6597
2001,37,7472
2001,38,8173
2001,39,8752
2001,40,9507
2001,41,10204
2001,42,10659
2001,43,11861
2001,44,12548
2001,45,13231
2001,46,14021
2001,47,14833
2001,48,15328
2001,49,16271
2001,50,16640
2001,51,17558
2001,52,18537
2001,53,19897
2001,54,21749
2001,55,18963
2001,56,20109
2001,57,22022
2001,58,24525
2001,59,23904
2001,60,24353
2001,61,25239
2001,62,26883
2001,63,28576
2001,64,29565
2001,65,31559
2001,66,33635
2001,67,34965
2001,68,37350
2001,69,40723
2001,70,43556
2001,71,47443
2001,72,50027
2001,73,54608
2001,74,57094
2001,75,60252
2001,76,64767
2001,77,66922
2001,78,68726
2001,79,73010
2001,80,74602
2001,81,74618
2001,82,72642
2001,83,73768
2001,84,72622
2001,85,72205
2001,86,71689
2001,87,69432
2001,88,65507
2001,89,60942
2001,90,55277
2001,91,50250
2001,92,44059
2001,93,39272
2001,94,32456
2001,95,26789
2001,96,21492
2001,97,16364
2001,98,12544
2001,99,8765
2001,100,18488
2001,NA,422
2002,0,28034
2002,1,1910
2002,2,1257
2002,3,912
2002,4,779
2002,5,674
2002,6,568
2002,7,565
2002,8,613
2002,9,598
2002,10,635
2002,11,656
2002,12,800
2002,13,947
2002,14,1094
2002,15,1417
2002,16,2340
2002,17,2773
2002,18,3439
2002,19,3843
2002,20,3844
2002,21,4089
2002,22,3881
2002,23,3754
2002,24,3666
2002,25,3507
2002,26,3587
2002,27,3486
2002,28,3551
2002,29,3828
2002,30,4165
2002,31,4525
2002,32,4656
2002,33,4938
2002,34,5112
2002,35,5592
2002,36,6137
2002,37,7051
2002,38,7856
2002,39,8711
2002,40,9522
2002,41,10318
2002,42,11136
2002,43,11953
2002,44,12864
2002,45,13633
2002,46,14378
2002,47,15201
2002,48,16194
2002,49,16659
2002,50,17411
2002,51,18161
2002,52,18955
2002,53,20211
2002,54,21582
2002,55,23706
2002,56,20472
2002,57,21475
2002,58,23564
2002,59,26224
2002,60,25813
2002,61,25863
2002,62,27401
2002,63,28551
2002,64,30273
2002,65,31152
2002,66,32892
2002,67,35781
2002,68,36341
2002,69,39425
2002,70,42908
2002,71,46022
2002,72,49512
2002,73,52427
2002,74,56530
2002,75,60029
2002,76,62645
2002,77,66983
2002,78,69209
2002,79,71274
2002,80,75456
2002,81,76729
2002,82,76857
2002,83,73680
2002,84,74792
2002,85,72656
2002,86,72099
2002,87,70322
2002,88,67154
2002,89,63154
2002,90,56949
2002,91,51598
2002,92,45961
2002,93,39917
2002,94,34162
2002,95,27281
2002,96,21624
2002,97,17001
2002,98,12890
2002,99,9486
2002,100,18822
2002,NA,357
2003,0,28025
2003,1,1864
2003,2,1338
2003,3,1003
2003,4,760
2003,5,649
2003,6,582
2003,7,565
2003,8,558
2003,9,544
2003,10,683
2003,11,623
2003,12,756
2003,13,911
2003,14,1083
2003,15,1397
2003,16,2186
2003,17,2702
2003,18,3537
2003,19,3773
2003,20,3943
2003,21,4019
2003,22,4161
2003,23,4004
2003,24,3846
2003,25,3615
2003,26,3676
2003,27,3604
2003,28,3576
2003,29,3779
2003,30,3906
2003,31,4256
2003,32,4719
2003,33,5063
2003,34,5106
2003,35,5537
2003,36,5952
2003,37,6639
2003,38,7503
2003,39,8424
2003,40,9212
2003,41,10161
2003,42,11110
2003,43,12029
2003,44,12894
2003,45,13673
2003,46,14973
2003,47,15596
2003,48,16579
2003,49,17352
2003,50,18055
2003,51,18846
2003,52,19506
2003,53,20241
2003,54,21960
2003,55,23261
2003,56,25373
2003,57,21829
2003,58,23316
2003,59,25560
2003,60,28145
2003,61,27509
2003,62,28126
2003,63,28881
2003,64,30519
2003,65,31760
2003,66,32535
2003,67,35034
2003,68,37184
2003,69,38304
2003,70,41374
2003,71,43803
2003,72,47962
2003,73,51700
2003,74,53841
2003,75,58764
2003,76,61925
2003,77,64656
2003,78,68459
2003,79,71381
2003,80,73082
2003,81,76366
2003,82,77613
2003,83,77263
2003,84,73515
2003,85,73905
2003,86,71865
2003,87,69675
2003,88,67694
2003,89,63708
2003,90,58486
2003,91,52427
2003,92,46435
2003,93,40449
2003,94,33606
2003,95,28565
2003,96,22406
2003,97,17015
2003,98,12892
2003,99,9393
2003,100,19331
2003,NA,342
2004,0,27936
2004,1,1964
2004,2,1194
2004,3,889
2004,4,738
2004,5,657
2004,6,602
2004,7,538
2004,8,521
2004,9,570
2004,10,577
2004,11,581
2004,12,734
2004,13,880
2004,14,1174
2004,15,1527
2004,16,2210
2004,17,2712
2004,18,3491
2004,19,3766
2004,20,3748
2004,21,4095
2004,22,4020
2004,23,3905
2004,24,3947
2004,25,3856
2004,26,3783
2004,27,3783
2004,28,3551
2004,29,3798
2004,30,3592
2004,31,3980
2004,32,4515
2004,33,4800
2004,34,5210
2004,35,5495
2004,36,5606
2004,37,6220
2004,38,6831
2004,39,7792
2004,40,8867
2004,41,9654
2004,42,10741
2004,43,11709
2004,44,12447
2004,45,13605
2004,46,14805
2004,47,15809
2004,48,16368
2004,49,17340
2004,50,18365
2004,51,19112
2004,52,19968
2004,53,20651
2004,54,21674
2004,55,22772
2004,56,24262
2004,57,26838
2004,58,23093
2004,59,24198
2004,60,26363
2004,61,29422
2004,62,28754
2004,63,28976
2004,64,30019
2004,65,31294
2004,66,32894
2004,67,34033
2004,68,35789
2004,69,37974
2004,70,39344
2004,71,41942
2004,72,45322
2004,73,48520
2004,74,52554
2004,75,55089
2004,76,59134
2004,77,62377
2004,78,65378
2004,79,68768
2004,80,71315
2004,81,72786
2004,82,76388
2004,83,77067
2004,84,75928
2004,85,71116
2004,86,71293
2004,87,68096
2004,88,65235
2004,89,62400
2004,90,57365
2004,91,51846
2004,92,45308
2004,93,39487
2004,94,33655
2004,95,27074
2004,96,22038
2004,97,16862
2004,98,12366
2004,99,9106
2004,100,18526
2004,NA,346
2005,0,28440
2005,1,1915
2005,2,1244
2005,3,875
2005,4,722
2005,5,596
2005,6,619
2005,7,547
2005,8,530
2005,9,545
2005,10,509
2005,11,601
2005,12,647
2005,13,849
2005,14,1159
2005,15,1514
2005,16,2106
2005,17,2760
2005,18,3454
2005,19,3869
2005,20,3859
2005,21,4177
2005,22,4189
2005,23,4182
2005,24,4124
2005,25,4119
2005,26,4006
2005,27,3896
2005,28,3860
2005,29,3687
2005,30,3940
2005,31,4064
2005,32,4444
2005,33,4679
2005,34,5230
2005,35,5501
2005,36,5646
2005,37,6092
2005,38,6630
2005,39,7551
2005,40,8594
2005,41,9554
2005,42,10773
2005,43,11676
2005,44,12768
2005,45,13782
2005,46,14714
2005,47,15779
2005,48,16969
2005,49,18139
2005,50,19183
2005,51,19926
2005,52,21181
2005,53,21619
2005,54,22238
2005,55,23400
2005,56,24329
2005,57,26278
2005,58,28623
2005,59,24848
2005,60,26050
2005,61,28086
2005,62,31895
2005,63,30880
2005,64,30912
2005,65,31533
2005,66,32790
2005,67,34775
2005,68,35565
2005,69,37573
2005,70,40502
2005,71,41615
2005,72,44448
2005,73,48368
2005,74,51186
2005,75,54667
2005,76,57153
2005,77,62123
2005,78,65646
2005,79,68299
2005,80,72197
2005,81,74274
2005,82,75397
2005,83,78135
2005,84,78774
2005,85,77060
2005,86,71933
2005,87,71210
2005,88,67493
2005,89,63702
2005,90,60272
2005,91,54510
2005,92,48560
2005,93,41558
2005,94,34806
2005,95,28986
2005,96,22975
2005,97,18051
2005,98,13184
2005,99,9565
2005,100,19304
2005,NA,255
2006,0,28527
2006,1,1841
2006,2,1218
2006,3,864
2006,4,708
2006,5,687
2006,6,544
2006,7,508
2006,8,514
2006,9,482
2006,10,511
2006,11,570
2006,12,583
2006,13,758
2006,14,992
2006,15,1414
2006,16,2152
2006,17,2724
2006,18,3539
2006,19,3910
2006,20,4005
2006,21,4353
2006,22,4157
2006,23,4275
2006,24,4358
2006,25,4345
2006,26,4216
2006,27,4276
2006,28,3976
2006,29,4084
2006,30,3982
2006,31,4278
2006,32,4241
2006,33,4524
2006,34,5030
2006,35,5753
2006,36,5895
2006,37,6047
2006,38,6545
2006,39,7259
2006,40,8075
2006,41,9137
2006,42,10485
2006,43,11507
2006,44,12340
2006,45,13556
2006,46,14516
2006,47,15790
2006,48,17184
2006,49,18222
2006,50,19181
2006,51,20212
2006,52,21327
2006,53,22088
2006,54,22955
2006,55,23641
2006,56,24552
2006,57,26014
2006,58,28325
2006,59,30521
2006,60,26299
2006,61,27110
2006,62,29990
2006,63,33146
2006,64,31803
2006,65,31888
2006,66,32682
