age,date,admissions,presentations
10-19,2018-01,181,185
10-19,2018-02,180,267
10-19,2018-03,257,248
10-19,2018-04,199,298
10-19,2018-05,244,332
10-19,2018-06,206,245
10-19,2018-07,215,301
10-19,2018-08,265,378
10-19,2018-09,172,283
10-19,2018-10,212,351
10-19,2018-11,196,280
10-19,2018-12,207,272
10-19,2019-01,178,282
10-19,2019-02,202,331
10-19,2019-03,209,324
10-19,2019-04,215,278
10-19,2019-05,198,345
10-19,2019-06,201,327
10-19,2019-07,226,325
10-19,2019-08,217,311
10-19,2019-09,186,280
10-19,2019-10,232,285
10-19,2019-11,193,268
10-19,2019-12,184,232
10-19,2020-01,167,270
10-19,2020-02,192,301
10-19,2020-03,216,245
10-19,2020-04,142,208
10-19,2020-05,199,280
10-19,2020-06,233,327
10-19,2020-07,238,304
10-19,2020-08,221,287
10-19,2020-09,220,264
10-19,2020-10,269,355
10-19,2020-11,207,314
10-19,2020-12,238,287
10-19,2021-01,181,296
10-19,2021-02,236,310
10-19,2021-03,224,349
10-19,2021-04,228,302
10-19,2021-05,241,392
10-19,2021-06,241,320
10-19,2021-07,221,295
10-19,2021-08,259,397
10-19,2021-09,340,821
10-19,2021-10,464,1512
10-19,2021-11,366,976
10-19,2021-12,258,532
10-19,2022-01,234,441
10-19,2022-02,267,611
10-19,2022-03,324,684
10-19,2022-04,248,521
10-19,2022-05,274,584
10-19,2022-06,208,404
10-19,2022-07,173,416
10-19,2022-08,200,446
10-19,2022-09,174,366
10-19,2022-10,187,387
10-19,2022-11,202,345
10-19,2022-12,200,308
10-19,2023-01,183,332
20-29,2018-01,500,539
20-29,2018-02,519,582
20-29,2018-03,622,653
20-29,2018-04,624,774
20-29,2018-05,669,903
20-29,2018-06,604,841
20-29,2018-07,606,871
20-29,2018-08,712,965
20-29,2018-09,582,820
20-29,2018-10,643,849
20-29,2018-11,600,858
20-29,2018-12,608,860
20-29,2019-01,611,926
20-29,2019-02,548,796
20-29,2019-03,676,928
20-29,2019-04,562,887
20-29,2019-05,685,966
20-29,2019-06,620,890
20-29,2019-07,578,934
20-29,2019-08,599,940
20-29,2019-09,632,853
20-29,2019-10,564,879
20-29,2019-11,633,906
20-29,2019-12,596,897
20-29,2020-01,573,936
20-29,2020-02,574,849
20-29,2020-03,606,911
20-29,2020-04,509,719
20-29,2020-05,650,944
20-29,2020-06,674,983
20-29,2020-07,678,1029
20-29,2020-08,709,1010
20-29,2020-09,686,1008
20-29,2020-10,685,1054
20-29,2020-11,607,914
20-29,2020-12,674,968
20-29,2021-01,613,1044
20-29,2021-02,618,884
20-29,2021-03,667,999
20-29,2021-04,643,1020
20-29,2021-05,639,1009
20-29,2021-06,702,1102
20-29,2021-07,745,1153
20-29,2021-08,849,1576
20-29,2021-09,1066,2757
20-29,2021-10,1217,3925
20-29,2021-11,818,2223
20-29,2021-12,713,1472
20-29,2022-01,723,1499
20-29,2022-02,594,1389
20-29,2022-03,796,1792
20-29,2022-04,735,1448
20-29,2022-05,628,1298
20-29,2022-06,634,1165
20-29,2022-07,600,1151
20-29,2022-08,597,1179
20-29,2022-09,617,1103
20-29,2022-10,607,1209
20-29,2022-11,564,1119
20-29,2022-12,546,1044
20-29,2023-01,563,1238
30-39,2018-01,745,838
30-39,2018-02,805,877
30-39,2018-03,948,929
30-39,2018-04,848,998
30-39,2018-05,924,1178
30-39,2018-06,888,1051
30-39,2018-07,877,1218
30-39,2018-08,931,1201
30-39,2018-09,816,1148
30-39,2018-10,886,1121
30-39,2018-11,847,1099
30-39,2018-12,855,1172
30-39,2019-01,856,1186
30-39,2019-02,775,1087
30-39,2019-03,907,1314
30-39,2019-04,884,1234
30-39,2019-05,852,1219
30-39,2019-06,843,1170
30-39,2019-07,867,1234
30-39,2019-08,899,1237
30-39,2019-09,905,1248
30-39,2019-10,906,1265
30-39,2019-11,778,1105
30-39,2019-12,852,1124
30-39,2020-01,869,1288
30-39,2020-02,830,1121
30-39,2020-03,853,1201
30-39,2020-04,769,1075
30-39,2020-05,868,1172
30-39,2020-06,973,1307
30-39,2020-07,889,1230
30-39,2020-08,917,1246
30-39,2020-09,956,1281
30-39,2020-10,1044,1390
30-39,2020-11,891,1200
30-39,2020-12,921,1257
30-39,2021-01,869,1289
30-39,2021-02,907,1201
30-39,2021-03,917,1251
30-39,2021-04,872,1283
30-39,2021-05,923,1387
30-39,2021-06,965,1525
30-39,2021-07,1063,1606
30-39,2021-08,1207,2052
30-39,2021-09,1386,3195
30-39,2021-10,1541,3941
30-39,2021-11,1127,2519
30-39,2021-12,973,1750
30-39,2022-01,894,1662
30-39,2022-02,836,1679
30-39,2022-03,1145,2355
30-39,2022-04,1009,1865
30-39,2022-05,955,1683
30-39,2022-06,912,1531
30-39,2022-07,886,1572
30-39,2022-08,921,1598
30-39,2022-09,887,1415
30-39,2022-10,941,1572
30-39,2022-11,881,1503
30-39,2022-12,844,1394
30-39,2023-01,823,1587
40-49,2018-01,1122,1096
40-49,2018-02,1136,1111
40-49,2018-03,1331,1213
40-49,2018-04,1281,1416
40-49,2018-05,1381,1598
40-49,2018-06,1259,1492
40-49,2018-07,1253,1579
40-49,2018-08,1321,1606
40-49,2018-09,1132,1420
40-49,2018-10,1366,1670
40-49,2018-11,1260,1494
40-49,2018-12,1195,1444
40-49,2019-01,1136,1526
40-49,2019-02,1141,1478
40-49,2019-03,1312,1651
40-49,2019-04,1232,1500
40-49,2019-05,1388,1219
40-49,2019-06,1152,1512
40-49,2019-07,1290,1620
40-49,2019-08,1284,1589
40-49,2019-09,1230,1607
40-49,2019-10,1280,1633
40-49,2019-11,1170,1491
40-49,2019-12,1152,1451
40-49,2020-01,1154,1523
40-49,2020-02,1210,1517
40-49,2020-03,1132,1451
40-49,2020-04,965,1266
40-49,2020-05,1200,1483
40-49,2020-06,1212,1509
40-49,2020-07,1128,1439
40-49,2020-08,1085,1432
40-49,2020-09,1172,1547
40-49,2020-10,1357,1820
40-49,2020-11,1215,1508
40-49,2020-12,1173,1508
40-49,2021-01,1173,1559
40-49,2021-02,1110,1356
40-49,2021-03,1210,1712
40-49,2021-04,1102,1483
40-49,2021-05,1235,1716
40-49,2021-06,1312,1787
40-49,2021-07,1290,1864
40-49,2021-08,1459,2121
40-49,2021-09,1382,2210
40-49,2021-10,1385,2519
40-49,2021-11,1207,2077
40-49,2021-12,1145,1719
40-49,2022-01,885,1543
40-49,2022-02,890,1496
40-49,2022-03,1482,2592
40-49,2022-04,1213,1948
40-49,2022-05,1198,1915
40-49,2022-06,1045,1667
40-49,2022-07,1031,1610
40-49,2022-08,1181,1829
40-49,2022-09,1072,1590
40-49,2022-10,1159,1820
40-49,2022-11,1067,1718
40-49,2022-12,997,1615
40-49,2023-01,1034,1732
50-59,2018-01,1779,1370
50-59,2018-02,1739,1344
50-59,2018-03,1978,1454
50-59,2018-04,1821,1639
50-59,2018-05,2014,1978
50-59,2018-06,1853,1817
50-59,2018-07,1917,1987
50-59,2018-08,1990,2007
50-59,2018-09,1939,1948
50-59,2018-10,2016,1933
50-59,2018-11,1877,1882
50-59,2018-12,1890,1914
50-59,2019-01,1859,1941
50-59,2019-02,1848,1732
50-59,2019-03,2044,2048
50-59,2019-04,1785,1868
50-59,2019-05,2034,1988
50-59,2019-06,1828,1828
50-59,2019-07,2002,2052
50-59,2019-08,1908,1934
50-59,2019-09,1791,1926
50-59,2019-10,1918,2032
50-59,2019-11,1778,1877
50-59,2019-12,1779,1874
50-59,2020-01,1876,2080
50-59,2020-02,1880,1945
50-59,2020-03,1753,1770
50-59,2020-04,1413,1593
50-59,2020-05,1828,1955
50-59,2020-06,1887,1942
50-59,2020-07,1783,1772
