year,age,dead
2018,0,19901
2018,1,915
2018,2,507
2018,3,410
2018,4,340
2019,0,19247
2019,1,941
2019,2,495
2019,3,402
2019,4,318
2020,0,17989
2020,1,835
2020,2,447
2020,3,362
2020,4,295
2021,0,18146
2021,1,880
2021,2,489
2021,3,366
2021,4,295
2022,0,18662
2022,1,963
2022,2,561
2022,3,422
2022,4,336
2023,0,18458
2023,1,964
2023,2,552
2023,3,433
2023,4,351
2024,0,18385
2024,1,925
2024,2,506
2024,3,392
2024,4,352
2025,0,10760
2025,1,764
2025,2,520
2025,3,393
2025,4,336
1999,0,26652
1999,1,1178
1999,2,753
1999,3,544
1999,4,427
2000,0,26721
2000,1,1211
2000,2,653
2000,3,483
2000,4,389
2001,0,26151
2001,1,1235
2001,2,724
2001,3,527
2001,4,424
2002,0,26669
2002,1,1169
2002,2,680
2002,3,470
2002,4,399
2003,0,26649
2003,1,1183
2003,2,717
2003,3,514
2003,4,403
2004,0,26439
2004,1,1237
2004,2,627
2004,3,452
2004,4,385
2005,0,26928
2005,1,1173
2005,2,634
2005,3,462
2005,4,363
2006,0,26929
2006,1,1140
2006,2,636
2006,3,449
2006,4,356
2007,0,27391
2007,1,1217
2007,2,598
2007,3,471
2007,4,359
2008,0,26286
2008,1,1224
2008,2,638
2008,3,471
2008,4,415
2009,0,24785
2009,1,1071
2009,2,622
2009,3,476
2009,4,352
2010,0,23035
2010,1,1091
2010,2,536
2010,3,449
2010,4,359
2011,0,22441
2011,1,1016
2011,2,553
2011,3,449
2011,4,359
2012,0,22064
2012,1,1015
2012,2,573
2012,3,453
2012,4,399
2013,0,21888
2013,1,1045
2013,2,547
2013,3,378
2013,4,365
2014,0,21717
2014,1,937
2014,2,523
2014,3,390
2014,4,319
2015,0,21799
2015,1,1013
2015,2,539
2015,3,410
2015,4,320
2016,0,21527
2016,1,1021
2016,2,573
2016,3,418
2016,4,362
2017,0,20588
2017,1,942
2017,2,539
2017,3,406
2017,4,321
