date,year,week,dead
2018-01-06,2018,1,119
2018-01-13,2018,2,130
2018-01-20,2018,3,117
2018-01-27,2018,4,119
2018-02-03,2018,5,93
2018-02-10,2018,6,118
2018-02-17,2018,7,116
2018-02-24,2018,8,116
2018-03-03,2018,9,105
2018-03-10,2018,10,107
2018-03-17,2018,11,124
2018-03-24,2018,12,106
2018-03-31,2018,13,99
2018-04-07,2018,14,95
2018-04-14,2018,15,93
2018-04-21,2018,16,103
2018-04-28,2018,17,100
2018-05-05,2018,18,82
2018-05-12,2018,19,118
2018-05-19,2018,20,85
2018-05-26,2018,21,96
2018-06-02,2018,22,112
2018-06-09,2018,23,105
2018-06-16,2018,24,92
2018-06-23,2018,25,83
2018-06-30,2018,26,90
2018-07-07,2018,27,102
2018-07-14,2018,28,86
2018-07-21,2018,29,98
2018-07-28,2018,30,105
2018-08-04,2018,31,89
2018-08-11,2018,32,87
2018-08-18,2018,33,86
2018-08-25,2018,34,86
2018-09-01,2018,35,96
2018-09-08,2018,36,79
2018-09-15,2018,37,104
2018-09-22,2018,38,98
2018-09-29,2018,39,89
2018-10-06,2018,40,90
2018-10-13,2018,41,107
2018-10-20,2018,42,106
2018-10-27,2018,43,100
2018-11-03,2018,44,88
2018-11-10,2018,45,85
2018-11-17,2018,46,107
2018-11-24,2018,47,104
2018-12-01,2018,48,112
2018-12-08,2018,49,113
2018-12-15,2018,50,123
2018-12-22,2018,51,100
2018-12-29,2018,52,101
2019-01-05,2019,1,102
2019-01-12,2019,2,97
2019-01-19,2019,3,108
2019-01-26,2019,4,110
2019-02-02,2019,5,113
2019-02-09,2019,6,119
2019-02-16,2019,7,113
2019-02-23,2019,8,119
2019-03-02,2019,9,100
2019-03-09,2019,10,101
2019-03-16,2019,11,111
2019-03-23,2019,12,107
2019-03-30,2019,13,116
2019-04-06,2019,14,89
2019-04-13,2019,15,111
2019-04-20,2019,16,102
2019-04-27,2019,17,95
2019-05-04,2019,18,80
2019-05-11,2019,19,99
2019-05-18,2019,20,106
2019-05-25,2019,21,97
2019-06-01,2019,22,96
2019-06-08,2019,23,111
2019-06-15,2019,24,96
2019-06-22,2019,25,94
2019-06-29,2019,26,104
2019-07-06,2019,27,68
2019-07-13,2019,28,88
2019-07-20,2019,29,82
2019-07-27,2019,30,99
2019-08-03,2019,31,86
2019-08-10,2019,32,96
2019-08-17,2019,33,74
2019-08-24,2019,34,78
2019-08-31,2019,35,88
2019-09-07,2019,36,106
2019-09-14,2019,37,102
2019-09-21,2019,38,94
2019-09-28,2019,39,81
2019-10-05,2019,40,95
2019-10-12,2019,41,85
2019-10-19,2019,42,96
2019-10-26,2019,43,96
2019-11-02,2019,44,83
2019-11-09,2019,45,106
2019-11-16,2019,46,107
2019-11-23,2019,47,84
2019-11-30,2019,48,91
2019-12-07,2019,49,125
2019-12-14,2019,50,89
2019-12-21,2019,51,105
2019-12-28,2019,52,148
2020-01-04,2020,1,107
2020-01-11,2020,2,130
2020-01-18,2020,3,103
2020-01-25,2020,4,117
2020-02-01,2020,5,104
2020-02-08,2020,6,133
2020-02-15,2020,7,132
2020-02-22,2020,8,106
2020-02-29,2020,9,122
2020-03-07,2020,10,97
2020-03-14,2020,11,106
2020-03-21,2020,12,112
2020-03-28,2020,13,77
2020-04-04,2020,14,85
2020-04-11,2020,15,80
2020-04-18,2020,16,73
2020-04-25,2020,17,104
2020-05-02,2020,18,81
2020-05-09,2020,19,101
2020-05-16,2020,20,105
2020-05-23,2020,21,102
2020-05-30,2020,22,92
2020-06-06,2020,23,78
2020-06-13,2020,24,106
2020-06-20,2020,25,87
2020-06-27,2020,26,95
2020-07-04,2020,27,88
2020-07-11,2020,28,82
2020-07-18,2020,29,82
2020-07-25,2020,30,87
2020-08-01,2020,31,87
2020-08-08,2020,32,84
2020-08-15,2020,33,92
2020-08-22,2020,34,70
2020-08-29,2020,35,83
2020-09-05,2020,36,80
2020-09-12,2020,37,97
2020-09-19,2020,38,81
2020-09-26,2020,39,78
2020-10-03,2020,40,97
2020-10-10,2020,41,87
2020-10-17,2020,42,90
2020-10-24,2020,43,93
2020-10-31,2020,44,92
2020-11-07,2020,45,96
2020-11-14,2020,46,111
2020-11-21,2020,47,88
2020-11-28,2020,48,84
2020-12-05,2020,49,82
2020-12-12,2020,50,87
2020-12-19,2020,51,91
2020-12-26,2020,52,75
2021-01-02,2020,53,106
2021-01-09,2021,1,96
2021-01-16,2021,2,83
2021-01-23,2021,3,97
2021-01-30,2021,4,85
2021-02-06,2021,5,81
2021-02-13,2021,6,95
2021-02-20,2021,7,99
2021-02-27,2021,8,81
2021-03-06,2021,9,102
2021-03-13,2021,10,95
2021-03-20,2021,11,61
2021-03-27,2021,12,83
2021-04-03,2021,13,103
2021-04-10,2021,14,77
2021-04-17,2021,15,88
2021-04-24,2021,16,95
2021-05-01,2021,17,97
2021-05-08,2021,18,96
2021-05-15,2021,19,83
2021-05-22,2021,20,102
2021-05-29,2021,21,100
2021-06-05,2021,22,96
2021-06-12,2021,23,102
2021-06-19,2021,24,103
2021-06-26,2021,25,112
2021-07-03,2021,26,88
2021-07-10,2021,27,80
2021-07-17,2021,28,113
2021-07-24,2021,29,96
2021-07-31,2021,30,102
2021-08-07,2021,31,95
2021-08-14,2021,32,87
2021-08-21,2021,33,92
2021-08-28,2021,34,111
2021-09-04,2021,35,92
2021-09-11,2021,36,101
2021-09-18,2021,37,98
2021-09-25,2021,38,108
2021-10-02,2021,39,112
2021-10-09,2021,40,121
2021-10-16,2021,41,89
2021-10-23,2021,42,85
2021-10-30,2021,43,117
2021-11-06,2021,44,82
2021-11-13,2021,45,104
2021-11-20,2021,46,102
2021-11-27,2021,47,109
2021-12-04,2021,48,105
2021-12-11,2021,49,116
2021-12-18,2021,50,105
2021-12-25,2021,51,117
2022-01-01,2021,52,116
2022-01-08,2022,1,111
2022-01-15,2022,2,97
2022-01-22,2022,3,95
2022-01-29,2022,4,100
2022-02-05,2022,5,94
2022-02-12,2022,6,95
2022-02-19,2022,7,99
2022-02-26,2022,8,122
2022-03-05,2022,9,107
2022-03-12,2022,10,99
2022-03-19,2022,11,113
2022-03-26,2022,12,95
2022-04-02,2022,13,84
2022-04-09,2022,14,100
2022-04-16,2022,15,100
2022-04-23,2022,16,100
2022-04-30,2022,17,104
2022-05-07,2022,18,102
2022-05-14,2022,19,101
2022-05-21,2022,20,105
2022-05-28,2022,21,99
2022-06-04,2022,22,130
2022-06-11,2022,23,108
2022-06-18,2022,24,101
2022-06-25,2022,25,113
2022-07-02,2022,26,97
2022-07-09,2022,27,109
2022-07-16,2022,28,112
2022-07-23,2022,29,111
2022-07-30,2022,30,97
2022-08-06,2022,31,114
2022-08-13,2022,32,99
2022-08-20,2022,33,95
2022-08-27,2022,34,107
2022-09-03,2022,35,99
2022-09-10,2022,36,109
2022-09-17,2022,37,101
2022-09-24,2022,38,115
2022-10-01,2022,39,88
2022-10-08,2022,40,111
2022-10-15,2022,41,105
2022-10-22,2022,42,111
2022-10-29,2022,43,113
2022-11-05,2022,44,110
2022-11-12,2022,45,124
2022-11-19,2022,46,114
2022-11-26,2022,47,135
2022-12-03,2022,48,135
2022-12-10,2022,49,136
2022-12-17,2022,50,140
2022-12-24,2022,51,165
2022-12-31,2022,52,141
2023-01-07,2023,1,122
2023-01-14,2023,2,121
2023-01-21,2023,3,106
2023-01-28,2023,4,111
2023-02-04,2023,5,133
2023-02-11,2023,6,116
2023-02-18,2023,7,118
2023-02-25,2023,8,127
2023-03-04,2023,9,109
2023-03-11,2023,10,123
2023-03-18,2023,11,124
2023-03-25,2023,12,92
2023-04-01,2023,13,104
2023-04-08,2023,14,113
2023-04-15,2023,15,109
2023-04-22,2023,16,109
2023-04-29,2023,17,108
2023-05-06,2023,18,111
2023-05-13,2023,19,111
2023-05-20,2023,20,118
2023-05-27,2023,21,93
2023-06-03,2023,22,113
2023-06-10,2023,23,89
2023-06-17,2023,24,127
2023-06-24,2023,25,105
2023-07-01,2023,26,104
2023-07-08,2023,27,110
2023-07-15,2023,28,116
2023-07-22,2023,29,88
2023-07-29,2023,30,92
2023-08-05,2023,31,92
2023-08-12,2023,32,109
2023-08-19,2023,33,106
2023-08-26,2023,34,99
2023-09-02,2023,35,97
2023-09-09,2023,36,95
2023-09-16,2023,37,94
2023-09-23,2023,38,104
2023-09-30,2023,39,103
2023-10-07,2023,40,96
2023-10-14,2023,41,102
2023-10-21,2023,42,102
2023-10-28,2023,43,123
2023-11-04,2023,44,114
