# https://wonder.cdc.gov/natality.html (grouped by "Age Of Mother 9", year, and month)
age,year,month,born
0,2023,1,161
0,2023,2,144
0,2023,3,184
0,2023,4,156
0,2023,5,133
0,2023,6,147
0,2023,7,153
0,2023,8,133
0,2023,9,130
0,2023,10,147
0,2023,11,148
0,2023,12,130
0,2024,1,131
0,2024,2,173
0,2024,3,153
0,2024,4,136
0,2024,5,151
0,2024,6,156
0,2024,7,138
0,2024,8,172
0,2024,9,128
0,2024,10,137
0,2024,11,123
0,2024,12,127
0,2025,1,109
0,2025,2,112
0,2025,3,128
0,2025,4,117
0,2025,5,121
0,2025,6,102
0,2025,7,129
15,2023,1,12372
15,2023,2,10971
15,2023,3,11849
15,2023,4,10753
15,2023,5,11235
15,2023,6,11557
15,2023,7,12187
15,2023,8,12394
15,2023,9,11842
15,2023,10,11948
15,2023,11,11751
15,2023,12,12118
15,2024,1,11931
15,2024,2,11215
15,2024,3,11602
15,2024,4,10527
15,2024,5,10920
15,2024,6,10944
15,2024,7,12006
15,2024,8,12257
15,2024,9,11876
15,2024,10,11560
15,2024,11,10885
15,2024,12,11108
15,2025,1,11536
15,2025,2,10096
15,2025,3,10782
15,2025,4,9942
15,2025,5,10264
15,2025,6,10115
15,2025,7,11081
20,2023,1,53446
20,2023,2,47183
20,2023,3,51946
20,2023,4,46947
20,2023,5,50727
20,2023,6,50999
20,2023,7,53140
20,2023,8,55064
20,2023,9,52426
20,2023,10,52296
20,2023,11,50998
20,2023,12,51798
20,2024,1,51705
20,2024,2,48046
20,2024,3,50023
20,2024,4,48159
20,2024,5,49831
20,2024,6,49257
20,2024,7,54021
20,2024,8,55214
20,2024,9,52361
20,2024,10,51918
20,2024,11,48691
20,2024,12,50512
20,2025,1,51350
20,2025,2,45505
20,2025,3,48686
20,2025,4,46608
20,2025,5,48516
20,2025,6,47774
20,2025,7,51699
25,2023,1,82484
25,2023,2,75043
25,2023,3,82348
25,2023,4,76534
25,2023,5,81946
25,2023,6,83658
25,2023,7,85997
25,2023,8,88959
25,2023,9,84130
25,2023,10,83900
25,2023,11,80566
25,2023,12,81002
25,2024,1,81035
25,2024,2,77679
25,2024,3,81455
25,2024,4,79187
25,2024,5,83110
25,2024,6,80794
25,2024,7,87094
25,2024,8,88845
25,2024,9,84303
25,2024,10,85011
25,2024,11,78517
25,2024,12,80872
25,2025,1,82806
25,2025,2,75423
25,2025,3,81505
25,2025,4,79811
25,2025,5,83114
25,2025,6,81814
25,2025,7,86704
30,2023,1,89527
30,2023,2,81490
30,2023,3,91052
30,2023,4,86436
30,2023,5,92995
30,2023,6,93609
30,2023,7,95621
30,2023,8,98385
30,2023,9,93759
30,2023,10,95113
30,2023,11,90619
30,2023,12,89446
30,2024,1,89174
30,2024,2,85863
30,2024,3,91724
30,2024,4,90081
30,2024,5,94104
30,2024,6,90233
30,2024,7,97776
30,2024,8,100108
30,2024,9,94732
30,2024,10,96366
30,2024,11,88770
30,2024,12,90459
30,2025,1,91588
30,2025,2,84376
30,2025,3,91826
30,2025,4,90195
30,2025,5,95065
30,2025,6,92077
30,2025,7,98161
35,2023,1,49112
35,2023,2,44907
35,2023,3,49908
35,2023,4,46495
35,2023,5,50344
35,2023,6,51027
35,2023,7,52012
35,2023,8,54394
35,2023,9,51193
35,2023,10,52838
35,2023,11,51481
35,2023,12,50920
35,2024,1,50446
35,2024,2,47901
35,2024,3,50413
35,2024,4,49319
35,2024,5,52336
35,2024,6,49559
35,2024,7,54445
35,2024,8,55558
35,2024,9,52395
35,2024,10,55241
35,2024,11,50984
35,2024,12,52152
35,2025,1,52909
35,2025,2,47863
35,2025,3,51810
35,2025,4,50395
35,2025,5,53455
35,2025,6,52765
35,2025,7,56073
40,2023,1,11452
40,2023,2,10244
40,2023,3,11157
40,2023,4,10476
40,2023,5,11282
40,2023,6,11404
40,2023,7,11558
40,2023,8,12088
40,2023,9,11262
40,2023,10,11914
40,2023,11,11752
40,2023,12,11744
40,2024,1,11677
40,2024,2,11289
40,2024,3,11674
40,2024,4,11126
40,2024,5,11568
40,2024,6,11210
40,2024,7,12453
40,2024,8,12342
40,2024,9,11383
40,2024,10,12348
40,2024,11,11843
40,2024,12,12093
40,2025,1,12222
40,2025,2,10755
40,2025,3,11645
40,2025,4,11172
40,2025,5,11852
40,2025,6,11732
40,2025,7,12361
45,2023,1,798
45,2023,2,761
45,2023,3,800
45,2023,4,739
45,2023,5,786
45,2023,6,808
45,2023,7,832
45,2023,8,845
45,2023,9,689
45,2023,10,862
45,2023,11,798
45,2023,12,786
45,2024,1,759
45,2024,2,811
45,2024,3,781
45,2024,4,757
45,2024,5,879
45,2024,6,756
45,2024,7,834
45,2024,8,798
45,2024,9,710
45,2024,10,857
45,2024,11,836
45,2024,12,897
45,2025,1,874
45,2025,2,752
45,2025,3,823
45,2025,4,769
45,2025,5,844
45,2025,6,864
45,2025,7,893
50,2023,1,113
50,2023,2,102
50,2023,3,111
50,2023,4,94
50,2023,5,97
50,2023,6,113
50,2023,7,97
50,2023,8,99
50,2023,9,78
50,2023,10,99
50,2023,11,115
50,2023,12,99
50,2024,1,114
50,2024,2,87
50,2024,3,95
50,2024,4,86
50,2024,5,133
50,2024,6,87
50,2024,7,104
50,2024,8,100
50,2024,9,95
50,2024,10,121
50,2024,11,111
50,2024,12,118
50,2025,1,105
50,2025,2,89
50,2025,3,100
50,2025,4,81
50,2025,5,106
50,2025,6,111
50,2025,7,127
0,2003,1,593
0,2003,2,528
0,2003,3,592
0,2003,4,568
0,2003,5,547
0,2003,6,534
0,2003,7,602
0,2003,8,556
0,2003,9,582
0,2003,10,502
0,2003,11,525
0,2003,12,532
0,2004,1,623
0,2004,2,500
0,2004,3,592
0,2004,4,582
0,2004,5,560
0,2004,6,530
0,2004,7,544
0,2004,8,597
0,2004,9,541
0,2004,10,564
0,2004,11,528
0,2004,12,620
0,2005,1,610
0,2005,2,504
0,2005,3,598
0,2005,4,611
