year,cause,code,dead
2018,Salmonella enteritis,A02.0,22
2018,Salmonella septicaemia,A02.1,39
2018,"Salmonella infection, unspecified",A02.9,48
2018,Other intestinal Escherichia coli infections,A04.4,14
2018,Campylobacter enteritis,A04.5,23
2018,Enterocolitis due to Clostridium difficile,A04.7,9418
2018,Other specified bacterial intestinal infections,A04.8,91
2018,"Bacterial intestinal infection, unspecified",A04.9,23
2018,Cryptosporidiosis,A07.2,12
2018,Acute gastroenteropathy due to Norwalk agent,A08.1,75
2018,"Viral intestinal infection, unspecified",A08.4,115
2018,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,878
2018,Gastroenteritis and colitis of unspecified origin,A09.9,3798
2018,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,373
2018,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,356
2018,Tuberculous meningitis,A17.0,16
2018,Tuberculosis of bones and joints,A18.0,202
2018,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18.3,17
2018,"Miliary tuberculosis, unspecified",A19.9,53
2018,Pasteurellosis,A28.0,32
2018,Pulmonary mycobacterial infection,A31.0,621
2018,Other mycobacterial infections,A31.8,10
2018,"Mycobacterial infection, unspecified",A31.9,147
2018,Listerial meningitis and meningoencephalitis,A32.1,18
2018,Listerial septicaemia,A32.7,19
2018,"Listeriosis, unspecified",A32.9,23
2018,Meningococcal meningitis,A39.0,10
2018,"Meningococcaemia, unspecified",A39.4,13
2018,"Septicaemia due to streptococcus, group A",A40.0,93
2018,"Septicaemia due to streptococcus, group B",A40.1,64
2018,"Septicaemia due to streptococcus, group D",A40.2,310
2018,Septicaemia due to Streptococcus pneumoniae,A40.3,326
2018,Other streptococcal septicaemia,A40.8,30
2018,"Streptococcal septicaemia, unspecified",A40.9,506
2018,Septicaemia due to Staphylococcus aureus,A41.0,1906
2018,Septicaemia due to other specified staphylococcus,A41.1,30
2018,Septicaemia due to unspecified staphylococcus,A41.2,618
2018,Septicaemia due to Haemophilus influenzae,A41.3,60
2018,Septicaemia due to anaerobes,A41.4,254
2018,Septicaemia due to other Gram-negative organisms,A41.5,3651
2018,Other specified septicaemia,A41.8,153
2018,"Septicaemia, unspecified",A41.9,198039
2018,"Actinomycosis, unspecified",A42.9,12
2018,Pulmonary nocardiosis,A43.0,51
2018,"Nocardiosis, unspecified",A43.9,52
2018,Gas gangrene,A48.0,84
2018,Legionnaires disease,A48.1,311
2018,Toxic shock syndrome,A48.3,92
2018,"Staphylococcal infection, unspecified",A49.0,5835
2018,"Streptococcal infection, unspecified",A49.1,2151
2018,"Haemophilus influenzae infection, unspecified",A49.2,77
2018,"Mycoplasma infection, unspecified",A49.3,16
2018,Other bacterial infections of unspecified site,A49.8,3973
2018,"Bacterial infection, unspecified",A49.9,9325
2018,Symptomatic neurosyphilis,A52.1,47
2018,"Neurosyphilis, unspecified",A52.3,40
2018,"Latent syphilis, unspecified as early or late",A53.0,16
2018,"Syphilis, unspecified",A53.9,28
2018,Lyme disease,A69.2,55
2018,Other spotted fevers,A77.8,20
2018,Creutzfeldt-Jakob disease - CJD,A81.0,453
2018,Progressive multifocal leukoencephalopathy,A81.2,83
2018,"Slow virus infection of central nervous system, unspecified",A81.9,21
2018,Unspecified viral encephalitis,A86,143
2018,"Viral meningitis, unspecified",A87.9,52
2018,West Nile fever,A92.3,155
2018,Herpesviral meningitis,B00.3,16
2018,Herpesviral encephalitis,B00.4,261
2018,Disseminated herpesviral disease,B00.7,20
2018,Other forms of herpesviral infection,B00.8,21
2018,"Herpesviral infection, unspecified",B00.9,117
2018,Varicella encephalitis,B01.1,14
2018,Zoster encephalitis,B02.0,44
2018,Zoster with other nervous system involvement,B02.2,107
2018,Zoster ocular disease,B02.3,21
2018,Disseminated zoster,B02.7,48
2018,Zoster without complication,B02.9,351
2018,Hepatitis A without hepatic coma,B15.9,169
2018,Acute hepatitis B without delta-agent with hepatic coma,B16.2,12
2018,Acute hepatitis B without delta-agent and without hepatic coma,B16.9,1296
2018,Acute hepatitis C,B17.1,15
2018,"Acute viral hepatitis, unspecified",B17.9,217
2018,Chronic viral hepatitis B without delta-agent,B18.1,344
2018,Chronic viral hepatitis C,B18.2,15700
2018,"Chronic viral hepatitis, unspecified",B18.9,55
