cause,year,age,dead
UCD C00-C97 (Malignant neoplasms),1999,0,68
UCD C00-C97 (Malignant neoplasms),1999,1,79
UCD C00-C97 (Malignant neoplasms),1999,2,106
UCD C00-C97 (Malignant neoplasms),1999,3,110
UCD C00-C97 (Malignant neoplasms),1999,4,123
UCD C00-C97 (Malignant neoplasms),1999,5,123
UCD C00-C97 (Malignant neoplasms),1999,6,112
UCD C00-C97 (Malignant neoplasms),1999,7,90
UCD C00-C97 (Malignant neoplasms),1999,8,95
UCD C00-C97 (Malignant neoplasms),1999,9,89
UCD C00-C97 (Malignant neoplasms),1999,10,100
UCD C00-C97 (Malignant neoplasms),1999,11,102
UCD C00-C97 (Malignant neoplasms),1999,12,98
UCD C00-C97 (Malignant neoplasms),1999,13,99
UCD C00-C97 (Malignant neoplasms),1999,14,104
UCD C00-C97 (Malignant neoplasms),1999,15,119
UCD C00-C97 (Malignant neoplasms),1999,16,157
UCD C00-C97 (Malignant neoplasms),1999,17,149
UCD C00-C97 (Malignant neoplasms),1999,18,151
UCD C00-C97 (Malignant neoplasms),1999,19,169
UCD C00-C97 (Malignant neoplasms),1999,20,217
UCD C00-C97 (Malignant neoplasms),1999,21,185
UCD C00-C97 (Malignant neoplasms),1999,22,187
UCD C00-C97 (Malignant neoplasms),1999,23,196
UCD C00-C97 (Malignant neoplasms),1999,24,194
UCD C00-C97 (Malignant neoplasms),1999,25,205
UCD C00-C97 (Malignant neoplasms),1999,26,260
UCD C00-C97 (Malignant neoplasms),1999,27,270
UCD C00-C97 (Malignant neoplasms),1999,28,309
UCD C00-C97 (Malignant neoplasms),1999,29,385
UCD C00-C97 (Malignant neoplasms),1999,30,361
UCD C00-C97 (Malignant neoplasms),1999,31,460
UCD C00-C97 (Malignant neoplasms),1999,32,496
UCD C00-C97 (Malignant neoplasms),1999,33,549
UCD C00-C97 (Malignant neoplasms),1999,34,710
UCD C00-C97 (Malignant neoplasms),1999,35,854
UCD C00-C97 (Malignant neoplasms),1999,36,924
UCD C00-C97 (Malignant neoplasms),1999,37,1152
UCD C00-C97 (Malignant neoplasms),1999,38,1339
